CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 12001
NOMBRE    : ACAPETLAHUAYA
ESTADO    : GUERRERO
MUNICIPIO : Teloloapan
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 018.335°
LONGITUD  : -100.072°
ALTITUD   : 1292 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
10/08/1964  0       Nulo   Nulo   Nulo   
11/08/1964  0       Nulo   Nulo   Nulo   
12/08/1964  0       Nulo   Nulo   Nulo   
13/08/1964  0       Nulo   Nulo   Nulo   
14/08/1964  3.4     Nulo   Nulo   Nulo   
15/08/1964  6.2     Nulo   Nulo   Nulo   
16/08/1964  1.5     Nulo   Nulo   Nulo   
17/08/1964  0       Nulo   Nulo   Nulo   
18/08/1964  0       Nulo   Nulo   Nulo   
19/08/1964  0       Nulo   Nulo   Nulo   
20/08/1964  36.5    Nulo   Nulo   Nulo   
21/08/1964  5.6     Nulo   Nulo   Nulo   
22/08/1964  0       Nulo   Nulo   Nulo   
23/08/1964  2.3     Nulo   Nulo   Nulo   
24/08/1964  0       Nulo   Nulo   Nulo   
25/08/1964  0       Nulo   Nulo   Nulo   
26/08/1964  0       Nulo   Nulo   Nulo   
27/08/1964  0       Nulo   Nulo   Nulo   
28/08/1964  20      Nulo   Nulo   Nulo   
29/08/1964  10.1    Nulo   Nulo   Nulo   
30/08/1964  9       Nulo   Nulo   Nulo   
31/08/1964  4       Nulo   Nulo   Nulo   
01/09/1964  0       Nulo   Nulo   Nulo   
02/09/1964  18.5    Nulo   Nulo   Nulo   
03/09/1964  1.6     Nulo   Nulo   Nulo   
04/09/1964  0       Nulo   Nulo   Nulo   
05/09/1964  3.4     Nulo   Nulo   Nulo   
06/09/1964  7.8     Nulo   Nulo   Nulo   
07/09/1964  8.5     Nulo   Nulo   Nulo   
08/09/1964  17.8    Nulo   Nulo   Nulo   
09/09/1964  2       Nulo   Nulo   Nulo   
10/09/1964  0       Nulo   Nulo   Nulo   
