CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 12011
NOMBRE    : ATOYAC (SMN)
ESTADO    : GUERRERO
MUNICIPIO : Atoyac de Álvarez
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 017.217°
LONGITUD  : -100.45°
ALTITUD   : 240 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1922  0       Nulo   Nulo   Nulo   
02/01/1922  0       Nulo   29     20     
03/01/1922  0       Nulo   28     20     
04/01/1922  0       Nulo   27     21     
05/01/1922  0       Nulo   28     19     
06/01/1922  0       Nulo   28     21     
07/01/1922  0       Nulo   29     20     
08/01/1922  0       Nulo   29     20     
09/01/1922  0       Nulo   28     19     
10/01/1922  0       Nulo   28     20     
11/01/1922  0       Nulo   29     21     
12/01/1922  0       Nulo   28     19     
13/01/1922  0       Nulo   29     20     
14/01/1922  0       Nulo   30     21     
15/01/1922  0       Nulo   29     20     
16/01/1922  0       Nulo   30     21     
17/01/1922  0       Nulo   29     21     
18/01/1922  0       Nulo   30     20     
19/01/1922  0       Nulo   28     21     
20/01/1922  0       Nulo   29     20     
21/01/1922  0       Nulo   30     21     
22/01/1922  0       Nulo   28     20     
23/01/1922  0       Nulo   30     21     
24/01/1922  0       Nulo   29     20     
25/01/1922  0       Nulo   28     21     
26/01/1922  0       Nulo   29     20     
27/01/1922  0       Nulo   30     20     
28/01/1922  0       Nulo   28     21     
29/01/1922  0       Nulo   29     20     
30/01/1922  0       Nulo   29     21     
31/01/1922  0       Nulo   30     20     
01/02/1922  0       Nulo   30     21     
02/02/1922  0       Nulo   35     20     
03/02/1922  0       Nulo   29     18     
04/02/1922  0       Nulo   35     22     
05/02/1922  0       Nulo   36     20     
06/02/1922  0       Nulo   36     22     
07/02/1922  0       Nulo   34     21     
08/02/1922  0       Nulo   33     21     
09/02/1922  0       Nulo   35     21     
10/02/1922  0       Nulo   36     19     
11/02/1922  0       Nulo   32     21     
12/02/1922  0       Nulo   36     22     
13/02/1922  0       Nulo   33     19     
14/02/1922  0       Nulo   36     19     
15/02/1922  0       Nulo   35     18     
16/02/1922  0       Nulo   34     20     
17/02/1922  0       Nulo   36     20     
18/02/1922  0       Nulo   34     21     
19/02/1922  0       Nulo   37     21     
20/02/1922  0       Nulo   36     20     
21/02/1922  0       Nulo   37     22     
22/02/1922  0       Nulo   34     20     
23/02/1922  0       Nulo   36     21     
24/02/1922  0       Nulo   35     20     
25/02/1922  0       Nulo   37     19     
26/02/1922  0       Nulo   35     19     
27/02/1922  0       Nulo   36     19     
28/02/1922  0       Nulo   37     20     
01/03/1922  0       Nulo   38     20     
02/03/1922  0       Nulo   38     18     
03/03/1922  0       Nulo   38     22     
04/03/1922  0       Nulo   37     22     
05/03/1922  0       Nulo   37     20     
06/03/1922  0       Nulo   38     19     
07/03/1922  0       Nulo   37     19     
08/03/1922  0       Nulo   38     17     
09/03/1922  0       Nulo   38     19     
10/03/1922  0       Nulo   37     21     
11/03/1922  0       Nulo   37     20     
12/03/1922  0       Nulo   38     20     
13/03/1922  0       Nulo   38     19     
14/03/1922  0       Nulo   37     20     
15/03/1922  0       Nulo   37     19     
16/03/1922  0       Nulo   37     19     
17/03/1922  0       Nulo   37     20     
18/03/1922  0       Nulo   38     19     
19/03/1922  0       Nulo   38     20     
20/03/1922  0       Nulo   37     20     
21/03/1922  0       Nulo   38     20     
22/03/1922  0       Nulo   39     20     
23/03/1922  0       Nulo   38     20     
24/03/1922  0       Nulo   Nulo   19     
25/03/1922  0       Nulo   Nulo   19     
26/03/1922  0       Nulo   Nulo   19     
27/03/1922  0       Nulo   Nulo   20     
28/03/1922  0       Nulo   Nulo   20     
29/03/1922  0       Nulo   Nulo   21     
30/03/1922  0       Nulo   Nulo   20     
31/03/1922  0       Nulo   Nulo   Nulo   
01/04/1922  0       Nulo   36     22     
02/04/1922  0       Nulo   38     22     
03/04/1922  0       Nulo   38     22     
04/04/1922  0       Nulo   38     22     
05/04/1922  0       Nulo   37.5   22     
06/04/1922  0       Nulo   37     22.5   
07/04/1922  0       Nulo   37     22.5   
08/04/1922  0       Nulo   38     22     
09/04/1922  0       Nulo   38     22     
10/04/1922  0       Nulo   38     22     
11/04/1922  0       Nulo   38     22     
12/04/1922  0       Nulo   37.5   21     
13/04/1922  0       Nulo   38     22.5   
14/04/1922  0       Nulo   38     22     
15/04/1922  0       Nulo   37.5   22     
16/04/1922  0       Nulo   38     22     
17/04/1922  0       Nulo   38.5   22.5   
18/04/1922  0       Nulo   38.5   22     
19/04/1922  0       Nulo   38     22.5   
20/04/1922  0       Nulo   37.5   22     
21/04/1922  0       Nulo   37     22.5   
22/04/1922  0       Nulo   38     22     
23/04/1922  0       Nulo   37     22     
24/04/1922  0       Nulo   38     22.5   
25/04/1922  0       Nulo   38.5   21.5   
26/04/1922  0       Nulo   38     22     
27/04/1922  0       Nulo   39     22     
28/04/1922  0       Nulo   39     22     
29/04/1922  0       Nulo   39     21     
30/04/1922  0       Nulo   37.5   22     
01/05/1922  0       Nulo   39     21     
02/05/1922  0       Nulo   40     23     
03/05/1922  0       Nulo   38     22     
04/05/1922  0       Nulo   38     22     
05/05/1922  0       Nulo   39     22     
06/05/1922  0       Nulo   39     22     
07/05/1922  0       Nulo   39     22     
08/05/1922  0       Nulo   39     21     
09/05/1922  0       Nulo   39     21     
10/05/1922  0       Nulo   38     22     
11/05/1922  8       Nulo   38     22     
12/05/1922  0       Nulo   39     22     
13/05/1922  0       Nulo   38     22     
14/05/1922  0       Nulo   38     24     
15/05/1922  0       Nulo   37     25     
16/05/1922  0       Nulo   37     27     
17/05/1922  0       Nulo   37     26     
18/05/1922  0       Nulo   37     25     
19/05/1922  0       Nulo   37     24     
20/05/1922  0       Nulo   39     24     
21/05/1922  0       Nulo   38     24     
22/05/1922  0       Nulo   39     22     
23/05/1922  0       Nulo   Nulo   Nulo   
24/05/1922  0       Nulo   Nulo   Nulo   
25/05/1922  5       Nulo   Nulo   Nulo   
26/05/1922  0       Nulo   Nulo   Nulo   
27/05/1922  0       Nulo   Nulo   Nulo   
28/05/1922  0       Nulo   Nulo   Nulo   
29/05/1922  0       Nulo   Nulo   Nulo   
30/05/1922  0       Nulo   38     Nulo   
31/05/1922  1       Nulo   38     21     
01/06/1922  0       Nulo   38     23     
02/06/1922  0       Nulo   37     25     
03/06/1922  0.7     Nulo   37     25     
04/06/1922  0       Nulo   37     24     
05/06/1922  0.7     Nulo   37     24     
06/06/1922  14.2    Nulo   36     24     
07/06/1922  24.4    Nulo   36     24     
08/06/1922  15.7    Nulo   33     22     
09/06/1922  0       Nulo   35     22     
10/06/1922  0       Nulo   32     21     
11/06/1922  34      Nulo   35     24     
12/06/1922  0       Nulo   33     24     
13/06/1922  35.2    Nulo   34     22     
14/06/1922  0       Nulo   34     22     
15/06/1922  0       Nulo   34     22     
16/06/1922  0       Nulo   35     22     
17/06/1922  2.5     Nulo   35     24     
18/06/1922  2.5     Nulo   33     24     
19/06/1922  9.7     Nulo   34     24     
20/06/1922  10      Nulo   34     23     
21/06/1922  25.7    Nulo   33     23     
22/06/1922  18.5    Nulo   30     23     
23/06/1922  2       Nulo   30     22     
24/06/1922  4.5     Nulo   34     23     
25/06/1922  0       Nulo   34     23     
26/06/1922  4.2     Nulo   34     23     
27/06/1922  0       Nulo   34     23     
28/06/1922  0       Nulo   35     23     
29/06/1922  0       Nulo   35     23     
30/06/1922  0       Nulo   36     24     
01/07/1922  8.5     Nulo   35     23     
02/07/1922  0       Nulo   36     22     
03/07/1922  0       Nulo   36     24     
04/07/1922  28.5    Nulo   37     24     
05/07/1922  0       Nulo   36     24     
06/07/1922  0       Nulo   35     23     
07/07/1922  0       Nulo   34     24     
08/07/1922  0       Nulo   35     24     
09/07/1922  0       Nulo   35     24     
10/07/1922  1       Nulo   36     23     
11/07/1922  1.7     Nulo   36     23     
12/07/1922  1.2     Nulo   36     24     
13/07/1922  1.2     Nulo   35     23     
14/07/1922  2.2     Nulo   33     23     
15/07/1922  4       Nulo   35     24     
16/07/1922  0       Nulo   36     23     
17/07/1922  0       Nulo   35     23     
18/07/1922  0       Nulo   37     25     
19/07/1922  0       Nulo   38     25     
20/07/1922  0       Nulo   36     24     
21/07/1922  0       Nulo   36     24     
22/07/1922  1.7     Nulo   37     23     
23/07/1922  0       Nulo   38     24     
24/07/1922  0       Nulo   37     24     
25/07/1922  1       Nulo   37     24     
26/07/1922  0.7     Nulo   38     25     
27/07/1922  0       Nulo   38     24     
28/07/1922  2.2     Nulo   37     25     
29/07/1922  0       Nulo   37     25     
30/07/1922  0       Nulo   38     25     
31/07/1922  0       Nulo   39     25     
01/08/1922  0       Nulo   38     24     
02/08/1922  0       Nulo   39     24     
03/08/1922  0       Nulo   39     25     
04/08/1922  0       Nulo   38     24     
05/08/1922  0       Nulo   37     24     
06/08/1922  0       Nulo   37     24     
07/08/1922  11      Nulo   38     24     
08/08/1922  0       Nulo   38     24     
09/08/1922  0       Nulo   32     24     
10/08/1922  0       Nulo   37     25     
11/08/1922  0       Nulo   38     24     
12/08/1922  4.2     Nulo   38     23     
