CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 12020
NOMBRE    : COACOYULILLO (CFE)
ESTADO    : GUERRERO
MUNICIPIO : Chilpancingo de los Bravo
SITUACION : SUSPENDIDA
ORGANISMO : CFE
CVE-OMM   : Nulo
LATITUD   : 017.333°
LONGITUD  : -99.633°
ALTITUD   : 530 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
07/05/1963  0       Nulo   30.5   Nulo   
08/05/1963  0       Nulo   33     21     
09/05/1963  0       Nulo   36     21.5   
10/05/1963  0       Nulo   37.5   20     
11/05/1963  0       Nulo   36.5   21.5   
12/05/1963  0       Nulo   37     22.5   
13/05/1963  10.5    Nulo   37     21     
14/05/1963  0       Nulo   37     21     
15/05/1963  0       Nulo   37.5   20.5   
16/05/1963  0       Nulo   37.5   19.5   
17/05/1963  0       Nulo   36     19     
18/05/1963  0       Nulo   36     22     
19/05/1963  0       Nulo   36     23     
20/05/1963  0       Nulo   37     20.5   
21/05/1963  0       Nulo   39     21     
22/05/1963  0       Nulo   38     23     
23/05/1963  0       Nulo   40     22.5   
24/05/1963  0       Nulo   40     21.5   
25/05/1963  0       Nulo   39.5   22.5   
26/05/1963  1       Nulo   38.5   24.5   
27/05/1963  0       Nulo   38     23     
28/05/1963  0       Nulo   38.5   23     
29/05/1963  0       Nulo   39     25     
30/05/1963  0       Nulo   40.5   21     
31/05/1963  20.5    Nulo   38     21.5   
01/06/1963  0       Nulo   36.5   22     
02/06/1963  0       Nulo   36.5   23     
03/06/1963  0       Nulo   36.5   23.5   
04/06/1963  11      Nulo   37     25.5   
05/06/1963  0       Nulo   36.5   25     
06/06/1963  0       Nulo   40     23     
07/06/1963  0       Nulo   37.5   23     
08/06/1963  0       Nulo   36     22.5   
09/06/1963  0       Nulo   37     23.5   
10/06/1963  7.5     Nulo   36     23     
11/06/1963  3       Nulo   32.5   22.5   
12/06/1963  0.5     Nulo   36.5   22     
13/06/1963  5       Nulo   36     23     
14/06/1963  3.5     Nulo   28     22.5   
15/06/1963  0       Nulo   36     22.5   
16/06/1963  0       Nulo   37     22     
17/06/1963  0       Nulo   37.5   20.5   
18/06/1963  0       Nulo   38     22.5   
19/06/1963  3       Nulo   36.5   23     
20/06/1963  57.5    Nulo   35.5   23     
21/06/1963  2.5     Nulo   35     22     
22/06/1963  15.5    Nulo   35     21.5   
23/06/1963  0       Nulo   35.5   20.5   
24/06/1963  57      Nulo   37     22     
