CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 12058
NOMBRE    : MEXCALA (CFE)
ESTADO    : GUERRERO
MUNICIPIO : Tepecoacuilco de Trujano
SITUACION : SUSPENDIDA
ORGANISMO : CFE
CVE-OMM   : Nulo
LATITUD   : 017.939°
LONGITUD  : -99.592°
ALTITUD   : 457 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
23/01/1953  0       7.7    Nulo   Nulo   
24/01/1953  0       9.2    35.9   Nulo   
25/01/1953  0       8      33.2   10.1   
26/01/1953  0       6.4    33.3   7.2    
27/01/1953  0       6      35     6      
28/01/1953  0       5.9    36     9      
29/01/1953  0       5.8    34     9.5    
30/01/1953  0       8.1    35     10.5   
31/01/1953  0       7.7    33.5   14     
01/03/1953  0       10.3   39.8   21.5   
02/03/1953  0       11.7   39     22.3   
03/03/1953  0       9.5    39.3   21     
04/03/1953  0       11.5   39.5   22.9   
05/03/1953  0       7.5    38.1   20.3   
06/03/1953  0       9.8    38.5   20     
07/03/1953  0       9.9    37.8   20.4   
08/03/1953  0       11.5   37.4   20     
09/03/1953  0       10.8   37     21     
10/03/1953  0       10     37     21     
11/03/1953  0       10.5   34     22.7   
12/03/1953  0       10.5   39.5   23     
13/03/1953  0       10.7   34     23.4   
14/03/1953  0       9.2    36.7   21     
15/03/1953  0       13.1   39.5   22.5   
16/03/1953  0       9.7    40     21     
17/03/1953  0       13.1   39     23.2   
18/03/1953  0       9.2    39.3   22     
19/03/1953  0       14.1   38.7   22.5   
20/03/1953  0       12.1   37     23     
21/03/1953  0       10.2   38     20     
22/03/1953  0       10.3   38.7   20     
23/03/1953  0       9.4    38.7   19.8   
24/03/1953  0       9.5    38     21     
25/03/1953  0       11.1   39     22.8   
26/03/1953  0       12.2   39     23.5   
27/03/1953  0       11.1   40     22.5   
28/03/1953  0       11.3   38.5   24.2   
29/03/1953  0       12.3   39     21     
30/03/1953  0       11.1   40     24.5   
31/03/1953  0       11     39     26.9   
01/04/1953  0       9.4    39     24.5   
02/04/1953  0       11.2   40.2   22     
03/04/1953  0       10.5   41     23     
04/04/1953  0       10.1   40     24     
05/04/1953  0       10.5   38.5   25     
06/04/1953  0       13.3   40.5   23.8   
07/04/1953  0       13.7   39     25.3   
08/04/1953  0       12.4   40.5   22.8   
09/04/1953  0       12.4   41.8   24.5   
10/04/1953  0       12.2   42.8   26.9   
11/04/1953  0       11.1   41     25.6   
