CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 12066
NOMBRE    : QUETZALA
ESTADO    : GUERRERO
MUNICIPIO : Igualapa
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 016.656°
LONGITUD  : -98.501°
ALTITUD   : 33 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
08/06/1960  0       Nulo   37     Nulo   
09/06/1960  0       9.3    31     20     
10/06/1960  5       6.9    31     25     
11/06/1960  0       4.4    30.5   25     
12/06/1960  3       7.6    36     25     
13/06/1960  6.5     5.4    35     23     
14/06/1960  0       4      32     22     
15/06/1960  0       4.2    37     22     
16/06/1960  21.5    7.1    37     24     
17/06/1960  1       7.9    39     22     
18/06/1960  1       7.8    39     24     
19/06/1960  17.5    7.5    37     24     
20/06/1960  23      7.9    34     24     
21/06/1960  15      8.4    33     23     
22/06/1960  0       5      33     23     
23/06/1960  0       7.6    32     24     
24/06/1960  7       4.4    31     25     
25/06/1960  1       5.8    32     24     
26/06/1960  12.5    2.9    31     25     
27/06/1960  2       4      31     23     
28/06/1960  0       7.4    34     25     
29/06/1960  14.5    3.5    34     25     
30/06/1960  32.5    6.5    31     23     
01/07/1960  0       6.7    31     22     
02/07/1960  0       4.9    32     25     
03/07/1960  0       5.5    32     24     
04/07/1960  45.5    5.6    32     23     
05/07/1960  0       5.7    31     22     
06/07/1960  4       3.9    33     24     
07/07/1960  9       4.4    30     24     
08/07/1960  25.5    4      30     23     
09/07/1960  0       4.6    30     23     
10/07/1960  8       5.2    32     24     
11/07/1960  2       4      30     24     
12/07/1960  19      6.2    30     22     
13/07/1960  14      4      30     23     
14/07/1960  6       5.8    31     22     
15/07/1960  0       7.5    33     24     
16/07/1960  27.5    6.3    31     23     
17/07/1960  9.5     5.2    32     24     
18/07/1960  9       1.5    31     24     
19/07/1960  11.5    3.1    31     24     
20/07/1960  0       6.3    29     23     
21/07/1960  0       4.4    32     22     
22/07/1960  22      6.2    31     23     
23/07/1960  25      5.6    32     22     
24/07/1960  14.5    7.8    29     22     
25/07/1960  0       4.8    33     22     
26/07/1960  23      5.5    30     23     
27/07/1960  0       5.1    31     24     
28/07/1960  0       6.5    32     24     
29/07/1960  27.5    3.1    31     24     
30/07/1960  0       5.4    31     23     
31/07/1960  0       3.4    29     23     
01/08/1960  2       6.2    35     23     
02/08/1960  0       5.3    36     23     
03/08/1960  0       6.1    36     23     
04/08/1960  0       7.8    38     23     
05/08/1960  7.5     6.8    34     24     
06/08/1960  0       3.5    32     23     
07/08/1960  8       6.3    38     24     
08/08/1960  0       5.4    32     23     
09/08/1960  0       4.8    34     22     
10/08/1960  0       6.4    37     24     
11/08/1960  31      7.1    37     22     
12/08/1960  1       7.5    36     24     
13/08/1960  0       6.3    38     24     
14/08/1960  35.4    4.9    36     24     
15/08/1960  0       8.1    34     23     
16/08/1960  54      8      34     22     
17/08/1960  0       6.2    35     22     
18/08/1960  0       7.7    35     22     
19/08/1960  20      6.4    35     21     
20/08/1960  3       6.3    32     21     
21/08/1960  0       6.6    37     22     
22/08/1960  26      5.9    36     24     
23/08/1960  0       5.9    36     23     
24/08/1960  0       4.9    37     23     
25/08/1960  0       6.2    36     24     
26/08/1960  1       6.4    34     23     
27/08/1960  0       6.5    33     24     
28/08/1960  0       5.2    34     24     
29/08/1960  1       5.6    37     24     
30/08/1960  18.5    4.8    36     24     
31/08/1960  24      5.2    34     23     
01/09/1960  13      3.8    32     17     
02/09/1960  0       4.2    31     20     
03/09/1960  5.5     3.1    31     19     
04/09/1960  1.5     2.6    31     18     
05/09/1960  0       3.2    31     19     
06/09/1960  7.5     1.6    30     17     
07/09/1960  41      2.4    31     18     
08/09/1960  0       4.3    30     17     
09/09/1960  0       5.4    30     19     
10/09/1960  15      4.7    32     18     
11/09/1960  5       2.6    33     19     
12/09/1960  15      1      30     18     
13/09/1960  1.5     3.5    30     18     
14/09/1960  0       4.6    30     17     
15/09/1960  0       2.6    30     19     
16/09/1960  0       4      33     18     
17/09/1960  0       3.5    32     19     
18/09/1960  1       1.4    31     16     
19/09/1960  29.5    3.9    32     17     
20/09/1960  0       1.5    31     19     
21/09/1960  0       4.3    31     17     
22/09/1960  0       3      31     17     
23/09/1960  0       3.8    31     18     
24/09/1960  10.5    4.3    31     17     
25/09/1960  40.5    1.8    30     18     
26/09/1960  6       5.1    30     16     
27/09/1960  2       3.8    33     17     
28/09/1960  0       4      30     19     
29/09/1960  0       4.6    30     17     
30/09/1960  0       1.4    29     17     
01/10/1960  0       3.4    28     23     
02/10/1960  0       3      35     23     
03/10/1960  0       3.7    35     23     
04/10/1960  2.5     3.5    34     21     
05/10/1960  0       3.2    30     23     
06/10/1960  16      5      34     23     
07/10/1960  0       0.2    33     24     
08/10/1960  0       3.2    33     22     
09/10/1960  0       1.4    30     21     
10/10/1960  0       2.5    30     22     
11/10/1960  4.5     3      35     22     
12/10/1960  10      5      32     23     
13/10/1960  3       4.8    33     23     
14/10/1960  4       4.6    33     24     
15/10/1960  0       4.6    28     22     
16/10/1960  0       4.4    28     Nulo   
17/10/1960  0       7.7    31     Nulo   
18/10/1960  2       4.6    31     Nulo   
19/10/1960  1       2.4    33     Nulo   
20/10/1960  0       4.6    26     Nulo   
21/10/1960  0       4.1    30     Nulo   
22/10/1960  0       3.5    28     Nulo   
23/10/1960  0       2.8    30     23     
24/10/1960  0       3.2    31     22     
25/10/1960  42.5    4.7    36     20     
26/10/1960  25.5    6.8    35     23     
27/10/1960  69      4.5    33     21     
28/10/1960  27.5    5.2    35     19     
29/10/1960  22      4.1    38     23     
30/10/1960  0       4      36     23     
31/10/1960  0       6.2    36     23     
01/11/1960  0       5.2    28     20     
02/11/1960  0       3.8    28     20     
03/11/1960  0       5.8    30     20     
04/11/1960  0       3      30     22     
05/11/1960  0       5.2    30     22     
06/11/1960  0       4.8    30     20     
07/11/1960  0       3.3    32     22     
08/11/1960  0       6.1    34     21     
09/11/1960  0       4.9    34     22     
10/11/1960  0       8.3    27     22     
11/11/1960  0       4.1    27     21     
12/11/1960  0       4.3    30     21     
13/11/1960  0       3.8    31     21     
