CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 12096
NOMBRE    : COLOTLIPA (CFE)
ESTADO    : GUERRERO
MUNICIPIO : Quechultenango
SITUACION : SUSPENDIDA
ORGANISMO : CFE
CVE-OMM   : Nulo
LATITUD   : 017.409°
LONGITUD  : -99.168°
ALTITUD   : 769 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1961  0       4.8    28.5   14.5   
02/01/1961  0       5      29.5   13     
03/01/1961  0       5.8    32.5   14     
04/01/1961  0       5      32.5   16.8   
05/01/1961  0       5      31.5   16     
06/01/1961  0       4.5    29.5   15.5   
07/01/1961  0       4.9    30.5   16.5   
08/01/1961  0       5.8    31     14.5   
09/01/1961  0       4.9    32     16.5   
10/01/1961  0       4.8    32     17     
11/01/1961  0       4.9    32     17     
12/01/1961  0       5.9    29.5   16.5   
13/01/1961  0       5.6    29     15.2   
14/01/1961  0       4.9    30.5   17.4   
15/01/1961  0       4.5    31.5   18     
16/01/1961  0       3.4    31     18     
17/01/1961  0       4      31     16.2   
18/01/1961  0       4      31.8   16.5   
19/01/1961  0       6.7    32.5   15.5   
20/01/1961  0       5.2    30     16.5   
21/01/1961  0       4.6    29     17.5   
22/01/1961  0       5.9    30     16     
23/01/1961  0       5.3    30     14.5   
24/01/1961  0       5.2    32.5   16.3   
25/01/1961  0       5.9    33     15.5   
26/01/1961  0       5.3    29     15     
27/01/1961  0       5.7    30     17     
28/01/1961  0       6.1    30.5   16     
29/01/1961  0       6      30.5   18     
30/01/1961  0       5.5    31.5   17.5   
31/01/1961  0       5.6    Nulo   16.5   
01/02/1961  0       6      29.5   18     
02/02/1961  0       6.9    29.5   14.5   
03/02/1961  0       6.8    28     13.5   
04/02/1961  0       5.9    28.5   14     
05/02/1961  0       5.2    28.5   14.5   
06/02/1961  0       4.7    25.5   15.5   
07/02/1961  0       4.1    29     14.5   
08/02/1961  0       5.1    30.5   16     
09/02/1961  0       6.3    30.5   15.5   
10/02/1961  0       6.9    28.7   15.5   
11/02/1961  0       6.4    30     16.7   
12/02/1961  0       6.2    32     15     
13/02/1961  0       6      32     12     
14/02/1961  0       5.6    31.5   12     
15/02/1961  0       6.2    31.5   12.5   
16/02/1961  0       6.2    31.5   12.5   
17/02/1961  0       6      32.5   13.5   
18/02/1961  0       6.3    32     15.5   
19/02/1961  0       6.5    32     16     
20/02/1961  0       6.5    32.5   16     
21/02/1961  0       6.5    29.5   14.5   
22/02/1961  0       6.3    31     14.5   
23/02/1961  0       6.5    31     14     
24/02/1961  0       6.8    31.5   14     
25/02/1961  0       7.9    31     15.5   
26/02/1961  0       7.5    31     16     
27/02/1961  0       7.5    31     16     
28/02/1961  0       6.4    Nulo   18     
01/03/1961  0       7.2    34     17.5   
02/03/1961  0       8.4    34.5   17     
03/03/1961  0       6.2    33.5   18.5   
04/03/1961  0       7      31     18.5   
05/03/1961  0       5.2    32.5   21     
06/03/1961  0       5.3    31.5   19.5   
07/03/1961  0       7.8    33.5   19.5   
08/03/1961  0       8.4    33.5   19.5   
09/03/1961  0       9.7    34.5   20.5   
10/03/1961  0       8      33     19.5   
11/03/1961  0       8.5    31     16     
12/03/1961  0       7.4    31.5   17     
13/03/1961  0       7.5    31     17.5   
14/03/1961  0       6.3    31     19     
15/03/1961  0       8.2    33     18.5   
16/03/1961  0       8.2    33     20     
17/03/1961  0       6.4    31.5   16     
18/03/1961  0       9.1    31.5   13.5   
19/03/1961  0       9.4    32     14.5   
20/03/1961  0       8.8    33.5   14     
21/03/1961  0       9      31     14.5   
22/03/1961  0       7.7    32     17     
23/03/1961  0       8.3    31.5   16     
24/03/1961  0       8.3    31     16.5   
25/03/1961  0       3.8    28.5   17     
26/03/1961  0       7.5    33.5   19.5   
27/03/1961  0       6.9    33     22.5   
28/03/1961  0       9.4    33.5   18     
29/03/1961  0       7.4    32.5   21.5   
30/03/1961  0       8.5    32.5   18.5   
31/03/1961  0       5.8    Nulo   17.5   
01/04/1961  0       9.1    30.5   19.7   
02/04/1961  0       9.1    32.5   18.5   
03/04/1961  0       7.1    33.5   16.5   
04/04/1961  0       8.4    30.5   18.5   
05/04/1961  0       6.2    30.5   21     
06/04/1961  0       9.9    33     20.5   
07/04/1961  0       9.4    32     18     
08/04/1961  0       9.1    32.8   19     
09/04/1961  0       9.4    34     17.8   
10/04/1961  0       9.5    32.5   19     
11/04/1961  0       9.9    33.5   17.5   
12/04/1961  0       10.3   34     17.5   
13/04/1961  0       9.3    33     18     
14/04/1961  0       8.2    34.5   17     
15/04/1961  0       9.5    34     18.5   
16/04/1961  0       7.5    33     18     
17/04/1961  0       9.2    34.5   18     
18/04/1961  0       9.1    34.5   18.5   
19/04/1961  0       6.4    32.5   19.5   
20/04/1961  0       8.6    32.5   20.5   
21/04/1961  0       7.4    34     19.5   
