CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 12139
NOMBRE    : TERRONES
ESTADO    : GUERRERO
MUNICIPIO : Coyuca de Catalán
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 018.294°
LONGITUD  : -100.676°
ALTITUD   : 270 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
13/01/1972  0       7.2    34     16     
14/01/1972  0       5.2    32     15     
15/01/1972  0       11.7   34     15.5   
16/01/1972  0       12.3   33.5   15     
17/01/1972  0       9.3    33     16     
18/01/1972  0       7.7    32.5   17     
19/01/1972  0       8.1    32     16     
20/01/1972  0       9.5    33     20     
21/01/1972  0       5.3    32.5   19     
22/01/1972  0       8.7    32     18     
23/01/1972  0       5.6    34     19     
24/01/1972  0       6.9    35     20     
25/01/1972  0       8.5    37     21     
26/01/1972  0       9.6    35.5   20     
27/01/1972  0       4.8    35     18     
28/01/1972  0       3.9    35.5   18.5   
29/01/1972  0       10.1   35     19     
30/01/1972  0       6.5    34     20     
31/01/1972  0       9.1    34.5   20.5   
01/02/1972  0       9.6    34     21     
02/02/1972  0       8.6    34.5   19.5   
03/02/1972  0       7.7    36     16.5   
04/02/1972  0       10.6   34.5   19     
05/02/1972  0       9.9    34     20     
06/02/1972  0       4      36     18     
07/02/1972  0       8      37     17     
08/02/1972  0       8.7    34     19     
09/02/1972  0       8.6    35     18     
10/02/1972  0       9.8    34     16     
11/02/1972  0       8.4    35.5   19     
12/02/1972  0       8.6    35     18     
13/02/1972  0       11.2   36     15.5   
14/02/1972  0       10.1   34     16.5   
15/02/1972  0       9      36     16     
16/02/1972  0       10.9   35     15     
17/02/1972  0       9.4    32.5   20     
18/02/1972  0       6.1    35     16     
19/02/1972  0       7.2    33     18     
20/02/1972  0       8.4    34     17     
21/02/1972  0       9.9    36     19     
22/02/1972  0       9.7    35     18     
23/02/1972  0       9.3    36     17     
24/02/1972  0       9.4    35     18     
25/02/1972  0       10.2   35.5   17.5   
26/02/1972  0       8.9    36     18     
27/02/1972  0       10.2   37     19     
28/02/1972  0       9.3    38     18     
29/02/1972  0       9.7    37     20     
01/03/1972  0       13.4   37     21     
02/03/1972  0       8.6    38     20     
03/03/1972  0       13     38.5   18     
04/03/1972  0       14.8   38     19     
05/03/1972  0       12     39     23     
06/03/1972  0       13.1   38.5   22.5   
07/03/1972  0       11     38     21     
08/03/1972  0       11     39     22     
09/03/1972  0       14.5   36     24     
10/03/1972  0       9.9    37.5   22.5   
11/03/1972  0       8.3    37     22     
12/03/1972  0       13     38     23     
13/03/1972  0       10.4   37     21     
14/03/1972  0       12.4   38.5   22     
