CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 12145
NOMBRE    : JICAYAN DE TOVAR (CFE)
ESTADO    : GUERRERO
MUNICIPIO : Tlacoachistlahuaca
SITUACION : SUSPENDIDA
ORGANISMO : CFE
CVE-OMM   : Nulo
LATITUD   : 017.033°
LONGITUD  : -98.233°
ALTITUD   : 872 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
10/10/1961  0       Nulo   33.5   Nulo   
11/10/1961  5.4     Nulo   31.5   24     
12/10/1961  0       Nulo   29.9   23.5   
13/10/1961  14.5    Nulo   29.9   24.3   
14/10/1961  5.4     Nulo   29.7   23.3   
15/10/1961  0       Nulo   29     20     
16/10/1961  0       Nulo   29.5   26.5   
17/10/1961  0       Nulo   30     24.5   
18/10/1961  5.4     Nulo   30     23     
19/10/1961  0       Nulo   29     23     
20/10/1961  0       Nulo   28.8   24     
21/10/1961  9.5     Nulo   29.9   24     
22/10/1961  30.3    Nulo   29.4   24.4   
23/10/1961  20.2    Nulo   28.8   25.7   
24/10/1961  1       Nulo   28.8   24.4   
25/10/1961  0       Nulo   29.9   24.4   
26/10/1961  0       Nulo   31.1   24.5   
27/10/1961  0       Nulo   30.3   21.1   
28/10/1961  0       Nulo   29.2   20.9   
29/10/1961  0       Nulo   30     25.9   
30/10/1961  0       Nulo   30     23.5   
31/10/1961  15      Nulo   29.2   24.4   
01/11/1961  0       Nulo   31.1   24.5   
02/11/1961  25.5    Nulo   25.8   25     
03/11/1961  0       Nulo   25.5   22.2   
04/11/1961  13.5    Nulo   25.5   23.3   
05/11/1961  30.5    Nulo   28.2   20.2   
06/11/1961  40      Nulo   25     24.7   
07/11/1961  0       Nulo   24.4   22.2   
08/11/1961  0       Nulo   25     22.2   
09/11/1961  27.5    Nulo   26.6   21.1   
10/11/1961  3       Nulo   25     22.2   
11/11/1961  55.5    Nulo   24     21.1   
12/11/1961  10.5    Nulo   24.1   21.1   
13/11/1961  0       Nulo   25.5   19.9   
14/11/1961  0       Nulo   27.7   21.1   
15/11/1961  0       Nulo   29.9   22.2   
16/11/1961  0       Nulo   29.9   24.4   
17/11/1961  0       Nulo   29.9   23.3   
18/11/1961  0       Nulo   29.9   21.1   
19/11/1961  0       Nulo   29.9   23.3   
20/11/1961  0       Nulo   29.9   24.4   
21/11/1961  0       Nulo   30     23.3   
22/11/1961  2       Nulo   38.8   24     
23/11/1961  0       Nulo   30     23.3   
24/11/1961  0       Nulo   29.9   23.3   
25/11/1961  0       Nulo   28.8   18.8   
26/11/1961  0       Nulo   27.7   16.6   
27/11/1961  0       Nulo   26.6   17.7   
28/11/1961  0       Nulo   26.6   16.6   
29/11/1961  0       Nulo   26.6   17.7   
30/11/1961  0       Nulo   26.6   17.7   
01/12/1961  0       Nulo   27.7   25     
02/12/1961  0       Nulo   26.6   19.9   
03/12/1961  0       Nulo   26.6   17.7   
04/12/1961  0       Nulo   27.7   18.8   
05/12/1961  0       Nulo   27.7   18.8   
06/12/1961  0       Nulo   26.6   17.7   
07/12/1961  0       Nulo   27     17.7   
08/12/1961  0       Nulo   27.7   17.7   
09/12/1961  0       Nulo   28.8   17.7   
10/12/1961  0       Nulo   27.7   17.4   
11/12/1961  0       Nulo   28.8   18.8   
12/12/1961  0       Nulo   28.8   20     
13/12/1961  0       Nulo   28.8   19.9   
14/12/1961  0       Nulo   28.8   20     
15/12/1961  0       Nulo   29     20     
16/12/1961  0       Nulo   30     22.2   
17/12/1961  0       Nulo   29     19     
18/12/1961  0       Nulo   29     19     
19/12/1961  0       Nulo   28     19     
20/12/1961  6.6     Nulo   30     18     
21/12/1961  0       Nulo   29.9   20     
22/12/1961  0       Nulo   26.6   19.9   
23/12/1961  0       Nulo   27.7   18.8   
24/12/1961  0       Nulo   25.5   18.8   
25/12/1961  0       Nulo   28.8   16.6   
26/12/1961  0       Nulo   27.7   18.8   
27/12/1961  0       Nulo   28.8   18.8   
28/12/1961  0       Nulo   27.7   19.9   
29/12/1961  0       Nulo   29.9   20     
30/12/1961  0       Nulo   28.8   19.9   
31/12/1961  0       Nulo   29.9   19.9   
01/01/1962  0       Nulo   28.8   20     
02/01/1962  0       Nulo   28.8   20     
03/01/1962  0       Nulo   28.8   19.9   
04/01/1962  0       Nulo   29.9   22.2   
05/01/1962  0       Nulo   28.8   20.5   
06/01/1962  0       Nulo   28.8   21.1   
07/01/1962  0       Nulo   28.8   20     
08/01/1962  0       Nulo   28     19.9   
09/01/1962  0       Nulo   28.8   18.8   
10/01/1962  0       Nulo   27.7   19.9   
11/01/1962  0       Nulo   28.8   19.9   
12/01/1962  0       Nulo   27     18.8   
13/01/1962  0       Nulo   28.8   19.9   
14/01/1962  0       Nulo   29.9   17.7   
15/01/1962  0       Nulo   29.9   18.8   
16/01/1962  0       Nulo   30     19.9   
17/01/1962  0       Nulo   29.9   19.9   
18/01/1962  0       Nulo   29.9   18.8   
19/01/1962  0       Nulo   28.8   18.8   
20/01/1962  0       Nulo   28.8   20     
21/01/1962  0       Nulo   28.8   20     
22/01/1962  0       Nulo   29.9   19     
23/01/1962  0       Nulo   27.7   19.9   
24/01/1962  0       Nulo   30.5   18.8   
25/01/1962  0       Nulo   29.9   20     
26/01/1962  0       Nulo   29.9   19.9   
27/01/1962  0       Nulo   29.9   18.8   
28/01/1962  0       Nulo   30.3   21.1   
29/01/1962  0       Nulo   29.9   20.2   
30/01/1962  0       Nulo   28.8   16.5   
31/01/1962  0       Nulo   29.9   19.9   
01/02/1962  0       Nulo   28.8   20     
02/02/1962  0       Nulo   30     20     
03/02/1962  0       Nulo   26     21.1   
04/02/1962  0       Nulo   30.3   21.1   
05/02/1962  0       Nulo   29.9   21     
06/02/1962  0       Nulo   29.9   22.2   
07/02/1962  0       Nulo   29.9   22.2   
08/02/1962  0       Nulo   30     21.1   
09/02/1962  0       Nulo   30     24     
10/02/1962  0       Nulo   31.1   21     
11/02/1962  0       Nulo   30     20     
12/02/1962  0       Nulo   29.9   20     
13/02/1962  0       Nulo   30     20     
14/02/1962  0       Nulo   29.9   20     
15/02/1962  0       Nulo   30     18.8   
16/02/1962  0       Nulo   29.9   20     
17/02/1962  0       Nulo   29.9   19.9   
18/02/1962  0       Nulo   30     22.2   
19/02/1962  0       Nulo   30     21.1   
20/02/1962  0       Nulo   30     23.3   
21/02/1962  0       Nulo   30.3   23.3   
22/02/1962  0       Nulo   29.9   21.1   
23/02/1962  0       Nulo   30     21.1   
24/02/1962  0       Nulo   32.2   20     
25/02/1962  0       Nulo   31.1   21.1   
26/02/1962  0       Nulo   29.9   22.2   
27/02/1962  0       Nulo   30     21.1   
28/02/1962  0       Nulo   30.1   21.1   
01/03/1962  0       Nulo   29.9   21.1   
02/03/1962  0       Nulo   29.9   21.1   
03/03/1962  0       Nulo   30     22.2   
04/03/1962  0       Nulo   29.9   23.3   
05/03/1962  0       Nulo   30     24.4   
06/03/1962  0       Nulo   30     24.4   
07/03/1962  0       Nulo   30     24.4   
08/03/1962  0       Nulo   30     23.3   
09/03/1962  0       Nulo   31     24     
10/03/1962  0       Nulo   30     21.1   
11/03/1962  0       Nulo   30     20     
12/03/1962  0       Nulo   30     21.1   
13/03/1962  0       Nulo   30     21.1   
14/03/1962  0       Nulo   30     20     
15/03/1962  0       Nulo   29.9   18     
16/03/1962  0       Nulo   30     19.9   
17/03/1962  0       Nulo   30     22.2   
18/03/1962  0       Nulo   30     21.1   
19/03/1962  0       Nulo   31.1   22.2   
20/03/1962  0       Nulo   30     23.3   
21/03/1962  0       Nulo   31.1   23.3   
22/03/1962  0       Nulo   30     22.2   
23/03/1962  0       Nulo   30     24     
24/03/1962  0       Nulo   31.1   24     
25/03/1962  0       Nulo   30     20     
26/03/1962  0       Nulo   30     18.8   
27/03/1962  0       Nulo   30     19.9   
28/03/1962  0       Nulo   31.1   20     
29/03/1962  0       Nulo   31.1   21.1   
30/03/1962  0       Nulo   31.1   23.3   
31/03/1962  0       Nulo   29.9   22.2   
01/04/1962  0       Nulo   30     21.1   
02/04/1962  0       Nulo   24     21.1   
03/04/1962  0       Nulo   31.1   21.1   
04/04/1962  0       Nulo   32.2   22.2   
05/04/1962  0       Nulo   31.1   21.1   
06/04/1962  0       Nulo   30     22.2   
07/04/1962  0       Nulo   30     22.2   
08/04/1962  0       Nulo   29.9   19.9   
09/04/1962  0       Nulo   31.1   19.9   
10/04/1962  0       Nulo   30     21.1   
11/04/1962  0       Nulo   30     22.2   
12/04/1962  0       Nulo   33.3   20.2   
13/04/1962  0       Nulo   32.2   22.2   
14/04/1962  0       Nulo   30     23.3   
