CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 12187
NOMBRE    : MILPILLAS (CFE)
ESTADO    : GUERRERO
MUNICIPIO : Ometepec
SITUACION : SUSPENDIDA
ORGANISMO : CFE
CVE-OMM   : Nulo
LATITUD   : 016.582°
LONGITUD  : -98.461°
ALTITUD   : 34 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/09/1980  0       5.4    31     22.5   
02/09/1980  0       5.5    33.5   23.5   
03/09/1980  0       6.3    34     25     
04/09/1980  1       6.5    33.5   25     
05/09/1980  2.5     7      33.5   24     
06/09/1980  2.5     6.8    34     24     
07/09/1980  71.5    7.8    33.5   24     
08/09/1980  0       4.8    33.5   23     
09/09/1980  0.5     6.4    32.5   25     
10/09/1980  23      8.3    33     23.5   
11/09/1980  0       3.5    32.5   23     
12/09/1980  30      6.7    32.5   23.5   
13/09/1980  36      3.7    32     24     
14/09/1980  17.5    3.1    31     23     
15/09/1980  3       4.8    31.5   23     
16/09/1980  16.5    3.3    30     23     
17/09/1980  0       1.7    28     23.5   
18/09/1980  0       5.4    31     23     
19/09/1980  2       3.9    29.5   24     
20/09/1980  8       1.3    27.5   24     
21/09/1980  3       6.4    32     24     
22/09/1980  0       5.6    32.5   22.5   
23/09/1980  22      5.9    32     23.5   
24/09/1980  20.5    3      29.5   24.5   
25/09/1980  57      1.3    26     23.5   
26/09/1980  32      1      27     22.5   
27/09/1980  0       1.8    28     22.5   
28/09/1980  2       3.6    31     23     
29/09/1980  2       5.7    32     23.5   
30/09/1980  0       5.4    33     23     
01/10/1980  25.5    6.4    32     24.5   
02/10/1980  4       5.7    31.5   22.5   
03/10/1980  0       4.1    32     23.5   
04/10/1980  0       6.7    33.5   24     
05/10/1980  0       6.2    34     23     
06/10/1980  0       5.8    33     23     
07/10/1980  0       6.2    33     23     
08/10/1980  0       5.9    32.5   23     
09/10/1980  0       4.2    33     24     
10/10/1980  0       5.4    33     24.5   
11/10/1980  0       4.9    32.5   24     
12/10/1980  0       5.6    31     24     
13/10/1980  0       6.1    34     23     
14/10/1980  39.5    5.5    33     23.5   
15/10/1980  0       5      31.5   23     
16/10/1980  1.5     6      32     24.5   
17/10/1980  0       4.7    33.5   24.5   
18/10/1980  0       6.2    33.5   24.5   
19/10/1980  1.5     4.7    33     25     
20/10/1980  1.5     4.9    33     24.5   
21/10/1980  5.5     4.9    33.5   24     
22/10/1980  0       5.1    32.5   23.5   
23/10/1980  0       5.7    34     23.5   
24/10/1980  0       4.9    34     24     
25/10/1980  2.5     5.5    34     24     
26/10/1980  0       5.4    32     23.5   
27/10/1980  0       5      33     24.5   
28/10/1980  0       6.3    33.5   24     
29/10/1980  0       5.7    34.5   23.5   
30/10/1980  0       3.9    31.5   23     
31/10/1980  0       5.2    35     23.5   
01/11/1980  0       5.3    35     23     
02/11/1980  0       5.2    33     23.5   
03/11/1980  0       4.2    32     24     
04/11/1980  0       3.6    33.5   23.5   
05/11/1980  0       4.7    34     23     
06/11/1980  0       4.4    30.5   22.5   
07/11/1980  0       5.2    32     23     
08/11/1980  0       2.9    33     22.5   
09/11/1980  0       5      33.5   23     
10/11/1980  0       4.8    34     22     
11/11/1980  0       4.9    33     22     
12/11/1980  0       4.8    33     22.5   
13/11/1980  0       5      33     23     
14/11/1980  0       4.2    32.5   20.5   
15/11/1980  0       4.9    33     21.5   
16/11/1980  0       4.9    33.5   22     
17/11/1980  0       5.3    34     21.5   
18/11/1980  0       4.8    33.5   21     
19/11/1980  0       5.4    35     21.5   
20/11/1980  0       3.9    31.5   22     
21/11/1980  0       5.1    34     22.5   
22/11/1980  0       4.9    34     22.5   
23/11/1980  0       4.5    34.5   22     
24/11/1980  0       5.9    35     21.5   
25/11/1980  0       4.7    34     22     
26/11/1980  0       4.6    34.5   22     
27/11/1980  0       4.9    34     21.5   
28/11/1980  0       5.5    33     22     
29/11/1980  0       4.8    34     21.5   
30/11/1980  0       3.8    31.5   22     
01/12/1980  0       4.5    34     22     
02/12/1980  0       4.9    35     21.5   
03/12/1980  0       5.9    34.5   22.5   
04/12/1980  0       5.8    36     22     
05/12/1980  0       4.4    34.5   21.5   
06/12/1980  0       5.4    35     22     
07/12/1980  0       4.3    33.5   22.5   
08/12/1980  0       4.2    33     22     
09/12/1980  0       4.7    34     21.5   
10/12/1980  0       3.2    33     22     
11/12/1980  0       6.6    36     22     
12/12/1980  0       6.2    35     20.5   
13/12/1980  0       4.8    36     20     
14/12/1980  0       4.7    34     21     
15/12/1980  0       4.7    34     21.5   
16/12/1980  0       4.7    34.5   22     
17/12/1980  0       3.7    34     22     
18/12/1980  0       5.8    34     20.5   
19/12/1980  0       4.1    33     20     
20/12/1980  0       6.4    34.5   20     
21/12/1980  0       5.7    37     19     
22/12/1980  0       3.6    30     19     
23/12/1980  0       4.4    34.5   19.5   
24/12/1980  0       6.7    34     19.5   
25/12/1980  0       5.7    36     20     
26/12/1980  0       4.9    34     19     
27/12/1980  0       3.7    33.5   21.5   
28/12/1980  0       5.5    33     22     
29/12/1980  0       4      32.5   20.5   
30/12/1980  1.5     4.7    33.5   21.5   
31/12/1980  0       5.6    32     21     
01/01/1981  0       3.4    28     20     
02/01/1981  0       4.6    35.5   19     
03/01/1981  0       4.4    33     19     
04/01/1981  0       4.9    34     19.5   
05/01/1981  0       4.9    35     19     
06/01/1981  0       5.4    36     20     
07/01/1981  0       5.5    33.5   20.5   
08/01/1981  0       5.9    33.5   21.5   
09/01/1981  0       3      33     20.5   
10/01/1981  0       4.9    34     22     
11/01/1981  0       5.3    35.5   21.5   
12/01/1981  0       4.3    36.5   20.5   
13/01/1981  0       6.2    33     21     
14/01/1981  0       4.7    33     20.5   
15/01/1981  0       3.3    32.5   21.5   
16/01/1981  0       4.3    32     21     
17/01/1981  0       4.1    32     20.5   
18/01/1981  0.5     4.4    33     20.5   
19/01/1981  0       3.9    30.5   20     
20/01/1981  0       3.9    33     17.5   
21/01/1981  0       4.3    33     18     
22/01/1981  0       6.1    32.5   18.5   
23/01/1981  0       6.5    32.5   18     
24/01/1981  0       6.9    33     18     
25/01/1981  0       6.2    32     16     
26/01/1981  0       6.2    32     17     
27/01/1981  0       7.5    32.5   13.5   
28/01/1981  0       4.6    32.5   17     
29/01/1981  0       5.8    34     19.5   
30/01/1981  0       5.7    35     20.5   
31/01/1981  0       4.5    32.5   19     
01/02/1981  0       6.2    32.5   20     
02/02/1981  0       4.8    34     19     
03/02/1981  0       6.3    35     19.5   
04/02/1981  0       5.9    35.5   18.5   
05/02/1981  0       4.7    34     19     
06/02/1981  0       6.4    35.5   21.5   
07/02/1981  0       4.7    34     22     
08/02/1981  0       5.6    34.5   19     
09/02/1981  0       5.1    33     20     
10/02/1981  0       6.3    34     20     
11/02/1981  0       5.3    33.5   19     
12/02/1981  0       7.6    32.5   20     
13/02/1981  0       6.7    34.5   20.5   
14/02/1981  0       7.5    37.5   21.5   
15/02/1981  0       6.6    37     19     
16/02/1981  0       6.7    35.5   18     
17/02/1981  0       8.6    35     19.5   
18/02/1981  0       7.1    36     19     
19/02/1981  0       7.6    37     18     
20/02/1981  0       8.3    37.5   20     
21/02/1981  0       7.9    35     18.5   
22/02/1981  0       6.6    34.5   20.5   
23/02/1981  0       6.4    35     21.5   
24/02/1981  0       7.3    35.5   22.5   
25/02/1981  0       7      33     21     
26/02/1981  0       6.6    35.5   21     
27/02/1981  0       6.6    35     22     
28/02/1981  0       7.8    37     22     
01/03/1981  0       7.9    36     22.5   
02/03/1981  0       7      36     22.5   
03/03/1981  0       7.7    35     20.5   
04/03/1981  0       5.6    35     18     
05/03/1981  0       7.3    35.5   20.5   
06/03/1981  0       6.9    34     20.5   
07/03/1981  0       7.5    33     20.5   
08/03/1981  0       4.6    32.5   22     
09/03/1981  0       7.9    36     21.5   
10/03/1981  0       7.5    34.5   22     
11/03/1981  0       8      32.5   22     
12/03/1981  0       8.4    33.5   23     
13/03/1981  0       7.3    35     21     
14/03/1981  0       7.9    35     21.5   
15/03/1981  0       7      36.5   20.5   
16/03/1981  0       5.4    34.5   21.5   
17/03/1981  0       6.4    34     22     
18/03/1981  0       7      33     20.5   
19/03/1981  0       8.2    35.5   19     
20/03/1981  0       8.8    35.5   17.5   
21/03/1981  0       7.9    33.5   15     
22/03/1981  0       6.8    32     14.5   
23/03/1981  0       8.9    36.5   18.5   
24/03/1981  0       7.9    37     18     
25/03/1981  0       8.6    36     18.5   
26/03/1981  0       8.7    36.5   19     
27/03/1981  0       8.2    36     18.5   
28/03/1981  0       9.1    37     20     
29/03/1981  0       6.2    35     19.5   
30/03/1981  0       7.9    36.5   17.5   
31/03/1981  0       7.8    36.5   16     
01/04/1981  0       8      36     19     
02/04/1981  0       8.9    37.5   20     
03/04/1981  0       8.3    37     19     
04/04/1981  0       6.5    35.5   20     
05/04/1981  0       7.3    38.5   21     
06/04/1981  0       8.5    38     20     
07/04/1981  0       9.6    38     23     
08/04/1981  0       8.4    37     19.5   
09/04/1981  0       8.1    37.5   20     
10/04/1981  0       8.4    38.5   21     
11/04/1981  0       11.9   37     21     
12/04/1981  0       8.8    39.5   21.5   
13/04/1981  0       9.8    38     25     
14/04/1981  0       9.1    38     23     
15/04/1981  0       8.9    38     24.5   
16/04/1981  0       9.9    39     24     
17/04/1981  0       9.1    38     26     
18/04/1981  0       6.2    37     24     
19/04/1981  0       8.8    34.5   23     
20/04/1981  0       7.9    35.5   25     
21/04/1981  0       6.8    33     24     
22/04/1981  0       7.5    36     22     
23/04/1981  0       7.9    35.5   21.5   
24/04/1981  0       7.7    35.7   21.5   
25/04/1981  0       6.8    36.8   20     
26/04/1981  0       9.8    38     21     
27/04/1981  0       8.8    36.9   19.5   
28/04/1981  0       8.9    38     22     
29/04/1981  0       8      36.3   23.8   
30/04/1981  0       9.1    37.5   24.5   
01/05/1981  0       7.6    36     21.5   
02/05/1981  0       6.4    36     24.5   
03/05/1981  0       7.8    35.2   21.5   
04/05/1981  0       7.7    33.5   20.4   
05/05/1981  0       8.1    35.2   17.8   
06/05/1981  0       7.2    34.5   17.1   
07/05/1981  0       7.3    33.8   20.3   
08/05/1981  0       7.3    34.5   19.3   
09/05/1981  0       7.3    32     18     
10/05/1981  0       5.7    35.2   20     
11/05/1981  0       6.9    34.5   21.3   
12/05/1981  0       7.7    37     20.5   
13/05/1981  0       7.6    36.2   21.1   
14/05/1981  0       7.6    35.8   20.5   
15/05/1981  0       6.7    36.1   21.7   
16/05/1981  0       7.7    38     21     
17/05/1981  0       7.2    34.2   20.3   
18/05/1981  0       7.1    36.3   20     
19/05/1981  0       8      38     20.7   
20/05/1981  0       8.4    38.8   21.8   
21/05/1981  0       5.5    36.7   23.5   
22/05/1981  0       8.1    36.5   22.8   
23/05/1981  0       6.3    36     23.5   
24/05/1981  0       7.7    35.4   24.5   
25/05/1981  0       7.6    37     23.3   
26/05/1981  0       8.4    36.6   24.2   
27/05/1981  0       8.1    37     24.7   
28/05/1981  0       6.7    35.7   25     
29/05/1981  0       7.1    36     24.4   
30/05/1981  18.5    7.7    36     24     
31/05/1981  3.6     5.4    34.8   23     
01/06/1981  2       5.1    34     24.9   
02/06/1981  26      2.1    33.8   25     
03/06/1981  1       3.3    31.5   24.1   
04/06/1981  0       2.5    29     19.5   
05/06/1981  13      5.3    33.5   20.5   
06/06/1981  0       6.1    32     23     
07/06/1981  43      3.4    33     24     
08/06/1981  0       2.2    29     23.5   
09/06/1981  0       4.5    30.5   24.5   
10/06/1981  0       7.9    31.5   24.8   
11/06/1981  0       4.2    33     24     
12/06/1981  0       5.3    33     23.3   
13/06/1981  0       7.5    33     23     
14/06/1981  0       5.2    33     24.5   
15/06/1981  0       6.2    33.5   24.5   
16/06/1981  7.3     3.2    34     25     
17/06/1981  6.5     4.4    32.5   23     
18/06/1981  35.2    6      31.8   23.9   
19/06/1981  0       6.3    32.5   22.6   
20/06/1981  0       6.7    33     24.5   
21/06/1981  0       5      33.1   24.5   
22/06/1981  0       5.4    33.4   23.9   
23/06/1981  92      4.7    34.3   24     
24/06/1981  2.3     5.8    33.1   22.1   
25/06/1981  0       3.3    30.7   22.7   
26/06/1981  2.7     4.1    33.3   23     
27/06/1981  8.5     4.2    33.3   23     
28/06/1981  3.8     3.4    32     23     
29/06/1981  71.5    7.2    32.8   23.7   
30/06/1981  23      3      30.7   21.9   
01/07/1981  0.1     1.9    28.7   22.8   
02/07/1981  0       5.6    32.8   23.6   
03/07/1981  0       5.4    33.1   23.9   
04/07/1981  4       3.7    31.5   24     
05/07/1981  7.8     3.1    31.5   23.6   
06/07/1981  2.4     5.7    31.9   23     
07/07/1981  2.3     4.8    36.6   22.8   
08/07/1981  0.2     3.3    32.5   23.7   
09/07/1981  4.4     5.9    32.2   23.7   
10/07/1981  6.4     5.1    31.4   23.1   
11/07/1981  1       6.3    31.8   22.8   
12/07/1981  0       4.6    32.8   23     
13/07/1981  2.6     4      33.3   22     
14/07/1981  24.5    0.7    28     23.8   
15/07/1981  17.2    1.6    26.8   22.4   
16/07/1981  0       2.6    30.5   21.6   
17/07/1981  0       5.9    33.5   22.8   
18/07/1981  0       7.5    33.6   22.1   
19/07/1981  0.1     3.2    30     23     
20/07/1981  7.5     5.2    32.6   22.7   
21/07/1981  0       6.2    33     23     
22/07/1981  0       4.7    33.2   24.1   
23/07/1981  0.7     6.7    33.2   22.7   
24/07/1981  13.5    6.4    32.8   23.5   
25/07/1981  2       3.6    31     23     
26/07/1981  0       6.4    34     23.5   
27/07/1981  0       5.2    34.2   24.5   
28/07/1981  0       7.7    35.4   24     
29/07/1981  9.5     5.5    35.3   23.2   
30/07/1981  1.3     6.7    34.5   22.4   
31/07/1981  9.8     4.7    32     23.5   
01/08/1981  0       6.1    33     22     
02/08/1981  0       6.7    35.4   22.5   
03/08/1981  1.2     6.4    35.8   24.5   
04/08/1981  0.9     6      34.7   23.8   
05/08/1981  0.1     5      33.8   24     
06/08/1981  0       7      33.8   22.3   
07/08/1981  0       7.3    34     22.9   
08/08/1981  0       4.1    34     24.7   
09/08/1981  12.5    4.4    34.4   23.5   
10/08/1981  0       6.1    34.3   23.2   
11/08/1981  0       6.5    33.8   24     
12/08/1981  16.1    6.8    34     24     
13/08/1981  0.8     4.2    31.8   22.8   
14/08/1981  0.5     3.3    31.5   23.1   
15/08/1981  1       3      32.5   23.1   
16/08/1981  30      7.2    34     24     
17/08/1981  0       6.1    32     23.2   
18/08/1981  1       5.7    33.7   23.8   
19/08/1981  9       3      32.5   24     
20/08/1981  8.5     5.1    34     24     
21/08/1981  21.8    2.4    26.2   23.5   
22/08/1981  6.5     4.9    32.5   22.1   
23/08/1981  3       4.6    32.8   22.5   
24/08/1981  3       3.7    31.9   23     
25/08/1981  21.4    3.8    32.7   23.5   
26/08/1981  18.5    3.5    30     23.1   
27/08/1981  126.5   2.1    24.5   23     
28/08/1981  82.5    0.7    23.7   22.9   
29/08/1981  0.5     1.4    27.5   22     
30/08/1981  39.5    3.8    30.8   23     
31/08/1981  0       5.6    31.3   23     
01/09/1981  2.8     5.3    31.5   23.9   
02/09/1981  5.6     2.6    32.3   22.5   
03/09/1981  46.5    2.3    31.2   22.8   
04/09/1981  27.8    3.5    30.7   22.2   
05/09/1981  6.5     2.9    31.5   22.7   
06/09/1981  10.5    5.2    32.6   23.5   
07/09/1981  13.4    3.8    32.5   22.7   
08/09/1981  1.5     5.5    32.1   22.6   
09/09/1981  26.5    8.5    32     23.2   
10/09/1981  5       3.9    33.3   21.8   
11/09/1981  1.4     5.4    32.6   22.8   
12/09/1981  0       6.8    32.8   23     
13/09/1981  0.2     2.5    30.8   23.5   
14/09/1981  0       6.5    32.7   23.8   
15/09/1981  7       5.9    33.5   24     
16/09/1981  8       5      33     24     
17/09/1981  4       1.4    28.8   23.9   
18/09/1981  0       4.6    32.5   24     
19/09/1981  0       6.3    32.5   22.6   
20/09/1981  0       5.6    35     23     
21/09/1981  0       6.2    34.4   24.6   
22/09/1981  0       5.9    33.4   23.2   
23/09/1981  0.5     5.7    34.2   23.6   
24/09/1981  7.5     5.2    34.2   23.4   
25/09/1981  3       5.5    33     23.2   
26/09/1981  0       5.9    32.8   22.8   
27/09/1981  13      4      31     23.5   
28/09/1981  0       4.6    31.5   23     
29/09/1981  16.1    5.6    33.5   24     
30/09/1981  0       4.3    32.8   24     
01/10/1981  40.5    3      33.5   24.5   
02/10/1981  79.5    8      31     23     
03/10/1981  5.5     3.4    32     21.5   
04/10/1981  5       5.2    32     24     
05/10/1981  0       3.6    32.5   23.5   
06/10/1981  0       4.5    32.4   23.3   
07/10/1981  0       5.8    32     23.1   
08/10/1981  1.4     1.7    31.5   23.3   
09/10/1981  9.8     5.6    32     23     
10/10/1981  2       4.9    33     22.4   
11/10/1981  1.6     5.4    33.2   23.2   
12/10/1981  5.7     4.7    33.6   23     
13/10/1981  0.3     4.6    32.9   23.4   
14/10/1981  6.6     3.4    32.8   23.2   
15/10/1981  0       4.6    32.3   23.1   
16/10/1981  0       5      32.5   23.1   
17/10/1981  0       5.1    33     24.3   
18/10/1981  0       4.7    31.6   25.5   
19/10/1981  0       5.6    33.8   23     
20/10/1981  0       5      33.5   23.2   
21/10/1981  0       4.8    33     23     
22/10/1981  0       6.7    33.8   23     
23/10/1981  0       5      33.7   21.8   
24/10/1981  29.5    5.9    32     23.2   
25/10/1981  6.4     1.7    29     23.5   
26/10/1981  3       4.3    32     23.2   
27/10/1981  7.8     2.8    31.2   23.8   
28/10/1981  0       4.2    31.5   23.5   
29/10/1981  7.7     5.5    31     23.2   
30/10/1981  0       4.8    32     22.1   
31/10/1981  0       5.2    33     23.7   
01/11/1981  0       6.3    32     23.4   
02/11/1981  0       3.8    32.3   23     
03/11/1981  0       4.5    32.7   22.8   
04/11/1981  0       3.2    30.9   22.8   
05/11/1981  0       4.8    32.2   22.8   
06/11/1981  0       4.8    32.2   22.7   
07/11/1981  0       4.5    33     24     
08/11/1981  0       4.8    32.7   24     
09/11/1981  0       4.2    33.8   24     
10/11/1981  0       4.9    32.7   23.7   
11/11/1981  0       4.6    33.5   22.5   
12/11/1981  0       4.4    32.8   22.8   
13/11/1981  0       3.8    31.9   23     
14/11/1981  0       3.8    32     24     
15/11/1981  0       4.5    32     21     
16/11/1981  0       4.5    33     21.7   
17/11/1981  0       4.2    32.4   21.2   
18/11/1981  0       4.3    31.7   21.8   
19/11/1981  0       4.6    30.5   20.9   
20/11/1981  0       4.9    33.1   20     
21/11/1981  0       4.7    32.9   20.8   
22/11/1981  0       3.7    32.8   19.8   
23/11/1981  0       5.9    32.7   21.7   
24/11/1981  0       5      32.7   21.5   
25/11/1981  0       5.3    33.2   20.8   
26/11/1981  0       4.4    32.8   20.3   
27/11/1981  1.2     4.5    32.7   21.1   
28/11/1981  0       6.8    33     22.1   
29/11/1981  0       5.3    33.2   21     
30/11/1981  0       4.8    33     21     
01/12/1981  0       4.7    33.9   21.5   
02/12/1981  0       3.7    33     21.6   
03/12/1981  0       4.9    34.2   21.8   
04/12/1981  0       4.9    34.4   22.2   
05/12/1981  0       5.6    35     22.3   
06/12/1981  0       4.2    33     21.5   
07/12/1981  0       3.1    31.7   23.2   
08/12/1981  0       3.7    32.8   22     
09/12/1981  0       4.7    32.8   22     
10/12/1981  0       4.7    33.8   21.5   
11/12/1981  0       4.8    33.3   20.5   
12/12/1981  0       3.7    33.6   20.4   
13/12/1981  0       4.2    31.3   20.5   
14/12/1981  0       4      32.7   21.3   
15/12/1981  0       5.3    32.8   21.4   
16/12/1981  0       2.9    32.8   21     
17/12/1981  0       4.5    34     21.3   
18/12/1981  0       3.9    33     21.2   
19/12/1981  0       4.8    33     21.8   
20/12/1981  0       2.6    31.2   20     
21/12/1981  0       4.4    32     20     
22/12/1981  0       4.8    31     19.5   
23/12/1981  0       5      34     20     
24/12/1981  0       5.1    34.2   20     
25/12/1981  0       5.6    34     19.8   
26/12/1981  0       4.9    33.4   19.8   
27/12/1981  0       4.9    33.9   20.8   
28/12/1981  0       4.8    34.6   19.3   
29/12/1981  0       4.8    34     19.7   
30/12/1981  0       4.6    33.6   19.7   
31/12/1981  0       5.1    32.8   20     
01/01/1982  0       5.4    32.2   19     
02/01/1982  0       3.9    32.8   19.8   
03/01/1982  0       4.5    32.8   19     
04/01/1982  0       4.4    31.8   19.1   
05/01/1982  0       4.6    31.8   18.7   
06/01/1982  0       4.5    33.4   19.5   
07/01/1982  0       4.6    34     19.2   
08/01/1982  0       5.1    34     20     
09/01/1982  0       5.9    36.5   20     
10/01/1982  0       3.7    33.5   19.5   
11/01/1982  0       5      34.7   20.3   
12/01/1982  0       4.7    34.6   19.1   
13/01/1982  0       4.8    33.8   18     
14/01/1982  0       4.5    32.7   18.3   
15/01/1982  0       4.8    32.9   18.5   
