CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 12204
NOMBRE    : YEXTLA
ESTADO    : GUERRERO
MUNICIPIO : Leonardo Bravo
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 017.603°
LONGITUD  : -99.933°
ALTITUD   : 1316 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
23/04/1980  0       Nulo   33     16.5   
24/04/1980  0       Nulo   31     16     
25/04/1980  0       Nulo   30     14.5   
26/04/1980  0       Nulo   33     14     
27/04/1980  0       Nulo   32.5   15.5   
28/04/1980  0       Nulo   30.5   18     
29/04/1980  0       Nulo   32     17     
30/04/1980  0       Nulo   33     15     
01/05/1980  0       Nulo   32     16     
02/05/1980  0       Nulo   33     18     
03/05/1980  0       Nulo   32     17     
04/05/1980  0       Nulo   33     16     
05/05/1980  0       Nulo   33     16     
06/05/1980  6       Nulo   30     15.5   
07/05/1980  3.5     Nulo   31     16     
08/05/1980  0       Nulo   32.5   16     
09/05/1980  0       Nulo   33     16.5   
10/05/1980  0       Nulo   34     17     
11/05/1980  0       Nulo   33.5   19     
12/05/1980  0       Nulo   34     18.5   
13/05/1980  0       Nulo   33.5   18     
14/05/1980  0       Nulo   31     18.5   
15/05/1980  0       Nulo   33.5   18     
16/05/1980  0       Nulo   33     19     
17/05/1980  0       Nulo   30     17     
18/05/1980  7.5     Nulo   33     18     
19/05/1980  6.5     Nulo   31     20     
20/05/1980  9.5     Nulo   31     17     
21/05/1980  4.5     Nulo   30     18     
22/05/1980  0       Nulo   30     17     
23/05/1980  0       Nulo   31     19     
24/05/1980  0       Nulo   30     18     
25/05/1980  0       Nulo   31     18     
26/05/1980  9.5     Nulo   31     16     
27/05/1980  0       Nulo   32     17     
28/05/1980  0       Nulo   30     17     
29/05/1980  0       Nulo   30     16     
30/05/1980  0       Nulo   33     18     
31/05/1980  0       Nulo   34     18     
01/06/1980  0       Nulo   32     21     
02/06/1980  0       Nulo   32     20     
03/06/1980  1       Nulo   34     19     
04/06/1980  0       Nulo   33     19     
05/06/1980  1.5     Nulo   32     15     
06/06/1980  4.5     Nulo   32     18     
07/06/1980  0       Nulo   32     20     
