CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 12216
NOMBRE    : ESCUELA SEC. IGUALA DE LA INDE
ESTADO    : GUERRERO
MUNICIPIO : Iguala de la Independencia
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 018.35°
LONGITUD  : -99.533°
ALTITUD   : 871 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1983  0       Nulo   Nulo   Nulo   
02/01/1983  0       Nulo   32     14     
03/01/1983  0       4.7    30     18.5   
04/01/1983  0       4.9    31     17.5   
05/01/1983  0       3.9    32     18     
06/01/1983  0       4.7    32.5   15.5   
07/01/1983  0       6.8    32     16     
08/01/1983  0       7.6    32     16     
09/01/1983  0       5.2    33     15     
10/01/1983  0       4.6    32.5   16     
11/01/1983  0       6      32.5   16.5   
12/01/1983  0       Nulo   31     17     
13/01/1983  0       4      28     16     
14/01/1983  0       4.1    30.5   14     
15/01/1983  0       6.3    30.5   14     
16/01/1983  0       4.9    28     13     
17/01/1983  0       6.6    31     12     
18/01/1983  9.5     4.6    29.5   13     
19/01/1983  0       5.4    27.5   13.5   
20/01/1983  0       7.6    28.5   13     
21/01/1983  0       4.4    29     11     
22/01/1983  0       5.8    30     9.5    
23/01/1983  0       7.4    31     8.5    
24/01/1983  0       6.2    31     9.5    
25/01/1983  0       5.3    30.5   8.5    
26/01/1983  0       6.3    31     10     
27/01/1983  0       6.2    32     11.5   
28/01/1983  0       5.1    30.5   11     
29/01/1983  0       5.2    33     11.5   
30/01/1983  0       6.6    32     11     
31/01/1983  0       8.1    32     11.5   
01/02/1983  0       8.1    34     13     
02/02/1983  0       6      32.5   11     
03/02/1983  0       8.8    33     13     
04/02/1983  0       4.7    33     13     
05/02/1983  0       7.5    33     14     
06/02/1983  0       7.9    33.5   14     
07/02/1983  0       7.1    33     13.5   
08/02/1983  0       7.1    31.5   11     
09/02/1983  0       8.1    32.2   12.5   
10/02/1983  0       Nulo   32.5   13     
11/02/1983  8       5.1    25     15     
12/02/1983  0       5.7    26     14     
13/02/1983  0       4.6    28     11.8   
14/02/1983  0       10.4   30.8   11.1   
15/02/1983  0       7.6    31     11.5   
16/02/1983  0       8      32     11.5   
17/02/1983  0       6.8    33     12     
18/02/1983  0       7.6    31     13.8   
19/02/1983  0       10     31     12.5   
20/02/1983  0       9.9    31.5   13     
21/02/1983  0       Nulo   33.5   13     
22/02/1983  0       3.2    28     14.5   
23/02/1983  0       8.1    33     12     
24/02/1983  3       Nulo   32.5   11     
25/02/1983  10      9.2    25.2   13.7   
26/02/1983  0       7.2    29.5   11.8   
27/02/1983  0       8.7    31.6   10.8   
28/02/1983  0       6.3    33.5   11.5   
01/03/1983  0       7.9    34.5   12.5   
02/03/1983  0       11.4   35.5   13.5   
03/03/1983  0       10.6   35.5   15     
04/03/1983  0       12.8   35.5   17     
05/03/1983  0       10.5   35     15     
06/03/1983  0       10.6   36     13.5   
07/03/1983  0       10.2   35.5   12.5   
08/03/1983  0       Nulo   35     12.5   
09/03/1983  0       8.7    35.5   14     
10/03/1983  0       7.8    34.5   15     
11/03/1983  0       10.6   34.5   16.5   
12/03/1983  0       3.4    29     18.5   
13/03/1983  2.7     2.9    24.5   15     
14/03/1983  0       6.7    29.5   14     
15/03/1983  0       12.3   32.5   12     
16/03/1983  0       11.7   34     15     
17/03/1983  0       7.1    35     16     
18/03/1983  0       8.8    36     14     
19/03/1983  0       12.1   35     16     
20/03/1983  0       11.1   36     15     
21/03/1983  0       12.1   37     15     
22/03/1983  0       9      36     15     
23/03/1983  0       9.8    37     17.5   
24/03/1983  0       12.9   38     16.5   
25/03/1983  0       11.9   36     17     
26/03/1983  0       12     36     17     
27/03/1983  0       12.2   36     17     
28/03/1983  0       12.4   36     16.5   
29/03/1983  0       14.2   37     18     
30/03/1983  0       13.9   37     18     
31/03/1983  0       10.1   37     18     
01/04/1983  0       11.8   36     19     
02/04/1983  0       10.9   37     18     
03/04/1983  0       15     31     17.5   
04/04/1983  0       9.9    35     16     
05/04/1983  0       10.2   35     15     
06/04/1983  0       9.9    35     17.5   
07/04/1983  0       11.6   36     19     
08/04/1983  0       7.8    36     17     
09/04/1983  0       13.9   36     17     
10/04/1983  0       10.2   35     17     
11/04/1983  0       13     37     17     
12/04/1983  0       14.4   36     17.5   
13/04/1983  0       13.6   36     19.5   
14/04/1983  0       13.8   37     18.5   
15/04/1983  0       10     37     20.5   
16/04/1983  0       10.1   37     19.5   
17/04/1983  0       9.9    37     20.5   
18/04/1983  0       12.4   38     20.5   
19/04/1983  0       12.6   39     19     
20/04/1983  0       9.7    39     20.5   
21/04/1983  0       11.3   39.5   20.5   
22/04/1983  0       10.7   40.5   20.5   
23/04/1983  0       15.6   40.5   20.5   
24/04/1983  0       5.7    38.5   21     
25/04/1983  0       11.4   37     21.5   
26/04/1983  0       10.7   38.5   19.5   
27/04/1983  0       6.2    39     18     
28/04/1983  0       8.1    38.5   19     
29/04/1983  0       9.8    38     20.5   
30/04/1983  0       10.7   38.5   20     
01/05/1983  0       9.6    38.5   21     
02/05/1983  0       11.5   39     22     
03/05/1983  0       10.1   38.5   21.5   
04/05/1983  0       12.4   38     20.5   
05/05/1983  0       7.8    39     22     
06/05/1983  0       11.2   40     22     
07/05/1983  0       10.8   40     23     
08/05/1983  0       8.8    39     23     
09/05/1983  0       9.1    39     22     
10/05/1983  0       9.4    40     23     
11/05/1983  0       8.3    39     22.5   
12/05/1983  0       11.2   39     23     
13/05/1983  0       9.6    39.5   20.5   
14/05/1983  0       9.7    37.5   20.5   
15/05/1983  0       10.5   41.5   22.5   
16/05/1983  0       8      38.5   23     
17/05/1983  0       9.7    39.5   24     
18/05/1983  0       10.6   39.5   23     
19/05/1983  0       10     39.5   23     
20/05/1983  0       13     40     23     
21/05/1983  0       10.6   40.5   23.5   
22/05/1983  0       9.9    40.5   25     
23/05/1983  0       9.1    38     24     
24/05/1983  0       5.4    34     26     
25/05/1983  5.1     5.6    30.5   22.5   
26/05/1983  0       3.3    31     20.5   
27/05/1983  0       8      34     21.5   
28/05/1983  0       11.8   36.5   21     
29/05/1983  0       12.6   37     21     
30/05/1983  0       10.9   37     21.5   
31/05/1983  0       13.2   37.5   19     
01/06/1983  0       13.1   38.5   19.5   
02/06/1983  0       9.6    39.5   22     
03/06/1983  0       10.8   37.5   21     
04/06/1983  0       11.3   39     22     
05/06/1983  0       6.1    39     22.5   
06/06/1983  0       8.6    39     25     
07/06/1983  26.5    Nulo   39     26     
08/06/1983  5.5     9.7    35     21.5   
09/06/1983  0       10.7   35     24     
10/06/1983  0       7.5    36.5   22.5   
11/06/1983  0       11.4   37.5   23     
12/06/1983  5       Nulo   39.5   25     
13/06/1983  0       10.6   37.5   21     
14/06/1983  3.2     9.4    34     21     
15/06/1983  5       7.9    34     22     
16/06/1983  0       5.9    33     22     
17/06/1983  21      Nulo   35.5   23     
18/06/1983  0       8.6    34     20.5   
19/06/1983  0       8.4    37     22     
20/06/1983  37      Nulo   36.5   24     
21/06/1983  0       7.9    32     20     
22/06/1983  0       5.3    31.5   20     
23/06/1983  29      Nulo   34     22     
24/06/1983  36.5    Nulo   29     20     
25/06/1983  0       6.1    30.5   20.5   
26/06/1983  7.5     8.8    33.5   22     
27/06/1983  0       6.3    32.5   21     
28/06/1983  0       7.8    34     23.5   
29/06/1983  0       6.3    34.5   24     
30/06/1983  0       6.8    32     22     
01/07/1983  16      10.6   33     22     
02/07/1983  0       6      31     20     
03/07/1983  10      6      31     21     
04/07/1983  20      3.2    29     20     
05/07/1983  69.5    Nulo   29.5   20     
06/07/1983  0       6.6    31     20     
07/07/1983  0       6.9    33     20     
08/07/1983  0       9      32     20     
09/07/1983  0       8.1    30     22     
10/07/1983  0       10     32.5   20     
11/07/1983  17      11     32     21     
12/07/1983  2.5     6.5    32     21     
13/07/1983  3       4.9    31     22     
14/07/1983  0       4.6    31     20     
15/07/1983  0       6.4    32     21.5   
16/07/1983  0       7.1    31     22     
17/07/1983  1.5     6.4    32     22     
18/07/1983  1       6.9    32     21.5   
19/07/1983  0       7      32.5   21     
20/07/1983  0       5.9    31     21.5   
21/07/1983  0       7      31.5   21     
22/07/1983  0       5.9    32.5   20     
23/07/1983  0       9.1    33     22     
24/07/1983  0       9.1    34     23     
25/07/1983  0       8.9    34     20     
26/07/1983  0       8.8    33.5   20.5   
27/07/1983  16      9.2    36.5   23     
28/07/1983  0       6.9    35.5   22     
29/07/1983  14.5    7.8    33.5   19.5   
30/07/1983  15      10.8   33     19.5   
31/07/1983  0       5.8    31     21     
01/08/1983  0       5.8    33     19.5   
02/08/1983  23      6.1    31.5   20     
03/08/1983  27.5    8.2    31     19     
04/08/1983  6.5     6.1    29     19.5   
05/08/1983  2       4.1    31     19.5   
06/08/1983  1.5     5.2    31     21     
07/08/1983  0       7.3    31     21     
08/08/1983  0       4.9    31     20.5   
09/08/1983  1       5.7    31     22     
10/08/1983  1       4.4    32     20.5   
11/08/1983  15.5    7.3    33     21     
12/08/1983  0       3.2    31     20     
13/08/1983  55.7    2.2    30.5   21     
14/08/1983  1.5     6.1    29     20     
