CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 13010
NOMBRE    : GENERAL PEDRO MARIA ANAYA
ESTADO    : HIDALGO
MUNICIPIO : Tepetitlán
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 020.155°
LONGITUD  : -99.348°
ALTITUD   : 2040 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/08/1952  0       Nulo   23     15     
02/08/1952  0       Nulo   23     16     
03/08/1952  6       Nulo   21.8   17     
04/08/1952  26      Nulo   22     18     
05/08/1952  6       Nulo   21.5   17     
06/08/1952  0       Nulo   22     16.8   
07/08/1952  0       Nulo   22     16.8   
08/08/1952  0       Nulo   23.5   16     
09/08/1952  0       Nulo   24.6   16.8   
10/08/1952  0       Nulo   22     15.6   
11/08/1952  1.5     Nulo   22.8   17.8   
12/08/1952  1       Nulo   22.4   18     
13/08/1952  0       Nulo   22.8   17     
14/08/1952  3       Nulo   23.5   17     
15/08/1952  9       Nulo   23.8   17.3   
16/08/1952  0       Nulo   23.7   18     
17/08/1952  1       Nulo   22.6   17     
18/08/1952  0       Nulo   23     17.6   
19/08/1952  0       Nulo   22.8   18     
20/08/1952  1.5     Nulo   23.6   17     
21/08/1952  0       Nulo   23.4   16     
22/08/1952  22      Nulo   24     17     
23/08/1952  0       Nulo   23     15     
24/08/1952  0       Nulo   20     16.6   
25/08/1952  0       Nulo   24.5   17     
26/08/1952  0       Nulo   23     17.5   
27/08/1952  0       Nulo   23.6   18     
28/08/1952  0       Nulo   24     17     
29/08/1952  0       Nulo   24     16     
30/08/1952  8.5     Nulo   24.8   17     
31/08/1952  0       Nulo   22.8   17     
01/09/1952  0       Nulo   24.5   18     
02/09/1952  1       Nulo   23.8   17     
03/09/1952  0       Nulo   22     17.6   
04/09/1952  0       Nulo   21     17.4   
05/09/1952  0       Nulo   22     17     
06/09/1952  0       Nulo   22     17     
07/09/1952  0       Nulo   21.5   16.8   
08/09/1952  0       Nulo   22     16     
09/09/1952  0       Nulo   23.8   15.4   
10/09/1952  0       Nulo   24     17.6   
11/09/1952  2       Nulo   20.8   17     
12/09/1952  1       Nulo   23     17.5   
13/09/1952  3.8     Nulo   20.8   17     
14/09/1952  7       Nulo   21.8   18.6   
15/09/1952  31.5    Nulo   20     17     
16/09/1952  17.3    Nulo   20     17     
17/09/1952  2       Nulo   21     17     
18/09/1952  8       Nulo   22.5   17     
19/09/1952  2.5     Nulo   23     15.8   
20/09/1952  0       Nulo   22     19     
21/09/1952  1       Nulo   21     16     
22/09/1952  3.5     Nulo   20     16.5   
23/09/1952  3.5     Nulo   17     17     
24/09/1952  1.5     Nulo   25.8   15     
25/09/1952  1.2     Nulo   16.6   14     
26/09/1952  0       Nulo   17     13.5   
27/09/1952  0       Nulo   19     12.8   
28/09/1952  0       Nulo   22.6   13.8   
29/09/1952  0       Nulo   22.6   14.8   
30/09/1952  1.2     Nulo   21     16.5   
01/10/1952  0.5     Nulo   22     16.8   
02/10/1952  0       Nulo   18.6   18     
03/10/1952  0       Nulo   20.4   15.8   
04/10/1952  0       Nulo   21     14     
05/10/1952  0       Nulo   22.8   16.5   
06/10/1952  0       Nulo   23.5   16.4   
07/10/1952  0       Nulo   19.6   16.6   
08/10/1952  0       Nulo   21     14.6   
09/10/1952  0       Nulo   20     12.8   
10/10/1952  0       Nulo   20     12     
11/10/1952  0       Nulo   20     14.2   
12/10/1952  0       Nulo   20.5   9.8    
13/10/1952  0       Nulo   21.6   9.8    
14/10/1952  0       Nulo   21.2   9      
15/10/1952  0       Nulo   20.6   10     
16/10/1952  0       Nulo   20     10.8   
17/10/1952  0       Nulo   20     12     
18/10/1952  0       Nulo   20     7.8    
19/10/1952  0       Nulo   18.8   10     
20/10/1952  0       Nulo   18     10     
21/10/1952  0       Nulo   18.4   9.2    
22/10/1952  0       Nulo   19.8   8.8    
23/10/1952  0       Nulo   18.2   9      
24/10/1952  0       Nulo   18.6   10     
25/10/1952  0       Nulo   18     9      
26/10/1952  0       Nulo   19.5   10.2   
27/10/1952  0       Nulo   20     11     
28/10/1952  0       Nulo   17.5   10     
29/10/1952  0       Nulo   17.5   9      
30/10/1952  0       Nulo   19.2   9      
31/10/1952  0       Nulo   22     8.4    
01/11/1952  0       Nulo   22     12.4   
02/11/1952  0       Nulo   22.8   12.4   
03/11/1952  2       Nulo   21     12.2   
04/11/1952  1       Nulo   18     13     
05/11/1952  0       Nulo   20.5   15     
06/11/1952  0       Nulo   20.5   13.3   
07/11/1952  0       Nulo   21     15.6   
08/11/1952  0       Nulo   21.8   15     
09/11/1952  0       Nulo   23     15     
10/11/1952  1.3     Nulo   22.8   14     
11/11/1952  9       Nulo   18.5   17     
12/11/1952  0       Nulo   22     16     
13/11/1952  0       Nulo   20.8   14     
14/11/1952  0       Nulo   23     15     
15/11/1952  0       Nulo   22     13.8   
16/11/1952  0       Nulo   22.5   13     
17/11/1952  0       Nulo   23     18     
18/11/1952  0       Nulo   22     16     
19/11/1952  0       Nulo   22     16.4   
20/11/1952  0       Nulo   20     14     
21/11/1952  0       Nulo   20.5   9      
22/11/1952  0       Nulo   22     13     
23/11/1952  0       Nulo   22     15     
24/11/1952  0       Nulo   25.8   15     
25/11/1952  0       Nulo   22.4   14.8   
26/11/1952  0       Nulo   20     15     
27/11/1952  0       Nulo   20.8   13.5   
28/11/1952  0       Nulo   20.5   14     
29/11/1952  0       Nulo   20     12.8   
30/11/1952  0       Nulo   20.8   13     
01/12/1952  0       Nulo   21.2   13     
02/12/1952  0       Nulo   20     13     
03/12/1952  9.5     Nulo   20     14     
04/12/1952  0       Nulo   19.8   14     
05/12/1952  0       Nulo   15     10.6   
06/12/1952  0       Nulo   18     9      
07/12/1952  0       Nulo   23     9.6    
08/12/1952  0       Nulo   22     11     
09/12/1952  0       Nulo   23     14     
10/12/1952  0       Nulo   22.2   13     
11/12/1952  0       Nulo   21.2   12     
12/12/1952  0       Nulo   20     13     
13/12/1952  0       Nulo   23.6   13     
14/12/1952  0       Nulo   20.5   13     
15/12/1952  0       Nulo   18.6   10     
16/12/1952  0       Nulo   19     9.3    
17/12/1952  0       Nulo   20     9.5    
18/12/1952  0       Nulo   21     11     
19/12/1952  0       Nulo   18     12     
20/12/1952  0       Nulo   22     11.6   
21/12/1952  0       Nulo   21     13     
22/12/1952  0       Nulo   21     11.4   
23/12/1952  0       Nulo   21.4   10     
24/12/1952  0       Nulo   18.5   9      
25/12/1952  0       Nulo   17.8   13     
26/12/1952  0       Nulo   19     13.2   
27/12/1952  0       Nulo   19.8   12.8   
28/12/1952  0       Nulo   20     13     
29/12/1952  0       Nulo   18.8   13     
30/12/1952  0       Nulo   18     14.6   
31/12/1952  0       Nulo   17.8   12     
01/01/1953  0       Nulo   19     11.5   
02/01/1953  0       Nulo   19.8   12     
03/01/1953  0       Nulo   17     12.6   
04/01/1953  0       Nulo   17     10     
05/01/1953  0       Nulo   18     9.8    
06/01/1953  0       Nulo   19     10     
07/01/1953  0       Nulo   18.2   10.6   
08/01/1953  0       Nulo   20     12.5   
09/01/1953  0       Nulo   18     11.5   
10/01/1953  0       Nulo   18.4   11.5   
11/01/1953  0       Nulo   17.9   10.5   
12/01/1953  0       Nulo   15.6   10     
13/01/1953  0       Nulo   17.8   9      
14/01/1953  0       Nulo   18.4   8      
15/01/1953  0       Nulo   19     8.6    
16/01/1953  0       Nulo   19     9.8    
17/01/1953  0       Nulo   18.8   11     
18/01/1953  0       Nulo   19.4   11.8   
19/01/1953  0       Nulo   23.4   11.5   
20/01/1953  0       Nulo   22.5   12     
21/01/1953  0       Nulo   19     13     
22/01/1953  0       Nulo   21.5   15     
23/01/1953  0       Nulo   19     14.5   
24/01/1953  0       Nulo   17.8   14     
25/01/1953  0       Nulo   17.6   10     
