CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 13034
NOMBRE    : TENANGO DE DORIA
ESTADO    : HIDALGO
MUNICIPIO : Tenango de Doria
SITUACION : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 020.342°
LONGITUD  : -98.217°
ALTITUD   : 1691 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
20/12/1941  0       Nulo   18     Nulo   
21/12/1941  0       Nulo   19     9      
22/12/1941  0       Nulo   25.5   10     
23/12/1941  10      Nulo   24.5   14.5   
24/12/1941  0       Nulo   23.5   9.5    
25/12/1941  12      Nulo   25.5   13.5   
26/12/1941  3.5     Nulo   12     10     
27/12/1941  3.5     Nulo   14     10     
28/12/1941  4.5     Nulo   10.5   10     
29/12/1941  0       Nulo   15     9      
30/12/1941  0       Nulo   20     10     
31/12/1941  0       Nulo   22.5   11.5   
01/01/1942  0       Nulo   26.5   13     
02/01/1942  0       Nulo   26.4   12     
03/01/1942  0       Nulo   25     12.8   
04/01/1942  0       Nulo   21.8   10.5   
05/01/1942  2.8     Nulo   15.2   11     
06/01/1942  0       Nulo   16.8   10.6   
07/01/1942  3       Nulo   20     10     
08/01/1942  2.7     Nulo   13     9      
09/01/1942  3.4     Nulo   24     8      
10/01/1942  3.5     Nulo   12     3.5    
11/01/1942  3.5     Nulo   7.5    3.8    
12/01/1942  3       Nulo   12     5.5    
13/01/1942  0       Nulo   12.5   6      
14/01/1942  1       Nulo   14.5   6.5    
15/01/1942  10.5    Nulo   11.5   8      
16/01/1942  0       Nulo   13     8.8    
17/01/1942  0       Nulo   16     7      
18/01/1942  0       Nulo   20     6.5    
19/01/1942  4.5     Nulo   14.5   8      
20/01/1942  13.5    Nulo   10.5   9      
21/01/1942  4       Nulo   8.5    6      
22/01/1942  1       Nulo   8      5.5    
23/01/1942  0       Nulo   13.8   4      
