CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 13048
NOMBRE    : TLANCHINOL (SMN)
ESTADO    : HIDALGO
MUNICIPIO : Tlanchinol
SITUACION : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 020.992°
LONGITUD  : -98.659°
ALTITUD   : 1542 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
11/02/1985  2.3     Nulo   18     Nulo   
12/02/1985  0       Nulo   19     4      
13/02/1985  0       Nulo   16.5   8      
14/02/1985  1.5     Nulo   20     8      
15/02/1985  0       Nulo   16     9      
16/02/1985  0       Nulo   19     10     
17/02/1985  0       Nulo   23     9      
18/02/1985  1.9     1.5    21     12     
19/02/1985  1.5     1.8    18     11     
20/02/1985  0       1.1    17     10     
21/02/1985  0       1.2    20     13     
22/02/1985  0       1      20     13     
23/02/1985  0       4      24     14     
24/02/1985  1.8     0.1    18     14     
25/02/1985  0       0.6    12     8      
26/02/1985  2.5     1.5    16     11     
27/02/1985  9.5     2.4    15     11     
28/02/1985  1.9     3.6    18     9      
01/03/1985  0       1.1    21     11     
02/03/1985  0       2.1    20     11     
03/03/1985  0       4.1    23     13     
04/03/1985  1.9     3.6    26     15     
05/03/1985  3.3     1      19     11     
06/03/1985  3.5     2.1    19     11     
07/03/1985  0       1      18     12     
08/03/1985  1.5     1.3    18.5   11     
09/03/1985  2.2     0.9    17     12     
10/03/1985  0       2.5    19     11     
11/03/1985  0       2.6    23     12     
12/03/1985  0       5      23     13     
13/03/1985  0       2.2    26     13     
14/03/1985  4.5     4.6    25     10     
15/03/1985  1.2     3.3    24     11     
16/03/1985  3.5     3.9    21.5   12     
17/03/1985  9.5     0.8    21     9      
18/03/1985  3.3     1.3    20     9      
19/03/1985  0       0.8    22     9      
20/03/1985  1.5     0.5    27     9      
21/03/1985  1.8     0.3    18     8      
22/03/1985  0       2.9    20     10     
23/03/1985  0       4.7    22     10     
24/03/1985  1.1     4.2    21     13     
25/03/1985  0       3.7    22     14     
26/03/1985  0       5.5    27     14     
27/03/1985  0       3.8    24     15     
28/03/1985  0       3.8    26     16     
29/03/1985  0       4.6    30     17     
30/03/1985  2.8     6.4    30     20     
31/03/1985  0       5.7    21     10     
01/04/1985  0       3.7    20     9      
02/04/1985  0       2.4    17     9      
03/04/1985  0       5.2    29     9      
04/04/1985  0       5.8    29     13     
05/04/1985  0       6.7    28     20     
06/04/1985  0       6.1    25     18     
07/04/1985  36.2    5      24     15     
08/04/1985  68.5    6.3    19     13     
09/04/1985  6.5     6.7    16     12     
10/04/1985  1.5     6.6    16     12     
11/04/1985  6.8     6.3    18     10     
12/04/1985  34.7    4.3    20     13     
13/04/1985  21.3    4.7    19     12     
14/04/1985  1.3     6.8    19     12     
15/04/1985  0       4.5    19     13     
16/04/1985  0       2.9    26     14     
17/04/1985  0       2.9    19     13     
18/04/1985  0       4.1    22     14     
19/04/1985  0       0.9    23     15     
20/04/1985  0       5.2    25     15     
21/04/1985  0       2.5    25     16     
22/04/1985  0       3.9    26     16     
23/04/1985  11.7    4.9    28     18     
24/04/1985  2.5     2.2    24     15     
