CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 13066
NOMBRE    : C.E.T.A. 006 MOLANGO
ESTADO    : HIDALGO
MUNICIPIO : Molango de Escamilla
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 020.794°
LONGITUD  : -98.734°
ALTITUD   : 1720 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
16/05/1973  6       Nulo   17     11     
17/05/1973  5       Nulo   17     8      
18/05/1973  9       Nulo   16     12     
19/05/1973  9       Nulo   19     12     
20/05/1973  0       Nulo   24     14     
21/05/1973  0       Nulo   27     17     
22/05/1973  0       Nulo   26     8      
23/05/1973  0       Nulo   28     4      
24/05/1973  0       Nulo   21     8      
25/05/1973  0       Nulo   29     9      
26/05/1973  0       Nulo   33     5      
27/05/1973  0       Nulo   30     12     
28/05/1973  1       Nulo   36     6      
29/05/1973  1       Nulo   27     7      
30/05/1973  4.5     Nulo   23     7      
31/05/1973  0       Nulo   27     7      
01/06/1973  0       Nulo   25     14     
02/06/1973  0       Nulo   22     14     
03/06/1973  0       Nulo   23     13     
04/06/1973  0       Nulo   27     15     
05/06/1973  0       Nulo   26     14     
06/06/1973  0.8     Nulo   20     17     
07/06/1973  0       Nulo   23     12     
08/06/1973  1       Nulo   24     16     
09/06/1973  29      Nulo   23     14     
10/06/1973  0.6     Nulo   23     12     
11/06/1973  0       Nulo   25     11     
12/06/1973  0       Nulo   27     13     
13/06/1973  0       Nulo   27     15     
14/06/1973  0       Nulo   26     14     
15/06/1973  0       Nulo   26     18     
16/06/1973  0       Nulo   22     19     
17/06/1973  0       Nulo   23     18     
18/06/1973  0       Nulo   24     17     
19/06/1973  0       Nulo   21     14     
20/06/1973  46      Nulo   22     18     
21/06/1973  45      Nulo   24     14     
22/06/1973  48.5    Nulo   17     14     
23/06/1973  9.6     Nulo   18     16     
24/06/1973  18.5    Nulo   21     15     
25/06/1973  3.5     Nulo   23     16     
26/06/1973  6.2     Nulo   19     17     
27/06/1973  13      Nulo   23     15     
28/06/1973  3       Nulo   22     14     
29/06/1973  0       Nulo   21     15     
30/06/1973  5.6     Nulo   23     17     
01/07/1973  3.2     Nulo   24     10     
02/07/1973  7       Nulo   23     10     
03/07/1973  43.4    Nulo   22.5   12     
04/07/1973  7.6     Nulo   22.5   11     
05/07/1973  2.5     Nulo   18.5   15.5   
06/07/1973  2.2     Nulo   22     15     
07/07/1973  5.3     Nulo   25.5   15     
08/07/1973  18.5    Nulo   23     15.5   
09/07/1973  3       Nulo   21.5   16     
10/07/1973  2.6     Nulo   21     12.5   
11/07/1973  0       Nulo   23     14     
12/07/1973  0       Nulo   23     15     
13/07/1973  0       Nulo   23     15     
14/07/1973  8.6     Nulo   24.5   17.5   
15/07/1973  0       Nulo   25     16.5   
16/07/1973  2.5     Nulo   24     15.5   
17/07/1973  0       Nulo   25     15     
18/07/1973  0       Nulo   23     19     
19/07/1973  11      Nulo   21.5   14.5   
20/07/1973  4       Nulo   22.5   13.5   
21/07/1973  0       Nulo   22.5   14.5   
22/07/1973  15      Nulo   24     16     
23/07/1973  45.7    Nulo   22     14     
24/07/1973  10      Nulo   23     16     
25/07/1973  24      Nulo   20     15     
26/07/1973  10.4    Nulo   18.5   15.5   
27/07/1973  0       Nulo   21.5   14     
28/07/1973  0       Nulo   24     16     
29/07/1973  0       Nulo   23.5   13     
30/07/1973  0       Nulo   24     16     
31/07/1973  0       Nulo   25     15.5   
01/08/1973  0       Nulo   25     15     
02/08/1973  0       Nulo   24     15     
03/08/1973  6.3     Nulo   25     14     
04/08/1973  5.9     Nulo   24.5   15     
05/08/1973  5.5     Nulo   18.5   11     
06/08/1973  25.5    Nulo   17.5   10     
07/08/1973  18      Nulo   23     14     
08/08/1973  13.2    Nulo   30     16     
09/08/1973  4       Nulo   19.5   15     
10/08/1973  7.2     Nulo   23.7   16     
11/08/1973  9.5     Nulo   21.5   15     
12/08/1973  8.5     Nulo   20.5   15     
13/08/1973  7.2     Nulo   18.5   12.3   
14/08/1973  4       Nulo   22     15     
15/08/1973  7       Nulo   23.5   5      
16/08/1973  8.2     Nulo   22     14     
17/08/1973  33.2    Nulo   23     16.5   
18/08/1973  51.8    Nulo   20     16.5   
19/08/1973  0       Nulo   22     12.5   
20/08/1973  1.3     Nulo   23     14.5   
21/08/1973  33      Nulo   21     12     
22/08/1973  13      Nulo   21     11     
23/08/1973  0       Nulo   17     12     
24/08/1973  3       Nulo   22     14     
25/08/1973  43.8    Nulo   22     14.7   
26/08/1973  14.5    Nulo   22     16     
27/08/1973  33.3    Nulo   20     16     
28/08/1973  20      Nulo   19     15     
29/08/1973  17.6    Nulo   18     16     
30/08/1973  7.5     Nulo   20.5   15     
31/08/1973  0.7     Nulo   22     14     
01/09/1973  0       Nulo   22     14     
02/09/1973  5.7     Nulo   23.5   13.5   
03/09/1973  0.3     Nulo   19     15     
04/09/1973  0.8     Nulo   22     16     
05/09/1973  0       Nulo   23     15     
06/09/1973  0       Nulo   26     15     
07/09/1973  0       Nulo   25     17     
08/09/1973  2.5     Nulo   24     16     
09/09/1973  0       Nulo   24     15     
10/09/1973  3.7     Nulo   24     15     
11/09/1973  9.4     Nulo   24     15.5   
12/09/1973  0       Nulo   22.7   15.5   
13/09/1973  0       Nulo   27.5   16     
14/09/1973  0.4     Nulo   28     17     
15/09/1973  1       Nulo   25     15     
16/09/1973  5       Nulo   23     15     
17/09/1973  3       Nulo   22     15     
18/09/1973  0.4     Nulo   25     16.5   
19/09/1973  0       Nulo   22.5   13     
20/09/1973  0       Nulo   21.5   13.3   
21/09/1973  0       Nulo   24     13.5   
22/09/1973  1       Nulo   23     15     
23/09/1973  0       Nulo   23     14     
24/09/1973  0       Nulo   23     14.5   
25/09/1973  4       Nulo   24.5   16     
26/09/1973  6.6     Nulo   25     16.3   
27/09/1973  0.4     Nulo   25     17     
28/09/1973  10.4    Nulo   20.5   15     
29/09/1973  4.2     Nulo   17     15     
30/09/1973  0.2     Nulo   29     16     
01/10/1973  22      Nulo   22     14.5   
02/10/1973  0       Nulo   21.5   13.5   
03/10/1973  0       Nulo   23.5   13     
04/10/1973  4.3     Nulo   24.5   14     
05/10/1973  7.4     Nulo   23.5   12     
06/10/1973  0.3     Nulo   20     16     
07/10/1973  1.6     Nulo   21     14     
08/10/1973  0       Nulo   21.5   13.5   
09/10/1973  1.4     Nulo   23.3   14     
10/10/1973  0.2     Nulo   19.5   16.5   
11/10/1973  2.2     Nulo   22.5   16.5   
12/10/1973  43      Nulo   22.5   16     
13/10/1973  122.3   Nulo   22     16.5   
14/10/1973  51.4    Nulo   16.5   15     
15/10/1973  0.1     Nulo   20     14.5   
16/10/1973  41.7    Nulo   16.5   13.5   
17/10/1973  7.5     Nulo   16     12.5   
18/10/1973  0       Nulo   12.5   11     
19/10/1973  0.4     Nulo   14     12.5   
20/10/1973  0       Nulo   16     11.5   
21/10/1973  0.1     Nulo   18.5   10.5   
22/10/1973  0       Nulo   17     12.5   
23/10/1973  0       Nulo   19     10.5   
24/10/1973  0       Nulo   20.5   12     
25/10/1973  0       Nulo   22     14.5   
26/10/1973  0       Nulo   21.5   12     
27/10/1973  0.4     Nulo   20     14.5   
28/10/1973  0       Nulo   20     15     
29/10/1973  0       Nulo   23     13     
30/10/1973  2.8     Nulo   24.5   11.5   
31/10/1973  0       Nulo   24.5   12     
01/11/1973  0       Nulo   22     12     
02/11/1973  0       Nulo   23     14     
03/11/1973  0       Nulo   28     12.5   
04/11/1973  0       Nulo   19     12.5   
05/11/1973  0       Nulo   23.5   13.5   
06/11/1973  0       Nulo   22     13     
07/11/1973  0       Nulo   21.5   12     
08/11/1973  0       Nulo   23     10.5   
09/11/1973  0       Nulo   24     11     
10/11/1973  0       Nulo   25     11     
11/11/1973  14.1    Nulo   15.5   14     
12/11/1973  4.3     Nulo   20     13.5   
13/11/1973  0.2     Nulo   17     10.5   
14/11/1973  0       Nulo   16     10     
15/11/1973  0       Nulo   20     13     
16/11/1973  0       Nulo   26.5   10.5   
17/11/1973  0       Nulo   20     10     
18/11/1973  0       Nulo   22.5   10     
19/11/1973  0       Nulo   24.5   10     
20/11/1973  0       Nulo   26.5   12.5   
21/11/1973  0       Nulo   18     11.5   
22/11/1973  0       Nulo   24     11     
23/11/1973  0       Nulo   24.5   12     
24/11/1973  0       Nulo   23.5   13     
25/11/1973  0       Nulo   26     14.5   
26/11/1973  0       Nulo   27     15     
27/11/1973  18.1    Nulo   27     11     
28/11/1973  0       Nulo   28     10.5   
29/11/1973  0       Nulo   13     3      
30/11/1973  4.3     Nulo   13.5   4.5    
01/12/1973  4.3     Nulo   12.5   8.5    
02/12/1973  5.2     Nulo   12.5   11     
03/12/1973  0       Nulo   19.5   11     
04/12/1973  0       Nulo   28     11     
05/12/1973  0       Nulo   26.5   10     
06/12/1973  0.4     Nulo   15.5   12     
07/12/1973  10.4    Nulo   16     10     
08/12/1973  26.8    Nulo   11.5   9      
09/12/1973  0       Nulo   13.5   6.5    
10/12/1973  20.5    Nulo   18     7.5    
11/12/1973  31.8    Nulo   10.5   8      
12/12/1973  0       Nulo   14     7.5    
13/12/1973  0       Nulo   21.5   7      
14/12/1973  0       Nulo   23     7      
15/12/1973  0       Nulo   25.5   12     
16/12/1973  8.7     Nulo   27     5.5    
17/12/1973  0       Nulo   7      3      
18/12/1973  0       Nulo   17     6.5    
19/12/1973  0       Nulo   16.5   6.5    
20/12/1973  0       Nulo   6.5    0.5    
21/12/1973  0       Nulo   8.5    0.5    
22/12/1973  0       Nulo   8.5    4.5    
23/12/1973  5       Nulo   21.5   7.5    
24/12/1973  0       Nulo   25.5   16.5   
25/12/1973  0       Nulo   25.5   11     
26/12/1973  0       Nulo   18     9      
27/12/1973  0       Nulo   23     7.5    
28/12/1973  0.8     Nulo   16     9      
29/12/1973  0       Nulo   20     11     
30/12/1973  0       Nulo   17     9      
31/12/1973  0       Nulo   19     11     
01/01/1974  0       Nulo   27     11.5   
02/01/1974  0       Nulo   12     9      
03/01/1974  0.4     Nulo   27     9      
04/01/1974  0       Nulo   18     7      
05/01/1974  0       Nulo   15     6.5    
06/01/1974  0       Nulo   24.5   9      
07/01/1974  0       Nulo   24     8      
08/01/1974  0       Nulo   22     11     
09/01/1974  0       Nulo   23     10     
10/01/1974  0       Nulo   22.5   10.5   
11/01/1974  21.5    Nulo   23     10     
12/01/1974  26.5    Nulo   22     10     
13/01/1974  1.2     Nulo   13.5   11.5   
14/01/1974  0       Nulo   13     7.5    
15/01/1974  0       Nulo   16.5   10     
16/01/1974  0       Nulo   18.5   9      
17/01/1974  0       Nulo   19     9      
18/01/1974  0       Nulo   23.5   9      
19/01/1974  0       Nulo   26.5   9      
20/01/1974  0       Nulo   22.5   12     
21/01/1974  0       Nulo   26.5   10     
22/01/1974  0       Nulo   23     10     
23/01/1974  0       Nulo   23     9      
24/01/1974  2.3     Nulo   22     9      
