CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 13101
NOMBRE    : SAN BARTOLO
ESTADO    : HIDALGO
MUNICIPIO : Chapantongo
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.233°
LONGITUD  : -99.483°
ALTITUD   : 2282 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1974  0       3.7    16     4      
02/01/1974  0       3.3    15     4      
03/01/1974  0       2.9    17     4.5    
04/01/1974  0       3.1    15     4.5    
05/01/1974  0       4      16.5   4      
06/01/1974  0.2     2.4    13.5   4.5    
07/01/1974  0       5.3    18.5   4      
08/01/1974  0       3.6    18     5      
09/01/1974  0       4      17.5   4      
10/01/1974  0       4.1    18.5   3      
11/01/1974  0.3     4.1    15     3      
12/01/1974  0.7     1.4    11     4      
13/01/1974  0       3.1    15     8.5    
14/01/1974  0       3.8    16.5   9      
15/01/1974  0.2     3.5    19     5      
16/01/1974  0       4      12     3      
17/01/1974  0       4      18     2      
18/01/1974  0       4.8    17.5   3      
19/01/1974  0       3.5    18.5   3.5    
20/01/1974  0       5.7    18.5   5      
21/01/1974  0       4.4    18     3      
22/01/1974  0       4.1    19     3      
23/01/1974  0       4.4    18     5      
24/01/1974  0.7     2.8    19     6      
25/01/1974  0       2.6    17     2.5    
26/01/1974  0       4.1    16.5   3      
27/01/1974  0       5.9    19.5   5      
28/01/1974  0       4.4    20     6      
29/01/1974  0       4.3    20     5      
30/01/1974  0       4.2    19.5   2.5    
31/01/1974  0       5      15.5   4      
01/02/1974  0       5.9    20     3.5    
02/02/1974  0       5.8    19     5.5    
03/02/1974  0       5.5    15.5   6      
04/02/1974  6.5     1      10     8      
05/02/1974  0       2.4    16.5   7      
06/02/1974  0       5.2    19     4      
07/02/1974  0       4.8    19.5   7      
08/02/1974  2.2     3.7    13     3      
09/02/1974  0       3.3    9      2.5    
10/02/1974  0       3.9    15     2      
11/02/1974  0       5      16.5   2      
12/02/1974  0       3.6    18.5   1      
13/02/1974  0       5.2    20.5   3      
14/02/1974  0       3.9    20     6      
15/02/1974  0       5.8    19.5   6.5    
16/02/1974  0       5.7    20     7      
17/02/1974  0       4.7    21     5      
18/02/1974  0       8.2    20.5   6      
19/02/1974  0       6.6    23.5   4.5    
20/02/1974  0       8.9    20     6.5    
21/02/1974  0       6.8    23     6.5    
22/02/1974  0       4.3    20     5.5    
23/02/1974  0.2     6.9    23     2      
24/02/1974  1.2     2.5    15     2      
25/02/1974  0       2.1    15     4.5    
26/02/1974  0       3.9    18     2      
27/02/1974  0       5.1    22     -0.5   
28/02/1974  0       5.9    21     2      
01/03/1974  0       7.2    21     -0.1   
02/03/1974  0       6.8    23     0      
03/03/1974  0       7      26     0      
04/03/1974  0       7.2    23.5   3.5    
05/03/1974  0       7.6    21     7      
06/03/1974  0       6.9    25     6      
07/03/1974  0       6.3    25     5      
08/03/1974  0       6.7    25     4.5    
