CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 13160
NOMBRE    : TORNACUXTLA
ESTADO    : HIDALGO
MUNICIPIO : San Agustín Tlaxiaca
SITUACION : OPERANDO
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 020.153°
LONGITUD  : -98.87°
ALTITUD   : 2397 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
12/10/1996  0       Nulo   23     7      
13/10/1996  0       Nulo   25     7      
14/10/1996  0       Nulo   27     8.5    
15/10/1996  0       Nulo   28     8      
16/10/1996  0       Nulo   30     8      
17/10/1996  0       Nulo   30     8      
18/10/1996  0       Nulo   30     8.5    
19/10/1996  0       Nulo   30     8.5    
20/10/1996  0       5.8    29     8.5    
21/10/1996  0       3.8    29     10     
22/10/1996  0       4.2    21     10     
23/10/1996  7       3.8    21     10     
24/10/1996  0       3.8    21     10     
25/10/1996  0       3.3    22     10     
26/10/1996  0       3.8    27     10     
27/10/1996  0       4.5    27     10     
28/10/1996  0       3.8    27     9      
29/10/1996  0       4.4    26.6   8.5    
30/10/1996  0       4.8    26     8.5    
31/10/1996  0       3.7    27     8      
01/11/1996  0       4.4    28     9      
02/11/1996  0       2.2    26     11     
03/11/1996  0       0.8    20     10     
04/11/1996  0       4.1    25     7      
05/11/1996  0       2.9    20     6      
06/11/1996  0       4.3    24.5   8.5    
07/11/1996  0       5.1    29     11     
08/11/1996  0       3      19.5   8      
09/11/1996  0       4      21     4      
10/11/1996  0       2.7    19.5   1      
11/11/1996  0       3      21     2      
12/11/1996  0       3.3    19     4      
13/11/1996  0       1.7    18     6      
14/11/1996  0       3.9    19     5      
15/11/1996  0       3.8    25     6      
16/11/1996  0       4.2    27     7      
17/11/1996  0       4.6    26     7      
18/11/1996  0       5      27.5   5.5    
19/11/1996  0       4.8    27     4      
20/11/1996  0       5.2    28.5   6      
21/11/1996  0       7.1    28     8      
22/11/1996  0       5.9    27.5   7      
23/11/1996  0       4.5    26     5.5    
24/11/1996  0       5.4    27     7      
25/11/1996  0       3.1    26     8      
26/11/1996  0       1.1    26     7      
27/11/1996  0       2.9    17     5      
28/11/1996  0       1.9    24     4      
29/11/1996  0.2     4      25.5   7      
30/11/1996  0       4.7    27     8      
01/12/1996  2       2.8    27     10     
02/12/1996  0       3.8    27     9      
03/12/1996  0       3.5    27     8.5    
04/12/1996  0       3.3    23.5   7      
05/12/1996  0       4      28     8      
06/12/1996  0       4.3    26     9      
07/12/1996  0       5.9    26     9      
08/12/1996  0       3.3    22     6.5    
09/12/1996  0       3.5    24     4      
10/12/1996  0       5.2    25.5   6      
11/12/1996  0       5.5    26     6      
12/12/1996  0       6      26     5      
13/12/1996  0       6.6    27     4      
14/12/1996  0       3.7    24     4      
15/12/1996  0       3.4    25     6      
16/12/1996  0       4.9    21     6      
17/12/1996  0       3.8    25     7      
18/12/1996  3       3.6    20     9      
19/12/1996  2.8     0.5    12     8      
20/12/1996  0       2.4    16.5   5      
21/12/1996  0       3.4    20     4      
22/12/1996  0       3.8    24     5      
23/12/1996  0       3.9    24     6      
24/12/1996  0       3      24     6      
25/12/1996  0       2.7    21     4      
26/12/1996  0       2.9    21     6      
27/12/1996  0       3.6    23     6      
28/12/1996  0       3.1    23     3      
29/12/1996  0       3.5    21     7      
30/12/1996  0       3.1    24     6      
31/12/1996  0       3.8    22     6      
01/01/1997  0       3.8    25     5      
02/01/1997  0       4.4    23     6      
03/01/1997  0       4.2    24     6      
04/01/1997  0       5.2    22     6      
05/01/1997  0       5.7    21     6      
06/01/1997  0       6.6    26     7      
