CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A ABRIL 2022

ESTACION  : 14015
NOMBRE    : ATENGUILLO
ESTADO    : JALISCO
MUNICIPIO : ATENGUILLO
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.416°
LONGITUD  : -104.493°
ALTITUD   : 1300 msnm

EMISIÓN   : 19/04/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/10/1950  0       3.7    26.8   16.1   
02/10/1950  4.2     2.6    28.8   15.2   
03/10/1950  5.2     4.9    28.6   12.2   
04/10/1950  0       5.4    27.6   15     
05/10/1950  0       2.9    27.6   14.8   
06/10/1950  0       4.2    27.8   15.4   
07/10/1950  0       4.2    29.8   14.7   
08/10/1950  0       4.3    28     12     
09/10/1950  0       4.2    27.7   14     
10/10/1950  0       3.9    28.6   14.2   
11/10/1950  0       3.9    27.4   13.8   
12/10/1950  0       5.1    27     9.7    
13/10/1950  0       1.5    26.8   13.2   
14/10/1950  0       2.5    28     14.4   
15/10/1950  0       3.9    28.2   12.2   
16/10/1950  0       5.4    27     11.2   
17/10/1950  0       5.3    27.8   9      
18/10/1950  0       3.8    29.2   11.3   
19/10/1950  0       4.1    28.9   10.8   
20/10/1950  0       3.4    29.5   12     
21/10/1950  0       3.3    27     14.3   
22/10/1950  0       3.9    28.9   9.8    
23/10/1950  0       4.1    30     10.4   
24/10/1950  0       3.1    28.7   9.2    
25/10/1950  0       2.7    29.9   6.2    
26/10/1950  0       3.7    29.3   5      
27/10/1950  0       3.9    30.2   3.9    
28/10/1950  0       2.8    31     4      
29/10/1950  0       6.8    29.8   8      
30/10/1950  0       1.1    29     5.8    
31/10/1950  0       4.9    29.5   5.8    
01/11/1950  0       5.1    30     8.8    
02/11/1950  0       5.6    29.8   10.5   
03/11/1950  0       3.7    29.9   5      
04/11/1950  0       4.4    29.4   6.2    
05/11/1950  0       3.8    29.8   5.6    
06/11/1950  0       4.8    30     4      
07/11/1950  0       4.8    28.4   3.2    
08/11/1950  0       3.5    28.9   1.8    
09/11/1950  0       4.2    29.9   1      
10/11/1950  0       3.9    28.2   3.8    
11/11/1950  0       4.3    28     4.3    
12/11/1950  13.2    4.1    28.9   5.6    
13/11/1950  0       2.8    28     5.9    
14/11/1950  0       6.7    27.6   4.9    
15/11/1950  0       2.8    29.3   5.3    
16/11/1950  0       2.3    30.8   3.4    
17/11/1950  0       4.6    29     4      
18/11/1950  0       3.6    30.1   3.9    
19/11/1950  0       3.3    27.8   5      
20/11/1950  0       3.8    30     -0.8   
21/11/1950  0       3.8    29     3.1    
22/11/1950  0       5.2    28.9   5      
23/11/1950  0       4.7    28.8   5      
24/11/1950  0       4.3    27     4.1    
25/11/1950  0       4.1    27.6   4      
26/11/1950  0       3.6    25.7   3.8    
27/11/1950  0       5.1    24.8   1      
28/11/1950  0       4.2    26.8   -0.4   
29/11/1950  0       3.3    27     -0.2   
30/11/1950  0       1.4    26.1   3.7    
01/12/1950  0       2.4    26     4.2    
02/12/1950  0       3.4    27.8   2.8    
03/12/1950  0       3.8    27.8   -6.8   
04/12/1950  0       4.2    29.7   -0.7   
05/12/1950  0       4.4    26.6   1      
06/12/1950  0       3.7    25.9   0      
07/12/1950  0       5      26.6   0      
08/12/1950  0       3.4    28.1   2.1    
09/12/1950  0       4.2    28.2   1.9    
10/12/1950  0       4.6    28.2   -1     
11/12/1950  0       4.1    27.2   -1     
12/12/1950  0       4      30.2   -1.8   
13/12/1950  0       2.9    27.9   -2     
14/12/1950  0       3.9    28.6   -4     
15/12/1950  0       3.4    28.7   0.8    
16/12/1950  0       4      29     0.2    
17/12/1950  0       3      25.3   0.2    
18/12/1950  0       3.6    25.2   -0.8   
19/12/1950  0       2.3    25.2   -2     
20/12/1950  0       4      27.6   -2     
21/12/1950  0       4      28.2   -2     
22/12/1950  0       4.1    27.3   -0.8   
23/12/1950  0       3.8    26.4   -1.8   
24/12/1950  0       4.3    27.2   -1.4   
25/12/1950  0       3.7    27.3   0      
26/12/1950  0       2.6    26     1.8    
27/12/1950  0       2.9    27.2   -0.8   
28/12/1950  0       2.6    24.5   -2.2   
29/12/1950  0       3.1    23.8   1.8    
30/12/1950  0       3.9    23.8   3      
31/12/1950  0       3.5    20     3      
01/01/1951  4.6     2.8    21.3   3.9    
02/01/1951  0       3      22.6   5      
03/01/1951  0       3.5    26     -3.8   
04/01/1951  0       4.2    27.8   -3.5   
05/01/1951  0       4.4    28     -1.8   
06/01/1951  0       3.8    28.2   0.4    
07/01/1951  0       3.4    27.9   2.7    
08/01/1951  0       4.1    28     3.8    
09/01/1951  0       4.4    25.6   4.6    
10/01/1951  0       2.6    26.2   1.8    
11/01/1951  0       4.2    26.2   1.3    
12/01/1951  0       2.2    25.4   1      
13/01/1951  0       4.3    26     1      
14/01/1951  0       3.7    26.2   0.3    
15/01/1951  0       3.4    23.8   -4     
16/01/1951  0       3.6    27.8   -4.1   
17/01/1951  0       4.3    26.8   Nulo   
18/01/1951  0       3.5    29     0.2    
19/01/1951  0       4.1    28.4   1.5    
20/01/1951  0       5.4    30.2   -2     
21/01/1951  0       6.9    31     1      
22/01/1951  0       5.5    30.1   0      
23/01/1951  0       5.3    29.9   0.2    
24/01/1951  0       4.9    28.6   0      
25/01/1951  0       4.9    29     1      
26/01/1951  0       3.4    28     4      
27/01/1951  0       4.4    28.7   2.2    
28/01/1951  0       3.8    29.2   2.3    
29/01/1951  0       5.4    30     1.7    
30/01/1951  0       4.5    29.3   0.8    
31/01/1951  0       3      25.6   0      
01/02/1951  0       4.1    28     0.1    
02/02/1951  0       3.7    28     -1.8   
03/02/1951  0       3.6    27.2   -1     
04/02/1951  0       3.6    28.5   -2.1   
05/02/1951  0       4.9    29     -2     
06/02/1951  0       4.1    28.1   -1.6   
07/02/1951  0       4.2    28.3   -1.2   
08/02/1951  0       4.4    28.8   -2     
09/02/1951  0       3.7    29     0.8    
10/02/1951  0       4.5    28.1   0      
11/02/1951  0       2.4    26.7   0      
12/02/1951  0       4.5    28     2.1    
13/02/1951  0       2.5    26.2   1      
14/02/1951  0       3.8    27.9   -1     
15/02/1951  0       5.7    29     -1     
16/02/1951  0       5      29.2   0      
17/02/1951  0       3.9    30.1   2.1    
18/02/1951  0       4.8    31.3   2.3    
19/02/1951  0       4.9    30.6   2.6    
20/02/1951  0       4.9    31.9   2.6    
21/02/1951  0       4.4    31.2   2      
22/02/1951  0       5.2    30.8   4      
23/02/1951  0       5.4    31.2   5      
24/02/1951  0       4.4    31.9   5      
25/02/1951  0       5.9    32     5.2    
26/02/1951  0       6.2    33     4.8    
27/02/1951  0       2.8    32.5   5      
28/02/1951  0       4.5    33     5.1    
01/03/1951  0       4.9    32.6   5.4    
02/03/1951  0       4.9    32.8   3.6    
03/03/1951  0       5.5    31.8   0.4    
04/03/1951  0       5.1    32.4   1.5    
05/03/1951  0       5.1    32.8   4.9    
06/03/1951  0       6.3    33.2   5.1    
07/03/1951  0       4.7    34.5   5      
08/03/1951  0       5      32.8   5      
09/03/1951  0       4.8    30.7   4.2    
10/03/1951  0       5      30.9   3.8    
11/03/1951  0       4.4    30.8   3.2    
12/03/1951  0       4.8    30     2.9    
13/03/1951  0       5.4    29.2   3      
14/03/1951  0       4.2    27.2   4      
15/03/1951  0       4.4    28.8   5.3    
16/03/1951  0       4.5    27.5   6      
17/03/1951  14.2    2.5    27     8      
18/03/1951  1.2     4.5    24     11.3   
19/03/1951  0       3      24.8   9      
20/03/1951  0       5      27.8   8.1    
21/03/1951  0       5.5    29     6.2    
22/03/1951  0       4.5    28.6   3.4    
23/03/1951  0       5.4    30.1   4.3    
24/03/1951  0       5.1    33.2   4      
25/03/1951  0       4.8    29.2   7.1    
26/03/1951  0       4.4    29.8   4.2    
27/03/1951  0       3.9    25.5   3.8    
28/03/1951  0       3.8    28.1   1      
29/03/1951  0       4.3    28.8   1.1    
30/03/1951  0       4.8    30.1   1.3    
31/03/1951  0       4.2    28.9   0.2    
01/04/1951  0       8.4    30.4   0      
02/04/1951  0       10     33.1   0      
