CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A ABRIL 2022

ESTACION  : 14021
NOMBRE    : AYOTITLAN
ESTADO    : JALISCO
MUNICIPIO : CUAUTITLAN DE GARCIA BARRAGAN
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.469°
LONGITUD  : -104.184°
ALTITUD   : 670 msnm

EMISIÓN   : 19/04/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/07/1961  0       Nulo   Nulo   Nulo   
02/07/1961  0       Nulo   Nulo   Nulo   
03/07/1961  0       Nulo   Nulo   Nulo   
04/07/1961  0       Nulo   Nulo   Nulo   
05/07/1961  0       Nulo   Nulo   Nulo   
06/07/1961  0       Nulo   Nulo   Nulo   
07/07/1961  0       Nulo   Nulo   Nulo   
08/07/1961  0       Nulo   Nulo   Nulo   
09/07/1961  0       Nulo   Nulo   Nulo   
10/07/1961  0       Nulo   Nulo   Nulo   
11/07/1961  0       Nulo   Nulo   Nulo   
12/07/1961  0       Nulo   Nulo   Nulo   
13/07/1961  0       Nulo   Nulo   Nulo   
14/07/1961  0       Nulo   Nulo   Nulo   
15/07/1961  0       Nulo   Nulo   Nulo   
16/07/1961  0       Nulo   Nulo   Nulo   
17/07/1961  0       Nulo   Nulo   Nulo   
18/07/1961  0       Nulo   Nulo   Nulo   
19/07/1961  0       Nulo   Nulo   Nulo   
20/07/1961  0       Nulo   Nulo   Nulo   
21/07/1961  0       Nulo   Nulo   Nulo   
22/07/1961  0       Nulo   Nulo   Nulo   
23/07/1961  0       Nulo   Nulo   Nulo   
24/07/1961  30.1    Nulo   Nulo   Nulo   
25/07/1961  69      Nulo   Nulo   Nulo   
26/07/1961  53      Nulo   Nulo   Nulo   
27/07/1961  7.1     Nulo   Nulo   Nulo   
28/07/1961  21      Nulo   Nulo   Nulo   
29/07/1961  0       Nulo   Nulo   Nulo   
30/07/1961  36      Nulo   Nulo   Nulo   
31/07/1961  0       Nulo   Nulo   Nulo   
01/09/1961  30.6    Nulo   Nulo   Nulo   
02/09/1961  2       Nulo   Nulo   Nulo   
03/09/1961  0       Nulo   Nulo   Nulo   
04/09/1961  0.6     Nulo   Nulo   Nulo   
05/09/1961  0.6     Nulo   Nulo   Nulo   
06/09/1961  2       Nulo   Nulo   Nulo   
07/09/1961  0.8     Nulo   Nulo   Nulo   
08/09/1961  30.5    Nulo   Nulo   Nulo   
09/09/1961  30.1    Nulo   Nulo   Nulo   
10/09/1961  1.7     Nulo   Nulo   Nulo   
12/09/1961  30.1    Nulo   Nulo   Nulo   
13/09/1961  0       Nulo   Nulo   Nulo   
14/09/1961  13.1    Nulo   Nulo   Nulo   
15/09/1961  3       Nulo   Nulo   Nulo   
16/09/1961  0       Nulo   Nulo   Nulo   
17/09/1961  30.2    Nulo   Nulo   Nulo   
18/09/1961  0.3     Nulo   Nulo   Nulo   
19/09/1961  30.2    Nulo   Nulo   Nulo   
