CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A ABRIL 2022

ESTACION  : 14043
NOMBRE    : EJUTLA
ESTADO    : JALISCO
MUNICIPIO : EJUTLA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.906°
LONGITUD  : -104.163°
ALTITUD   : 1140 msnm

EMISIÓN   : 19/04/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
14/07/1940  1.8     Nulo   Nulo   Nulo   
15/07/1940  0       Nulo   Nulo   Nulo   
16/07/1940  3.7     Nulo   Nulo   Nulo   
17/07/1940  5       Nulo   Nulo   Nulo   
18/07/1940  0.3     Nulo   Nulo   Nulo   
19/07/1940  0       Nulo   Nulo   Nulo   
20/07/1940  0       Nulo   Nulo   Nulo   
21/07/1940  0       Nulo   Nulo   Nulo   
22/07/1940  0       Nulo   Nulo   Nulo   
23/07/1940  6.3     Nulo   Nulo   Nulo   
24/07/1940  35.7    Nulo   Nulo   Nulo   
25/07/1940  12.5    Nulo   Nulo   Nulo   
26/07/1940  0.6     Nulo   Nulo   Nulo   
27/07/1940  7.9     Nulo   Nulo   Nulo   
28/07/1940  28.2    Nulo   Nulo   Nulo   
29/07/1940  0       Nulo   Nulo   Nulo   
30/07/1940  28.7    Nulo   Nulo   Nulo   
31/07/1940  26.6    Nulo   Nulo   Nulo   
01/08/1940  1.9     Nulo   Nulo   Nulo   
02/08/1940  17.5    Nulo   Nulo   Nulo   
03/08/1940  6.3     Nulo   Nulo   Nulo   
04/08/1940  0       Nulo   Nulo   Nulo   
05/08/1940  0       Nulo   Nulo   Nulo   
06/08/1940  0       Nulo   Nulo   Nulo   
07/08/1940  3.2     Nulo   Nulo   Nulo   
08/08/1940  0       Nulo   Nulo   Nulo   
09/08/1940  11.9    Nulo   Nulo   Nulo   
10/08/1940  1.9     Nulo   Nulo   Nulo   
11/08/1940  0       Nulo   Nulo   Nulo   
12/08/1940  1.9     Nulo   Nulo   Nulo   
13/08/1940  0.6     Nulo   Nulo   Nulo   
14/08/1940  3.3     Nulo   Nulo   Nulo   
15/08/1940  0       Nulo   Nulo   Nulo   
16/08/1940  3.1     Nulo   Nulo   Nulo   
17/08/1940  2.4     Nulo   Nulo   Nulo   
18/08/1940  23.5    Nulo   Nulo   Nulo   
19/08/1940  0       Nulo   Nulo   Nulo   
20/08/1940  1.5     Nulo   Nulo   Nulo   
21/08/1940  0.6     Nulo   Nulo   Nulo   
22/08/1940  3.1     Nulo   Nulo   Nulo   
23/08/1940  5.6     Nulo   Nulo   Nulo   
24/08/1940  0.6     Nulo   Nulo   Nulo   
25/08/1940  7.4     Nulo   Nulo   Nulo   
26/08/1940  0       Nulo   Nulo   Nulo   
27/08/1940  2.5     Nulo   Nulo   Nulo   
28/08/1940  0       Nulo   Nulo   Nulo   
29/08/1940  3.1     Nulo   Nulo   Nulo   
30/08/1940  4.7     Nulo   Nulo   Nulo   
31/08/1940  1.9     Nulo   Nulo   Nulo   
01/09/1940  3.8     Nulo   Nulo   Nulo   
02/09/1940  0       Nulo   Nulo   Nulo   
03/09/1940  0       Nulo   Nulo   Nulo   
04/09/1940  15.7    Nulo   Nulo   Nulo   
05/09/1940  0       Nulo   Nulo   Nulo   
06/09/1940  0.3     Nulo   Nulo   Nulo   
07/09/1940  38.6    Nulo   Nulo   Nulo   
08/09/1940  0.8     Nulo   Nulo   Nulo   
09/09/1940  0       Nulo   Nulo   Nulo   
10/09/1940  0       Nulo   Nulo   Nulo   
11/09/1940  0       Nulo   Nulo   Nulo   
12/09/1940  0       Nulo   Nulo   Nulo   
