CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A ABRIL 2022

ESTACION  : 14052
NOMBRE    : EL NOGAL
ESTADO    : JALISCO
MUNICIPIO : TAPALPA
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.897°
LONGITUD  : -103.787°
ALTITUD   : 2000 msnm

EMISIÓN   : 19/04/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/03/1946  0       Nulo   Nulo   Nulo   
02/03/1946  0       Nulo   Nulo   Nulo   
03/03/1946  0       Nulo   Nulo   Nulo   
04/03/1946  0       Nulo   Nulo   Nulo   
05/03/1946  0       Nulo   Nulo   Nulo   
06/03/1946  0       Nulo   Nulo   Nulo   
07/03/1946  0       Nulo   Nulo   Nulo   
08/03/1946  0       Nulo   Nulo   Nulo   
09/03/1946  6.2     Nulo   Nulo   Nulo   
10/03/1946  0       Nulo   Nulo   Nulo   
11/03/1946  0.7     Nulo   Nulo   Nulo   
12/03/1946  0       Nulo   Nulo   Nulo   
13/03/1946  0       Nulo   Nulo   Nulo   
14/03/1946  0       Nulo   Nulo   Nulo   
15/03/1946  0       Nulo   Nulo   Nulo   
16/03/1946  0       Nulo   Nulo   Nulo   
17/03/1946  0       Nulo   Nulo   Nulo   
18/03/1946  0       Nulo   Nulo   Nulo   
19/03/1946  0       Nulo   Nulo   Nulo   
20/03/1946  0       Nulo   Nulo   Nulo   
21/03/1946  0       Nulo   Nulo   Nulo   
22/03/1946  0       Nulo   Nulo   Nulo   
23/03/1946  0       Nulo   Nulo   Nulo   
24/03/1946  0       Nulo   Nulo   Nulo   
25/03/1946  0       Nulo   Nulo   Nulo   
26/03/1946  0       6.5    26.5   14.5   
27/03/1946  0       7.5    26.5   11     
28/03/1946  0       8.4    27     20     
29/03/1946  0       5.6    27     16     
30/03/1946  0       7.4    Nulo   14.5   
31/03/1946  0       7.2    25     15     
01/04/1946  0       7.6    29.5   Nulo   
02/04/1946  0       8.2    29.5   14     
03/04/1946  0       8      28.5   13     
04/04/1946  0       7.1    28.5   13.5   
05/04/1946  0       7.6    26     12     
06/04/1946  0       5.9    24     12     
07/04/1946  0       9.2    28     10     
08/04/1946  0       7.5    29     11     
09/04/1946  0       8      30     13     
10/04/1946  3.5     4.9    28     12     
11/04/1946  9       0.6    23     10     
12/04/1946  2       2.8    29     10     
13/04/1946  0       5.1    24     9.5    
14/04/1946  0       7.8    24     10.5   
15/04/1946  0       7      26.5   9.5    
16/04/1946  0       9.4    28     10.5   
17/04/1946  0       9.3    27     11     
18/04/1946  0       7.4    26     10.5   
19/04/1946  0       11.5   28     9.5    
20/04/1946  0       7.8    27     8.5    
21/04/1946  0       7.6    27     9      
22/04/1946  0       8.6    27     8      
23/04/1946  0       8.2    27     8      
24/04/1946  0       9      27     9      
25/04/1946  0       12.6   27     8      
26/04/1946  0       8.9    28     9      
27/04/1946  0       8.7    28     12     
28/04/1946  0       8.4    29     9      
29/04/1946  0       10.6   30     10     
30/04/1946  0       9.8    30.5   10     
01/05/1946  0       10.6   30     10     
02/05/1946  0       7.6    30     12     
03/05/1946  0       8.9    28     10     
04/05/1946  0       7.2    29     11.5   
05/05/1946  0       8.5    29.5   10     
06/05/1946  0       6.3    25.5   9      
07/05/1946  7       4.6    25.5   11.5   
08/05/1946  0       5.4    26     11.5   
09/05/1946  0       8.4    26.5   12     
10/05/1946  0       5.5    25.5   11     
11/05/1946  0       6.5    26     10.5   
12/05/1946  0       6.9    28     9      
13/05/1946  0       7.3    28.5   7.5    
14/05/1946  0       12.5   28     9      
15/05/1946  0       7.7    29     6      
16/05/1946  0       6.1    30     8.5    
17/05/1946  0       7      29     10     
