CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A ABRIL 2022

ESTACION  : 14055
NOMBRE    : INGENIO EL REFUGIO
ESTADO    : JALISCO
MUNICIPIO : TALA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 020.671°
LONGITUD  : -103.737°
ALTITUD   : 1300 msnm

EMISIÓN   : 19/04/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
17/06/1958  0       Nulo   Nulo   Nulo   
18/06/1958  1       Nulo   Nulo   Nulo   
19/06/1958  19      Nulo   Nulo   Nulo   
20/06/1958  0       Nulo   Nulo   Nulo   
21/06/1958  8       Nulo   Nulo   Nulo   
22/06/1958  6       Nulo   Nulo   Nulo   
23/06/1958  0       Nulo   Nulo   Nulo   
24/06/1958  20.1    Nulo   Nulo   Nulo   
25/06/1958  10      Nulo   Nulo   Nulo   
26/06/1958  14      Nulo   Nulo   Nulo   
27/06/1958  5       Nulo   Nulo   Nulo   
28/06/1958  30.5    Nulo   Nulo   Nulo   
29/06/1958  60.5    Nulo   Nulo   Nulo   
30/06/1958  0       Nulo   Nulo   Nulo   
01/07/1958  49      Nulo   Nulo   Nulo   
02/07/1958  20      Nulo   Nulo   Nulo   
03/07/1958  12.1    Nulo   Nulo   Nulo   
04/07/1958  16      Nulo   Nulo   Nulo   
05/07/1958  20.1    Nulo   Nulo   Nulo   
06/07/1958  10      Nulo   Nulo   Nulo   
07/07/1958  6.3     Nulo   Nulo   Nulo   
08/07/1958  10      Nulo   Nulo   Nulo   
09/07/1958  3       Nulo   Nulo   Nulo   
10/07/1958  14.3    Nulo   Nulo   Nulo   
11/07/1958  10      Nulo   Nulo   Nulo   
12/07/1958  15      Nulo   Nulo   Nulo   
13/07/1958  0       Nulo   Nulo   Nulo   
14/07/1958  35      Nulo   Nulo   Nulo   
15/07/1958  20      Nulo   Nulo   Nulo   
16/07/1958  3       Nulo   Nulo   Nulo   
17/07/1958  0       Nulo   Nulo   Nulo   
18/07/1958  3       Nulo   Nulo   Nulo   
19/07/1958  0       Nulo   Nulo   Nulo   
20/07/1958  3       Nulo   Nulo   Nulo   
21/07/1958  0       Nulo   Nulo   Nulo   
22/07/1958  2       Nulo   Nulo   Nulo   
23/07/1958  0       Nulo   Nulo   Nulo   
24/07/1958  0       Nulo   Nulo   Nulo   
25/07/1958  0       Nulo   Nulo   Nulo   
26/07/1958  30.3    Nulo   Nulo   Nulo   
27/07/1958  0       Nulo   Nulo   Nulo   
28/07/1958  0       Nulo   Nulo   Nulo   
29/07/1958  7.3     Nulo   Nulo   Nulo   
30/07/1958  1.5     Nulo   Nulo   Nulo   
31/07/1958  0       Nulo   Nulo   Nulo   
01/08/1958  6       Nulo   Nulo   Nulo   
02/08/1958  0       Nulo   Nulo   Nulo   
03/08/1958  5.2     Nulo   Nulo   Nulo   
04/08/1958  30.2    Nulo   Nulo   Nulo   
05/08/1958  5       Nulo   Nulo   Nulo   
06/08/1958  0       Nulo   Nulo   Nulo   
07/08/1958  17      Nulo   Nulo   Nulo   
08/08/1958  2       Nulo   Nulo   Nulo   
09/08/1958  0       Nulo   Nulo   Nulo   
10/08/1958  0       Nulo   Nulo   Nulo   
11/08/1958  2       Nulo   Nulo   Nulo   
12/08/1958  28      Nulo   Nulo   Nulo   
13/08/1958  13.5    Nulo   Nulo   Nulo   
14/08/1958  8.5     Nulo   Nulo   Nulo   
15/08/1958  0       Nulo   Nulo   Nulo   
16/08/1958  5       Nulo   Nulo   Nulo   
17/08/1958  0       Nulo   Nulo   Nulo   
18/08/1958  24      Nulo   Nulo   Nulo   
19/08/1958  5       Nulo   Nulo   Nulo   
20/08/1958  8.5     Nulo   Nulo   Nulo   
21/08/1958  9       Nulo   Nulo   Nulo   
22/08/1958  4.5     Nulo   Nulo   Nulo   
23/08/1958  2       Nulo   Nulo   Nulo   
24/08/1958  4       Nulo   Nulo   Nulo   
25/08/1958  14.5    Nulo   Nulo   Nulo   
26/08/1958  4.5     Nulo   Nulo   Nulo   
27/08/1958  0       Nulo   Nulo   Nulo   
28/08/1958  2       Nulo   Nulo   Nulo   
29/08/1958  4       Nulo   Nulo   Nulo   
30/08/1958  14.5    Nulo   Nulo   Nulo   
31/08/1958  10      Nulo   Nulo   Nulo   
01/09/1958  6.5     Nulo   Nulo   Nulo   
02/09/1958  23      Nulo   Nulo   Nulo   
03/09/1958  7.5     Nulo   Nulo   Nulo   
04/09/1958  4.5     Nulo   Nulo   Nulo   
05/09/1958  1.5     Nulo   Nulo   Nulo   
06/09/1958  0       Nulo   Nulo   Nulo   
07/09/1958  0       Nulo   Nulo   Nulo   
08/09/1958  18.5    Nulo   Nulo   Nulo   
09/09/1958  0       Nulo   Nulo   Nulo   
10/09/1958  0       Nulo   Nulo   Nulo   
11/09/1958  0       Nulo   Nulo   Nulo   
12/09/1958  10      Nulo   Nulo   Nulo   
13/09/1958  0       Nulo   Nulo   Nulo   
14/09/1958  0       Nulo   Nulo   Nulo   
15/09/1958  7.5     Nulo   Nulo   Nulo   
16/09/1958  23      Nulo   Nulo   Nulo   
17/09/1958  18.5    Nulo   Nulo   Nulo   
18/09/1958  1       Nulo   Nulo   Nulo   
19/09/1958  1       Nulo   Nulo   Nulo   
20/09/1958  0       Nulo   Nulo   Nulo   
21/09/1958  0       Nulo   Nulo   Nulo   
22/09/1958  0       Nulo   Nulo   Nulo   
23/09/1958  5       Nulo   Nulo   Nulo   
24/09/1958  8       Nulo   Nulo   Nulo   
25/09/1958  7       Nulo   Nulo   Nulo   
26/09/1958  27      Nulo   Nulo   Nulo   
27/09/1958  31      Nulo   Nulo   Nulo   
28/09/1958  11.5    Nulo   Nulo   Nulo   
29/09/1958  5       Nulo   Nulo   Nulo   
30/09/1958  10.3    Nulo   Nulo   Nulo   
01/06/1959  0       Nulo   Nulo   Nulo   
02/06/1959  0       Nulo   Nulo   Nulo   
03/06/1959  0       Nulo   Nulo   Nulo   
04/06/1959  0       Nulo   Nulo   Nulo   
05/06/1959  0       Nulo   Nulo   Nulo   
06/06/1959  10.5    Nulo   Nulo   Nulo   
07/06/1959  3.5     Nulo   Nulo   Nulo   
08/06/1959  27      Nulo   Nulo   Nulo   
09/06/1959  17      Nulo   Nulo   Nulo   
10/06/1959  2       Nulo   Nulo   Nulo   
11/06/1959  0       Nulo   Nulo   Nulo   
12/06/1959  8       Nulo   Nulo   Nulo   
13/06/1959  32      Nulo   Nulo   Nulo   
14/06/1959  0       Nulo   Nulo   Nulo   
15/06/1959  0       Nulo   Nulo   Nulo   
16/06/1959  42.5    Nulo   Nulo   Nulo   
17/06/1959  2       Nulo   Nulo   Nulo   
18/06/1959  14      Nulo   Nulo   Nulo   
19/06/1959  50.5    Nulo   Nulo   Nulo   
20/06/1959  12      Nulo   Nulo   Nulo   
21/06/1959  0       Nulo   Nulo   Nulo   
22/06/1959  0       Nulo   Nulo   Nulo   
23/06/1959  2       Nulo   Nulo   Nulo   
24/06/1959  45      Nulo   Nulo   Nulo   
25/06/1959  5       Nulo   Nulo   Nulo   
26/06/1959  0       Nulo   Nulo   Nulo   
27/06/1959  0       Nulo   Nulo   Nulo   
28/06/1959  4.5     Nulo   Nulo   Nulo   
29/06/1959  22      Nulo   Nulo   Nulo   
30/06/1959  0       Nulo   Nulo   Nulo   
01/07/1959  26      Nulo   Nulo   Nulo   
02/07/1959  38      Nulo   Nulo   Nulo   
03/07/1959  12      Nulo   Nulo   Nulo   
04/07/1959  1       Nulo   Nulo   Nulo   
05/07/1959  32      Nulo   Nulo   Nulo   
06/07/1959  6       Nulo   Nulo   Nulo   
07/07/1959  6       Nulo   Nulo   Nulo   
08/07/1959  0       Nulo   Nulo   Nulo   
09/07/1959  0       Nulo   Nulo   Nulo   
10/07/1959  61      Nulo   Nulo   Nulo   
11/07/1959  26      Nulo   Nulo   Nulo   
12/07/1959  14      Nulo   Nulo   Nulo   
13/07/1959  7       Nulo   Nulo   Nulo   
14/07/1959  29.5    Nulo   Nulo   Nulo   
15/07/1959  9       Nulo   Nulo   Nulo   
16/07/1959  44.5    Nulo   Nulo   Nulo   
17/07/1959  17.5    Nulo   Nulo   Nulo   
18/07/1959  0       Nulo   Nulo   Nulo   
19/07/1959  0       Nulo   Nulo   Nulo   
20/07/1959  0       Nulo   Nulo   Nulo   
21/07/1959  21      Nulo   Nulo   Nulo   
22/07/1959  12.5    Nulo   Nulo   Nulo   
23/07/1959  1.5     Nulo   Nulo   Nulo   
24/07/1959  0       Nulo   Nulo   Nulo   
