CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A ABRIL 2022

ESTACION  : 14064
NOMBRE    : EX HACIENDA SAN DIEGO
ESTADO    : JALISCO
MUNICIPIO : COCULA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 020.341°
LONGITUD  : -103.805°
ALTITUD   : 1388 msnm

EMISIÓN   : 19/04/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
12/06/1947  0       Nulo   27     21     
13/06/1947  0       Nulo   28     18     
14/06/1947  0       Nulo   30     19     
15/06/1947  12.5    Nulo   29.5   17.5   
16/06/1947  4.4     Nulo   22.5   Nulo   
17/06/1947  12      Nulo   25     18     
18/06/1947  12      Nulo   26     19.5   
19/06/1947  0       Nulo   26     19     
20/06/1947  0       Nulo   27     17.5   
21/06/1947  0       Nulo   27     18     
22/06/1947  0       Nulo   26     18     
23/06/1947  0       Nulo   24     16.5   
24/06/1947  14.5    Nulo   28     17.5   
25/06/1947  0.2     Nulo   23     18     
26/06/1947  0       Nulo   25     16     
27/06/1947  0       Nulo   28     16     
28/06/1947  0       Nulo   28.5   19     
29/06/1947  0       Nulo   29     Nulo   
30/06/1947  0       Nulo   29.8   20     
01/07/1947  0       Nulo   30     19.5   
02/07/1947  0       Nulo   28     18     
03/07/1947  0       Nulo   28     16     
04/07/1947  31.8    Nulo   30     17.5   
05/07/1947  0       Nulo   26     15     
06/07/1947  0       Nulo   28.5   17.5   
07/07/1947  9       Nulo   29     20     
08/07/1947  0       Nulo   27.5   17.5   
09/07/1947  0       Nulo   28.5   20     
10/07/1947  0       Nulo   30     20     
11/07/1947  0       Nulo   29.5   20     
12/07/1947  22.5    Nulo   28.5   20     
13/07/1947  1.2     Nulo   24     17     
14/07/1947  7.5     Nulo   25     18     
15/07/1947  0       Nulo   25.5   17     
16/07/1947  30      Nulo   27.5   17.5   
17/07/1947  11.2    Nulo   25     16.5   
18/07/1947  5       Nulo   26     18     
19/07/1947  2.5     Nulo   25.5   18     
20/07/1947  0       Nulo   25.5   17     
21/07/1947  6.2     Nulo   27     18     
22/07/1947  3.5     Nulo   25     17     
23/07/1947  0       Nulo   26     17     
24/07/1947  0       Nulo   26.5   18     
25/07/1947  0       Nulo   27.5   20.5   
26/07/1947  2       Nulo   26     20     
27/07/1947  3       Nulo   26     21     
28/07/1947  0       Nulo   26.5   21     
29/07/1947  3.7     Nulo   27.5   17     
30/07/1947  0       Nulo   26     17     
31/07/1947  0       Nulo   27     19.5   
01/08/1947  0       Nulo   26.5   20.5   
02/08/1947  0       Nulo   28     19     
03/08/1947  4.3     Nulo   26     18     
04/08/1947  11.8    Nulo   24.5   18     
05/08/1947  0       Nulo   21.5   18     
06/08/1947  4.3     Nulo   24     17.5   
07/08/1947  9.3     Nulo   26     17     
08/08/1947  4.5     Nulo   24     15.5   
09/08/1947  0       Nulo   25     16.5   
10/08/1947  0       Nulo   26     16     
11/08/1947  2.8     Nulo   23.5   15     
12/08/1947  1.8     Nulo   25     15     
13/08/1947  0       Nulo   26.5   17     
14/08/1947  24.3    Nulo   24     16.5   
15/08/1947  41.8    Nulo   24.5   16     
16/08/1947  0       Nulo   23     18     
17/08/1947  5.6     Nulo   21.5   18.5   
18/08/1947  1.5     Nulo   25     15.5   
19/08/1947  0       Nulo   25.5   15     
20/08/1947  30.7    Nulo   24.5   15.5   
21/08/1947  22.5    Nulo   26.5   15     
22/08/1947  0       Nulo   25     14.5   
23/08/1947  0       Nulo   29     16.5   
24/08/1947  0       Nulo   26.5   16     
25/08/1947  0       Nulo   31     18     
26/08/1947  0       Nulo   27.5   18     
27/08/1947  8.2     Nulo   27     17.5   
28/08/1947  0       Nulo   31     18     
29/08/1947  11.2    Nulo   26.5   17     
30/08/1947  6.5     Nulo   25     15     
31/08/1947  0       Nulo   25.5   18     
01/10/1947  0       Nulo   26.5   13     
02/10/1947  0       Nulo   27     13     
03/10/1947  0       Nulo   26     14     
04/10/1947  6.5     Nulo   27     18     
05/10/1947  0       Nulo   27     15.5   
06/10/1947  10      Nulo   27.5   18     
07/10/1947  0       Nulo   26.5   17     
08/10/1947  0       Nulo   27.5   18     
09/10/1947  0       Nulo   27     18     
10/10/1947  0       Nulo   27.5   18     
11/10/1947  24      Nulo   27.5   17     
12/10/1947  0       Nulo   26     15     
13/10/1947  0       Nulo   25.5   15.5   
14/10/1947  0       Nulo   26.5   18.5   
15/10/1947  0       Nulo   29     17.5   
16/10/1947  0       Nulo   28     17     
17/10/1947  0       Nulo   28     16.5   
18/10/1947  0       Nulo   30     14     
19/10/1947  0       Nulo   29     16     
20/10/1947  0       Nulo   28     17     
21/10/1947  0       Nulo   Nulo   18     
22/10/1947  0       Nulo   26     16     
23/10/1947  0       Nulo   27.5   18     
24/10/1947  0       Nulo   28     18     
25/10/1947  0       Nulo   29     16     
26/10/1947  0       Nulo   27.5   17     
27/10/1947  0       Nulo   29     14     
28/10/1947  0       Nulo   26.5   15     
29/10/1947  0       Nulo   28.5   16     
30/10/1947  0       Nulo   27     15     
31/10/1947  0       Nulo   29     16     
01/11/1947  0       Nulo   28     14     
02/11/1947  0       Nulo   29     15     
03/11/1947  0       Nulo   27.5   13     
04/11/1947  0       Nulo   26     18     
05/11/1947  0       Nulo   27     11     
06/11/1947  0       Nulo   28.5   13     
07/11/1947  0       Nulo   29.5   17     
08/11/1947  0       Nulo   30.5   12.5   
09/11/1947  0       Nulo   28     14     
10/11/1947  0       Nulo   28     13     
11/11/1947  0       Nulo   27     14     
12/11/1947  0       Nulo   25     13.5   
13/11/1947  0       Nulo   Nulo   16     
14/11/1947  0       Nulo   24     14     
15/11/1947  0       Nulo   17     13     
16/11/1947  0       Nulo   22.5   14     
17/11/1947  0       Nulo   20     14     
18/11/1947  0       Nulo   25     13     
19/11/1947  0       Nulo   26     11     
20/11/1947  0       Nulo   25     12     
21/11/1947  0       Nulo   22     14     
22/11/1947  0       Nulo   29     14     
