CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A ABRIL 2022

ESTACION  : 14107
NOMBRE    : PASO DE LA YESCA
ESTADO    : JALISCO
MUNICIPIO : HOSTOTIPAQUILLO
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 021.188°
LONGITUD  : -104.072°
ALTITUD   : 420 msnm

EMISIÓN   : 19/04/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/09/1948  13      Nulo   32.5   23     
02/09/1948  1       Nulo   34.5   23.5   
03/09/1948  0       Nulo   34.5   23     
04/09/1948  0       Nulo   37     24     
05/09/1948  0       Nulo   38     24.5   
06/09/1948  0       Nulo   35.5   23     
07/09/1948  0       Nulo   38     23.5   
08/09/1948  9       Nulo   37.5   24     
09/09/1948  5       Nulo   28     24     
10/09/1948  2.7     Nulo   33.5   23     
11/09/1948  11.1    Nulo   36     23.5   
12/09/1948  2       Nulo   35     24     
13/09/1948  9.3     Nulo   34.5   24     
14/09/1948  15.8    Nulo   34     22.5   
15/09/1948  0       Nulo   35.5   22     
16/09/1948  0       Nulo   36     23     
17/09/1948  0       Nulo   37     24     
18/09/1948  0       Nulo   37     22.5   
19/09/1948  6.2     Nulo   38.5   22     
20/09/1948  0       Nulo   34.5   22.5   
21/09/1948  0       Nulo   35     23     
22/09/1948  0       Nulo   35     23.5   
23/09/1948  0       Nulo   35     22     
24/09/1948  9.5     Nulo   37.5   22     
25/09/1948  0       Nulo   38.5   23     
26/09/1948  0       Nulo   36.5   22.5   
27/09/1948  0       Nulo   36     21     
28/09/1948  0       Nulo   36     21     
29/09/1948  0       Nulo   36     18     
30/09/1948  0       Nulo   37     18     
01/10/1948  0       Nulo   38.5   17     
02/10/1948  0       Nulo   37.5   19     
03/10/1948  0       Nulo   37.5   19.5   
04/10/1948  0       Nulo   36     18     
05/10/1948  0       Nulo   35.5   19     
06/10/1948  0       Nulo   37     21     
07/10/1948  0       Nulo   37.5   23     
08/10/1948  3.4     Nulo   38     24     
09/10/1948  0       Nulo   33.5   24     
10/10/1948  0       Nulo   35     23     
11/10/1948  0       Nulo   37     21.5   
12/10/1948  8.5     Nulo   38.5   24     
13/10/1948  9.5     Nulo   38     23     
14/10/1948  0       Nulo   36     21     
15/10/1948  11.3    Nulo   37     22.5   
16/10/1948  4.4     Nulo   35     21.5   
17/10/1948  0       Nulo   36     22     
18/10/1948  0       Nulo   36.5   22     
19/10/1948  0       Nulo   37     22.5   
20/10/1948  0       Nulo   37     21     
21/10/1948  0       Nulo   36.5   22     
22/10/1948  0       Nulo   37     21     
23/10/1948  0       Nulo   36.5   21     
24/10/1948  0       Nulo   36.5   21     
25/10/1948  0       Nulo   35.5   22     
26/10/1948  0       Nulo   35.5   19     
27/10/1948  0       Nulo   35.5   18     
28/10/1948  0       Nulo   36     19     
29/10/1948  0       Nulo   35     19.5   
30/10/1948  0       Nulo   37.5   20     
31/10/1948  0       Nulo   37     20.5   
01/11/1948  0       Nulo   37.5   18     
02/11/1948  0       Nulo   38     17     
03/11/1948  0       Nulo   38.5   17     
04/11/1948  0       Nulo   37     17     
05/11/1948  0       Nulo   36.5   17     
06/11/1948  0       Nulo   36.5   15     
07/11/1948  0       Nulo   37     17     
08/11/1948  0       Nulo   37     19     
09/11/1948  0       Nulo   35.5   18     
10/11/1948  2.5     Nulo   33.5   19.5   
11/11/1948  11.6    Nulo   Nulo   21     
12/11/1948  0       Nulo   27     20     
13/11/1948  0       Nulo   34     18     
14/11/1948  0       Nulo   36     18.5   
15/11/1948  0       Nulo   36     19.5   
16/11/1948  0       Nulo   36.5   21     
17/11/1948  0       Nulo   35     21.5   
18/11/1948  0       Nulo   35     20     
19/11/1948  0       Nulo   34.5   17     
20/11/1948  0       Nulo   35.5   15.5   
21/11/1948  0       Nulo   34     16     
22/11/1948  0       Nulo   33     17     
23/11/1948  0       Nulo   33     17.5   
24/11/1948  13.8    Nulo   32     18     
25/11/1948  0.4     Nulo   27     20.5   
26/11/1948  0       Nulo   29.5   21     
27/11/1948  0       Nulo   33     22     
28/11/1948  0       Nulo   28.5   21     
29/11/1948  0       Nulo   32     19     
30/11/1948  0       Nulo   34.5   14.5   
01/12/1948  0       Nulo   32.5   16     
02/12/1948  0       Nulo   35.5   17     
