CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A ABRIL 2022

ESTACION  : 14151
NOMBRE    : TOLIMAN (SMN)
ESTADO    : JALISCO
MUNICIPIO : TOLIMAN
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 019.6°
LONGITUD  : -103.917°
ALTITUD   : 740 msnm

EMISIÓN   : 19/04/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/07/1948  0       Nulo   35     21     
02/07/1948  0       Nulo   33.5   21.5   
03/07/1948  10      Nulo   36     21     
04/07/1948  0       Nulo   34     21     
05/07/1948  0       Nulo   33.5   22     
06/07/1948  0       Nulo   32     22.5   
07/07/1948  3       Nulo   35.5   20     
08/07/1948  0       Nulo   32.5   19.5   
09/07/1948  2       Nulo   34     22     
10/07/1948  5.5     Nulo   32     21     
11/07/1948  7       Nulo   34.5   20.5   
12/07/1948  0       Nulo   34.5   22     
13/07/1948  0       Nulo   34     20     
14/07/1948  0       Nulo   34.5   19     
15/07/1948  21.5    Nulo   36     21     
16/07/1948  23.5    Nulo   34.5   20.5   
17/07/1948  0       Nulo   29     20.5   
18/07/1948  0       Nulo   28.5   21     
19/07/1948  0       Nulo   26.5   20.5   
20/07/1948  0       Nulo   33     20     
21/07/1948  28      Nulo   33     21     
22/07/1948  2       Nulo   30.5   20.5   
23/07/1948  1.5     Nulo   31     19.5   
24/07/1948  3.5     Nulo   33     21.5   
25/07/1948  5       Nulo   32     20.5   
26/07/1948  0       Nulo   34.5   19.5   
27/07/1948  0       Nulo   35     21.5   
28/07/1948  4       Nulo   32     20.5   
29/07/1948  0       Nulo   31     19.5   
30/07/1948  0       Nulo   34.5   20.5   
31/07/1948  27.5    Nulo   34.5   20.5   
01/08/1948  56      Nulo   32     18     
02/08/1948  0       Nulo   31     18.5   
03/08/1948  7.5     Nulo   33     18.5   
04/08/1948  10      Nulo   33.5   20.5   
05/08/1948  2.5     Nulo   30     21     
06/08/1948  0       Nulo   32     20     
07/08/1948  0       Nulo   33     21.5   
08/08/1948  40      Nulo   32     20     
09/08/1948  0       Nulo   31     20.5   
10/08/1948  0       Nulo   35     20     
11/08/1948  9       Nulo   32.5   21     
12/08/1948  0       Nulo   37.1   21     
13/08/1948  0       Nulo   32.5   20.5   
14/08/1948  0       Nulo   37     20     
15/08/1948  0       Nulo   36     20.5   
16/08/1948  0       Nulo   35     20     
17/08/1948  0       Nulo   32     19.5   
18/08/1948  0       Nulo   34.5   21     
19/08/1948  0       Nulo   35.5   21     
20/08/1948  12      Nulo   35     20.5   
21/08/1948  3.5     Nulo   31     20     
22/08/1948  0       Nulo   31.5   20.5   
23/08/1948  0       Nulo   32     20.5   
24/08/1948  0       Nulo   33     19     
25/08/1948  0       Nulo   34.5   20     
26/08/1948  5       Nulo   36     23     
27/08/1948  11.5    Nulo   34     22.5   
28/08/1948  28.2    Nulo   32.5   20     
29/08/1948  24      Nulo   30.5   20.5   
30/08/1948  45.5    Nulo   30.5   22     
31/08/1948  0       Nulo   31     20     
01/09/1948  2       Nulo   29.5   21     
02/09/1948  0       Nulo   38     22     
03/09/1948  0       Nulo   32     20     
04/09/1948  0       Nulo   32     20     
05/09/1948  0       Nulo   32.5   20.5   
06/09/1948  0       Nulo   33.5   22     
07/09/1948  41      Nulo   27.5   21     
08/09/1948  17      Nulo   31.5   20     
09/09/1948  0       Nulo   29.5   19     
10/09/1948  5       Nulo   29     Nulo   
11/09/1948  0       Nulo   31     20     
12/09/1948  0       Nulo   32.5   21.5   
13/09/1948  0       Nulo   31     20.5   
14/09/1948  0       Nulo   31.5   20.5   
15/09/1948  0       Nulo   33     20.5   
16/09/1948  0       Nulo   32     21     
17/09/1948  0       Nulo   33     21     
18/09/1948  3.5     Nulo   35     21.5   
19/09/1948  0       Nulo   33     20.5   
20/09/1948  0       Nulo   32     20     
21/09/1948  0       Nulo   30.5   20.5   
22/09/1948  2       Nulo   33     21.5   
23/09/1948  0       Nulo   33     22     
24/09/1948  1.5     Nulo   33.5   19.5   
25/09/1948  0       Nulo   32     19.5   
26/09/1948  0       Nulo   35     20     
27/09/1948  0       Nulo   34.5   20     
28/09/1948  0       Nulo   34.5   19     
29/09/1948  0       Nulo   35     20     
30/09/1948  0       Nulo   35     20.5   
01/10/1948  0       Nulo   35     20.5   
02/10/1948  0       Nulo   33     20     
03/10/1948  0       Nulo   33.5   18     
04/10/1948  5.5     Nulo   32     19     
05/10/1948  1.5     Nulo   27.5   19.5   
06/10/1948  0       Nulo   31     19     
07/10/1948  0       Nulo   33.5   20     
08/10/1948  0       Nulo   33     21     
09/10/1948  4       Nulo   26     20     
10/10/1948  0       Nulo   31.5   15     
11/10/1948  0       Nulo   33     16     
12/10/1948  5       Nulo   34     19.5   
13/10/1948  0       Nulo   32     19.5   
14/10/1948  8.5     Nulo   30     20.5   
15/10/1948  0       Nulo   30     18.5   
16/10/1948  0       Nulo   32     18     
17/10/1948  0       Nulo   33.5   19     
18/10/1948  0       Nulo   34     20     
19/10/1948  0       Nulo   34     22.5   
20/10/1948  0       Nulo   32.5   21.5   
21/10/1948  0       Nulo   32.5   21     
22/10/1948  0       Nulo   33.5   17     
23/10/1948  1.5     Nulo   33     17.5   
24/10/1948  0       Nulo   31     15.5   
25/10/1948  0       Nulo   31     15     
26/10/1948  0       Nulo   32.5   15     
27/10/1948  0       Nulo   32     13.5   
28/10/1948  0       Nulo   33     14.5   
29/10/1948  0       Nulo   34     14.5   
30/10/1948  0       Nulo   34     14     
31/10/1948  0       Nulo   35     14     
01/11/1948  0       Nulo   36     15.5   
02/11/1948  0       Nulo   34.5   Nulo   
03/11/1948  0       Nulo   32     20     
04/11/1948  0       Nulo   34.5   20     
05/11/1948  0       Nulo   33.5   19.5   
06/11/1948  0       Nulo   34     19.5   
07/11/1948  0       Nulo   34     18     
08/11/1948  0       Nulo   33     17     
09/11/1948  0       Nulo   32     18     
10/11/1948  2.5     Nulo   35     18.5   
11/11/1948  0       Nulo   30.5   17.5   
12/11/1948  0       Nulo   34.5   15.5   
13/11/1948  0       Nulo   36     16     
14/11/1948  0       Nulo   30     18     
15/11/1948  0       Nulo   33     19     
16/11/1948  0       Nulo   33     19.5   
17/11/1948  0       Nulo   32.5   18     
18/11/1948  0       Nulo   33     18     
19/11/1948  0       Nulo   32     17.5   
20/11/1948  0       Nulo   32     14.5   
21/11/1948  0       Nulo   31     14.5   
