CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A ABRIL 2022

ESTACION  : 14161
NOMBRE    : VAQUERIAS
ESTADO    : JALISCO
MUNICIPIO : OJUELOS DE JALISCO
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 021.817°
LONGITUD  : -101.65°
ALTITUD   : 2270 msnm

EMISIÓN   : 19/04/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1963  0       2      20     2      
02/01/1963  0       2      21     5      
03/01/1963  0       4      21     4      
04/01/1963  0       4      20     2.5    
05/01/1963  0       6.6    20     4.5    
06/01/1963  0       3.4    21     2.5    
07/01/1963  0       4.7    20     7.5    
08/01/1963  0       4.2    20     4      
09/01/1963  0       4      21     7      
10/01/1963  0       3.4    19.5   4      
11/01/1963  0       2.9    20     4.5    
12/01/1963  0       4      21     6      
13/01/1963  0       2      22     4.5    
14/01/1963  0       3.8    19.5   4      
15/01/1963  0       4      20     7      
16/01/1963  0       9.8    13     Nulo   
17/01/1963  0       4      20     6      
18/01/1963  0       4      20     7      
19/01/1963  0       3.8    19     5.5    
20/01/1963  0       3.6    20     7      
21/01/1963  0       4.1    21     1      
22/01/1963  0       4.1    22     4      
23/01/1963  0       4      24     7      
24/01/1963  0       3.9    22     3      
25/01/1963  0       4      22     7      
26/01/1963  0       4      22     5      
27/01/1963  0       6      23     4      
28/01/1963  0       3.7    22.5   6      
29/01/1963  0       3.7    22     6      
30/01/1963  0       4.4    24     5      
31/01/1963  0       4      23     4      
01/02/1963  0       4.9    21     5      
02/02/1963  0       4      20     4      
03/02/1963  0       5.4    15     3      
04/02/1963  0       3.5    19     -3     
05/02/1963  0       7.1    20     -1.5   
06/02/1963  0       5.8    22     -1.5   
07/02/1963  0       4.4    21     3      
08/02/1963  0       7.4    20.5   2      
09/02/1963  0       2.2    19     8      
10/02/1963  0       6.8    19     2.5    
11/02/1963  0       7.1    17     2      
12/02/1963  0       8.2    19     1.5    
13/02/1963  0       5.8    20     1      
14/02/1963  0       6.9    20     1      
15/02/1963  0       4.2    20     5      
16/02/1963  0       7.2    21     3      
17/02/1963  0       9.7    21     4      
18/02/1963  0       8.5    20     5      
19/02/1963  0       5.5    22     -1     
20/02/1963  0       4.1    23     1      
21/02/1963  0       6.8    22     1      
