CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A ABRIL 2022

ESTACION  : 14192
NOMBRE    : YAHUALICA DE GONZALEZ GALLO (DGE)
ESTADO    : JALISCO
MUNICIPIO : YAHUALICA DE GONZALEZ GALLO
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 021.183°
LONGITUD  : -102.883°
ALTITUD   : 1800 msnm

EMISIÓN   : 19/04/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/04/1962  0       Nulo   29     10     
02/04/1962  0       Nulo   28     11     
03/04/1962  0       Nulo   30     11     
04/04/1962  0       Nulo   29     11     
05/04/1962  0       Nulo   29     10     
06/04/1962  0       Nulo   28     10     
07/04/1962  0       Nulo   27     8      
08/04/1962  0       Nulo   29     8      
09/04/1962  0       Nulo   28     10     
10/04/1962  0       Nulo   29     9      
11/04/1962  0       Nulo   30     12     
12/04/1962  0       Nulo   30     10     
13/04/1962  1.4     Nulo   26     10     
14/04/1962  0       Nulo   26     10     
15/04/1962  0       Nulo   26     8      
16/04/1962  0       Nulo   22     9      
17/04/1962  0       Nulo   25     10     
18/04/1962  0       Nulo   27     10     
19/04/1962  0       Nulo   27     9      
20/04/1962  0       Nulo   29     9      
21/04/1962  0       Nulo   30     12     
22/04/1962  0       Nulo   26     13     
23/04/1962  0       Nulo   28     12     
24/04/1962  0       Nulo   28     12     
25/04/1962  0       Nulo   28     11     
26/04/1962  0       Nulo   28     15     
27/04/1962  0       Nulo   28     11     
28/04/1962  0       Nulo   29     9      
29/04/1962  0       Nulo   30     11     
30/04/1962  0       Nulo   30     8      
01/05/1962  0       Nulo   29     10     
02/05/1962  0       Nulo   30     11     
03/05/1962  0       Nulo   28     13     
04/05/1962  0       Nulo   28     13     
05/05/1962  0       Nulo   28     14     
06/05/1962  0       Nulo   30     14     
07/05/1962  0       Nulo   28     13     
08/05/1962  0       Nulo   31     10     
09/05/1962  0       Nulo   30     13     
10/05/1962  0       Nulo   32     13     
11/05/1962  0       Nulo   32     14     
12/05/1962  0       Nulo   32     12     
13/05/1962  0       Nulo   33     14     
14/05/1962  0       Nulo   32     15     
15/05/1962  0       Nulo   33     12     
16/05/1962  0       Nulo   33     13     
17/05/1962  0       Nulo   32     13     
18/05/1962  0       Nulo   32     15     
19/05/1962  0       Nulo   33     16     
20/05/1962  0       Nulo   33     15     
21/05/1962  0       Nulo   34     15     
22/05/1962  0       Nulo   34     17     
23/05/1962  0       Nulo   33     15     
24/05/1962  0       Nulo   34     15     
25/05/1962  0       Nulo   35     15     
26/05/1962  0       Nulo   34     16     
27/05/1962  0       Nulo   34     15     
28/05/1962  0       Nulo   33     15     
29/05/1962  0       Nulo   34     13     
30/05/1962  0       Nulo   33     16     
31/05/1962  0       Nulo   31     15     
01/06/1962  0       Nulo   34     15     
02/06/1962  0       Nulo   33     12     
03/06/1962  0       Nulo   32     14     
04/06/1962  0       Nulo   33     15     
05/06/1962  0       Nulo   35     13     
06/06/1962  0       Nulo   34     15     
07/06/1962  0       Nulo   35     15     
08/06/1962  0       Nulo   35     14     
09/06/1962  0       Nulo   35     15     
10/06/1962  0       Nulo   31     15     
11/06/1962  0       Nulo   32     15     
12/06/1962  0       Nulo   33     15     
13/06/1962  0       Nulo   34     16     
14/06/1962  0       Nulo   31     16     
15/06/1962  0       Nulo   34     16     
16/06/1962  0       Nulo   35     17     
17/06/1962  0       Nulo   33     15     
18/06/1962  0       Nulo   30     16     
19/06/1962  15.9    Nulo   29     16     
20/06/1962  18.6    Nulo   30     15     
21/06/1962  19.4    Nulo   28     15     
22/06/1962  12.4    Nulo   27     15     
23/06/1962  29.9    Nulo   29     15     
24/06/1962  19.5    Nulo   27     16     
25/06/1962  14.4    Nulo   27     15     
26/06/1962  18.5    Nulo   26     15     
27/06/1962  11.4    Nulo   24     14     
28/06/1962  11.9    Nulo   27     14     
29/06/1962  6.8     Nulo   27     15     
30/06/1962  0       Nulo   34     15     
01/07/1962  2.8     Nulo   24     13     
02/07/1962  4.1     Nulo   25     15     
03/07/1962  0       Nulo   24     15     
04/07/1962  17.7    Nulo   20     11     
05/07/1962  3.7     Nulo   21     13     
06/07/1962  0       Nulo   26     14     
07/07/1962  0       Nulo   25     15     
08/07/1962  7.5     Nulo   27     14     
09/07/1962  0       Nulo   28     15     
10/07/1962  11.5    Nulo   30     16     
11/07/1962  7.8     Nulo   30     14     
12/07/1962  0       Nulo   30     14     
13/07/1962  0       Nulo   29     15     
14/07/1962  0       Nulo   28     16     
15/07/1962  28.9    Nulo   29     17     
16/07/1962  0       Nulo   26     14     
17/07/1962  11.4    Nulo   25     14     
18/07/1962  16.5    Nulo   23     15     
19/07/1962  0       Nulo   26     14     
20/07/1962  2.8     Nulo   27     12     
21/07/1962  12.7    Nulo   28     15     
22/07/1962  0       Nulo   27     15     
23/07/1962  0       Nulo   29     16     
24/07/1962  17.6    Nulo   28     17     
25/07/1962  0       Nulo   26     14     
26/07/1962  0       Nulo   27     14     
27/07/1962  0       Nulo   27     15     
28/07/1962  0       Nulo   27     12     
29/07/1962  0       Nulo   27     15     
30/07/1962  0       Nulo   29     17     
31/07/1962  21.3    Nulo   24     17     
01/08/1962  0       Nulo   30     16     
02/08/1962  21.3    Nulo   29     15     
03/08/1962  3.4     Nulo   27     13     
04/08/1962  0       Nulo   29     13     
05/08/1962  0       Nulo   30     15     
06/08/1962  9.1     Nulo   28     16     
07/08/1962  0       Nulo   27     12     
08/08/1962  0       Nulo   29     15     
09/08/1962  3.1     Nulo   28     15     
10/08/1962  0       Nulo   28     14     
11/08/1962  0       Nulo   29     14     
12/08/1962  0       Nulo   29     13     
13/08/1962  0       Nulo   28     15     
14/08/1962  0       Nulo   29     13     
15/08/1962  0       Nulo   28     13     
16/08/1962  2.6     Nulo   28     13     
17/08/1962  0       Nulo   28     15     
18/08/1962  0       Nulo   26     16     
19/08/1962  0       Nulo   29     16     
20/08/1962  0       Nulo   29     16     
21/08/1962  22.1    Nulo   23     15     
22/08/1962  3.4     Nulo   25     14     
23/08/1962  0       Nulo   24     15     
24/08/1962  1.4     Nulo   26     15     
25/08/1962  0       Nulo   28     13     
26/08/1962  8.6     Nulo   28     14     
27/08/1962  1       Nulo   27     15     
28/08/1962  0       Nulo   26     15     
29/08/1962  32.7    Nulo   28     15     
30/08/1962  9.9     Nulo   25     15     
31/08/1962  0       Nulo   28     15     
01/09/1962  4.9     Nulo   21     15     
02/09/1962  1.8     Nulo   23     15     
03/09/1962  0       Nulo   26     14     
04/09/1962  1.2     Nulo   26     15     
05/09/1962  1.4     Nulo   25     14     
06/09/1962  2.8     Nulo   25     15     
07/09/1962  0       Nulo   24     14     
08/09/1962  0       Nulo   24     14     
09/09/1962  34.3    Nulo   26     13     
10/09/1962  5.7     Nulo   25     13     
11/09/1962  10.3    Nulo   25     14     
12/09/1962  5.1     Nulo   27     15     
13/09/1962  16.1    Nulo   26     15     
14/09/1962  0       Nulo   26     15     
15/09/1962  0       Nulo   25     14     
16/09/1962  0       Nulo   25     16     
17/09/1962  0       Nulo   25     16     
18/09/1962  0       Nulo   26     14     
19/09/1962  1.4     Nulo   24     16     
20/09/1962  11.1    Nulo   23     15     
21/09/1962  0       Nulo   24     14     
22/09/1962  0       Nulo   24     13     
