CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 14287
NOMBRE    : E.T.A. 135 PACANA
ESTADO    : JALISCO
MUNICIPIO : TALA
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 020.598°
LONGITUD  : -103.778°
ALTITUD   : 1288 msnm

EMISIÓN   : 08/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/02/1961  0       Nulo   27     5.5    
02/02/1961  0       Nulo   25     6      
03/02/1961  0       Nulo   20     3      
04/02/1961  0       Nulo   23     Nulo   
05/02/1961  0       Nulo   24     2      
06/02/1961  0       Nulo   24     5      
07/02/1961  0       Nulo   27     3      
08/02/1961  0       Nulo   21     2      
09/02/1961  0       Nulo   29     2.5    
10/02/1961  0       Nulo   28.5   4      
11/02/1961  0       Nulo   27     3      
12/02/1961  0       Nulo   30     2.5    
13/02/1961  0       Nulo   30     1      
14/02/1961  0       Nulo   31     2.5    
15/02/1961  0       Nulo   26     5      
16/02/1961  0       Nulo   29     6      
17/02/1961  0       Nulo   29     4.5    
18/02/1961  0       Nulo   30     3.5    
19/02/1961  0       Nulo   31     3      
20/02/1961  0       Nulo   29     4.5    
21/02/1961  0       Nulo   29.5   2.5    
22/02/1961  0       Nulo   28     Nulo   
23/02/1961  0       Nulo   28     1      
24/02/1961  0       Nulo   29     4      
25/02/1961  0       Nulo   30.5   6      
26/02/1961  0       Nulo   29     5.5    
27/02/1961  0       Nulo   31     6      
28/02/1961  0       Nulo   31     2      
01/03/1961  3.5     Nulo   32.3   9.5    
02/03/1961  0       Nulo   29     9.4    
03/03/1961  0       Nulo   22.1   14.5   
04/03/1961  0       Nulo   27     9.5    
05/03/1961  0       Nulo   22.5   8      
06/03/1961  0       Nulo   28.6   7      
07/03/1961  0       Nulo   33     6      
08/03/1961  0       Nulo   36.2   7      
09/03/1961  0       Nulo   34     16     
10/03/1961  0       Nulo   33     14     
11/03/1961  0       Nulo   30     11     
12/03/1961  0       Nulo   30     6      
13/03/1961  0       Nulo   30.5   4.5    
14/03/1961  0       Nulo   30     5      
15/03/1961  0       Nulo   28.5   6.5    
16/03/1961  0       Nulo   31     8      
17/03/1961  0       Nulo   30     -0.5   
18/03/1961  0       Nulo   29.6   1.2    
19/03/1961  0       Nulo   30     2.5    
20/03/1961  0       Nulo   30.5   2.5    
21/03/1961  0       Nulo   28     3      
22/03/1961  0       Nulo   30     3      
23/03/1961  0       Nulo   28     5      
24/03/1961  0       Nulo   27.5   5.5    
25/03/1961  0       Nulo   28     6      
26/03/1961  0       Nulo   25     7      
27/03/1961  0       Nulo   29     6      
28/03/1961  0       Nulo   30     6      
29/03/1961  0       Nulo   29     8      
30/03/1961  0       Nulo   30     7      
31/03/1961  0       Nulo   31     6      
01/04/1961  0       Nulo   28     6      
02/04/1961  0       Nulo   28     4      
03/04/1961  0       Nulo   27     4      
04/04/1961  0       Nulo   27.5   5      
05/04/1961  0       Nulo   24     6      
06/04/1961  0       Nulo   29     3      
07/04/1961  0       Nulo   30.5   4.5    
08/04/1961  0       Nulo   32     4.5    
09/04/1961  0       Nulo   32     5.4    
10/04/1961  0       Nulo   30.5   5.5    
11/04/1961  0       Nulo   32     5      
12/04/1961  0       Nulo   34.5   5      
13/04/1961  0       Nulo   35.5   5      
14/04/1961  0       Nulo   34     6.5    
15/04/1961  0       Nulo   34.3   8      
16/04/1961  0       Nulo   35     10     
17/04/1961  0       Nulo   33     11     
18/04/1961  0       Nulo   33.5   9.2    
19/04/1961  0       Nulo   34.8   10     
20/04/1961  0       Nulo   35     11.2   
21/04/1961  0       Nulo   33.5   10     
22/04/1961  0       Nulo   38     12     
23/04/1961  0       Nulo   34.5   14.5   
24/04/1961  0       Nulo   32     13.8   
25/04/1961  0       Nulo   34.5   11     
26/04/1961  0       Nulo   34.5   12     
27/04/1961  0       Nulo   37     12     
28/04/1961  0       Nulo   36     12.5   
29/04/1961  0       Nulo   36     13     
30/04/1961  0       Nulo   34.5   14     
