CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 14316
NOMBRE    : GUACHINANGO (DGE)
ESTADO    : JALISCO
MUNICIPIO : GUACHINANGO
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.582°
LONGITUD  : -104.378°
ALTITUD   : 1489 msnm

EMISIÓN   : 08/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/04/1974  0       5      30     11     
02/04/1974  0       8.9    30     11     
03/04/1974  0       8.7    30     11     
04/04/1974  0       7      30     7      
05/04/1974  0       11.5   30     11     
06/04/1974  0       6.1    30     Nulo   
07/04/1974  0       2.9    30     Nulo   
08/04/1974  0       9.6    32     Nulo   
09/04/1974  0       7.7    29     Nulo   
10/04/1974  0       7.4    31     Nulo   
11/04/1974  0       9.9    29     Nulo   
12/04/1974  0       4.8    31     Nulo   
13/04/1974  0       5.7    30     Nulo   
14/04/1974  0       9.4    32     Nulo   
15/04/1974  0       8.6    33     14     
16/04/1974  0       4.8    31     14     
17/04/1974  0       6.9    33     10     
18/04/1974  0       9.7    30     10     
19/04/1974  0       9.7    30     9      
20/04/1974  0       9.4    32     11     
21/04/1974  0       8.2    31     10     
22/04/1974  0       10.7   34     12     
23/04/1974  0       8      35     11     
24/04/1974  0       7.6    35     12     
25/04/1974  0       6.3    33     15     
26/04/1974  Nulo    9.2    31     13     
27/04/1974  0       3.5    32     15     
28/04/1974  0       1.8    30     14     
29/04/1974  6.4     5.6    29     14     
30/04/1974  2       0.2    30     13     
01/05/1974  0       7      30     12     
02/05/1974  0       8.3    31     10     
03/05/1974  0       9.4    31     10     
04/05/1974  0       8.5    31     10     
05/05/1974  0       8.7    29     11     
06/05/1974  0       8.7    30.5   12     
07/05/1974  0       7.4    29     10.5   
08/05/1974  0       6.2    30     12     
09/05/1974  0       7.6    32     11     
10/05/1974  0       9.9    32     11     
11/05/1974  0       8.8    32     11     
12/05/1974  0       8.1    34     14     
13/05/1974  0       8.6    34     11     
14/05/1974  0       9.8    34     10     
15/05/1974  0       8.3    32     10     
16/05/1974  0       9.1    34     10     
17/05/1974  0       10.1   34     10     
18/05/1974  0       6      34     10     
19/05/1974  0       9.8    32     10     
