CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 14343
NOMBRE    : PRESA BASILIO BADILLO
ESTADO    : JALISCO
MUNICIPIO : EJUTLA
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.914°
LONGITUD  : -104.064°
ALTITUD   : 824 msnm

EMISIÓN   : 08/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/04/1979  0       10     30     17     
02/04/1979  0       10.8   23     17     
03/04/1979  0       12     28     19     
04/04/1979  0       9.9    27     17     
05/04/1979  0       10.2   28     16     
06/04/1979  0       11.2   29     17     
07/04/1979  0       11     28     16     
08/04/1979  0       10.3   28     17     
09/04/1979  0       10     23     18     
10/04/1979  0       9.7    26     18     
11/04/1979  0       9.3    28     16     
12/04/1979  0       9.1    26     17     
13/04/1979  0       9.9    28     17     
14/04/1979  0       8.7    27     16     
15/04/1979  0       8.1    28     16     
16/04/1979  0       10     30     17     
17/04/1979  0       9.2    28     18     
18/04/1979  0       10.1   30     17     
19/04/1979  0       10.3   31     17     
20/04/1979  0       10.7   26     19     
21/04/1979  0       11.2   23     19     
22/04/1979  0       11.8   29     17     
23/04/1979  0       10     25     16     
24/04/1979  0       9.7    25     16     
25/04/1979  0       9.4    30     17     
26/04/1979  0       10     24     17     
27/04/1979  0       10.8   27     19     
28/04/1979  0       10.8   23     19     
29/04/1979  0       11     25     17     
30/04/1979  0       11.8   28     17     
01/05/1979  0       9.3    27     18     
02/05/1979  0       10.5   25     17     
03/05/1979  0       11.4   27     17     
04/05/1979  0       10.2   22     17     
05/05/1979  0       11.6   24     16     
06/05/1979  0       9.8    28     16     
07/05/1979  0       9.6    25     16     
08/05/1979  0       10.3   24     15     
09/05/1979  0       10.5   24     15     
10/05/1979  0       7.2    24     17     
11/05/1979  0       8.1    24     17     
12/05/1979  0       10.1   25     17     
13/05/1979  0       10.1   25     18     
14/05/1979  0       9.5    23     18     
15/05/1979  0       8.4    29     20     
16/05/1979  0       9.9    22     21     
17/05/1979  0       9.5    25     21     
18/05/1979  0       10.9   25     20     
19/05/1979  0       9.9    26     20     
20/05/1979  0       7.1    23     18     
21/05/1979  0       10.2   23     21     
22/05/1979  0       9.2    24     19     
23/05/1979  0       11.5   21     19     
24/05/1979  0       10.9   23     19     
25/05/1979  0       9.3    22     19     
26/05/1979  0       10.2   25     20     
27/05/1979  0       9.5    23     20     
28/05/1979  0       10     27     20     
29/05/1979  0       8.9    25     22     
30/05/1979  0       9.6    24     22     
31/05/1979  0       8.3    25     19     
01/10/1979  0       5.7    29     19     
02/10/1979  0       7      25     12     
03/10/1979  0       6.2    33     13     
04/10/1979  0       6.2    24     14     
05/10/1979  0       6.4    28     16     
06/10/1979  0       5.9    22     15     
07/10/1979  0       6      21     12     
08/10/1979  0       4.6    25     19     
09/10/1979  0       6.3    35     18     
10/10/1979  0       7.3    25     19     
11/10/1979  0       7      24     18     
12/10/1979  0       4.6    25     19     
13/10/1979  0       7.8    30     21     
14/10/1979  0       7.2    28     21     
15/10/1979  0       5      26     22     
16/10/1979  0       5.8    27     20     
17/10/1979  0       5.9    24     22     
18/10/1979  0       6.4    25     23     
19/10/1979  0       6.8    25     19     
20/10/1979  0       6.4    24     19     
21/10/1979  0       6.6    25     22     
22/10/1979  0       6      28     18     
23/10/1979  0       6.8    24     19     
24/10/1979  0       6.6    24     20     
25/10/1979  0       6.4    23     20     
26/10/1979  0       5.6    24     21     
27/10/1979  0       3.9    35     19     
28/10/1979  0       5.2    27     22     
29/10/1979  1.9     1.3    26     21     
30/10/1979  0       4.3    27     17     
31/10/1979  0       6.4    32     17     
01/01/1980  0       5.2    25     14     
02/01/1980  0       4.9    19     14     
03/01/1980  0       4.4    20     12     
04/01/1980  0       5.6    20     9      
05/01/1980  0       4.4    20     9.5    
06/01/1980  0       5      24     10     
07/01/1980  0       4.3    18     10     
08/01/1980  0       5      19     12     
09/01/1980  0       5.4    15     11     
10/01/1980  0       5.3    28     10     
11/01/1980  0       5.4    20     10     
12/01/1980  0       5.2    26     11     
13/01/1980  0       4.3    20     12     
14/01/1980  0       5      22     10     
15/01/1980  0       5.9    21     12     
16/01/1980  0       5      26     12     
17/01/1980  0       4.8    20     11     
18/01/1980  0       5.2    20     11     
19/01/1980  0       5.9    26     11     
20/01/1980  0       5.4    27     12     
21/01/1980  0       2.3    29     13     
22/01/1980  0       2.3    20     15     
23/01/1980  36      10.2   23     15     
24/01/1980  48.2    5.2    20     12     
25/01/1980  22      5      17     15     
26/01/1980  0       4.6    16     14     
27/01/1980  0       3.8    18     10     
28/01/1980  0       3.5    22     12     
29/01/1980  0       5      14.1   12     
30/01/1980  0       4.6    14     11     
31/01/1980  0       4.5    32     10     
01/02/1980  0       5.3    27     12     
02/02/1980  0       5.6    26     12     
03/02/1980  0       5.3    27     12     
04/02/1980  0       4.7    27     13     
05/02/1980  0       5.7    26     12     
06/02/1980  0       3.8    20     13     
07/02/1980  0       4.6    28     15     
08/02/1980  0       6.7    24     14     
09/02/1980  0       5.7    22     12     
10/02/1980  0       4.1    28     13     
11/02/1980  0       2.6    24     15     
12/02/1980  12.5    0.7    21     15     
13/02/1980  0       1.7    18     16     
14/02/1980  0       4.2    19     14     
15/02/1980  0       5.7    25     14     
16/02/1980  0       6.3    25     14     
17/02/1980  0       5.4    32     14     
18/02/1980  0       5      32     15     
19/02/1980  0       5.3    27     15     
20/02/1980  0       6      29     19     
21/02/1980  0       5.7    29     15     
22/02/1980  0       6      28     15     
23/02/1980  0       5.8    30     17     
24/02/1980  0       4.4    29     14     
25/02/1980  0       5.1    27     15     
26/02/1980  0       4.1    29     16     
27/02/1980  0       4      26     14     
28/02/1980  0       6.1    27     13     
29/02/1980  0       6.2    27     11     
01/03/1980  0       6.8    27     11     
02/03/1980  0       5.9    28     14     
03/03/1980  0       6      32     12     
04/03/1980  0       6      32     12     
05/03/1980  0       6.9    34     12     
06/03/1980  0       6.4    33     11     
07/03/1980  0       6.6    35     12     
08/03/1980  0       6.8    37     12     
09/03/1980  0       8.2    39     12     
10/03/1980  0       7.2    35     14     
11/03/1980  0       6.8    36     12     
12/03/1980  0       7.2    38     13     
13/03/1980  0       6.1    38     12     
14/03/1980  0       8.1    36     14     
15/03/1980  0       8.4    35     16     
16/03/1980  0       6.9    34     15     
17/03/1980  0       7.3    35     15     
18/03/1980  0       8      34     14     
19/03/1980  0       7.1    34     14     
20/03/1980  0       7.4    35     15     
21/03/1980  0       8.3    37     15     
22/03/1980  0       7.9    36     15     
