CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2022

ESTACION  : 14365
NOMBRE    : TEOCALTITAN DE GUADALUPE
ESTADO    : JALISCO
MUNICIPIO : JALOSTOTITLAN
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 021.143°
LONGITUD  : -102.397°
ALTITUD   : 1760 msnm

EMISIÓN   : 08/07/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
25/09/1981  7.2     Nulo   Nulo   Nulo   
26/09/1981  0       4.6    Nulo   Nulo   
27/09/1981  0       5.2    Nulo   Nulo   
28/09/1981  3.1     5.1    Nulo   Nulo   
29/09/1981  0       4.5    Nulo   Nulo   
30/09/1981  0       8.2    Nulo   Nulo   
01/10/1981  0       7.2    Nulo   Nulo   
02/10/1981  0       6.5    Nulo   Nulo   
03/10/1981  0       4.6    Nulo   Nulo   
04/10/1981  0       5.4    Nulo   Nulo   
05/10/1981  1       4.2    Nulo   Nulo   
06/10/1981  5       6.6    Nulo   Nulo   
07/10/1981  0       8.6    Nulo   Nulo   
08/10/1981  9       7.4    Nulo   Nulo   
09/10/1981  0       3.8    Nulo   Nulo   
10/10/1981  0       4.8    Nulo   Nulo   
11/10/1981  3       5.2    Nulo   Nulo   
12/10/1981  0       8.4    Nulo   Nulo   
13/10/1981  0       5.8    Nulo   Nulo   
14/10/1981  5.7     6.6    Nulo   Nulo   
15/10/1981  0       4.1    Nulo   Nulo   
16/10/1981  0       5.2    Nulo   Nulo   
17/10/1981  0       8      Nulo   Nulo   
18/10/1981  0       4.4    Nulo   Nulo   
19/10/1981  0       4.4    Nulo   Nulo   
20/10/1981  0       5.1    Nulo   Nulo   
21/10/1981  0       5.9    Nulo   Nulo   
22/10/1981  0       6.7    Nulo   Nulo   
23/10/1981  0       4.8    Nulo   Nulo   
24/10/1981  0       5      Nulo   Nulo   
25/10/1981  0       5.8    Nulo   Nulo   
26/10/1981  0       5.1    Nulo   Nulo   
27/10/1981  0       3.8    Nulo   Nulo   
28/10/1981  0       5.6    Nulo   Nulo   
29/10/1981  2.3     3.2    Nulo   Nulo   
30/10/1981  0       4.5    Nulo   Nulo   
31/10/1981  0       3.8    Nulo   Nulo   
01/11/1981  0       6.3    Nulo   Nulo   
