CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 15067
NOMBRE    : PALMAR CHICO
ESTADO    : MEXICO
MUNICIPIO : Amatepec
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 018.69°
LONGITUD  : -100.368°
ALTITUD   : 788 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/12/1962  0       2.8    28.5   14     
02/12/1962  0       2.9    28.5   13     
03/12/1962  0       2.5    30     11     
04/12/1962  0       2.8    32     11     
05/12/1962  0       3.8    30.5   14     
06/12/1962  0       3.4    31     12.5   
07/12/1962  0       2.9    31.5   13     
08/12/1962  5.5     5.9    25     13     
09/12/1962  0       3.3    30     10     
10/12/1962  0       3.9    30.5   13     
11/12/1962  0       3.9    31.5   14.5   
12/12/1962  0       3.3    30.5   12.5   
13/12/1962  0       4.2    32.5   12.5   
14/12/1962  0       4.7    32.5   13.5   
15/12/1962  0       5.1    31     13.5   
16/12/1962  0       5.5    33     15     
17/12/1962  0       4.1    30     14.5   
18/12/1962  0       3.9    32.5   16.5   
19/12/1962  0       3.5    30.5   14.5   
20/12/1962  0       3.3    30.5   15     
21/12/1962  0       2.6    30.5   12.5   
22/12/1962  0       4.3    30.5   11.5   
23/12/1962  0       2.8    26.5   14.5   
24/12/1962  0       2.8    30.5   15.5   
25/12/1962  0       3.1    31     12.5   
26/12/1962  0       4      33     14.5   
27/12/1962  0       4.8    31.5   15     
28/12/1962  0       5.3    32.5   15.5   
29/12/1962  0       4.1    32.5   14.5   
30/12/1962  0       2.7    35.5   12.5   
31/12/1962  0       2.5    35.5   12.5   
01/01/1963  0       4.2    32     11.5   
02/01/1963  0       4.5    32.5   12     
03/01/1963  0       4      30.5   13.5   
04/01/1963  0       5.1    31.5   11.5   
05/01/1963  0       3.6    31     12.5   
06/01/1963  0       3.5    31.5   12.5   
07/01/1963  0       4.9    31.5   12.5   
08/01/1963  0       4.1    32.5   13.5   
09/01/1963  0       5.6    32.5   12     
10/01/1963  0       3.1    31     13.5   
11/01/1963  0       3.9    32     11     
12/01/1963  0       3.4    33.5   10     
13/01/1963  0       4.8    32     11     
14/01/1963  0       6.1    32     11.5   
15/01/1963  0       5.9    31     11.5   
16/01/1963  0       3.8    31.5   11     
17/01/1963  0       3.3    32     17     
18/01/1963  0       5.7    31.5   19.5   
19/01/1963  0       5.1    32     13.5   
20/01/1963  0       5.3    32.5   12.5   
21/01/1963  0       4.5    33.5   13.5   
22/01/1963  0       3.3    32     12.5   
23/01/1963  0       4.8    33     12     
24/01/1963  0       7.4    33     13     
25/01/1963  0       5      33     13.5   
26/01/1963  0       6.1    33     13.5   
27/01/1963  0       4.5    35     13.5   
28/01/1963  0       6.2    32     13.5   
29/01/1963  0       3.9    31.5   14     
30/01/1963  0       5.2    34     12     
31/01/1963  0       7.3    34     12     
01/02/1963  0       3.7    34     12     
02/02/1963  0       4.7    34     11.5   
03/02/1963  0       2.9    33.5   12.5   
04/02/1963  0       3.1    35     14.5   
05/02/1963  0       4.6    32     13.5   
06/02/1963  0       4.3    32     10.5   
07/02/1963  0       4.5    32     11.5   
08/02/1963  0       6      31.5   12     
09/02/1963  0       7.3    31.5   12.5   
10/02/1963  0       5.5    32     13.5   
11/02/1963  0       7.4    31.5   9.5    
12/02/1963  0       5.4    31.5   8.5    
13/02/1963  0       5.2    32.5   9.5    
14/02/1963  0       7.9    31     8.5    
15/02/1963  0       5.2    31     8.5    
16/02/1963  0       6      31     9      
17/02/1963  0       3.2    32.5   8.5    
18/02/1963  0       4.5    31     9.5    
19/02/1963  0       5      32.5   8.5    
20/02/1963  0       7.2    33     8.5    
21/02/1963  0       5.5    34     10.5   
22/02/1963  0       8.7    34.5   12     
23/02/1963  0       5.8    33.5   11.5   
24/02/1963  0       5.8    34.5   12.5   
25/02/1963  0       7.7    31     12.5   
26/02/1963  0       6.8    36     11     
27/02/1963  0       6.5    33.5   12.5   
28/02/1963  0       4.4    33.5   12.5   
01/03/1963  0       3.5    34     15.5   
02/03/1963  0       3.8    33.5   13.5   
03/03/1963  0       5      34.5   15.9   
04/03/1963  0       4.8    34.5   15.5   
05/03/1963  0       5.8    34.5   14.5   
