CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 15138
NOMBRE    : ATENCO (CFE)
ESTADO    : MEXICO
MUNICIPIO : Atenco
SITUACION : SUSPENDIDA
ORGANISMO : CFE
CVE-OMM   : Nulo
LATITUD   : 019.567°
LONGITUD  : -98.917°
ALTITUD   : 2245 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/03/1969  0       6.4    26.5   7.5    
02/03/1969  0       11.1   26     9      
03/03/1969  0       7.6    24.5   6      
04/03/1969  0       7.3    26.5   9      
05/03/1969  0       7.7    15     12     
06/03/1969  0       8.4    25     12     
07/03/1969  0       10.4   24     13.5   
08/03/1969  0       8.9    27.5   12     
09/03/1969  0       10.4   28     11     
10/03/1969  0       6.7    28     5      
11/03/1969  0       8.6    27.5   5.5    
12/03/1969  0       9.1    27     9.5    
13/03/1969  0       9.8    26.5   13     
14/03/1969  0       8.3    26.5   9      
15/03/1969  0       6.1    25.5   8.5    
16/03/1969  0       10.1   22.5   7.5    
17/03/1969  0       3.7    18.5   12     
18/03/1969  2       4.6    23     Nulo   
19/03/1969  0       4.4    24.5   8      
20/03/1969  0       7.1    25.5   6.5    
21/03/1969  0       6.3    26     8      
22/03/1969  0       9.3    27.5   9      
23/03/1969  0       7.2    28     11.5   
24/03/1969  0       8.3    28     12.5   
25/03/1969  0       7.1    23     7      
26/03/1969  0       4.8    21.5   9.5    
27/03/1969  0.8     4.3    22.5   5      
28/03/1969  0       6.3    23     4      
29/03/1969  1.1     5.9    12     4      
30/03/1969  8.2     2.5    15     Nulo   
31/03/1969  0       4.2    17.5   5      
01/12/1969  0       4.4    20     1      
02/12/1969  0       3.6    24     3      
03/12/1969  0       4.5    24.5   3      
04/12/1969  0       6.3    24     2      
05/12/1969  0       4.6    21     4      
06/12/1969  0       3.8    23     7.5    
07/12/1969  0       6.4    19     5      
08/12/1969  0       6.6    21     2      
09/12/1969  0       3.8    22     2.5    
10/12/1969  0       5.5    26     -4     
11/12/1969  0       4.8    23     -3     
12/12/1969  0       1.8    18.5   -1.5   
13/12/1969  0       2.9    20     0.5    
14/12/1969  0       2.7    21.5   -2     
15/12/1969  0       2.6    20     -1.5   
16/12/1969  0       4.7    21.5   0.5    
17/12/1969  0       3.8    22     2.5    
18/12/1969  0       4.4    23     -1.5   
19/12/1969  0       1.9    21.5   2      
20/12/1969  0       2.6    22.5   -1.5   
21/12/1969  0       4.4    22     0      
22/12/1969  0       3.9    24     -3     
23/12/1969  0       5.2    23     -2     
24/12/1969  0       3.2    24     -2     
25/12/1969  0       3.8    22     -3     
26/12/1969  0       3.4    24     -2     
27/12/1969  0       8.3    22     -2.5   
28/12/1969  0       7.8    22     8      
29/12/1969  0       7.7    17     -0.5   
30/12/1969  0       5.8    22     13     
31/12/1969  0       7.3    22     8      
01/01/1970  0       4.8    23     5.5    
02/01/1970  0       5.2    23.5   2.5    
03/01/1970  0       3.2    22.5   2.5    
04/01/1970  0       4.6    21     3      
05/01/1970  1.2     2.6    22     4      
06/01/1970  0       4.8    21.5   0      
07/01/1970  0       3.9    20.5   0.5    
08/01/1970  0       3.7    17.5   -1.5   
09/01/1970  0       3.1    17     0      
10/01/1970  0.8     4.2    22     -2.5   
11/01/1970  0       4.7    22     0      
12/01/1970  0       6.2    22.5   -4     
13/01/1970  0       6.4    21.5   -1     
14/01/1970  0       4.1    21.5   -2.5   
15/01/1970  0       4.7    23     -2.5   
16/01/1970  0       5.9    23     -3     
17/01/1970  0       6.2    23     -5     
18/01/1970  0       6.6    24     -3     
19/01/1970  0       4.9    22     -3     
20/01/1970  0       5.5    22.5   -1     
21/01/1970  0       4.7    22     -2.5   
22/01/1970  0       4.8    20.5   -1     
23/01/1970  0       4.2    13     1      
24/01/1970  0       4.8    19     -4     
