CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 15140
NOMBRE    : PRESA CHILESDO
ESTADO    : MEXICO
MUNICIPIO : Villa de Allende
SITUACION : OPERANDO
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 019.348°
LONGITUD  : -100.152°
ALTITUD   : 2365 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/2002  0       3.4    19     1      
02/01/2002  0       2.7    20     1      
03/01/2002  0       3.8    19.5   1      
04/01/2002  0       3      19.5   1      
05/01/2002  0       3.9    21     2.5    
06/01/2002  0       3.1    22     1.5    
07/01/2002  0       3.4    22     1      
08/01/2002  0       4.1    22.5   1      
09/01/2002  0       3.8    22     2      
10/01/2002  0       2.1    21     0.5    
11/01/2002  0       2.7    22     1      
12/01/2002  0       3.4    20.5   2      
13/01/2002  20      8.1    17     2      
14/01/2002  46.3    3.1    20     1.5    
15/01/2002  0       2.1    19.5   0.5    
16/01/2002  0       2.6    18     0.5    
17/01/2002  0       2.9    23     1      
18/01/2002  0       3.3    25     1      
19/01/2002  0       3.7    21     3      
20/01/2002  0       3.1    23     3.5    
21/01/2002  0       2.8    22     4      
22/01/2002  0       3.1    22     4      
23/01/2002  0       4.1    22.5   4.5    
24/01/2002  0       3.3    21     4.5    
25/01/2002  0       2.9    22     4      
26/01/2002  0       4.2    22.5   3.5    
27/01/2002  0       3.4    22.5   4      
28/01/2002  0       4.3    25     5.5    
29/01/2002  0       3      24     6      
30/01/2002  0       4.1    24     4      
31/01/2002  0       4.8    22.5   4      
01/02/2002  0       2.9    24.5   4.5    
02/02/2002  0       4      22     6      
03/02/2002  0       3.2    22     5.5    
04/02/2002  0       5.3    22.5   5      
05/02/2002  0       2.8    21     5      
06/02/2002  0       4.2    21     1.5    
07/02/2002  0       3.3    21     1.5    
08/02/2002  0       4.2    20     3      
09/02/2002  0       3.4    21     2      
10/02/2002  0       3.5    21     1.5    
11/02/2002  0       1.2    16     4      
12/02/2002  2       0.8    16     7.5    
13/02/2002  8.8     1      15.5   8      
14/02/2002  0       3.3    21     3.5    
15/02/2002  0       4.4    22     5      
16/02/2002  0       4.6    23.5   Nulo   
17/02/2002  0       3.1    22     Nulo   
18/02/2002  0       2.8    22     Nulo   
19/02/2002  0       3.9    22.5   Nulo   
20/02/2002  0       5      24     Nulo   
21/02/2002  0       4.8    25     Nulo   
22/02/2002  0       3.6    20.5   Nulo   
23/02/2002  0       3.2    21     2      
24/02/2002  0       3.1    21.5   1      
25/02/2002  0       2      22     3      
26/02/2002  0       5.6    25     4      
27/02/2002  0       4.4    22     3      
28/02/2002  0       5.4    22     3      
01/03/2002  0       4.8    21.5   1.5    
02/03/2002  0       5      24     1.5    
03/03/2002  0       5      24     1.5    
04/03/2002  0       6.9    24     1      
05/03/2002  0       6      24     1.5    
06/03/2002  0       5.8    22     1.5    
07/03/2002  0       5.6    24     3      
08/03/2002  0       4.5    24     2      
09/03/2002  0       6      27     3      
10/03/2002  0       5      24.5   5      
11/03/2002  0       5      23     4.5    
12/03/2002  0       4.6    24     4      
13/03/2002  0       5.9    26     4      
14/03/2002  0       6.2    25     4.5    
15/03/2002  0       6.7    27     4      
16/03/2002  0       7.1    23     4      
17/03/2002  0       6.4    27     4      
18/03/2002  0       5.9    26     5.5    
19/03/2002  0       6.5    26     5.5    
20/03/2002  0       5.2    27     4      
21/03/2002  0       6.1    25     6      
22/03/2002  0       4.5    25     6.5    
23/03/2002  0       5.4    23     5      
24/03/2002  0       3.6    25     5.5    
25/03/2002  0       5.1    22     6.5    
26/03/2002  0       7      29     8      
27/03/2002  0       2.2    26     8.5    
28/03/2002  1.5     7.7    27     4      
29/03/2002  0       6.5    26.5   4.5    
