CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 15151
NOMBRE    : ZUMPANGO
ESTADO    : MEXICO
MUNICIPIO : Zumpango
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 019.797°
LONGITUD  : -99.099°
ALTITUD   : 2250 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/2002  0       5      22     0      
02/01/2002  0       5.2    21     2      
03/01/2002  0       3.9    21     3      
04/01/2002  0       2.3    22     2      
05/01/2002  0       8.4    22     2      
06/01/2002  0       2.8    21.5   3      
07/01/2002  0       2.6    21.5   3      
08/01/2002  0       5      22     2      
09/01/2002  0       3.1    22     5      
10/01/2002  0       4.4    23     4      
11/01/2002  0       4.3    23     3      
12/01/2002  2       1.6    19     4      
13/01/2002  8       2.5    19.5   5      
14/01/2002  0       4.5    18     -2     
15/01/2002  0       1.6    19     -3     
16/01/2002  0       4.3    22     2      
17/01/2002  0       5      23     3      
18/01/2002  0       3.9    25     0      
19/01/2002  0       7.4    22     0      
20/01/2002  0       5      22     1      
21/01/2002  0       4.4    21     1      
22/01/2002  0       2.5    21.5   1.5    
23/01/2002  0       2.8    24     1.5    
24/01/2002  0       3.9    23     1      
25/01/2002  0       6.4    24     2      
26/01/2002  0       4.2    23     2      
27/01/2002  0       3.1    24     0      
28/01/2002  0       5.6    24     1      
29/01/2002  0       5.1    23     1      
30/01/2002  0       4.4    24     0      
31/01/2002  0       4.4    24     1      
01/02/2002  0       7.6    24     6      
02/02/2002  0       4.6    22     0      
03/02/2002  0       2.9    23     2      
04/02/2002  0       4.1    23     1      
05/02/2002  0       3.8    22.5   0.5    
06/02/2002  0       2.9    23     1      
07/02/2002  0       4.3    22     5      
08/02/2002  0       2.7    22     1      
09/02/2002  0       4.1    22     0.5    
10/02/2002  0       6.1    21     0.5    
11/02/2002  0       4      21.5   0      
12/02/2002  10      6.9    18     1      
13/02/2002  0       1.8    19     5      
14/02/2002  0       1.4    22     4      
15/02/2002  0       6.1    21.5   1      
16/02/2002  0       8.6    22     1      
17/02/2002  0       4.7    23     0      
18/02/2002  0       2.5    23     -1     
19/02/2002  0       7      24.5   -1.5   
20/02/2002  0       2.9    23     -0.5   
21/02/2002  16      6.2    22     0      
22/02/2002  0       5.7    25     6      
23/02/2002  0       3      24     5      
24/02/2002  0       4.3    21     5      
25/02/2002  0       5      22     6      
26/02/2002  0       5.6    23     4      
27/02/2002  0       6      22     1      
28/02/2002  0       6.4    23     5      
01/03/2002  0       8.5    23     5      
02/03/2002  0       6.8    25     1      
03/03/2002  0       5.1    25     1      
04/03/2002  0       5.2    24     0.5    
05/03/2002  0       4.9    21     4      
06/03/2002  0       4.5    23     1      
07/03/2002  0       7.3    24     2      
08/03/2002  0       8.7    25     2      
09/03/2002  0       4.2    25     1      
10/03/2002  0       5.8    24.5   0      
11/03/2002  0       6.8    22     6      
12/03/2002  0       5      25     7      
13/03/2002  0       7      26     5      
14/03/2002  0       4.8    27     7      
15/03/2002  0       5.2    28     7      
16/03/2002  0       8.8    27     6      
17/03/2002  0       7.8    27     5      
18/03/2002  0       7.5    26.5   5      
19/03/2002  0       5      26     5      
20/03/2002  0       7.6    24     3      
