CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 15153
NOMBRE    : PRESA SAN JUAN
ESTADO    : MEXICO
MUNICIPIO : Atizapán de Zaragoza
SITUACION : OPERANDO
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 019.572°
LONGITUD  : -99.287°
ALTITUD   : 2410 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/05/2014  0       Nulo   19     8.5    
02/05/2014  0       Nulo   28     8      
03/05/2014  18.2    Nulo   23     8      
04/05/2014  0       Nulo   25.5   8      
05/05/2014  0       Nulo   26     9      
06/05/2014  3       Nulo   27.5   8      
07/05/2014  15.5    Nulo   28.5   10     
08/05/2014  3.7     Nulo   16     10     
09/05/2014  0       Nulo   24     7      
10/05/2014  22.5    Nulo   26     7      
11/05/2014  0       Nulo   21     7      
12/05/2014  0       Nulo   25     9      
13/05/2014  36.2    Nulo   26     8      
14/05/2014  0       Nulo   21     7      
15/05/2014  0       Nulo   23     5      
16/05/2014  0       Nulo   22     3      
17/05/2014  0       Nulo   23     4      
18/05/2014  0       Nulo   24     5      
19/05/2014  0       Nulo   22     5      
20/05/2014  0       Nulo   26     4      
21/05/2014  0       Nulo   24     5      
22/05/2014  0       Nulo   25     8      
23/05/2014  1       Nulo   22     9      
24/05/2014  24.5    Nulo   26     10     
25/05/2014  1       Nulo   22     12     
26/05/2014  1.5     Nulo   21     10     
27/05/2014  5       Nulo   23     11     
28/05/2014  2.9     Nulo   22     9      
29/05/2014  0       Nulo   22     10     
30/05/2014  8.2     Nulo   22     12     
31/05/2014  1.3     Nulo   23     13     
01/06/2014  0       Nulo   21     8      
02/06/2014  0       Nulo   20     9      
03/06/2014  0       Nulo   22     7      
04/06/2014  4.3     Nulo   22     10     
05/06/2014  0       Nulo   22     8      
06/06/2014  6.5     Nulo   21     9      
07/06/2014  2       Nulo   22     8      
08/06/2014  32.8    Nulo   23     9      
09/06/2014  0       Nulo   25     10     
10/06/2014  12      Nulo   24     11     
11/06/2014  3.5     Nulo   26     11     
12/06/2014  0       Nulo   25     8      
13/06/2014  0       Nulo   26     7      
14/06/2014  0       Nulo   25     8      
15/06/2014  0       Nulo   26     9      
16/06/2014  18      Nulo   25     8      
17/06/2014  24      Nulo   24     12     
18/06/2014  4.5     Nulo   23     11     
19/06/2014  51.2    Nulo   24     10     
