CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 15219
NOMBRE    : PRESA PINZANES (CFE)
ESTADO    : MEXICO
MUNICIPIO : Otzoloapan
SITUACION : SUSPENDIDA
ORGANISMO : CFE
CVE-OMM   : Nulo
LATITUD   : 019.114°
LONGITUD  : -100.383°
ALTITUD   : 1878 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/04/1975  0       7.8    35.5   16     
02/04/1975  0       8.1    36.5   17.5   
03/04/1975  0       7.3    35.5   20.5   
04/04/1975  0       9.9    35.5   21     
05/04/1975  0       7.8    35.5   20.5   
06/04/1975  0       8.1    34.5   19.5   
07/04/1975  0       8.9    35.5   19     
08/04/1975  0       8.8    34     17     
09/04/1975  0       8.3    34.5   16.5   
10/04/1975  0       8.3    35     17.5   
11/04/1975  0       8.4    36     18     
12/04/1975  0       8      35.5   18.5   
13/04/1975  0       8.5    35     18.5   
14/04/1975  0       9.2    35.5   18.5   
15/04/1975  0       7.3    35.5   19.5   
16/04/1975  0       10.4   36.5   19.5   
17/04/1975  0       8.7    36     20.5   
18/04/1975  0       10.4   36     18.5   
19/04/1975  0       9.1    37     17.5   
20/04/1975  0       7.2    37     19     
21/04/1975  0       8.4    35     19.5   
22/04/1975  0       7.1    35     20     
23/04/1975  0       7.6    35     20.5   
24/04/1975  0       8.6    35.5   20     
25/04/1975  0       7.4    34.5   20     
26/04/1975  0       8.4    33.5   19     
27/04/1975  0       8.4    35     19     
28/04/1975  0       8      35     18.5   
29/04/1975  0       9.6    35     19.5   
30/04/1975  0       9.3    35.5   17.5   
01/05/1975  0       8.7    36.5   18.5   
02/05/1975  0       7.6    35.5   22.5   
03/05/1975  0       8.8    36     22     
04/05/1975  0       8.8    36     21     
05/05/1975  0       7.9    35     20.5   
06/05/1975  0       6.3    35.5   20     
07/05/1975  0       8.5    36     20.5   
08/05/1975  0       6.9    35     21     
09/05/1975  0       9.1    36.5   20     
10/05/1975  13.5    7.9    35.5   22     
11/05/1975  5.4     1.4    23.5   18.5   
12/05/1975  0       5.2    35.5   12     
13/05/1975  0       7      33     21     
14/05/1975  0       8.5    34     19     
15/05/1975  0       9.4    36     19     
16/05/1975  0       8.1    34.5   19     
17/05/1975  0       10.1   35     19.5   
18/05/1975  1.8     7.4    34     21     
19/05/1975  0       5.9    33.5   19     
20/05/1975  0       8.1    34     19.5   
21/05/1975  0       8.3    35.5   22     
22/05/1975  0       8.2    35.5   23     
23/05/1975  0       8.1    35     21.5   
24/05/1975  0       8.1    34     21     
25/05/1975  0       7.2    34     22     
26/05/1975  14.2    4.7    33     19.5   
27/05/1975  35.2    6.9    32     20     
28/05/1975  0       3.5    31     18.5   
29/05/1975  2.2     5.2    32.5   20.5   
30/05/1975  0       4.8    32     20.5   
31/05/1975  4.3     3.7    31.5   21     
01/06/1975  4.6     3.9    36.5   19     
02/06/1975  0       4.6    35     20     
03/06/1975  0       3      35     19.5   
04/06/1975  6       4.1    30.5   19     
05/06/1975  0       5.8    35     18     
06/06/1975  0       8.5    33     17.5   
07/06/1975  0       7.1    34.5   19     
08/06/1975  0       8.1    34     20     
09/06/1975  0       5.8    34     21     
10/06/1975  33.2    5.3    34.5   22     
11/06/1975  2.2     3.8    30.5   18     
12/06/1975  4.2     2      32     19     
13/06/1975  1.8     3.9    30.5   18.5   
14/06/1975  0       5.7    31.5   18.5   
15/06/1975  5       7.2    32     18.5   
16/06/1975  3.2     5.3    30     18     
17/06/1975  3.3     4.3    31     19.5   
18/06/1975  3       3.3    31.5   18     
19/06/1975  0.3     5.1    30.5   18.5   
20/06/1975  18.8    1.9    31     18.5   
21/06/1975  37      3.6    31     18     
22/06/1975  18.7    2.7    32.5   18     
23/06/1975  0.2     1.7    34     18     
24/06/1975  3.3     4.5    30.5   18     
25/06/1975  39.5    4.3    30.5   18     
26/06/1975  10.5    4.1    29     17.5   
27/06/1975  33      5.9    29     18.5   
28/06/1975  0       4.7    27     17     
29/06/1975  1.2     2.6    29     18     
30/06/1975  11.4    3.7    28.5   18     
01/07/1975  0       4.8    29     16.5   
02/07/1975  0       4.9    29     19     
03/07/1975  10      2.5    29.5   17.5   
04/07/1975  0       2.8    28     17     
05/07/1975  0.7     3.9    28     17     
06/07/1975  2.4     2.7    28     17.5   
07/07/1975  0       4.6    28.5   16.5   
08/07/1975  0       3.6    30.5   18     
09/07/1975  2       2      27.5   18.5   
10/07/1975  1.7     4.2    29     17.5   
11/07/1975  16      2      25     18     
12/07/1975  2.7     2.2    28     16.5   
13/07/1975  0       2.9    27     17.5   
14/07/1975  18.7    3.3    28     16     
15/07/1975  41.7    2.7    26.5   17.5   
16/07/1975  11.5    2.1    28.5   16.5   
17/07/1975  13      4.3    28     18     
18/07/1975  0       3.1    28     16.5   
19/07/1975  0       2.7    28     18     
20/07/1975  0       4.2    28.5   18     
21/07/1975  5       3.2    28.5   16.5   
22/07/1975  0       3.3    29     17     
23/07/1975  5.5     3.5    29.5   16     
24/07/1975  8.5     6.5    29     16.5   
25/07/1975  1       2.8    29     16.5   
26/07/1975  5       1.7    26.5   18     
27/07/1975  50.2    5.8    28.5   18     
28/07/1975  8.5     3.7    28     16.5   
29/07/1975  0       2.8    28.5   15.5   
30/07/1975  2.3     3.7    28     17.5   
31/07/1975  0       2.3    28.5   17     
01/08/1975  0       4.2    29     16.5   
02/08/1975  0.4     4.2    30.5   16.5   
03/08/1975  23      1.8    26.5   16.5   
04/08/1975  5.5     1.1    23     17     
05/08/1975  8       1.8    27     17     
06/08/1975  0.4     2.1    27     16.5   
07/08/1975  59.5    3.2    27.5   17     
08/08/1975  5       4.2    27     17.5   
09/08/1975  3       4.3    30.5   17     
10/08/1975  0       3.2    28.5   17.5   
11/08/1975  22.3    2.7    28.5   18.5   
12/08/1975  18.3    5.1    28.5   17     
13/08/1975  0       3.1    27.5   17.5   
14/08/1975  3.6     4      29.5   17.5   
15/08/1975  0       3.4    28     17     
16/08/1975  0       4      28.5   17.5   
17/08/1975  21.2    3.2    29.5   17     
18/08/1975  0.4     2.5    28     16     
19/08/1975  0       3.8    28.5   16.5   
20/08/1975  0       2.1    30     18     
21/08/1975  0.5     3.6    30     17     
22/08/1975  0       2.7    28     17.5   
23/08/1975  20.5    3.4    30     17.5   
24/08/1975  0.6     3.1    27.5   16.5   
25/08/1975  13.3    3.8    28     18     
26/08/1975  9.5     2.6    27     17     
27/08/1975  0       2.3    27     16.5   
28/08/1975  6.5     4.2    29     17     
29/08/1975  11      4      29     18     
30/08/1975  6       3.8    28     17     
31/08/1975  42      4.3    27.5   17.5   
01/09/1975  1       1.4    28     16.5   
02/09/1975  39      5.2    27.5   16.5   
03/09/1975  8       2.7    27     16.5   
04/09/1975  20      3.4    27.5   17.5   
05/09/1975  0       3.1    29     17.5   
06/09/1975  0       2.9    28     18.5   
07/09/1975  0       4.5    29     17     
08/09/1975  2.4     2.6    29.5   17     
09/09/1975  0       2.7    28.5   16.5   
10/09/1975  10      1.9    27     19     
11/09/1975  17      1.7    27     19     
12/09/1975  19      1.9    26     17.5   
13/09/1975  0.2     1.4    25.5   18     
14/09/1975  3       2.2    27     17.5   
15/09/1975  13.5    2.5    28     17.5   
16/09/1975  17.3    4.8    27     16.5   
17/09/1975  0       2.5    27     16.5   
18/09/1975  2.1     3.2    28     18     
19/09/1975  0       3      29     16.5   
20/09/1975  16.5    3.6    30     16.5   
21/09/1975  0       3.2    28     16.5   
22/09/1975  5.2     3.3    30     15     
23/09/1975  2       3.8    28     18     
24/09/1975  0       3.3    28     15     
25/09/1975  0       4.1    27     14.5   
26/09/1975  0       4.9    27.5   14     
27/09/1975  0       4      29     14     
28/09/1975  0       3.4    30     13.5   
29/09/1975  0       5.3    29     15     
30/09/1975  0       3.7    29     16.5   
01/10/1975  0       5.4    30     16.5   
02/10/1975  0       6.9    31     17.5   
03/10/1975  0       5.9    31     20     
04/10/1975  0       4.8    31     15.5   
05/10/1975  0       4.4    30.5   17     
06/10/1975  0       4.6    29     16     
07/10/1975  0       4.1    30     15.5   
08/10/1975  0       5.3    31.5   16     
09/10/1975  0       4      30.5   17     
10/10/1975  0       5.7    31.5   18     
11/10/1975  9       3.2    30.5   16     
12/10/1975  19      2      28.5   16     
13/10/1975  7       3.8    29     15.5   
14/10/1975  10      3.8    28.5   15.5   
15/10/1975  0       4.2    29.5   17     
16/10/1975  1.6     3.7    29     17.5   
17/10/1975  2.5     2.7    29     18.5   
18/10/1975  0       2.7    27     18     
19/10/1975  0       3.2    27.5   15.5   
20/10/1975  0       3.9    29     14     
21/10/1975  0       3.9    29     14     
22/10/1975  0       4.1    29.5   14.5   
23/10/1975  0       4.2    28.5   14.5   
24/10/1975  0       2.7    29.5   14.5   
25/10/1975  0       5.3    30.5   15     
26/10/1975  0.4     3.9    31     16.5   
27/10/1975  0       3.3    28.5   18.5   
28/10/1975  0       6.1    30     17.5   
29/10/1975  0       6.6    31     18.5   
30/10/1975  0       6.1    31     19     
31/10/1975  0       4.5    30.5   14.5   
01/12/1975  0       4.4    32     15     
02/12/1975  0       4      30.5   15     
03/12/1975  0       4.2    30     13.5   
04/12/1975  0       3.7    29     13.5   
05/12/1975  0       6.2    30     13     
06/12/1975  0       6.2    31     13     
07/12/1975  0       6.5    28.5   13.5   
08/12/1975  0       5.5    28     11.5   
09/12/1975  0       5.2    29     12     
10/12/1975  0       5.7    28     13     
11/12/1975  0       3.9    28     11     
12/12/1975  0       3.5    27.5   11.5   
13/12/1975  0       4.7    29.5   13     
14/12/1975  0       5.9    29     12     
15/12/1975  0       3.2    30.5   11.5   
16/12/1975  0       5.1    31     12.5   
17/12/1975  0       4.8    29     13     
18/12/1975  0       3.8    27.5   13.5   
19/12/1975  0       2.5    28     12.5   
20/12/1975  0       5.7    29.5   12.5   
21/12/1975  0       3.9    30     13     
22/12/1975  0       3.6    30     12.5   
23/12/1975  0       4      29     12.5   
24/12/1975  0       4.2    29     13     
25/12/1975  0       4.5    27.5   12.5   
26/12/1975  0       4      26.5   10.5   
