CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 15240
NOMBRE    : SAN FRANCISCO PUTLA
ESTADO    : MEXICO
MUNICIPIO : Tenango del Valle
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.119°
LONGITUD  : -99.632°
ALTITUD   : 2747 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
07/01/1978  0       3.1    16     2.5    
08/01/1978  1       2.1    17.5   3.5    
09/01/1978  3       3      17.5   6      
10/01/1978  0.1     2.2    14     2      
11/01/1978  0       3.3    14     0      
12/01/1978  0       1.3    16.5   0.1    
13/01/1978  0       2.2    13     0      
14/01/1978  0       2.5    18     2      
15/01/1978  0       1      17     0      
16/01/1978  0       3.1    12     1      
17/01/1978  0       3.3    16.5   1      
18/01/1978  0       4      15     2      
19/01/1978  0       2      17     0.2    
20/01/1978  0       2.6    12     0.2    
21/01/1978  0       3.7    17     0.2    
22/01/1978  0       2      15     0.2    
23/01/1978  0       4.1    18     2      
24/01/1978  0       5.1    19.5   2.5    
25/01/1978  0       3.1    19     2.5    
26/01/1978  0       3.6    18.5   4      
27/01/1978  0       3.3    19.5   2.5    
28/01/1978  0       1      21     4      
29/01/1978  0       5.5    21.5   3      
30/01/1978  0       6.6    21.5   3      
31/01/1978  0       3.7    21     4      
01/02/1978  0       2.9    19.5   3.5    
02/02/1978  0       4.5    19     4      
03/02/1978  0       2.5    19     3      
04/02/1978  3       1      16.5   5      
05/02/1978  0       1.4    16.5   1      
06/02/1978  0       5.2    17     0.2    
07/02/1978  5.5     Nulo   11     0.2    
08/02/1978  0       4.3    12     0.1    
09/02/1978  0       4.7    17.5   0.2    
10/02/1978  0       9.7    16     0      
11/02/1978  0       0.8    15.5   1.5    
12/02/1978  0       0.2    15.5   1.5    
13/02/1978  0       4.9    19     1      
14/02/1978  0       4.8    16     2      
15/02/1978  0       5.1    19     4      
16/02/1978  0       4.8    18     2.5    
17/02/1978  Nulo    Nulo   16.5   2      
18/02/1978  0       Nulo   16     5      
19/02/1978  0       12.5   17     4      
20/02/1978  0       Nulo   16     4      
21/02/1978  0       2.2    17     4      
22/02/1978  10.5    Nulo   13     4      
23/02/1978  0       Nulo   11.5   6      
24/02/1978  0       Nulo   12     4      
25/02/1978  0       2      14     3.5    
26/02/1978  0       12.4   20     4      
27/02/1978  0       Nulo   16     1      
28/02/1978  0       Nulo   13     4      
01/03/1978  0       2.6    12     3.5    
02/03/1978  0       2.7    15     4.5    
03/03/1978  0       1.6    12     4.1    
04/03/1978  0       2.5    13     4.1    
05/03/1978  0       1.1    13.5   6.1    
06/03/1978  0       2.4    14.5   3.1    
07/03/1978  0       2.3    17.5   4.5    
08/03/1978  0       1.8    16     6.5    
09/03/1978  0       1.2    14.5   5      
10/03/1978  0       1.7    18     5      
11/03/1978  0       2.1    18.5   5      
12/03/1978  0       1.6    19.5   7.5    
13/03/1978  0       3.6    16     9      
14/03/1978  0       2.2    19.5   4      
15/03/1978  0       3.5    22.5   11     
16/03/1978  3       5.7    21     9      
17/03/1978  20      3      23     7      
18/03/1978  10.5    4.9    22     2.5    
19/03/1978  4.5     4.3    16.6   3.5    
20/03/1978  1.1     5.4    21.5   2.5    
21/03/1978  0       2      23     2.5    
22/03/1978  0       1.4    24     2.5    
23/03/1978  0       3.3    21     6.5    
24/03/1978  0       3.3    23     3.5    
25/03/1978  0       3.9    22     2.5    
26/03/1978  0       3.2    22     7      
27/03/1978  0       2.3    19     5.5    
28/03/1978  0       4      16     4.5    
29/03/1978  0       6.4    12     5      
30/03/1978  0       6      11     4      
31/03/1978  0       2.7    16     4      
01/04/1978  1.5     3.9    21     4      
02/04/1978  0       3.1    20.5   5      
03/04/1978  0       3.1    19     5      
04/04/1978  0       2.7    19     4.5    
05/04/1978  0       4.2    20.5   4.5    
06/04/1978  2       4.3    21.5   6      
07/04/1978  0       7.2    24     8      
08/04/1978  0       3.3    22     6      
09/04/1978  0       1.1    24     6.5    
10/04/1978  0       2      23     5.5    
11/04/1978  0       2.7    24     6.5    
12/04/1978  0       1.4    20.5   6.5    
13/04/1978  0       3      23.5   2      
14/04/1978  0       3      22     6      
15/04/1978  0       4.2    23     5      
16/04/1978  0       1.9    22     7.5    
17/04/1978  0       3.1    23     5      
18/04/1978  0       2.1    24     5      
19/04/1978  0       2.9    25.5   6.5    
20/04/1978  0       3      26     5.5    
21/04/1978  0       1.3    25.5   4.5    
22/04/1978  0       3      26     5.5    
23/04/1978  0       3      22.5   5      
24/04/1978  0       3.1    24     7      
25/04/1978  0       2.1    23     6      
26/04/1978  0       4.1    25     4.5    
27/04/1978  0       3.4    24.5   5.5    
28/04/1978  5.5     5.4    22     5.5    
29/04/1978  0       1.1    24     5.5    
30/04/1978  0       1      22     6      
22/11/1978  0       3.6    17     1      
23/11/1978  0       3.2    17     5      
24/11/1978  1       5      18     6      
25/11/1978  1.5     3.4    16     6      
26/11/1978  4.5     3      14     4.5    
27/11/1978  0       2.3    14     5      
28/11/1978  0       2.7    16     4      
29/11/1978  0       2.3    18     5      
30/11/1978  1.5     1.6    17     4      
01/12/1978  0       4      16     6      
02/12/1978  1       2.2    17     7      
03/12/1978  0       2.6    17     5      
04/12/1978  0       3      18     4      
05/12/1978  0       3.2    16     6      
06/12/1978  0       2.6    15     2      
07/12/1978  0       3.2    15     4      
08/12/1978  0       3.1    15     5      
09/12/1978  0       2      16     4      
10/12/1978  0       2.7    15     6      
11/12/1978  0       1.4    15     5      
12/12/1978  0       1.9    16     4      
13/12/1978  0       2.3    17     4      
14/12/1978  0       3.5    18     3      
15/12/1978  0       3.1    17     3      
16/12/1978  0       2.5    18     3      
17/12/1978  0       3.7    16     3      
18/12/1978  0       2.8    16     2      
19/12/1978  0       2.1    15.5   3      
20/12/1978  0       2.5    16     1.5    
21/12/1978  0       2.3    16     0      
22/12/1978  0       3      15     4      
23/12/1978  0       4      16     1      
24/12/1978  0       2.3    14     1      
25/12/1978  0       2.5    14     2      
26/12/1978  0       1.5    14     1      
27/12/1978  0       2.2    16     2      
28/12/1978  0       3.2    15     1      
29/12/1978  0       5.1    12     3      
30/12/1978  0       4.9    17     1      
31/12/1978  0       3.5    16     1      
01/01/1979  0       4.5    17     1      
02/01/1979  0       2.6    12.5   4      
03/01/1979  0       3.1    14     1      
04/01/1979  0       Nulo   17     0      
05/01/1979  0       Nulo   17     0      
06/01/1979  0       Nulo   15     0      
07/01/1979  0       Nulo   16     0      
08/01/1979  0       5.8    12     3      
09/01/1979  0       3.5    14     0      
10/01/1979  0       2.1    14     1.5    
11/01/1979  0       2.7    16     1      
12/01/1979  0       4.4    17     2      
13/01/1979  0       2.5    17     1      
14/01/1979  0       5.6    14     2.5    
15/01/1979  0       2.8    17     2      
16/01/1979  0       3.3    18     2      
17/01/1979  0       1.4    15     1.5    
18/01/1979  0       1.8    15     1      
19/01/1979  0       1      14.5   4.5    
20/01/1979  0       5.8    16     1.5    
21/01/1979  0       2.7    16     3      
22/01/1979  0       4.4    15     2      
23/01/1979  0       2.8    15     1.5    
24/01/1979  0       1.5    13     2      
25/01/1979  0       4.8    16     2      
26/01/1979  0       3.9    20     2      
27/01/1979  0       2.9    17     3.5    
28/01/1979  0       3.2    19     2      
29/01/1979  0       6.3    18     0      
30/01/1979  0       5      20     2      
31/01/1979  0       3.2    18     5.5    
01/02/1979  0       6.6    18     3.5    
02/02/1979  0       2.6    17     2      
03/02/1979  0       4.9    17     1      
04/02/1979  0       4.3    19     2      
05/02/1979  0       4.5    17     4      
06/02/1979  1.5     5.6    15     4      
07/02/1979  0       2.6    16     7      
08/02/1979  0       2.5    15     3      
09/02/1979  0       1.7    15     3.5    
10/02/1979  0       1      13     5      
11/02/1979  13      7.5    12     5      
12/02/1979  2.5     2.2    12     5      
13/02/1979  0       2.7    13     4.5    
14/02/1979  0       3.1    14     4      
15/02/1979  0       1.1    17.5   2.5    
16/02/1979  0       5.1    17     2      
17/02/1979  0       5.6    16     4.5    
18/02/1979  0       3.1    16     3.5    
19/02/1979  0       3      12     3      
20/02/1979  17      0.5    15     1      
21/02/1979  0       3.8    15     2      
22/02/1979  0       5.2    17     2.5    
23/02/1979  0       5.6    17     3      
24/02/1979  0       6.4    19     3      
25/02/1979  0       5.3    16.5   3      
26/02/1979  0       3.6    17     4      
27/02/1979  0       5.3    18     3.5    
28/02/1979  0       3.1    19     3      
14/07/1979  13.1    Nulo   24     Nulo   
15/07/1979  0       Nulo   18     2      
16/07/1979  0       2.1    19     6      
17/07/1979  16      Nulo   19     8      
18/07/1979  3.5     Nulo   17     8      
19/07/1979  1.1     Nulo   17     9      
20/07/1979  6       Nulo   17     9      
21/07/1979  5.5     Nulo   18     9      
