CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 15244
NOMBRE    : MUYTEJE
ESTADO    : MEXICO
MUNICIPIO : Acambay de Ruíz Castañeda
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.022°
LONGITUD  : -99.931°
ALTITUD   : 2840 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1978  0       2.8    19     6      
02/01/1978  0       3.4    17.5   5.5    
03/01/1978  0       4      18.5   5      
04/01/1978  0       2.2    17     6      
05/01/1978  0       2.1    17     5      
06/01/1978  0       3.3    18     6      
07/01/1978  0       2.7    12.5   6      
08/01/1978  0       3.7    10     5      
09/01/1978  11.1    1.8    13.5   2      
10/01/1978  0       2.3    10     2      
11/01/1978  0       3.4    12     2      
12/01/1978  0       2.5    13.5   3      
13/01/1978  0       2.7    15     3      
14/01/1978  0       2.4    16     3      
15/01/1978  0       3.6    14     3      
16/01/1978  0       2.7    14     4      
17/01/1978  0       2.7    16     4      
18/01/1978  0       3.2    12     5      
19/01/1978  0       2.6    14     3      
20/01/1978  0       3.9    14     2.5    
21/01/1978  0       2.7    14     4.5    
22/01/1978  0       3.2    14     6      
23/01/1978  0       3.5    16.5   5      
24/01/1978  0       3.7    16.5   6      
25/01/1978  0       3.6    17     6      
26/01/1978  0       3.5    18     4      
27/01/1978  0       4.5    17     6      
28/01/1978  0       3.9    16     5.5    
29/01/1978  0       3.8    19     6      
30/01/1978  0       4      19     6.5    
31/01/1978  0       2.3    19     7      
01/02/1978  0       3.5    19     7      
02/02/1978  0       3.3    19     6.5    
03/02/1978  0       1.6    17     7      
04/02/1978  0       3      20     3      
05/02/1978  0       3.2    14     1      
06/02/1978  0       1.8    13     1      
07/02/1978  9.2     1.4    17.5   4      
08/02/1978  0       2.8    11     2      
09/02/1978  0       3.5    15     2      
10/02/1978  0       4.6    18     3      
11/02/1978  0       4.7    13     5      
12/02/1978  0.3     4.3    10     5.5    
13/02/1978  0       5.3    15     2.5    
14/02/1978  0       5.5    14     3      
15/02/1978  0       6.2    14     4      
16/02/1978  0       5.3    14     5.5    
17/02/1978  0       4.9    11     6      
18/02/1978  0       3.5    10     5      
19/02/1978  3.9     1.4    10     5.5    
20/02/1978  0       3.3    12.5   3      
21/02/1978  0       1.4    9      3.5    
22/02/1978  13.6    1.3    10     3.5    
23/02/1978  1.2     1.8    9      4      
24/02/1978  0       1.5    13     4.5    
25/02/1978  0       1.9    15     5      
26/02/1978  0       2.2    19     5      
27/02/1978  0       3.6    19     6.5    
28/02/1978  0       3.6    19.5   6      
01/03/1978  0       7.6    19     6.5    
02/03/1978  0       5.5    18     6      
03/03/1978  0       5.9    18     5.5    
04/03/1978  0       5.5    20     6.5    
05/03/1978  0       6.5    21     7      
06/03/1978  0       4.4    18     6.5    
07/03/1978  0       5.7    16     3      
08/03/1978  0       4.7    14     2.5    
09/03/1978  0       6.2    17     0      
10/03/1978  0       6.3    19     0      
11/03/1978  0       7.4    20     5      
12/03/1978  0       5.5    20     6      
13/03/1978  0       8.3    21     5      
14/03/1978  0       6.8    23     7      
15/03/1978  2.2     3.5    21     8.5    
16/03/1978  6.5     4.2    13     3      
17/03/1978  0       4.3    12     0      
18/03/1978  12.1    5.4    13     -1     
19/03/1978  3       5      13     1      
20/03/1978  0       5.1    16.5   4      
21/03/1978  0       7      19     6.5    
22/03/1978  0       7.1    20.5   8.5    
23/03/1978  0       6.6    21     10     
24/03/1978  0       3.6    22     9      
25/03/1978  0       6.2    16     9      
26/03/1978  1.6     7.2    17     7      
27/03/1978  0       3.6    16.5   3.5    
28/03/1978  0       4.3    18.5   4      
29/03/1978  0       6.2    18.5   7      
30/03/1978  0       4      21     7.5    
31/03/1978  0       3.9    20     8      
01/04/1978  0       6.1    20     9      
02/04/1978  1.3     2.3    19     7      
03/04/1978  5.8     2.2    20     7.5    
04/04/1978  0.2     2.4    20     7      
05/04/1978  3       2.8    20     8      
06/04/1978  1.4     3.3    20     8.5    
07/04/1978  0       3.7    20     8      
08/04/1978  0       4.9    21     9      
09/04/1978  0       6.9    20     8      
10/04/1978  0       5.7    20     7      
11/04/1978  0       7.6    19     7      
12/04/1978  0       6.5    17     8      
13/04/1978  0       6.1    21     7.5    
14/04/1978  0       5.3    22     8      
15/04/1978  0       7.6    23     9      
16/04/1978  0       9.4    23     10     
17/04/1978  0       9.9    24     11     
18/04/1978  0       8.7    24     12.5   
19/04/1978  0       9.5    24     13     
20/04/1978  0       8.1    24     11.5   
21/04/1978  0       6.3    22     10     
22/04/1978  0       6.4    21     9      
23/04/1978  0       6.3    22     9      
24/04/1978  0       6.9    23     9      
25/04/1978  0       3.7    21     8      
26/04/1978  0       3.3    18     7      
27/04/1978  0       5.7    21     8      
28/04/1978  0       4.1    21     9      
29/04/1978  0       7.5    22     9      
30/04/1978  0       5.1    21     9      
01/05/1978  0       5      21     9      
02/05/1978  0       7.7    21     8      
03/05/1978  0       8.8    21     9      
04/05/1978  0       7.8    21     7      
05/05/1978  0       4.2    21     8      
06/05/1978  0       8.6    22     8      
07/05/1978  0       7.7    25     9      
08/05/1978  0       5.1    26     12     
09/05/1978  13      8.5    23.5   10     
10/05/1978  0       6.4    23     10     
