CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 15304
NOMBRE    : XONACATLAN
ESTADO    : MEXICO
MUNICIPIO : Xonacatlán
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.394°
LONGITUD  : -99.525°
ALTITUD   : 2579 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
21/08/1981  24.5    1.4    19.5   11     
22/08/1981  21.9    1.5    22     11     
23/08/1981  8.2     1.2    21     10.9   
24/08/1981  0       4.4    21     9      
25/08/1981  0       3.2    19     10.5   
26/08/1981  0       2.6    18     11.2   
27/08/1981  22.5    4      19.2   11.7   
28/08/1981  4.3     2.5    19     11     
29/08/1981  2       2.6    19     11     
30/08/1981  0.9     2.3    22     12     
31/08/1981  0       1.4    Nulo   10     
01/09/1981  10.1    4.1    24     11     
02/09/1981  12.1    4.2    22     9.5    
03/09/1981  3       4.9    21     8.5    
04/09/1981  8.4     3.9    21.1   10     
05/09/1981  6.3     1.7    18     10.3   
06/09/1981  10.6    2.6    21.3   8.2    
07/09/1981  4       3.9    21.7   8      
08/09/1981  0       4.3    21.5   8      
09/09/1981  4.4     4.3    21.4   9      
10/09/1981  4.3     5.1    22     10.3   
11/09/1981  0       4      23     8      
12/09/1981  1.5     5.1    22.7   9.8    
13/09/1981  0       3.9    21.7   7      
14/09/1981  0       4.3    22     7.6    
15/09/1981  0       5.6    23.8   8.7    
16/09/1981  0       4.4    22     8.8    
17/09/1981  0.2     3.2    18.3   10.6   
18/09/1981  0.1     2.2    20.3   9.5    
19/09/1981  0.5     2.4    22     6.5    
20/09/1981  0.4     1.9    23.9   8.8    
21/09/1981  0.1     3.4    22.5   9.8    
22/09/1981  0       3.7    24     9.8    
23/09/1981  1       2.6    23     6.8    
24/09/1981  0       4.7    21.5   8      
25/09/1981  0       5      22.8   6.5    
26/09/1981  2.5     3.3    23.4   4.5    
27/09/1981  2       3.7    21.5   7      
28/09/1981  15.8    1.3    19     9      
29/09/1981  0.2     1.9    19.5   10.8   
30/09/1981  11.4    1.2    20.8   10.3   
01/10/1981  0       1.5    20.8   10.7   
02/10/1981  0       3.6    21.5   9      
03/10/1981  1.2     2.9    23     9      
04/10/1981  0       3      24     7      
05/10/1981  0       4.2    22.5   8.8    
06/10/1981  3.3     2.6    23.8   5.5    
07/10/1981  2       3.7    23.8   7      
08/10/1981  0.3     1.7    23.4   6.7    
09/10/1981  0       4.7    22.5   8      
10/10/1981  0       2.6    22.2   6.5    
11/10/1981  0.9     2.2    23     7.5    
12/10/1981  1.5     1.4    23.6   8.8    
13/10/1981  9.1     2      21     6.7    
14/10/1981  0.3     3.6    22     8.5    
15/10/1981  0.1     3.5    22.9   7      
16/10/1981  0       3.8    24.5   5.6    
17/10/1981  0       4.4    24     3.7    
18/10/1981  0       5.5    20     5      
19/10/1981  0       5      20.7   7      
20/10/1981  0       2.2    21     5.5    
21/10/1981  0       5.4    23.3   7.3    
22/10/1981  0       4.7    24     2.5    
23/10/1981  0       2.3    21.5   3.6    
24/10/1981  2.2     2.1    21.5   7.9    
25/10/1981  1.9     1.5    21     6.5    
26/10/1981  0.8     2.2    21     5.5    
27/10/1981  7       2.2    18.5   8      
28/10/1981  6.3     1.5    21.5   6.8    
29/10/1981  15.9    4.2    20.5   9      
30/10/1981  6.5     2.1    21.9   6.8    
31/10/1981  2.2     2      20.8   7.3    
01/11/1981  0       4.2    18     4.5    
02/11/1981  0       3.7    20.4   4      
03/11/1981  2.3     1.5    18.8   5.5    
04/11/1981  13.8    4.8    21.2   5      
05/11/1981  0       4.1    20.4   4.8    
06/11/1981  0       3.9    20     2.5    
07/11/1981  0       4.2    22     4      
08/11/1981  0       3.1    23     2.5    
09/11/1981  0       3.5    19     2      
10/11/1981  0       2.9    21.3   4.2    
11/11/1981  0       4.1    20.7   1      
12/11/1981  0       3.6    22     -1.5   
13/11/1981  3       1.8    20     -0.2   
14/11/1981  0       3.8    20     0      
15/11/1981  0       2.7    20.5   -3     
16/11/1981  0       6.8    19.2   -4.8   
17/11/1981  0       3.4    21     -4.8   
18/11/1981  0       3.7    22.3   -4.5   
19/11/1981  0       4.1    21.6   -2.5   
20/11/1981  0       4.6    21.5   -1.5   
21/11/1981  0       3.1    20.3   -2     
22/11/1981  0       2.7    21.9   -4     
