CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 15306
NOMBRE    : CHAPULTEPEC
ESTADO    : MEXICO
MUNICIPIO : Chapultepec
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.205°
LONGITUD  : -99.55°
ALTITUD   : 2585 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
07/04/1981  0       Nulo   25.8   8.3    
08/04/1981  0       Nulo   25.5   8.2    
09/04/1981  0       Nulo   21.3   6      
10/04/1981  0       Nulo   25.9   5.5    
11/04/1981  2.4     Nulo   26.6   8.3    
12/04/1981  0       Nulo   25.4   8.5    
13/04/1981  3.3     Nulo   20.3   8.5    
14/04/1981  2.3     Nulo   21.3   7.1    
15/04/1981  4.4     Nulo   18.2   7.2    
16/04/1981  9.4     Nulo   20.2   6.2    
17/04/1981  4.4     Nulo   12.1   8      
18/04/1981  3       Nulo   20.3   6.2    
19/04/1981  0       Nulo   20.4   9.1    
20/04/1981  0       Nulo   21.4   9.1    
21/04/1981  0       Nulo   23.1   5.2    
22/04/1981  0       Nulo   23.2   7.1    
23/04/1981  0       Nulo   22     8.3    
24/04/1981  0       Nulo   23.1   5.1    
25/04/1981  0       Nulo   21.2   9.8    
26/04/1981  0       Nulo   22     9.1    
27/04/1981  0       Nulo   25.2   9.1    
28/04/1981  0       Nulo   25.3   4.3    
29/04/1981  0       Nulo   25.2   8      
30/04/1981  0       Nulo   21.3   8      
01/05/1981  0       5.8    24.2   6.2    
02/05/1981  0       5.6    22.1   5.3    
03/05/1981  0       8.1    21.3   6.5    
04/05/1981  0       8.3    24.2   7      
05/05/1981  0       6.8    26.3   5      
06/05/1981  0       6.4    21.3   5      
07/05/1981  0       6.5    25.2   4.3    
08/05/1981  0       4.3    25.2   5      
09/05/1981  0       7.2    26.3   4.5    
10/05/1981  0       6.6    25.2   5      
11/05/1981  5       8.3    25.2   6.2    
12/05/1981  1.4     5.7    25.4   4.3    
13/05/1981  1.1     5      25.2   9.2    
14/05/1981  0       5.2    25.2   4.3    
15/05/1981  0       8.3    25.3   5.3    
16/05/1981  2       8.9    25.2   6.9    
17/05/1981  0       3.7    26.3   7.8    
18/05/1981  0       3.2    21.3   5      
19/05/1981  0       6.2    27.4   8      
20/05/1981  25.3    1      21     7.1    
21/05/1981  5.4     1.8    20.2   9.1    
