CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 15334
NOMBRE    : PALO SECO
ESTADO    : MEXICO
MUNICIPIO : San Felipe del Progreso
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.527°
LONGITUD  : -100.16°
ALTITUD   : 2925 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
04/02/1982  0       6      16.7   0.2    
05/02/1982  0       5.1    17     0.8    
06/02/1982  0       3.7    19.7   0.7    
07/02/1982  0       3.5    20     2.3    
08/02/1982  0       6.4    17.6   0.2    
09/02/1982  0       3.1    17.8   3.3    
10/02/1982  0       6      16.7   0.5    
11/02/1982  0       6.1    20     -3.3   
12/02/1982  0       2      21     0.3    
13/02/1982  3.5     6.3    18.7   0.2    
14/02/1982  0       6.2    13.8   0.2    
15/02/1982  0       4      14.8   0.2    
16/02/1982  0       6      17.9   0.2    
17/02/1982  0       2.8    18.6   3.3    
18/02/1982  0       7.1    17.9   0.2    
19/02/1982  0       6.1    17     -3.3   
20/02/1982  0       Nulo   16.8   0.1    
21/02/1982  0       Nulo   17.8   0.2    
22/02/1982  12.6    Nulo   16     0.2    
23/02/1982  5.3     Nulo   16     0.2    
24/02/1982  2       Nulo   17.8   0.2    
25/02/1982  1.4     Nulo   15.8   0.1    
26/02/1982  4       4      14.8   0.2    
27/02/1982  1       1      12     0.2    
28/02/1982  0       Nulo   14.6   0.3    
07/03/1982  0       Nulo   Nulo   Nulo   
08/03/1982  0       4.3    18.7   -2.2   
09/03/1982  0       7.4    20     0.2    
10/03/1982  0       4.7    18.7   -1.1   
11/03/1982  0       5.6    15.8   0.1    
12/03/1982  0       2.5    19     Nulo   
13/03/1982  0       7.1    22.8   Nulo   
14/03/1982  0       8.2    22.9   Nulo   
15/03/1982  0       4.1    15.8   Nulo   
16/03/1982  0       5.2    20     Nulo   
17/03/1982  0       4.1    21.5   Nulo   
18/03/1982  0       5      21.7   Nulo   
19/03/1982  0       5.4    21     0.2    
20/03/1982  0       5.8    20     0.1    
21/03/1982  0       6      20.7   Nulo   
22/03/1982  0       4.7    20     Nulo   
23/03/1982  0       8.9    20     Nulo   
24/03/1982  0       7.7    19     Nulo   
25/03/1982  0       6.8    28.9   Nulo   
26/03/1982  0       5.8    21.8   Nulo   
27/03/1982  0       5.2    15.6   Nulo   
28/03/1982  0       5.2    23.9   Nulo   
29/03/1982  0       4.2    19.8   Nulo   
30/03/1982  0       6.1    22.9   Nulo   
31/03/1982  0       6.3    24.5   Nulo   
01/04/1982  0       8.8    24     4.1    
02/04/1982  0       8.5    24.9   5.2    
03/04/1982  0       6.1    23.9   6.8    
04/04/1982  0       6.3    25     5      
05/04/1982  0       9.2    24.6   6      
06/04/1982  0       7.8    23.8   7.9    
07/04/1982  0       7.5    21.8   8      
08/04/1982  0       5.1    21     7      
09/04/1982  0       8.9    21.2   7.8    
10/04/1982  0       8.4    21.5   7.8    
11/04/1982  0       5.1    20.7   6      
12/04/1982  0       3.7    22.8   6      
13/04/1982  0       7.9    24.9   6      
14/04/1982  1.4     4.5    21.8   8.2    
15/04/1982  0       6.5    20.9   8.5    
16/04/1982  1       5.4    23.8   6      
17/04/1982  0       8.9    24.2   8.2    
18/04/1982  5       7.1    24.9   7.5    
19/04/1982  0.1     4.1    21.8   7.6    
20/04/1982  3       5.3    22.8   7.6    
21/04/1982  0       1.8    17     6.7    
22/04/1982  2       4.7    17.9   6      
23/04/1982  0       3      18.9   7.1    
24/04/1982  0       6.1    17.8   7.5    
25/04/1982  0       5.2    20     7.5    
26/04/1982  0       4.7    21.8   7      
27/04/1982  0       8.4    20.6   7.2    
28/04/1982  0       6.9    20.7   9      
29/04/1982  0       6.3    20.8   8.5    
30/04/1982  0       4.9    19.9   8.5    
01/05/1982  0       7.5    20.8   6      
02/05/1982  0       4.8    17.9   8.3    
03/05/1982  0       6.2    21.2   6.5    
04/05/1982  0       8.1    18.9   6.9    
05/05/1982  0       4.8    21.7   8.7    
06/05/1982  0       8.3    20.8   8      
07/05/1982  0       7.6    21     7      
08/05/1982  0       4.9    20.6   7      
09/05/1982  0       8.6    20     8.3    
10/05/1982  0       5.7    22.9   8      
11/05/1982  0       4      21.8   7.6    
12/05/1982  0       7.1    21     9      
13/05/1982  0       8.2    19.8   9      
14/05/1982  0       8.5    22.1   9.8    
15/05/1982  46      1.3    22.7   8.3    
16/05/1982  12.2    6.2    19.9   7.6    
17/05/1982  18      4.1    17.8   7      
18/05/1982  10.3    8.2    18     8      
19/05/1982  2       5.1    16.9   7.6    
20/05/1982  2.2     4      16.8   9      
21/05/1982  10.1    6.2    19     8      
22/05/1982  5.4     3      18     9.3    
23/05/1982  4       7.1    15.2   9.1    
24/05/1982  10      6.4    20.8   8      
25/05/1982  0       3      19     8.2    
26/05/1982  0       4.8    20.2   10     
27/05/1982  0       4.4    21.4   7.6    
28/05/1982  0       7.4    20.3   9      
29/05/1982  24      7.7    20.8   10.7   
30/05/1982  0       4.7    20.5   9.2    
31/05/1982  0       6.3    21.2   9      
01/06/1982  0       6.7    21.7   7      
02/06/1982  0       7.5    22.9   6.2    
03/06/1982  0       6.6    24.2   7.1    
04/06/1982  0       8.6    25.1   8.2    
05/06/1982  0       6.2    23     8.6    
06/06/1982  6.5     2.4    18.3   9      
07/06/1982  2       5.6    22     8.8    
08/06/1982  0       4.2    22.9   7      
09/06/1982  22.5    5.9    21.8   8      
10/06/1982  0.5     8.5    20.3   7.3    
11/06/1982  7       2.6    19.5   6.6    
12/06/1982  11      5.7    18.5   7      
13/06/1982  5       6.4    18.5   7.3    
14/06/1982  0       3.7    18     5.5    
15/06/1982  0       6.3    21     7      
16/06/1982  0       6.2    22.6   6.2    
17/06/1982  0       6.2    22.8   5.5    
18/06/1982  0       9.1    20.3   6      
19/06/1982  0       3.6    23.9   6      
20/06/1982  0       2.3    20.5   7      
21/06/1982  9.3     3.5    21.8   9.2    
22/06/1982  0       5.3    20     7.5    
23/06/1982  11      2.3    19.7   8.8    
24/06/1982  0       6.3    20.6   7.3    
25/06/1982  0       5.6    20.8   6      
26/06/1982  22      5.2    17.9   6      
27/06/1982  0.1     3.5    19.8   6.3    
28/06/1982  28.1    6.1    20.2   7      
29/06/1982  22.1    5.1    17.8   7      
30/06/1982  4       7.5    17.7   8      
01/07/1982  0       1.5    16.8   7      
02/07/1982  2       2      19     6.2    
