CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 15398
NOMBRE    : LOS REYES -RIO LA COMPAÑÍA-
ESTADO    : MEXICO
MUNICIPIO : La Paz
SITUACION : OPERANDO
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 019.291°
LONGITUD  : -98.894°
ALTITUD   : 2244 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/2014  0       Nulo   22     6      
02/01/2014  0       Nulo   19     5      
03/01/2014  0       Nulo   19     5      
04/01/2014  0       Nulo   22     5      
05/01/2014  0       Nulo   22     6      
06/01/2014  0       Nulo   19     6      
07/01/2014  0       Nulo   18     3      
08/01/2014  0       Nulo   20     3      
09/01/2014  0       Nulo   21     4      
10/01/2014  0       Nulo   22     6      
11/01/2014  0       Nulo   22     6      
12/01/2014  0       Nulo   22     6      
13/01/2014  0       Nulo   22     6      
14/01/2014  3       Nulo   19     6      
15/01/2014  0       Nulo   19     2      
16/01/2014  0       Nulo   19     2      
17/01/2014  0       Nulo   19     3      
18/01/2014  0       Nulo   20     1      
19/01/2014  0       Nulo   19     1      
20/01/2014  0       Nulo   19     2      
21/01/2014  0       Nulo   19     2      
22/01/2014  0       Nulo   22     4      
23/01/2014  0       Nulo   25     4      
24/01/2014  0       Nulo   24     4      
25/01/2014  0       Nulo   25     7      
26/01/2014  0       Nulo   26     6      
27/01/2014  0       Nulo   26     7      
28/01/2014  0       Nulo   22     8      
29/01/2014  0       Nulo   22     7      
30/01/2014  0       Nulo   24     7      
31/01/2014  0       Nulo   24     7      
01/02/2014  0       Nulo   24     7      
02/02/2014  0       Nulo   21     8      
03/02/2014  0       Nulo   24     9      
04/02/2014  0       Nulo   25     8      
05/02/2014  0       Nulo   24     8      
06/02/2014  0       Nulo   24     8      
07/02/2014  1       Nulo   25     9      
08/02/2014  0       Nulo   25     8      
09/02/2014  0       Nulo   25     7      
10/02/2014  8       Nulo   26     8      
11/02/2014  0       Nulo   26     8      
12/02/2014  0       Nulo   25     7      
13/02/2014  0       Nulo   26     7      
14/02/2014  0       Nulo   25     6      
15/02/2014  0       Nulo   24     6      
16/02/2014  0       Nulo   23     7      
17/02/2014  0       Nulo   23     7      
18/02/2014  0       Nulo   24     7      
19/02/2014  0       Nulo   25     9      
20/02/2014  0       Nulo   25     10     
21/02/2014  0       Nulo   24     9      
22/02/2014  0       Nulo   24     6      
23/02/2014  0       Nulo   24     10     
24/02/2014  0       Nulo   26     10     
25/02/2014  0       Nulo   27     11     
26/02/2014  0       Nulo   26     12     
27/02/2014  0       Nulo   26     8      
28/02/2014  0       Nulo   26     8      
01/03/2014  0       Nulo   26     10     
02/03/2014  0       Nulo   27     10     
03/03/2014  0       Nulo   26     9      
04/03/2014  0       Nulo   26     10     
05/03/2014  0       Nulo   26     9      
06/03/2014  0       Nulo   27     9      
07/03/2014  8       Nulo   23     9      
08/03/2014  0       Nulo   25     9      
09/03/2014  0       Nulo   23     11     
10/03/2014  0       Nulo   24     11     
11/03/2014  0       Nulo   23     10     
12/03/2014  0       Nulo   22     9      
13/03/2014  0       Nulo   25     9      
14/03/2014  1       Nulo   27     11     
15/03/2014  0       Nulo   27     11     
16/03/2014  0       Nulo   28     9      
17/03/2014  0       Nulo   26     9      
