CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 16011
NOMBRE    : BUENAVISTA I
ESTADO    : MICHOACAN
MUNICIPIO : Buenavista
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.209°
LONGITUD  : -102.587°
ALTITUD   : 450 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
06/02/1969  0       Nulo   Nulo   Nulo   
07/02/1969  0       Nulo   36     15.5   
08/02/1969  0       Nulo   35     19     
09/02/1969  0       Nulo   36     16.5   
10/02/1969  0       Nulo   35     17     
11/02/1969  0       Nulo   34.5   19     
12/02/1969  0       Nulo   34.5   20.5   
13/02/1969  1       Nulo   32.5   20.5   
14/02/1969  0       Nulo   33     Nulo   
15/02/1969  0       Nulo   34     15     
16/02/1969  0       Nulo   33.5   15     
17/02/1969  0       Nulo   35     15.5   
18/02/1969  0       Nulo   35     17     
19/02/1969  0       Nulo   32.5   18     
20/02/1969  0       Nulo   27.5   19.5   
21/02/1969  0       Nulo   36.5   21     
22/02/1969  0       Nulo   31.5   19     
23/02/1969  0       Nulo   34.5   17.5   
24/02/1969  0       Nulo   31     18.5   
25/02/1969  0       Nulo   36     19.5   
26/02/1969  0       Nulo   27.5   19     
27/02/1969  0       Nulo   23     18.5   
28/02/1969  0       Nulo   33     18.5   
01/03/1969  0       Nulo   26     18.5   
02/03/1969  0       Nulo   26     18     
03/03/1969  0       Nulo   25     18.5   
04/03/1969  0       Nulo   30     17.5   
05/03/1969  0       Nulo   31.5   18.5   
06/03/1969  0       Nulo   26     17     
07/03/1969  0       Nulo   28     17     
08/03/1969  0       Nulo   31.5   16     
09/03/1969  0       Nulo   25.5   17.5   
10/03/1969  0       Nulo   27.5   19.5   
11/03/1969  0       Nulo   34.5   20.5   
12/03/1969  0       Nulo   33     19     
13/03/1969  0       Nulo   30     18     
14/03/1969  0       Nulo   27     18     
15/03/1969  0       Nulo   25.5   18.5   
16/03/1969  0       Nulo   33     19.5   
17/03/1969  0       Nulo   28     21     
18/03/1969  0       Nulo   28     22.5   
19/03/1969  0       Nulo   27     22.5   
20/03/1969  0       Nulo   34.5   22     
21/03/1969  0       Nulo   27     23     
22/03/1969  0       Nulo   26     22.5   
23/03/1969  0       Nulo   26.5   21     
24/03/1969  0       Nulo   25.5   21.5   
25/03/1969  0       Nulo   25.5   22     
26/03/1969  0       Nulo   28.5   22.5   
27/03/1969  0       Nulo   27.5   19.5   
28/03/1969  0       Nulo   28.5   19.5   
29/03/1969  0       Nulo   28     19.5   
30/03/1969  0       Nulo   29     20     
31/03/1969  0       Nulo   28     23     
01/04/1969  0       Nulo   32.5   23     
02/04/1969  0       Nulo   26.5   20.5   
03/04/1969  0       Nulo   30     20.5   
04/04/1969  0       Nulo   27.5   21     
05/04/1969  0       Nulo   28     21     
06/04/1969  0       Nulo   28.5   22     
07/04/1969  0       Nulo   29     21     
08/04/1969  0       Nulo   29.5   19     
09/04/1969  0       Nulo   29     24     
10/04/1969  0       Nulo   28.5   21.5   
11/04/1969  0       Nulo   28     19     
12/04/1969  0       Nulo   27     18.5   
13/04/1969  0       Nulo   28     20     
14/04/1969  0       Nulo   26     18     
15/04/1969  0       Nulo   27.5   18     
16/04/1969  0       Nulo   25.5   18.5   
17/04/1969  0       Nulo   28.5   18.5   
18/04/1969  0       Nulo   25.5   18.5   
19/04/1969  0       Nulo   24.5   16.5   
20/04/1969  0       Nulo   25.5   18.5   
21/04/1969  0       Nulo   26.5   19.5   
22/04/1969  0       Nulo   25.5   20     
23/04/1969  0       Nulo   27     18.5   
24/04/1969  0       Nulo   25.5   17.5   
25/04/1969  0       Nulo   26     17.5   
26/04/1969  0       Nulo   27.5   20     
27/04/1969  0       Nulo   25.5   18     
28/04/1969  0       Nulo   26.5   20     
29/04/1969  0       Nulo   25     19.5   
30/04/1969  0       Nulo   25.5   18.5   
01/05/1969  0       Nulo   Nulo   Nulo   
02/05/1969  0       Nulo   Nulo   Nulo   
03/05/1969  0       Nulo   Nulo   Nulo   
04/05/1969  0       Nulo   Nulo   Nulo   
05/05/1969  0       Nulo   Nulo   Nulo   
06/05/1969  0       Nulo   Nulo   Nulo   
07/05/1969  0       Nulo   Nulo   Nulo   
08/05/1969  0       Nulo   Nulo   Nulo   
09/05/1969  0       Nulo   Nulo   Nulo   
10/05/1969  0       Nulo   Nulo   Nulo   
11/05/1969  0       Nulo   Nulo   Nulo   
12/05/1969  0       Nulo   Nulo   Nulo   
13/05/1969  0       Nulo   Nulo   Nulo   
14/05/1969  0       Nulo   Nulo   Nulo   
15/05/1969  0       Nulo   Nulo   Nulo   
16/05/1969  0       Nulo   Nulo   Nulo   
17/05/1969  0       Nulo   Nulo   Nulo   
18/05/1969  0       Nulo   Nulo   Nulo   
19/05/1969  0       Nulo   Nulo   Nulo   
20/05/1969  0       Nulo   Nulo   Nulo   
21/05/1969  0       Nulo   Nulo   Nulo   
22/05/1969  0       Nulo   Nulo   Nulo   
23/05/1969  0       Nulo   Nulo   Nulo   
24/05/1969  0       Nulo   Nulo   Nulo   
25/05/1969  0       Nulo   Nulo   Nulo   
26/05/1969  0       Nulo   Nulo   Nulo   
27/05/1969  0       Nulo   Nulo   Nulo   
28/05/1969  0       Nulo   Nulo   Nulo   
29/05/1969  0       Nulo   Nulo   Nulo   
30/05/1969  0       Nulo   Nulo   Nulo   
31/05/1969  0       Nulo   Nulo   Nulo   
01/06/1969  0       Nulo   37     23     
02/06/1969  0       Nulo   38.5   22     
03/06/1969  0       Nulo   37     24.5   
04/06/1969  0       Nulo   37     24.5   
05/06/1969  0       Nulo   38.5   24.5   
06/06/1969  0       Nulo   39.5   25.5   
07/06/1969  0       Nulo   38     25     
08/06/1969  0       Nulo   38.5   25     
09/06/1969  0       Nulo   38.5   24.5   
10/06/1969  0       Nulo   37     24     
11/06/1969  0       Nulo   37     24.5   
12/06/1969  0       Nulo   32.5   24     
13/06/1969  0       Nulo   32.5   24     
14/06/1969  0       Nulo   33.5   25     
15/06/1969  0       Nulo   34     24.5   
16/06/1969  0       Nulo   34     26     
17/06/1969  0       Nulo   34     25.5   
18/06/1969  0       Nulo   33.5   25     
19/06/1969  0       Nulo   34     23.5   
20/06/1969  17      Nulo   33     23     
21/06/1969  0       Nulo   33.5   22     
22/06/1969  14.5    Nulo   32     23     
23/06/1969  0       Nulo   34     22     
24/06/1969  0       Nulo   32     23     
25/06/1969  15.8    Nulo   32     24.5   
26/06/1969  0       Nulo   32     23.5   
27/06/1969  0       Nulo   31     24.5   
28/06/1969  21.4    Nulo   31.5   23     
29/06/1969  1       Nulo   31.5   22     
30/06/1969  0       Nulo   34     22.5   
01/07/1969  1.5     Nulo   Nulo   Nulo   
