CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 16026
NOMBRE    : CUATRO CAMINOS
ESTADO    : MICHOACAN
MUNICIPIO : Múgica
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 018.988°
LONGITUD  : -102.103°
ALTITUD   : 672 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/09/1962  12      3.4    24     16     
02/09/1962  1.5     5.4    24     15.5   
03/09/1962  53.5    6.2    29     16     
04/09/1962  0.5     3.7    28.5   16     
05/09/1962  11.5    5.7    30.5   16     
06/09/1962  1.5     4.4    28     15     
07/09/1962  2       4.8    29.5   15.5   
08/09/1962  0.5     4.3    28.5   15.5   
09/09/1962  0       5.6    29.5   14.5   
10/09/1962  52      7      31     15.5   
11/09/1962  1       3      25     14.5   
12/09/1962  0       5.7    29     15     
13/09/1962  0       4.7    29     17.5   
14/09/1962  0       4.9    32     16.5   
15/09/1962  0       3.5    30     17     
16/09/1962  2.3     5.7    30     16     
17/09/1962  0       3.7    28.5   16     
18/09/1962  0       6      30.5   17.5   
19/09/1962  0       3.8    28     16     
20/09/1962  2.5     4.9    30     17     
21/09/1962  0       3.2    28     15     
22/09/1962  4       5.3    31     16.5   
23/09/1962  6.8     3.4    28     15.5   
24/09/1962  0       3.6    29     15     
25/09/1962  0       9.2    30     16.5   
26/09/1962  25      3.4    32     16.5   
27/09/1962  0       4      29     16     
28/09/1962  0       4.5    29     17     
29/09/1962  0       6.1    31     17.5   
30/09/1962  10      5      30     18     
01/10/1962  12.5    3.3    22.5   16.5   
02/10/1962  12.5    3.6    25     14.5   
03/10/1962  0       3.5    27     15     
04/10/1962  0       4.7    28     14     
05/10/1962  1       4.4    31.5   15     
06/10/1962  7.5     2.3    30     18     
07/10/1962  0       4.3    30     15     
08/10/1962  1.5     5.2    27     15     
09/10/1962  0       3.7    27.5   15.5   
10/10/1962  0       5.3    29     15.5   
11/10/1962  0       5.1    29     15     
12/10/1962  0       6      29.5   15     
13/10/1962  17      8      30     16     
14/10/1962  0       3.6    27.5   15     
15/10/1962  12.5    7.8    30     15.5   
16/10/1962  12      5.9    27.5   14.5   
17/10/1962  17.5    5.6    28.5   15     
18/10/1962  0       5.4    28     13.5   
19/10/1962  0       4.8    29     15     
20/10/1962  0       6      30     16     
21/10/1962  0       4.4    30     16.5   
22/10/1962  0       5.6    29.5   17     
23/10/1962  0       6      31     17     
24/10/1962  0       5.7    29.5   15     
25/10/1962  0       6      28.5   13     
26/10/1962  0       5.5    29     12.5   
27/10/1962  0       7      30     13     
28/10/1962  0       5.5    31     14     
29/10/1962  0       5.9    33.5   15     
30/10/1962  0       3.5    28.5   15.5   
31/10/1962  0       6.3    29     16     
01/11/1962  0       5.4    29     14.5   
02/11/1962  0       5.3    30     12.5   
03/11/1962  0       4.3    30     14     
04/11/1962  32.5    0.9    29.5   15.5   
05/11/1962  0       0.6    22     13     
06/11/1962  0       4.1    27     13     
07/11/1962  0       5.1    29     13     
08/11/1962  0       6.3    29     13.5   
09/11/1962  0       4.6    28.5   13     
10/11/1962  0       5.2    28     12     
11/11/1962  0       6.2    29.5   12     
12/11/1962  0       6.5    29     10.5   
13/11/1962  0       5.6    28.5   9.5    
14/11/1962  0       5.8    27.5   8      
15/11/1962  0       4.9    28     9.5    
16/11/1962  0       5.3    28     10     
17/11/1962  0       4.7    27.5   11     
18/11/1962  0       5      28     10     
19/11/1962  0       5.8    29     10     
20/11/1962  0       5      29     10     
21/11/1962  0       4.7    29     10.5   
22/11/1962  0       6.1    28     11     
23/11/1962  0       4.8    29     11     
24/11/1962  0       5.4    29.5   12     
25/11/1962  0       5.5    30.5   14     
26/11/1962  0       10     33     16     
27/11/1962  0       5.4    29     14     
28/11/1962  0       3.9    30     13     
29/11/1962  0       5.5    29.5   15.5   
30/11/1962  0       4.4    27     13     
01/12/1962  0       4.2    27     13     
02/12/1962  0       3.8    26     12     
03/12/1962  0       3      24     13     
