CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 16065
NOMBRE    : LA PIEDAD DE CABADAS (DGE)
ESTADO    : MICHOACAN
MUNICIPIO : La Piedad
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.337°
LONGITUD  : -102.021°
ALTITUD   : 1684 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1925  0       Nulo   21     7      
02/01/1925  0       Nulo   21.5   10     
03/01/1925  0       Nulo   21     8.5    
04/01/1925  0       Nulo   22     8      
05/01/1925  0       Nulo   21     9.5    
06/01/1925  0       Nulo   22.5   6.5    
07/01/1925  0       Nulo   25     7.5    
08/01/1925  0       Nulo   26     6.5    
09/01/1925  0       Nulo   21     4.5    
10/01/1925  0       Nulo   20     8.5    
11/01/1925  0       Nulo   22.5   9.5    
12/01/1925  0       Nulo   20.5   6.5    
13/01/1925  0       Nulo   24     4.5    
14/01/1925  0       Nulo   26     8.5    
15/01/1925  0       Nulo   22.5   6      
16/01/1925  0       Nulo   23     7      
17/01/1925  0       Nulo   24     5      
18/01/1925  0       Nulo   21.5   9.5    
19/01/1925  0       Nulo   25     7.5    
20/01/1925  10      Nulo   23     7.5    
21/01/1925  0       Nulo   21.5   10     
22/01/1925  0       Nulo   17     8.5    
23/01/1925  0       Nulo   27     3.5    
24/01/1925  0       Nulo   19     7.5    
25/01/1925  0       Nulo   20     6.5    
26/01/1925  0       Nulo   23.5   6.5    
27/01/1925  0       Nulo   23     7.5    
28/01/1925  0       Nulo   22.5   9      
29/01/1925  0       Nulo   23     6.5    
30/01/1925  0       Nulo   23     8.5    
31/01/1925  Nulo    Nulo   19.5   7.5    
01/02/1925  0       Nulo   23     7.5    
02/02/1925  0       Nulo   22.5   9.5    
03/02/1925  0       Nulo   21     6.5    
04/02/1925  0       Nulo   22     10     
05/02/1925  0       Nulo   22.5   9      
06/02/1925  0       Nulo   21.5   9.5    
07/02/1925  0       Nulo   24     13     
08/02/1925  0       Nulo   27     6.5    
09/02/1925  0       Nulo   17     9      
10/02/1925  0       Nulo   20     8.5    
11/02/1925  0       Nulo   23.5   6.5    
12/02/1925  0       Nulo   20.5   6.5    
13/02/1925  0       Nulo   21     7.5    
14/02/1925  0       Nulo   21.5   2.5    
15/02/1925  0       Nulo   27.5   9.5    
16/02/1925  0       Nulo   21.5   9.5    
17/02/1925  0       Nulo   20.5   9.5    
18/02/1925  0       Nulo   20     6      
19/02/1925  0       Nulo   21.5   9      
20/02/1925  0       Nulo   19.5   9.5    
21/02/1925  0       Nulo   21.5   9.5    
22/02/1925  0       Nulo   22     9.5    
23/02/1925  0       Nulo   23     9.5    
24/02/1925  0       Nulo   22     10     
25/02/1925  30      Nulo   23     12     
26/02/1925  0       Nulo   22     12.5   
27/02/1925  0       Nulo   24.5   12     
28/02/1925  0       Nulo   Nulo   7.5    
01/03/1925  Nulo    Nulo   22.5   8.5    
02/03/1925  Nulo    Nulo   22.5   6.5    
03/03/1925  Nulo    Nulo   22.5   9      
04/03/1925  Nulo    Nulo   29     9.5    
05/03/1925  Nulo    Nulo   22.5   10     
06/03/1925  Nulo    Nulo   21.5   12     
07/03/1925  Nulo    Nulo   21.5   11     
08/03/1925  Nulo    Nulo   23     10     
09/03/1925  Nulo    Nulo   31     6.5    
10/03/1925  Nulo    Nulo   27.5   9.5    
11/03/1925  Nulo    Nulo   31     11     
12/03/1925  Nulo    Nulo   30.5   11.5   
13/03/1925  Nulo    Nulo   21.5   11.5   
14/03/1925  Nulo    Nulo   19     9.5    
15/03/1925  Nulo    Nulo   32     7.5    
16/03/1925  Nulo    Nulo   28.5   10     
17/03/1925  Nulo    Nulo   26.5   10     
18/03/1925  Nulo    Nulo   23     10.5   
19/03/1925  Nulo    Nulo   31     12     
20/03/1925  Nulo    Nulo   22     10.5   
21/03/1925  Nulo    Nulo   23.5   11.5   
22/03/1925  Nulo    Nulo   27     7.5    
23/03/1925  Nulo    Nulo   25     12     
24/03/1925  Nulo    Nulo   23     8      
25/03/1925  Nulo    Nulo   22     10     
