CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 16126
NOMBRE    : TANHUATO (SMN)
ESTADO    : MICHOACAN
MUNICIPIO : Tanhuato
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 020.267°
LONGITUD  : -102.35°
ALTITUD   : 1540 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
10/06/1943  0       Nulo   31     Nulo   
11/06/1943  0       Nulo   35     19.5   
12/06/1943  12.9    Nulo   24     21     
13/06/1943  0       Nulo   25     19.5   
14/06/1943  22      Nulo   26     20.5   
15/06/1943  2       Nulo   30     20.5   
16/06/1943  0       Nulo   31     15.5   
17/06/1943  0       Nulo   25.5   17     
18/06/1943  3       Nulo   29.5   18     
19/06/1943  25      Nulo   24     17.5   
20/06/1943  47      Nulo   28     16     
21/06/1943  0.2     Nulo   21.5   15     
22/06/1943  25      Nulo   27     17     
23/06/1943  11      Nulo   30     17     
24/06/1943  10.5    Nulo   27     18     
25/06/1943  19      Nulo   29     17     
26/06/1943  8.2     Nulo   27     15.5   
27/06/1943  7.2     Nulo   29     15.5   
28/06/1943  0       Nulo   29     15     
29/06/1943  1.7     Nulo   30     16     
30/06/1943  0       Nulo   30.5   16.5   
01/07/1943  0       Nulo   30     15     
02/07/1943  6.5     Nulo   29     17.5   
03/07/1943  2.5     Nulo   25.5   17     
04/07/1943  0       Nulo   28     13.5   
05/07/1943  0       Nulo   30     17     
06/07/1943  2.5     Nulo   32     17     
07/07/1943  5.5     Nulo   27     15.5   
08/07/1943  0       Nulo   31     15     
09/07/1943  0       Nulo   32     17     
10/07/1943  12.2    Nulo   32     18     
11/07/1943  21.5    Nulo   29     16     
12/07/1943  0       Nulo   28     17     
13/07/1943  0       Nulo   30     17     
14/07/1943  0       Nulo   30     16     
15/07/1943  0       Nulo   32     17     
16/07/1943  1       Nulo   31     15.5   
17/07/1943  5       Nulo   31     17     
18/07/1943  9       Nulo   30.5   16     
19/07/1943  12      Nulo   29.5   14     
20/07/1943  0       Nulo   29     16.5   
21/07/1943  0       Nulo   30     17     
22/07/1943  0       Nulo   31     17     
23/07/1943  0       Nulo   31     18     
24/07/1943  0       Nulo   31     18     
25/07/1943  0       Nulo   33     16     
26/07/1943  0       Nulo   33     17     
27/07/1943  0       Nulo   30.5   17     
28/07/1943  0       Nulo   32     18     
29/07/1943  0       Nulo   34     18     
30/07/1943  10      Nulo   25.5   18     
31/07/1943  0.5     Nulo   27     18     
01/08/1943  1       Nulo   32     16.5   
02/08/1943  2.5     Nulo   30.5   15     
03/08/1943  1.5     Nulo   29     18     
04/08/1943  10      Nulo   33     18.5   
05/08/1943  11.5    Nulo   29     16.5   
06/08/1943  3       Nulo   30     16.5   
07/08/1943  11      Nulo   28     16.5   
08/08/1943  9.6     Nulo   30     17     
09/08/1943  19      Nulo   30.5   15.5   
10/08/1943  0       Nulo   31     16     
11/08/1943  0       Nulo   31     18     
12/08/1943  18      Nulo   26     17.5   
13/08/1943  0       Nulo   27     16     
14/08/1943  0       Nulo   29     17     
15/08/1943  0       Nulo   30     17     
16/08/1943  0       Nulo   31     16.5   
17/08/1943  0       Nulo   30     17     
18/08/1943  0       Nulo   32.5   17     
19/08/1943  0       Nulo   32     16.5   
20/08/1943  32.5    Nulo   31     16     
21/08/1943  41      Nulo   28     16.5   
22/08/1943  20      Nulo   29     16     
23/08/1943  17.5    Nulo   30     16     
24/08/1943  1       Nulo   29     16.5   
25/08/1943  20      Nulo   31     16.5   
26/08/1943  0       Nulo   30.5   18.5   
27/08/1943  1       Nulo   31     17     
28/08/1943  3       Nulo   31     17.5   
29/08/1943  1.5     Nulo   30     16     
30/08/1943  0       Nulo   30     16     
31/08/1943  2.5     Nulo   31     18.5   
01/09/1943  1.5     Nulo   27     18     
02/09/1943  4.5     Nulo   29     17     
03/09/1943  0       Nulo   31     16.5   
04/09/1943  4.5     Nulo   30     17     
05/09/1943  17      Nulo   29     17     
06/09/1943  4.5     Nulo   30.5   15.5   
07/09/1943  0       Nulo   29     17     
08/09/1943  0.5     Nulo   28.5   17     
09/09/1943  0.5     Nulo   29     18     
10/09/1943  13.5    Nulo   32     16.5   
11/09/1943  2       Nulo   30     17     
12/09/1943  0       Nulo   29     17.5   
13/09/1943  0       Nulo   29     17     
14/09/1943  10.3    Nulo   31.5   18     
15/09/1943  4.5     Nulo   30     17.5   
16/09/1943  12.5    Nulo   29     18     
17/09/1943  13      Nulo   28     18     
18/09/1943  9.5     Nulo   26.5   16.5   
19/09/1943  0       Nulo   29.5   17     
20/09/1943  12      Nulo   31.5   17     
21/09/1943  2       Nulo   30     17     
22/09/1943  2.8     Nulo   26     17     
23/09/1943  2.5     Nulo   26     17     
24/09/1943  0       Nulo   30     17.5   
25/09/1943  0       Nulo   29     18     
26/09/1943  0       Nulo   28     16     
27/09/1943  5       Nulo   29     17     
28/09/1943  1.5     Nulo   31     18     
29/09/1943  0       Nulo   30     18     
30/09/1943  1.5     Nulo   31.5   17     
01/10/1943  0       Nulo   29.5   17.5   
02/10/1943  0       Nulo   29.5   18     
03/10/1943  0       Nulo   29     16     
04/10/1943  0       Nulo   28     16     
05/10/1943  0       Nulo   26.5   14     
06/10/1943  0       Nulo   26     15     
07/10/1943  0       Nulo   26.5   15     
08/10/1943  0       Nulo   26.5   16     
09/10/1943  0       Nulo   22     16     
10/10/1943  0       Nulo   29     14     
11/10/1943  0       Nulo   28     16     
12/10/1943  0       Nulo   26     16     
13/10/1943  0       Nulo   32     15.5   
14/10/1943  0       Nulo   26.5   17     
15/10/1943  0       Nulo   31     16.5   
16/10/1943  0       Nulo   28.5   16     
17/10/1943  0       Nulo   29     13.5   
18/10/1943  0       Nulo   30     14     
19/10/1943  0       Nulo   29     15     
20/10/1943  0       Nulo   29     17     
21/10/1943  0       Nulo   32     15.5   
22/10/1943  0       Nulo   32     15.5   
23/10/1943  0       Nulo   31     14     
24/10/1943  0       Nulo   31     15.5   
25/10/1943  0       Nulo   28.5   15.5   
26/10/1943  0       Nulo   29     12.5   
27/10/1943  0       Nulo   29     10.5   
28/10/1943  0       Nulo   29     16     
29/10/1943  0       Nulo   29     10     
30/10/1943  5.5     Nulo   27     14     
31/10/1943  0       Nulo   27     13     
01/11/1943  0       Nulo   28     13     
02/11/1943  0       Nulo   30.5   15.5   
03/11/1943  0       Nulo   31     15     
04/11/1943  0       Nulo   32     15     
05/11/1943  0       Nulo   31     14     
06/11/1943  0       Nulo   29     13.5   
07/11/1943  0       Nulo   29     12.5   
08/11/1943  0       Nulo   28     13     
09/11/1943  0       Nulo   26     11.5   
10/11/1943  0       Nulo   25.5   10     
11/11/1943  0       Nulo   25     10     
12/11/1943  0       Nulo   26.5   10.5   
13/11/1943  4       Nulo   27.5   12     
14/11/1943  0       Nulo   27.5   13.5   
15/11/1943  5       Nulo   27     11     
16/11/1943  0       Nulo   27.5   10     
17/11/1943  0       Nulo   25.5   11.5   
18/11/1943  0       Nulo   25.5   10.5   
19/11/1943  0       Nulo   26     10     
20/11/1943  0       Nulo   25.5   9      
21/11/1943  0       Nulo   27     9      
22/11/1943  0       Nulo   27.5   9      
23/11/1943  0       Nulo   25     10.5   
24/11/1943  0       Nulo   26     12     
25/11/1943  0       Nulo   24     12     
26/11/1943  0       Nulo   26     9      
27/11/1943  0       Nulo   26     8      
28/11/1943  0       Nulo   27     9      
29/11/1943  0       Nulo   27     9      
30/11/1943  0       Nulo   26     11     
01/12/1943  0       Nulo   25     12     
02/12/1943  5.5     Nulo   26     13     
03/12/1943  0       Nulo   25     12     
04/12/1943  0       Nulo   25.5   13     
05/12/1943  0       Nulo   26     15     
06/12/1943  0       Nulo   29     11     
07/12/1943  0       Nulo   29     12     
08/12/1943  0       Nulo   27     11.5   
09/12/1943  1.5     Nulo   22     14.5   
10/12/1943  0       Nulo   23     13     
11/12/1943  0       Nulo   24     12     
12/12/1943  0       Nulo   27     12.5   
13/12/1943  0       Nulo   27     10.5   
14/12/1943  0       Nulo   26.5   10.5   
15/12/1943  0       Nulo   28     10     
16/12/1943  0       Nulo   28.5   10.5   
17/12/1943  0       Nulo   27     10     
18/12/1943  0       Nulo   23     8      
19/12/1943  0       Nulo   26     5      
20/12/1943  0       Nulo   27     6      
21/12/1943  0       Nulo   27     5      
22/12/1943  0       Nulo   25.5   7      
23/12/1943  5.5     Nulo   26     7.5    
24/12/1943  4       Nulo   20     9.5    
25/12/1943  0       Nulo   21     11     
26/12/1943  0       Nulo   22.5   6      
27/12/1943  0       Nulo   21.5   8      
28/12/1943  0       Nulo   27     9      
29/12/1943  0       Nulo   27     7      
30/12/1943  0       Nulo   27     8      
31/12/1943  0       Nulo   27.5   8      
01/01/1944  0       Nulo   23     9      
02/01/1944  0       Nulo   24     8.5    
03/01/1944  0       Nulo   26     5.5    
04/01/1944  0       Nulo   26     6.5    
05/01/1944  0       Nulo   29     10.5   
06/01/1944  0       Nulo   26     12     
07/01/1944  0       Nulo   22     8      
08/01/1944  0       Nulo   24     8      
09/01/1944  0       Nulo   24     8      
10/01/1944  0       Nulo   28     8      
11/01/1944  0       Nulo   24     9      
12/01/1944  8       Nulo   21     8.5    
13/01/1944  1       Nulo   22     4.5    
14/01/1944  0       Nulo   22     4.5    
15/01/1944  0       Nulo   24     5.5    
16/01/1944  0       Nulo   24     5      
17/01/1944  0       Nulo   24     6      
18/01/1944  0       Nulo   23     6      
19/01/1944  0       Nulo   25     7      
20/01/1944  0       Nulo   24     8      
21/01/1944  0       Nulo   25     9      
22/01/1944  0       Nulo   28     8      
23/01/1944  0       Nulo   26     8      
24/01/1944  0       Nulo   22     9      
25/01/1944  0       Nulo   21     9      
26/01/1944  1.5     Nulo   21     9      
27/01/1944  0       Nulo   21     10     
28/01/1944  0       Nulo   25     9      
29/01/1944  0       Nulo   20     10     
30/01/1944  0       Nulo   25     9      
31/01/1944  0       Nulo   27     12     
01/02/1944  2       Nulo   23     13     
02/02/1944  5       Nulo   25     13     
03/02/1944  0       Nulo   25     12     
04/02/1944  0       Nulo   27     10     
05/02/1944  0       Nulo   28     13     
06/02/1944  0       Nulo   27     13     
07/02/1944  0       Nulo   27     11     
08/02/1944  0       Nulo   29     10.5   
09/02/1944  0       Nulo   29     11     
10/02/1944  0       Nulo   28     11     
11/02/1944  0       Nulo   28     10.5   
12/02/1944  0       Nulo   27     14     
13/02/1944  0       Nulo   27     10.5   
14/02/1944  0       Nulo   28     10.5   
15/02/1944  0       Nulo   29     10     
16/02/1944  0       Nulo   28     14     
17/02/1944  0       Nulo   29     13     
18/02/1944  0       Nulo   27     13     
19/02/1944  0       Nulo   29     12     
20/02/1944  0       Nulo   27.5   11     
21/02/1944  0       Nulo   28     12.5   
22/02/1944  0       Nulo   29     12     
23/02/1944  0       Nulo   29     12.5   
24/02/1944  0       Nulo   29.5   12     
25/02/1944  0       Nulo   29     11     
26/02/1944  0       Nulo   30     12     
27/02/1944  0       Nulo   28.5   13     
28/02/1944  0       Nulo   28     10     
29/02/1944  0       Nulo   32     12     
01/03/1944  0       Nulo   31     12     
02/03/1944  3       Nulo   31     14     
03/03/1944  0       Nulo   28     13     
04/03/1944  0       Nulo   27.5   14     
05/03/1944  0       Nulo   30     11     
06/03/1944  0       Nulo   28.5   9      
07/03/1944  0       Nulo   30     9      
08/03/1944  0       Nulo   30.5   10.5   
09/03/1944  0       Nulo   27.5   13.5   
10/03/1944  1       Nulo   27.5   15     
11/03/1944  0       Nulo   23     8      
12/03/1944  0       Nulo   28.5   8      
13/03/1944  0       Nulo   27     10.5   
14/03/1944  0       Nulo   30.5   11.5   
15/03/1944  5       Nulo   28     15     
16/03/1944  0       Nulo   26     10     
17/03/1944  0       Nulo   29.5   10     
18/03/1944  1.5     Nulo   22     12     
19/03/1944  0       Nulo   26     11     
20/03/1944  0       Nulo   28     8      
21/03/1944  0       Nulo   29     9      
22/03/1944  0       Nulo   30     10     
23/03/1944  0       Nulo   30     10     
24/03/1944  0       Nulo   30     10     
25/03/1944  0       Nulo   30.5   9      
26/03/1944  0       Nulo   30     10     
27/03/1944  0       Nulo   31     11     
28/03/1944  0       Nulo   30     12     
29/03/1944  0       Nulo   30     11.5   
30/03/1944  0       Nulo   30     12     
31/03/1944  0       Nulo   29     11     
01/04/1944  0       Nulo   29.5   8      
02/04/1944  0       Nulo   29     11     
03/04/1944  0       Nulo   32     10.5   
04/04/1944  0       Nulo   32     13     
05/04/1944  0       Nulo   31     12     
06/04/1944  0       Nulo   32     13     
07/04/1944  0       Nulo   30     14     
08/04/1944  0       Nulo   30     14     
09/04/1944  0       Nulo   29.5   12     
10/04/1944  0       Nulo   30     11     
11/04/1944  0       Nulo   32     11     
12/04/1944  0       Nulo   31     13     
13/04/1944  0       Nulo   31     12     
14/04/1944  0       Nulo   23     13     
15/04/1944  0       Nulo   33     14     
16/04/1944  0       Nulo   33     16     
17/04/1944  0       Nulo   33     16     
18/04/1944  0       Nulo   34     15     
19/04/1944  0       Nulo   24     13     
20/04/1944  0       Nulo   32     15     
21/04/1944  0       Nulo   31.5   14     
22/04/1944  0       Nulo   32     14     
23/04/1944  0       Nulo   33     13     
24/04/1944  0       Nulo   34     14     
25/04/1944  0       Nulo   32     14     
26/04/1944  0       Nulo   35     14.5   
27/04/1944  0       Nulo   34     15     
28/04/1944  0       Nulo   32     16     
29/04/1944  0       Nulo   22.5   16     
30/04/1944  0       Nulo   34     15     
01/05/1944  0       Nulo   32     19     
02/05/1944  0       Nulo   32     16     
03/05/1944  0       Nulo   33     16     
04/05/1944  0       Nulo   34     18     
05/05/1944  0       Nulo   33     18     
06/05/1944  1       Nulo   33     16     
07/05/1944  0       Nulo   33     16     
08/05/1944  0       Nulo   33     16     
09/05/1944  0       Nulo   33     16.5   
10/05/1944  0       Nulo   34     20     
11/05/1944  3       Nulo   33     18     
12/05/1944  0       Nulo   32     16     
13/05/1944  0       Nulo   31     15     
14/05/1944  0       Nulo   31     14     
15/05/1944  0       Nulo   32     14     
16/05/1944  0       Nulo   31     15     
17/05/1944  0       Nulo   31     15     
18/05/1944  0       Nulo   33.5   15.5   
19/05/1944  0       Nulo   32     16     
20/05/1944  0       Nulo   29     16     
21/05/1944  0       Nulo   33     15.5   
22/05/1944  0       Nulo   34     12     
23/05/1944  0       Nulo   34     17     
24/05/1944  0       Nulo   35     18     
25/05/1944  0       Nulo   32     16     
26/05/1944  0       Nulo   32     14     
27/05/1944  0       Nulo   33     16     
28/05/1944  0       Nulo   35     17     
29/05/1944  0       Nulo   35     18     
