CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 16161
NOMBRE    : LA VILLITA
ESTADO    : MICHOACAN
MUNICIPIO : Lázaro Cárdenas
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 018.046°
LONGITUD  : -102.188°
ALTITUD   : 65 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/04/1961  0       8.9    29     19.5   
02/04/1961  0       4.7    29.5   18     
03/04/1961  0       7.2    32     18     
04/04/1961  0       5.9    30     16     
05/04/1961  0       7.9    31     17     
06/04/1961  0       8      32     16     
07/04/1961  0       7.7    33     17     
08/04/1961  0       7.6    34     17     
09/04/1961  0       7.7    34     17     
10/04/1961  0       7.3    36     17     
11/04/1961  0       7.8    33     16     
12/04/1961  0       7.6    33.5   19     
13/04/1961  0       5.9    32     17     
14/04/1961  0       7.9    32     15     
15/04/1961  0       7.3    34     14.5   
16/04/1961  0       5.6    32     15     
17/04/1961  0       7.6    32     14     
18/04/1961  0       6.7    35     16     
19/04/1961  0       5.4    34     19     
20/04/1961  0       5.9    33.5   21     
21/04/1961  0       6      33     20     
22/04/1961  0       6.2    33     21     
23/04/1961  0       7.8    33     21.5   
24/04/1961  0       7      35     20     
25/04/1961  0       6.7    34     21     
26/04/1961  0       6.4    33     20     
27/04/1961  0       6.2    33     20     
28/04/1961  0       7      33     20     
29/04/1961  0       8.2    33.5   21     
30/04/1961  0       6.6    34     21     
01/05/1961  0       6.1    33     21     
02/05/1961  0       5.8    36.5   18.5   
03/05/1961  0       7.7    33     16     
04/05/1961  0       5.8    31.5   16.5   
05/05/1961  0       6.7    32     17     
06/05/1961  0       6      33     18     
07/05/1961  0       5.1    34     18     
08/05/1961  0       7.8    34     18     
09/05/1961  0       8      36     19     
10/05/1961  0       7.8    35     22     
11/05/1961  0       7.4    32     23     
12/05/1961  0       7.9    33     21     
13/05/1961  0       7      33     21     
14/05/1961  0       7.8    32.5   21     
15/05/1961  0       8.1    32     21     
16/05/1961  0       7.2    35     17     
17/05/1961  0       6.5    36     19     
18/05/1961  0       8.8    35     23     
19/05/1961  0       8.5    30     23     
20/05/1961  0       7.6    36     24     
21/05/1961  1       0.2    34.5   24     
22/05/1961  0       6.2    33     23     
23/05/1961  0       7.6    32.5   22     
24/05/1961  0       7.6    33     17.5   
25/05/1961  0       8.6    34     22     
26/05/1961  0       7      34     21     
27/05/1961  0       9.4    35     22     
28/05/1961  0       6.2    34     22     
29/05/1961  0       9.6    34     24     
30/05/1961  0       8.7    36     22     
31/05/1961  0       8.1    35     23     
01/06/1961  0       7.9    34     24     
02/06/1961  0       8      35     26     
03/06/1961  2       9.3    37     24     
04/06/1961  0       7.8    34     23     
05/06/1961  0       8.2    35     22     
06/06/1961  0       8      34     23     
07/06/1961  0       8      34     23     
08/06/1961  0       6      33     24.5   
09/06/1961  5       6.8    34.5   24     
10/06/1961  46      7.2    34.5   21.5   
11/06/1961  11      6.3    32     20     
12/06/1961  0       5.9    34     20     
13/06/1961  0       6.8    31     23     
14/06/1961  21      8.4    31     24     
15/06/1961  12      7.8    30     22     
16/06/1961  1       6.3    31     21     
17/06/1961  0       5.1    30.5   23     
18/06/1961  0       6.1    34     23     
19/06/1961  0       7.9    34     23.5   
20/06/1961  2       6.8    32     23.5   
21/06/1961  13      5.3    32     23     
22/06/1961  0       3.1    32     23     
23/06/1961  0       6.6    32.5   23     
24/06/1961  0       7.3    33.5   24.5   
25/06/1961  0       3.5    32     24     
26/06/1961  0       8.2    34     24.5   
27/06/1961  0       7.3    34     23     
28/06/1961  0       7.2    34     23     
29/06/1961  0       4.6    33.5   24     
30/06/1961  3       3.4    33     24     
01/07/1961  0       7      33     22.5   
02/07/1961  3       6      33     24     
03/07/1961  20      4.5    32     24     
04/07/1961  2       4      32.5   23.5   
05/07/1961  1       3.5    31     23     
06/07/1961  0       6.4    32     24     
07/07/1961  1.2     2.3    30     23.5   
08/07/1961  3       5.5    33     23     
09/07/1961  20      4.9    31     24     
10/07/1961  18.5    4.1    31     23     
11/07/1961  0       4.7    30     22.5   
12/07/1961  8       5.5    31     23     
13/07/1961  0       4.9    30.5   23     
14/07/1961  12.5    6.5    31.5   23     
15/07/1961  7.5     2      31     21.5   
16/07/1961  0       5.8    31.5   23     
17/07/1961  0       5.7    31.5   22.5   
18/07/1961  0       5.8    33     22.5   
19/07/1961  0       6.4    31.5   23.5   
20/07/1961  0       5.1    31     24     
21/07/1961  13      2.6    30.5   24     
22/07/1961  0       4.2    31.5   23.5   
23/07/1961  0       5      32.5   23.5   
24/07/1961  0       6.1    34     23.5   
25/07/1961  16      6.4    31.5   23     
26/07/1961  9.4     7.2    31.5   23     
27/07/1961  0       6      31.5   23     
28/07/1961  0       4.4    32.5   23.5   
29/07/1961  0       6.4    34     23     
30/07/1961  0       5.2    30.5   23     
31/07/1961  40      6.3    30.5   22.5   
01/08/1961  0       4.7    32     22.5   
02/08/1961  0       6      32     23     
03/08/1961  0.4     2.9    32.5   23     
04/08/1961  0       6.5    34     23     
05/08/1961  1       6      32     24     
06/08/1961  0       5      32.5   23     
07/08/1961  0       7      32.5   23.5   
08/08/1961  0       7      33.5   24     
09/08/1961  0       3.5    32     23     
10/08/1961  0       5      33.5   23.5   
11/08/1961  0       6.5    34     23     
12/08/1961  0       3      34     23     
13/08/1961  0       4.6    33     24     
14/08/1961  0       6.4    33     24     
15/08/1961  2       2      32     25     
16/08/1961  24      3.3    30     24     
17/08/1961  0       6.2    32     23     
18/08/1961  0       5.5    34     23.5   
19/08/1961  10      6.4    33.5   23.5   
20/08/1961  0       4.9    32     23     
21/08/1961  0       5.2    33     23.5   
22/08/1961  0       4.5    32     24     
23/08/1961  0       7      33     24     
24/08/1961  0       6      33.5   23.5   
25/08/1961  0       5      33.5   24     
26/08/1961  0       5      36     25     
27/08/1961  60      5      33     24     
28/08/1961  13      5.9    32.5   23.5   
29/08/1961  0       5      32     24     
30/08/1961  1       5      31.5   23.5   
31/08/1961  25      4.7    32     24     
01/09/1961  4       6      31.4   23     
02/09/1961  3       3.5    31.5   23     
03/09/1961  10      6.6    32.5   22.5   
04/09/1961  1       4      32     23     
05/09/1961  5       6.1    31.5   23     
06/09/1961  0       4.1    32     23.5   
07/09/1961  0       6      32     24     
08/09/1961  2       5      32     24     
09/09/1961  0       3.1    29.5   23.5   
10/09/1961  4       3.9    31     23.5   
11/09/1961  15      3.4    30     24     
12/09/1961  4       5.2    30     22     
13/09/1961  202     6      29     21.5   
14/09/1961  3       3      28.5   21.5   
15/09/1961  0       3.6    32     21     
16/09/1961  0       4.6    31.5   21.5   
17/09/1961  0       5      32.5   23     
18/09/1961  1       4.5    32     23     
19/09/1961  0       5.5    30.5   23     
20/09/1961  1       5.4    31.5   23     
21/09/1961  0       5.6    31.5   23     
22/09/1961  0       5.4    32     23     
23/09/1961  0       4.6    32     22.5   
24/09/1961  7       5      32.5   23     
25/09/1961  0       3.4    31     23     
26/09/1961  0       7      32.5   23     
27/09/1961  0       1.5    31     23     
28/09/1961  0       5      32     22     
29/09/1961  0       4.6    33     22.5   
30/09/1961  2       2.1    32.5   24     
01/12/1969  0       4.9    33.5   22.5   
02/12/1969  0       4      33.5   23     
03/12/1969  0       2.8    31.5   22     
04/12/1969  0       2.6    30.5   22.5   
05/12/1969  0.3     1.6    27     22.5   
06/12/1969  0       2.3    28     23     
07/12/1969  0       4.7    32     23     
08/12/1969  0       3.9    32     21.5   
09/12/1969  0       5.5    31     21.5   
10/12/1969  0       5.3    31     20     
11/12/1969  0       5      31.5   19.5   
12/12/1969  0       5.6    34.5   20     
13/12/1969  0       4.5    30     22     
14/12/1969  0       5.7    31.5   22.5   
15/12/1969  0.5     6.4    32     22     
16/12/1969  0       4.6    31.5   23     
17/12/1969  0       4.4    31.5   22     
18/12/1969  0       2.5    30     21.5   
19/12/1969  0       3.6    31     22     
20/12/1969  0       4.1    32     21.5   
21/12/1969  0       4.6    31.5   21.5   
22/12/1969  0       4.3    32.5   20.5   
23/12/1969  0       3.7    31     19.5   
24/12/1969  0       3.5    29     19.5   
25/12/1969  0       3.8    31     19     
26/12/1969  0       4.6    31.5   18     
27/12/1969  0       3.6    31     20     
28/12/1969  0.5     5.8    33     20     
29/12/1969  0.2     2.1    28.5   20     
30/12/1969  0       4.3    30.5   20     
31/12/1969  0       4.7    31     21.5   
01/01/1972  0       3      33     21     
02/01/1972  0       4.7    32     21.5   
03/01/1972  0       3.3    32.5   21     
04/01/1972  0       2.8    28.5   21.5   
05/01/1972  0       3.5    31     22     
06/01/1972  0       4.8    34.5   21     
07/01/1972  0       3      32.5   20     
08/01/1972  0       5.4    33.5   22     
09/01/1972  0       5.1    32     20.5   
10/01/1972  0       2.9    31.5   20.5   
11/01/1972  0       4.1    31     21.5   
12/01/1972  0       4.4    32.5   21     
13/01/1972  0       4.4    32     20     
14/01/1972  0       3.2    31.5   20.5   
15/01/1972  0       4      32     20     
16/01/1972  0       4.7    35     20     
17/01/1972  0       2.6    32     20.5   
18/01/1972  0       4.7    33     20     
19/01/1972  0       3.5    29     21     
20/01/1972  0       3.4    32     20.5   
21/01/1972  0       2.6    31     20     
22/01/1972  0       4.6    30.5   20.5   
23/01/1972  0       4.5    31.5   20     
24/01/1972  0       4.4    32     20     
25/01/1972  0       5.3    32.5   20.5   
26/01/1972  0       4.8    33     21     
27/01/1972  0       6.2    35     20     
