CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 16206
NOMBRE    : SAN JOSE PURUA
ESTADO    : MICHOACAN
MUNICIPIO : Jungapeo
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.483°
LONGITUD  : -100.483°
ALTITUD   : 1572 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
20/05/1977  0       5.2    30.5   19     
21/05/1977  15.2    4.1    32     16     
22/05/1977  0       4.8    32.5   15     
23/05/1977  2.5     4.9    30     16.5   
24/05/1977  10.5    3.6    29.5   17     
25/05/1977  0       4.4    27.5   15     
26/05/1977  1       5.1    25     15     
27/05/1977  16      5.9    28     16     
28/05/1977  0       5.7    27.5   15.5   
29/05/1977  0       8.4    30     16     
30/05/1977  0       4.9    29.5   17     
31/05/1977  1.5     5.7    30     14     
01/06/1977  0.5     6.8    29.5   15     
02/06/1977  0       6.7    30     15     
03/06/1977  0       5.3    32     16     
04/06/1977  0       5.6    30     17     
05/06/1977  0       9.1    30.5   18     
06/06/1977  0       7      28     16     
07/06/1977  0       7.1    29     16     
08/06/1977  7.4     5.4    27.5   15.5   
09/06/1977  29.5    7      27     16     
10/06/1977  0.5     4.8    27     15     
11/06/1977  0.6     3.8    27.5   12     
12/06/1977  0.5     6.5    28     13     
13/06/1977  2       5.3    27     18     
14/06/1977  1       3.8    26     17     
15/06/1977  9.3     2.9    24     16     
16/06/1977  5.5     4.4    25     14     
17/06/1977  7       3.4    26     16     
18/06/1977  21      3.7    26.5   17     
19/06/1977  1       4.8    25     16     
20/06/1977  28      4.1    27     17     
21/06/1977  16      5.7    25.5   16     
22/06/1977  15      4.5    28     15     
23/06/1977  0.6     4.1    26     18     
24/06/1977  1       5.5    26.5   15     
25/06/1977  10      4.6    27     12     
26/06/1977  2.3     4.3    25     16     
27/06/1977  0       7      28     14     
28/06/1977  4       5      27.5   15     
29/06/1977  6       4.9    27     16     
30/06/1977  3       4.6    27.5   14     
01/07/1977  0       Nulo   Nulo   Nulo   
21/07/1977  0       Nulo   Nulo   Nulo   
22/07/1977  0       4.1    26.5   15     
23/07/1977  4       3.4    27     16     
24/07/1977  4.5     5.6    27.5   15.5   
25/07/1977  2.5     3.5    27     17     
26/07/1977  1.1     4.8    25     16     
27/07/1977  0       4      26     14     
28/07/1977  0       5.8    27     13.5   
29/07/1977  1       4.1    26     15     
30/07/1977  3       2.9    27     16     
31/07/1977  21      2.8    24.5   15     
01/08/1977  1       3.6    26     15     
02/08/1977  0       6      27     16     
03/08/1977  0       7.6    27     16     
04/08/1977  0       4.8    27     15     
05/08/1977  24.4    4.5    27     16     
06/08/1977  0       3.3    23     15     
07/08/1977  5       5      35     15     
08/08/1977  10      2.4    25     16     
09/08/1977  2.4     3.7    26     15     
10/08/1977  7       3.6    25     15     
11/08/1977  15      4.3    26     16     
12/08/1977  23      4.7    26     17     
13/08/1977  18      5.1    26     16     
14/08/1977  16      6.8    18     16     
15/08/1977  0       4.8    25     15     
16/08/1977  6       7.9    26     15     
17/08/1977  0       4.5    27     14     
18/08/1977  1       6.4    26     15     
19/08/1977  0       3.6    26     16     
20/08/1977  0       5      25     16     
21/08/1977  1       5.6    27     15     
22/08/1977  16.5    6.5    26     16     
23/08/1977  0       6.1    27     16     
24/08/1977  2.5     5.1    23     16     
25/08/1977  1       9.5    26     17     
26/08/1977  0       5.2    26     15     
27/08/1977  17.3    6.7    27     15     
28/08/1977  6       5.8    26     16     
29/08/1977  29      4.4    26     17     
30/08/1977  4.1     2.1    26     17     
31/08/1977  2.3     5.7    28     15     
01/09/1977  3       1.5    26     17     
02/09/1977  7       2.3    25     16     
03/09/1977  12      2.3    24     17     
04/09/1977  3.5     2.5    25     16     
05/09/1977  0       4.4    25     16     
06/09/1977  0       3.4    25     15     
07/09/1977  1       4.4    27     16     
08/09/1977  53      4.9    25     17     
09/09/1977  5.8     3.6    25     15     
10/09/1977  0       4.6    26     17     
11/09/1977  14.7    5.2    26     15     
12/09/1977  0       5.2    27     14     
13/09/1977  32.5    5.5    26     14     
14/09/1977  1.2     3.5    27     15     
15/09/1977  0       4.5    23     14     
16/09/1977  6.3     4.3    26     14     
17/09/1977  1       5.4    26     15     
18/09/1977  0       3.6    27     16     
19/09/1977  1       4.4    26     15     
20/09/1977  0       3.3    27     14     
21/09/1977  0       3.8    26     16     
22/09/1977  0.2     2.6    27     15     
23/09/1977  0       2.5    26     16     
24/09/1977  1       2.9    26     15     
25/09/1977  0       2.1    25     14     
26/09/1977  0       2.4    27     16     
27/09/1977  0       3.2    27     15     
28/09/1977  0.4     4.9    25     16     
29/09/1977  0       3.5    27     15     
30/09/1977  2.4     2.8    28     16     
01/10/1977  0       3.2    25     15     
02/10/1977  6.8     3.2    26     16     
03/10/1977  0       3.7    27     17     
04/10/1977  0       3.6    25     16     
05/10/1977  3       4.3    26     15     
06/10/1977  0       4      27     16     
07/10/1977  0       4.9    26     15     
08/10/1977  0       5      27     16     
09/10/1977  0       4.2    24     15     
10/10/1977  0       4.9    28     16     
11/10/1977  0       6.3    27     15     
12/10/1977  0       3.7    26     16     
13/10/1977  0       4.1    28     15     
14/10/1977  0       2.2    27     14     
15/10/1977  0       4.5    27     13     
16/10/1977  0       4      28     14     
17/10/1977  0       3.9    27     13     
18/10/1977  0       3.8    27     14     
19/10/1977  0       4      28     14     
20/10/1977  0       2.2    25     15     
21/10/1977  1       3.4    27     11     
22/10/1977  0       4.3    26     15     
23/10/1977  0       4.1    28     15     
24/10/1977  0       5      29     14     
25/10/1977  7       5      28     15     
26/10/1977  0       2.9    25     16     
27/10/1977  0       2.9    27     17     
28/10/1977  0       3.9    28     14     
29/10/1977  0       5.6    28     16     
30/10/1977  0       3.9    27     15     
31/10/1977  0.9     4.1    28     14     
01/11/1977  0       4.7    29     17     
02/11/1977  2.5     2.7    24     14     
03/11/1977  0       7.5    27     16     
04/11/1977  0       2.8    28     14     
05/11/1977  0       5.1    29     11     
06/11/1977  0       4.7    28     14     
07/11/1977  0       4.5    26     15     
08/11/1977  0       3.8    23     14     
09/11/1977  0       3.8    25     15     
10/11/1977  1.4     5.5    24     17     
11/11/1977  4.5     4.5    25     13     
12/11/1977  0       5.1    24     12     
13/11/1977  0       5.6    25     11     
14/11/1977  0       3      26     10     
15/11/1977  0       4.8    26     12     
16/11/1977  0       4.2    25     13     
17/11/1977  0       3.6    26     14     
18/11/1977  0       2.9    25     13     
19/11/1977  0       3.7    24     13     
20/11/1977  0       4.8    26     13     
21/11/1977  0       4.3    25     14     
22/11/1977  0       7      29     15     
23/11/1977  0       4      27     12     
24/11/1977  0       3.9    28     15     
25/11/1977  0       4.5    28     13     
26/11/1977  0       4.1    29     12     
27/11/1977  0       5.8    27     10     
28/11/1977  0       5.3    26     11     
29/11/1977  0       3.6    26     12     
30/11/1977  0       3.1    24     14     
01/12/1977  0       2.8    23     12     
02/12/1977  0       1.6    24     13     
03/12/1977  0       3.1    26     13     
04/12/1977  0       2.6    24     14     
05/12/1977  0       4.8    27     13     
06/12/1977  0       5.1    29     13     
07/12/1977  0       5.2    26     14     
08/12/1977  0       4.7    26     13     
09/12/1977  0       3.2    29     14     
10/12/1977  0       3.9    30     15     
11/12/1977  0       3.5    28     14     
12/12/1977  7.8     2.5    26     13     
13/12/1977  0       3.4    23     12     
14/12/1977  0       4.6    26     10     
15/12/1977  0       2.3    23     12     
16/12/1977  0       2.2    23     13     
17/12/1977  0       5.4    26     10     
18/12/1977  0       4.3    25     10     
19/12/1977  0       4      26     11     
20/12/1977  0       6.8    25     11     
21/12/1977  0       6.2    24     12     
22/12/1977  0       3.1    25     11     
23/12/1977  0       4.7    26     12     
24/12/1977  0       4.2    25     14     
25/12/1977  0       3.9    25     15     
26/12/1977  0       3      27     12     
27/12/1977  0       2      26     12     
28/12/1977  0       5      25     12     
29/12/1977  0       3.1    27     13     
30/12/1977  0       5.7    25     12     
31/12/1977  0       6      23     12     
01/01/1978  0       4.5    28     13     
02/01/1978  0       5.2    26     11     
03/01/1978  0       7.5    27     12     
04/01/1978  0       4.9    25     12     
05/01/1978  0       6.3    29     10     
06/01/1978  0       3.9    27     11     
07/01/1978  0       2.9    26     12     
08/01/1978  2.3     3.2    24     10     
09/01/1978  4.9     2.4    16     11     
10/01/1978  0       3.2    22     9      
11/01/1978  0       3.6    24     9      
12/01/1978  0       4      22     9      
13/01/1978  0       4.4    25     10     
14/01/1978  0       4.5    24     8      
15/01/1978  0       4.8    25     10     
16/01/1978  0       3.3    24     10     
17/01/1978  0       3.8    26     9      
18/01/1978  0       3.9    23     10     
19/01/1978  0       3.9    27     11     
20/01/1978  0       4.3    25     13     
21/01/1978  0       1.7    22     10     
22/01/1978  0       5      25     8      
23/01/1978  0       3.5    27     11     
24/01/1978  0       5      26     10     
25/01/1978  0       5.4    25     11     
26/01/1978  0       5.6    27     10     
27/01/1978  0       3.1    25     11     
28/01/1978  0       4      26     12     
29/01/1978  0       5.1    28     11     
30/01/1978  0       6.7    26     12     
31/01/1978  0       4.4    29     13     
01/02/1978  0       4      24     13     
02/02/1978  0       4.1    28     11     
03/02/1978  0       5.4    26     13     
04/02/1978  0       5      24     11     
05/02/1978  0       7.7    27     10     
06/02/1978  0       4.8    24     9      
07/02/1978  17.3    6.5    28     8      
08/02/1978  0       6.1    22     10     
09/02/1978  0       3.8    23     7      
10/02/1978  0       5.8    24     9      
11/02/1978  0       6.6    22     8      
12/02/1978  0       4.2    24     9      
13/02/1978  0       4.4    22     11     
14/02/1978  0       4.5    28     9      
15/02/1978  0       3      24     12     
16/02/1978  0       3.9    23     11     
17/02/1978  0       2.9    22     9      
18/02/1978  0       3.6    23     10     
19/02/1978  0       2.6    22     13     
20/02/1978  0       3.7    23     11     
21/02/1978  0       3.7    21     10     
22/02/1978  7.8     2.6    23     9      
23/02/1978  0       2.6    25     11     
24/02/1978  0       3.1    22     13     
25/02/1978  0       2.8    29     11     
26/02/1978  0       5.4    28     12     
27/02/1978  0       4.3    22     13     
28/02/1978  0       5.6    28     9      
