CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 16236
NOMBRE    : EL JOVERO
ESTADO    : MICHOACAN
MUNICIPIO : Aguililla
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 018.578°
LONGITUD  : -102.796°
ALTITUD   : 760 msnm

EMISIÓN   : 29/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
16/06/1981  6.5     5.6    31.5   Nulo   
17/06/1981  13      7      30.5   20     
18/06/1981  13      10.1   30     21.5   
19/06/1981  6.5     4.5    27     21     
20/06/1981  0       4.1    30.5   18     
21/06/1981  0       4      31.5   19     
22/06/1981  0       10.2   30     20     
23/06/1981  0       0.7    33     21.5   
24/06/1981  0       1.5    30.5   21     
25/06/1981  11      5.3    30     22     
26/06/1981  13      5.3    30.5   21     
27/06/1981  0.7     3.9    30     21.5   
28/06/1981  4       5      30     21     
29/06/1981  5       Nulo   30     21     
30/06/1981  4       Nulo   31     21     
01/07/1981  19      4.4    Nulo   20     
02/07/1981  3       5.4    Nulo   20     
03/07/1981  0.2     0.8    Nulo   19.5   
04/07/1981  2       3.9    Nulo   20.5   
05/07/1981  2       2.8    Nulo   18.5   
06/07/1981  0       5.8    Nulo   18.5   
07/07/1981  0       5.2    Nulo   19     
08/07/1981  46.5    3.2    Nulo   19     
09/07/1981  0       4.7    Nulo   18.5   
10/07/1981  11      2      Nulo   18     
11/07/1981  0       3.1    Nulo   19     
12/07/1981  0       4.5    Nulo   20     
13/07/1981  2       2      Nulo   19.5   
14/07/1981  15      5.6    Nulo   20     
15/07/1981  12      5      Nulo   19.5   
16/07/1981  8.5     7.3    Nulo   19.5   
17/07/1981  1       2.5    Nulo   19     
18/07/1981  0       5.1    Nulo   18.5   
19/07/1981  10.5    5      Nulo   19     
20/07/1981  6       6      Nulo   18.5   
21/07/1981  5.5     4.6    Nulo   19.5   
22/07/1981  0       4.3    Nulo   18.5   
23/07/1981  5       4.7    Nulo   17     
24/07/1981  1.7     7.1    Nulo   18     
25/07/1981  0       5.2    Nulo   19     
26/07/1981  3       4.9    Nulo   19.5   
27/07/1981  5       4.5    Nulo   19.5   
28/07/1981  0       3.3    Nulo   18.5   
29/07/1981  5       4.8    Nulo   17.5   
30/07/1981  8       3.1    Nulo   18     
31/07/1981  0       4.5    Nulo   20.5   
01/08/1981  0       4.8    31.5   19     
02/08/1981  0       4.3    31     20     
03/08/1981  0       5.7    32     18     
04/08/1981  5       2.7    28     18     
05/08/1981  4       4.1    30     19.5   
06/08/1981  0       5.7    32     20     
07/08/1981  0       4.2    32     18.5   
08/08/1981  5       5.2    30.5   19     
09/08/1981  1.4     4.5    27     19     
10/08/1981  33      3.5    29     20     
11/08/1981  0       4.8    29     20     
12/08/1981  15      8.4    30     18     
13/08/1981  0       5.1    29     19.5   
14/08/1981  1       2.4    27     19.5   
15/08/1981  12      5.3    30     20.5   
16/08/1981  0       4.3    30.5   18.5   
17/08/1981  0       5      28     18     
18/08/1981  0       5.1    29     18     
19/08/1981  17      5.9    33     18     
20/08/1981  0       3.7    28     19     
21/08/1981  15      1.8    24     20     
22/08/1981  1       4.7    28     18.5   
23/08/1981  55      4.1    29.5   19.5   
24/08/1981  0       6.1    33.5   19     
25/08/1981  1       1.2    29     19.5   
26/08/1981  11      6.2    30     20     
27/08/1981  30      1.8    29     19.5   
28/08/1981  63      1.3    22     19     
29/08/1981  1.5     5.3    24.5   19.5   
30/08/1981  18      4.8    27     19     
31/08/1981  12      2.8    25.5   19     
01/09/1981  3       4.8    29     19     
02/09/1981  0.7     3.6    28     20     
03/09/1981  7       4      28     20     
04/09/1981  5       3.3    28     19.5   
05/09/1981  23      2.3    24     20     
06/09/1981  18.5    4.2    24.5   18     
07/09/1981  0       1.7    26.5   17     
08/09/1981  0       4.1    29     17     
09/09/1981  33.5    7      30     18.5   
10/09/1981  0       5.1    27.5   17.5   
11/09/1981  9       3.1    30     18.5   
12/09/1981  1.3     3.6    30     19     
13/09/1981  3       5.7    30.5   20     
14/09/1981  0       8.1    29     19.5   
15/09/1981  0       4.6    30     20.5   
16/09/1981  0       2.8    30     20.5   
17/09/1981  4.5     4.5    31.5   20     
18/09/1981  0       3.2    28.5   19     
19/09/1981  0       2.3    29     18     
20/09/1981  0       4.1    29.5   17     
21/09/1981  0       5.4    30.5   17     
22/09/1981  10      4.1    28.5   18.5   
23/09/1981  0       2.8    28     19.5   
24/09/1981  1       2.5    31     18.5   
25/09/1981  1       5.3    28.5   19.5   
26/09/1981  1       6.7    29     18.5   
27/09/1981  2       2.5    30     19.5   
28/09/1981  0       5.9    26.5   18.5   
29/09/1981  3.7     2.7    29     18.5   
30/09/1981  0       3.6    30     19     
01/10/1981  12      4      29     19     
02/10/1981  1       1.1    29     19     
03/10/1981  0       3.3    27     19     
04/10/1981  0.7     3.8    27     17.5   
05/10/1981  4       0.5    23     18.5   
06/10/1981  0       4.9    29.5   16     
07/10/1981  0       5.4    29     15.5   
08/10/1981  0.4     1.4    29     16.5   
09/10/1981  0       2.5    29     18     
10/10/1981  7.5     4.4    26.5   19     
11/10/1981  0       5.7    29     16.5   
12/10/1981  0       5.6    30     18     
13/10/1981  0.5     3.6    31     18.5   
14/10/1981  2.5     2.1    28     19     
15/10/1981  0       6.2    30     19     
16/10/1981  0       3      30     18     
17/10/1981  7.5     4.3    30     18     
18/10/1981  16      5.9    29     17.5   
19/10/1981  0       3.3    30.5   17     
20/10/1981  0       5.1    30     15.5   
21/10/1981  0       4.8    31.5   15.5   
22/10/1981  0       5.4    32.5   15.5   
23/10/1981  0       1.5    30.5   18     
24/10/1981  0       4.6    29.5   18.5   
25/10/1981  0.7     3.4    29     16     
26/10/1981  14      4.6    30     16     
27/10/1981  4.5     2.1    25     16     
28/10/1981  14      2.5    23     18.5   
29/10/1981  0       0.9    26     18     
30/10/1981  0       5.4    28.5   13.5   
31/10/1981  0       3.6    28     13     
01/11/1981  0       1.9    29     13.5   
02/11/1981  0       4.5    30     10     
03/11/1981  0       4.1    30     15.5   
04/11/1981  0.3     3.8    30     16     
05/11/1981  0       4.6    31     16     
06/11/1981  0       3.7    31     18     
07/11/1981  0       1.9    31     16.5   
08/11/1981  0       3.5    30     16     
09/11/1981  0       5.6    31     17     
10/11/1981  0       2      30     17     
11/11/1981  0       4.4    31     15     
12/11/1981  0       3.5    29.5   14     
13/11/1981  0       5.2    30     15     
14/11/1981  0       4.4    30     15     
15/11/1981  0       5.1    30.5   13     
16/11/1981  0       1      30     12.5   
17/11/1981  0       2      30     11     
18/11/1981  0       2      31     13     
19/11/1981  0       4.3    29     12     
20/11/1981  0       3.4    30     12.5   
21/11/1981  0       2.3    30     12.5   
22/11/1981  0       7.3    31.5   12     
23/11/1981  0       4.1    32     12     
24/11/1981  0       5.9    29     12     
25/11/1981  0       3.6    30     11.5   
26/11/1981  0       5.6    30     12.5   
27/11/1981  0       4.7    30.5   11.5   
28/11/1981  0       3.1    32     11     
29/11/1981  0       5.1    31.5   10     
30/11/1981  0       4.5    31     11     
01/12/1981  0       5.9    31     11.5   
02/12/1981  0       5.2    30.5   11.5   
03/12/1981  0       3      30     13.5   
04/12/1981  0       3.9    31.5   13     
05/12/1981  0       2.4    30     14.5   
06/12/1981  0       4.8    31     13     
07/12/1981  0       3.3    30     13     
08/12/1981  0       4.1    30     13     
09/12/1981  0       2.1    28.5   12     
10/12/1981  0       3.5    29     10     
11/12/1981  0       2.6    30     11.5   
12/12/1981  0       3.2    31     11     
13/12/1981  0       5.3    30     10     
14/12/1981  0       4.8    30     12     
15/12/1981  0       5      31     9.5    
16/12/1981  0       5.4    31     8.5    
17/12/1981  0       2.8    30.5   8      
18/12/1981  0       2.8    31     9.5    
19/12/1981  0       4      31.5   11     
20/12/1981  0       3.7    32.5   10.5   
21/12/1981  0       6.1    31     10.5   
22/12/1981  0       5.4    29.5   11     
23/12/1981  0       4.8    28.5   10     
24/12/1981  0       3.6    28.5   11.5   
25/12/1981  0       2.1    28     10.5   
26/12/1981  0       3.8    28     11     
27/12/1981  0       2.6    29.5   13     
28/12/1981  0       5.1    30     14.5   
29/12/1981  0       5.2    30.5   14.5   
30/12/1981  0       4.1    30     10.5   
31/12/1981  0       4.4    30.5   12     
01/01/1982  0       5.8    29     11     
02/01/1982  0       4.2    30.5   10.5   
03/01/1982  0       4.6    28.5   10     
04/01/1982  0       5      29.5   9.5    
05/01/1982  0       6.4    30     8      
06/01/1982  0       4.5    31.5   7.5    
07/01/1982  0       3.7    31.5   8      
08/01/1982  0       4.6    30.5   8.5    
09/01/1982  0       5.8    33     10.5   
10/01/1982  0       3.4    32     11.5   
11/01/1982  0       4.6    30.5   12     
12/01/1982  0       6.5    30.5   11.5   
13/01/1982  0       3.8    30.5   11.5   
14/01/1982  0       4.1    30.5   11.5   
15/01/1982  0       6      29     13     
16/01/1982  0       5.4    30.5   11.5   
17/01/1982  0       5.5    31.5   11.5   
18/01/1982  0       5.2    33.5   10.5   
19/01/1982  0       6.5    31.5   11.5   
20/01/1982  0       4.2    31.5   12     
21/01/1982  0       6.9    32     9      
22/01/1982  0       5.5    32.5   9.5    
23/01/1982  0       4.6    33     10.5   
24/01/1982  0       4.5    36     10     
25/01/1982  0       4.3    32.5   10.5   
26/01/1982  0       4.6    31.5   11     
27/01/1982  0       7.1    30.5   12     
28/01/1982  0       3.9    31.5   13     
29/01/1982  0       4.5    28.5   13     
30/01/1982  0       2.9    28.5   11     
31/01/1982  0       5.3    29.5   13.5   
01/02/1982  0       3.7    27.5   8.5    
02/02/1982  0       6.2    29.5   9.5    
03/02/1982  0       7.1    30.5   8.5    
04/02/1982  0       6.4    30     9      
05/02/1982  0       6.9    31.5   8.5    
06/02/1982  0       3.5    30     8.5    
07/02/1982  0       6.4    32.5   11     
08/02/1982  0       6.3    33     11     
09/02/1982  0       7      33.5   11.5   
10/02/1982  0       6.2    31.5   11     
11/02/1982  0       6.5    33.5   11     
12/02/1982  0       8.5    32     13     
13/02/1982  0       4.4    34.5   11     
14/02/1982  0       4.6    30.5   9.5    
15/02/1982  0       3.5    30     12.5   
16/02/1982  0       4.8    33.5   12     
17/02/1982  0       7      32     10     
18/02/1982  0       7.3    31.5   10.5   
19/02/1982  0       8.4    31.5   7.5    
20/02/1982  0       7.6    32.5   10.5   
21/02/1982  0       8.8    28     11.5   
22/02/1982  0       7.3    31     12.5   
23/02/1982  0       7.9    33.5   12.5   
24/02/1982  0       6.2    33     13.5   
25/02/1982  0       5.1    32.5   13.5   
26/02/1982  3       5.8    30.5   14.5   
27/02/1982  0       4.7    29.5   12.5   
28/02/1982  0       3.3    30.5   13     
01/03/1982  0       3.7    32.5   10.5   
02/03/1982  0       6.3    32.5   11.5   
03/03/1982  0       5.1    32.5   11.5   
04/03/1982  0       5.4    31     10.5   
05/03/1982  0       4.4    29     10     
06/03/1982  0       4.9    30     10.5   
07/03/1982  0       8.9    31.5   12.5   
08/03/1982  0       6.9    31.5   11.5   
09/03/1982  0       7.8    33.5   11.5   
10/03/1982  0       9.5    34.5   13.5   
11/03/1982  0       9.8    32.5   15.5   
12/03/1982  0       6.9    32.5   14.5   
13/03/1982  0       9.1    32.5   12.5   
14/03/1982  0       8      31.5   12.5   
15/03/1982  0       7.1    31.5   14     
16/03/1982  0       9      31     15.5   
17/03/1982  0       7      31.5   17     
18/03/1982  0       8.2    31.5   14.5   
19/03/1982  0       7      33     12.5   
20/03/1982  0       9.6    32.5   13.5   
21/03/1982  0       8.1    33     14     
22/03/1982  0       8.8    32.5   13.5   
23/03/1982  0       9.9    31.5   11.5   
24/03/1982  0       6      33.5   11.5   
25/03/1982  0       6.6    33.5   12     
26/03/1982  0       6.2    32.5   11.5   
27/03/1982  0       6      34.5   11.5   
28/03/1982  0       6      34.5   12.5   
29/03/1982  0       8.4    35     14     
30/03/1982  0       6.9    33.5   13.5   
31/03/1982  0       6.7    34.5   16.5   
09/06/1982  9       Nulo   Nulo   Nulo   
10/06/1982  0       5.2    35.5   21     
11/06/1982  0       5.4    31     20.5   
12/06/1982  31      4.3    33.5   19.5   
13/06/1982  6.1     6.8    35.5   20.5   
14/06/1982  13      10     35     20     
15/06/1982  0       9.4    31     19     
16/06/1982  0       8.9    32     21     
17/06/1982  0       7      31     22     
18/06/1982  0       7.9    31     23     
19/06/1982  60      8.1    30     19     
20/06/1982  6       4.5    25     18     
21/06/1982  0       0.9    29     18     
22/06/1982  0       7.4    30     20     
23/06/1982  1       4.4    31     21     
24/06/1982  5       5.5    33     21     
25/06/1982  5       6.5    31     21     
26/06/1982  3.5     6.3    27     20     
27/06/1982  2.3     6.9    31     19     
28/06/1982  3.2     3.6    30     21     
29/06/1982  1.2     4.1    30     19     
30/06/1982  1.2     3.5    28     21     
01/07/1982  0       7.4    31     19     
02/07/1982  1       3      30     17     
03/07/1982  0       2.7    31.5   17     
04/07/1982  0       4.5    30.5   19     
05/07/1982  2       2.8    31.5   18     
06/07/1982  3.2     5.4    30     20     
