CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 17007
NOMBRE    : HUAJINTLAN
ESTADO    : MORELOS
MUNICIPIO : Amacuzac
SITUACION : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 018.61°
LONGITUD  : -99.424°
ALTITUD   : 942 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/05/1925  0       Nulo   Nulo   Nulo   
02/05/1925  0       Nulo   Nulo   Nulo   
03/05/1925  0       Nulo   Nulo   Nulo   
04/05/1925  0       Nulo   Nulo   Nulo   
05/05/1925  0       Nulo   Nulo   Nulo   
06/05/1925  0       Nulo   Nulo   Nulo   
07/05/1925  0       Nulo   Nulo   Nulo   
08/05/1925  0       Nulo   Nulo   Nulo   
09/05/1925  0       Nulo   Nulo   Nulo   
10/05/1925  0       Nulo   Nulo   Nulo   
11/05/1925  0       Nulo   Nulo   Nulo   
12/05/1925  0       Nulo   Nulo   Nulo   
13/05/1925  0       Nulo   Nulo   Nulo   
14/05/1925  0       Nulo   Nulo   Nulo   
15/05/1925  0       Nulo   Nulo   Nulo   
16/05/1925  0       Nulo   Nulo   Nulo   
17/05/1925  0       Nulo   Nulo   Nulo   
18/05/1925  0       Nulo   Nulo   Nulo   
19/05/1925  0       Nulo   34.5   Nulo   
20/05/1925  6       Nulo   34.5   6.3    
21/05/1925  0       Nulo   33.5   6.3    
22/05/1925  10      Nulo   35.5   5.3    
23/05/1925  44      Nulo   36.5   7.3    
24/05/1925  0       Nulo   34.5   8.3    
25/05/1925  5       Nulo   35.5   5.3    
26/05/1925  12      Nulo   32.5   6.9    
27/05/1925  0       Nulo   32.5   4.9    
28/05/1925  0       Nulo   32.5   3.3    
29/05/1925  5       Nulo   31.5   2.3    
30/05/1925  0       Nulo   32.5   5.3    
31/05/1925  0       Nulo   Nulo   8.3    
01/06/1925  0       Nulo   37.5   8.3    
02/06/1925  0       Nulo   36.5   9.3    
03/06/1925  0       Nulo   36.5   11.3   
04/06/1925  0       Nulo   36.5   7.9    
05/06/1925  20      Nulo   36.5   8.3    
06/06/1925  12.5    Nulo   33.5   7.3    
07/06/1925  21      Nulo   30.5   1.3    
08/06/1925  31.5    Nulo   29.5   4.3    
09/06/1925  1.3     Nulo   27.5   1.3    
10/06/1925  2.3     Nulo   31.5   6.3    
11/06/1925  0       Nulo   28.5   2.3    
12/06/1925  5       Nulo   26.5   2.3    
13/06/1925  3       Nulo   31.5   5.3    
14/06/1925  22      Nulo   32.5   4.3    
15/06/1925  39      Nulo   31.5   5.3    
16/06/1925  2.5     Nulo   29.5   4.3    
