CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 17019
NOMBRE    : TILZAPOTLA
ESTADO    : MORELOS
MUNICIPIO : Puente de Ixtla
SITUACION : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 018.494°
LONGITUD  : -99.28°
ALTITUD   : 1004 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/10/1942  0       Nulo   27     22     
02/10/1942  0       Nulo   26     21     
03/10/1942  0       Nulo   27     22     
04/10/1942  0       Nulo   30     22     
05/10/1942  0       Nulo   30     25     
06/10/1942  1       Nulo   28     25     
07/10/1942  1       Nulo   27     22     
08/10/1942  0       Nulo   28     21     
09/10/1942  0       Nulo   29     21     
10/10/1942  0       Nulo   26     22     
11/10/1942  0       Nulo   28     21     
12/10/1942  0       Nulo   28     21     
13/10/1942  0       Nulo   28     21     
14/10/1942  0       Nulo   28     22     
15/10/1942  0       Nulo   28     23     
16/10/1942  0       Nulo   29     23     
17/10/1942  0       Nulo   28     23     
18/10/1942  0       Nulo   27     22     
19/10/1942  0       Nulo   28     22     
20/10/1942  0       Nulo   27     22     
21/10/1942  0       Nulo   32     22     
22/10/1942  0       Nulo   29     22     
23/10/1942  0       Nulo   30     24     
24/10/1942  0       Nulo   29     23     
25/10/1942  0       Nulo   30     22     
26/10/1942  0       Nulo   29     23     
27/10/1942  0       Nulo   29     23     
28/10/1942  0       Nulo   29     22     
29/10/1942  6       Nulo   30     22     
30/10/1942  0       Nulo   30     22     
31/10/1942  3       Nulo   30     22     
01/11/1942  0       Nulo   28     22     
02/11/1942  0       Nulo   29     22     
03/11/1942  0       Nulo   29     23     
04/11/1942  0       Nulo   29     22     
05/11/1942  0       Nulo   29     22     
06/11/1942  0       Nulo   30     22     
07/11/1942  0       Nulo   29     23     
08/11/1942  0       Nulo   28     22     
09/11/1942  0       Nulo   29     23     
10/11/1942  0       Nulo   29     21     
11/11/1942  0       Nulo   29     20     
12/11/1942  0       Nulo   29     21     
13/11/1942  0       Nulo   26     20     
14/11/1942  0       Nulo   26     20     
15/11/1942  0       Nulo   27     19     
16/11/1942  0       Nulo   26     19     
17/11/1942  0       Nulo   29     20     
18/11/1942  0       Nulo   29     21     
19/11/1942  0       Nulo   29     22     
20/11/1942  0       Nulo   29     24     
21/11/1942  0       Nulo   29     24     
22/11/1942  0       Nulo   28     24     
23/11/1942  0       Nulo   28     22     
24/11/1942  0       Nulo   28     21     
25/11/1942  0       Nulo   28     22     
26/11/1942  0       Nulo   29     21     
27/11/1942  0       Nulo   27     22     
28/11/1942  7       Nulo   26     22     
29/11/1942  4       Nulo   26     22     
30/11/1942  Nulo    Nulo   26     23     
01/12/1942  0       Nulo   22     17     
02/12/1942  0       Nulo   25     16     
03/12/1942  0       Nulo   25     17     
04/12/1942  0       Nulo   27     18     
05/12/1942  0       Nulo   27     19     
06/12/1942  0       Nulo   27     20     
07/12/1942  0       Nulo   27     20     
08/12/1942  0       Nulo   27     20     
09/12/1942  0       Nulo   26     20     
10/12/1942  0       Nulo   26     20     
11/12/1942  0       Nulo   24     21     
12/12/1942  0       Nulo   26     20     
13/12/1942  0       Nulo   25     20     
14/12/1942  0       Nulo   27     20     
15/12/1942  0       Nulo   26     20     
16/12/1942  0       Nulo   28     20     
17/12/1942  0       Nulo   26     19     
18/12/1942  0       Nulo   26     19     
19/12/1942  0       Nulo   26     19     
20/12/1942  0       Nulo   27     19     
21/12/1942  0       Nulo   26     19     
22/12/1942  0       Nulo   26     20     
23/12/1942  0       Nulo   25     19     
24/12/1942  0       Nulo   25     18     
25/12/1942  0       Nulo   25     18     
26/12/1942  0       Nulo   26     17     
27/12/1942  0       Nulo   25     17     
28/12/1942  0       Nulo   25     18     
29/12/1942  0       Nulo   24     17     
30/12/1942  0       Nulo   25     15     
31/12/1942  0       Nulo   24     16     
01/01/1943  0       Nulo   23     15     
02/01/1943  0       Nulo   24     16     
03/01/1943  0       Nulo   25     15     
04/01/1943  0       Nulo   26     15     
05/01/1943  0       Nulo   28     19     
06/01/1943  0       Nulo   28     20     
07/01/1943  0       Nulo   27     19     
08/01/1943  0       Nulo   27     19     
09/01/1943  0       Nulo   26     20     
10/01/1943  0       Nulo   27     19     
11/01/1943  0       Nulo   Nulo   20     
12/01/1943  0       Nulo   Nulo   20     
13/01/1943  0       Nulo   Nulo   20     
14/01/1943  0       Nulo   Nulo   19     
15/01/1943  0       Nulo   Nulo   20     
16/01/1943  0       Nulo   Nulo   20     
17/01/1943  0       Nulo   Nulo   19     
18/01/1943  0       Nulo   Nulo   19     
19/01/1943  0       Nulo   28     19     
20/01/1943  0       Nulo   28     19     
21/01/1943  0       Nulo   29     21     
22/01/1943  0       Nulo   28     21     
23/01/1943  0       Nulo   28     21     
24/01/1943  0       Nulo   29     21     
25/01/1943  0       Nulo   29     21     
26/01/1943  0       Nulo   27     20     
27/01/1943  0       Nulo   27     19     
28/01/1943  0       Nulo   27     19     
29/01/1943  0       Nulo   27     19     
30/01/1943  0       Nulo   26     18     
31/01/1943  0       Nulo   26     19     
01/02/1943  0       Nulo   29     19     
02/02/1943  0       Nulo   28     18     
03/02/1943  0       Nulo   29     20     
04/02/1943  0       Nulo   30     21     
05/02/1943  0       Nulo   29     22     
06/02/1943  0       Nulo   29     21     
07/02/1943  0       Nulo   26     21     
08/02/1943  0       Nulo   26     19     
09/02/1943  0       Nulo   29     19     
10/02/1943  0       Nulo   31     19     
11/02/1943  0       Nulo   31     21     
12/02/1943  0       Nulo   28     20     
13/02/1943  0       Nulo   28     21     
14/02/1943  0       Nulo   28     18     
15/02/1943  0       Nulo   27     18     
16/02/1943  0       Nulo   28     18     
17/02/1943  0       Nulo   27     20     
18/02/1943  0       Nulo   28     18     
19/02/1943  0       Nulo   28     18     
20/02/1943  0       Nulo   29     21     
21/02/1943  0       Nulo   28     21     
22/02/1943  0       Nulo   29     21     
23/02/1943  0       Nulo   31     21     
24/02/1943  0       Nulo   31     22     
25/02/1943  0       Nulo   31     22     
26/02/1943  0       Nulo   31     20     
27/02/1943  0       Nulo   31     22     
28/02/1943  0       Nulo   31     21     
01/03/1943  0       Nulo   31     22     
02/03/1943  0       Nulo   31     22     
03/03/1943  0       Nulo   30     21     
04/03/1943  0       Nulo   30     22     
05/03/1943  0       Nulo   31     24     
06/03/1943  0       Nulo   Nulo   22     
07/03/1943  0       Nulo   Nulo   23     
08/03/1943  0       Nulo   Nulo   22     
09/03/1943  0       Nulo   Nulo   24     
10/03/1943  0       Nulo   Nulo   23     
11/03/1943  0       Nulo   Nulo   23     
12/03/1943  0       Nulo   Nulo   23     
13/03/1943  0       Nulo   32     22     
14/03/1943  0       Nulo   Nulo   23     
15/03/1943  0       Nulo   Nulo   24     
16/03/1943  0       Nulo   Nulo   24     
17/03/1943  0       Nulo   Nulo   24     
18/03/1943  0       Nulo   Nulo   24     
19/03/1943  0       Nulo   Nulo   24     
20/03/1943  0       Nulo   Nulo   24     
21/03/1943  0       Nulo   Nulo   24     
22/03/1943  0       Nulo   31     25     
23/03/1943  0       Nulo   30     24     
24/03/1943  0       Nulo   31     24     
25/03/1943  0       Nulo   31     23     
26/03/1943  0       Nulo   31     23     
27/03/1943  0       Nulo   31     22     
28/03/1943  0       Nulo   31     24     
29/03/1943  0       Nulo   32     24     
30/03/1943  0       Nulo   31     24     
31/03/1943  0       Nulo   32     23     
01/04/1943  0       Nulo   33     24     
02/04/1943  0       Nulo   33     24     
03/04/1943  0       Nulo   31     24     
04/04/1943  0       Nulo   31     24     
05/04/1943  0       Nulo   31     23     
06/04/1943  0       Nulo   32     23     
07/04/1943  0       Nulo   32     24     
08/04/1943  0       Nulo   32     25     
09/04/1943  0       Nulo   32     24     
