CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 17082
NOMBRE    : OACALCO
ESTADO    : MORELOS
MUNICIPIO : Yautepec
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 018.922°
LONGITUD  : -99.031°
ALTITUD   : 1297 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/07/1998  3       4.1    27     19     
02/07/1998  100     5.9    26     20     
03/07/1998  0       6.8    28     19     
04/07/1998  0       5.3    30     21     
05/07/1998  0       8      30     21     
06/07/1998  0       3.7    32     20     
07/07/1998  0       8.5    30     16     
08/07/1998  0       5.2    28     17     
09/07/1998  3       4.6    31     17     
10/07/1998  0       5.2    30     18     
11/07/1998  0       7.4    27     15     
12/07/1998  18.9    7.9    26     18     
13/07/1998  16.1    9.7    26     19     
14/07/1998  17.2    8.3    26     17     
15/07/1998  7.3     6.7    26.5   17     
16/07/1998  0       5.2    26     17     
17/07/1998  0       5.4    27     16     
18/07/1998  0       5      27     16.5   
19/07/1998  0       5.6    27     17     
20/07/1998  2.3     5.2    26     16     
21/07/1998  1.7     5.6    26     16     
22/07/1998  0       4.1    26     16     
23/07/1998  7.8     4.8    25.5   17     
24/07/1998  0       4.7    26     15.5   
25/07/1998  0       5.2    26     17.5   
26/07/1998  3.3     6.5    25.5   17     
27/07/1998  2.2     4.6    26     16     
28/07/1998  2.3     3.8    26.5   19     
29/07/1998  0       4.5    27     19     
30/07/1998  0       5      27     17     
31/07/1998  6.5     6.8    27     16     
01/08/1998  4.7     6.2    29     17     
02/08/1998  3.6     4.4    30     17     
03/08/1998  12      5.4    29     16     
04/08/1998  8.6     7.4    31     16     
05/08/1998  44      7.8    31     16     
06/08/1998  24      7.1    33     15     
07/08/1998  19.8    5.4    29     15     
