CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 17093
NOMBRE    : TRES MARIAS
ESTADO    : MORELOS
MUNICIPIO : Huitzilac
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 019.05°
LONGITUD  : -99.246°
ALTITUD   : 2826 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/02/1996  0       Nulo   13     1      
02/02/1996  0       Nulo   14     1.5    
03/02/1996  0       Nulo   14     1      
04/02/1996  0       Nulo   12.5   2      
05/02/1996  0       Nulo   12     2.5    
06/02/1996  0       Nulo   14     2      
07/02/1996  0       Nulo   15     0      
08/02/1996  0       Nulo   15     1      
09/02/1996  0       Nulo   14     0      
10/02/1996  0       Nulo   13     1      
11/02/1996  0       Nulo   15     2      
12/02/1996  0       Nulo   14     1      
13/02/1996  0       Nulo   17     0      
14/02/1996  0       Nulo   17     2      
15/02/1996  0       Nulo   17     3      
16/02/1996  0       Nulo   17     3      
17/02/1996  0       Nulo   17     2      
18/02/1996  0       Nulo   17     1      
19/02/1996  0       Nulo   17     2      
20/02/1996  0       Nulo   18     3      
21/02/1996  0       Nulo   19     3      
22/02/1996  0       Nulo   18     0      
23/02/1996  0       Nulo   18     1      
24/02/1996  0       Nulo   18     2      
25/02/1996  0       Nulo   18     3      
26/02/1996  0       Nulo   17     2      
27/02/1996  0       Nulo   17     2      
28/02/1996  0       Nulo   17     2      
29/02/1996  0       Nulo   16     2      
01/03/1996  0       Nulo   17     1      
02/03/1996  0       Nulo   18     2      
03/03/1996  0       Nulo   17     1      
04/03/1996  0       Nulo   19     1      
05/03/1996  0       Nulo   19     2      
06/03/1996  0       Nulo   17     3      
07/03/1996  0       Nulo   16     2      
08/03/1996  1       Nulo   14     2      
09/03/1996  3       Nulo   17     1      
10/03/1996  0       Nulo   17     0      
11/03/1996  0       Nulo   15     1      
12/03/1996  0       Nulo   16     0      
13/03/1996  0       Nulo   17     2      
14/03/1996  0       Nulo   17     1      
15/03/1996  0       Nulo   18     1      
16/03/1996  0       Nulo   17     2      
17/03/1996  0       Nulo   18     0      
18/03/1996  0       Nulo   17     1      
19/03/1996  0       Nulo   16     0      
20/03/1996  0.5     Nulo   16     1      
21/03/1996  0       Nulo   17     0      
22/03/1996  0       Nulo   17     1      
23/03/1996  0       Nulo   16     0      
24/03/1996  0       Nulo   16     2      
25/03/1996  0       Nulo   17     1      
26/03/1996  0       Nulo   15     0      
27/03/1996  0       Nulo   17     2      
28/03/1996  0       Nulo   16     1      
29/03/1996  0       Nulo   17     2      
30/03/1996  0       Nulo   19     0      
31/03/1996  0       Nulo   17     2      
