CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 18009
NOMBRE    : EL CARRIZAL (CFE)
ESTADO    : NAYARIT
MUNICIPIO : Del Nayar
SITUACION : SUSPENDIDA
ORGANISMO : CFE
CVE-OMM   : Nulo
LATITUD   : 021.827°
LONGITUD  : -104.83°
ALTITUD   : 80 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
17/07/1962  0       Nulo   Nulo   Nulo   
18/07/1962  10      Nulo   Nulo   Nulo   
19/07/1962  0       Nulo   Nulo   Nulo   
20/07/1962  0       Nulo   Nulo   Nulo   
21/07/1962  41      Nulo   Nulo   Nulo   
22/07/1962  1       Nulo   Nulo   Nulo   
23/07/1962  0.5     Nulo   Nulo   Nulo   
24/07/1962  13.5    Nulo   Nulo   Nulo   
25/07/1962  0       Nulo   Nulo   Nulo   
26/07/1962  16      Nulo   Nulo   Nulo   
27/07/1962  0       Nulo   Nulo   Nulo   
28/07/1962  0       Nulo   Nulo   Nulo   
29/07/1962  0       Nulo   Nulo   Nulo   
30/07/1962  2       Nulo   Nulo   Nulo   
31/07/1962  0       Nulo   Nulo   Nulo   
01/08/1962  11      Nulo   Nulo   Nulo   
02/08/1962  12.5    Nulo   Nulo   Nulo   
03/08/1962  3.5     Nulo   Nulo   Nulo   
04/08/1962  2       Nulo   Nulo   Nulo   
05/08/1962  0       Nulo   Nulo   Nulo   
06/08/1962  1       Nulo   Nulo   Nulo   
07/08/1962  0       Nulo   Nulo   Nulo   
08/08/1962  0       Nulo   Nulo   Nulo   
09/08/1962  3       Nulo   Nulo   Nulo   
10/08/1962  2       Nulo   33     23     
11/08/1962  13.9    Nulo   34     23     
12/08/1962  2.5     Nulo   32.5   24     
13/08/1962  0.9     Nulo   33     24     
14/08/1962  5       Nulo   33.5   21.5   
15/08/1962  0       Nulo   34     21.5   
16/08/1962  10      Nulo   34     21.5   
17/08/1962  0       Nulo   33     21     
18/08/1962  0       Nulo   33     24     
19/08/1962  13      Nulo   34     23     
20/08/1962  2.4     Nulo   31.5   21.5   
21/08/1962  9.6     Nulo   31     24     
22/08/1962  11.8    Nulo   31.5   23     
23/08/1962  0       Nulo   33     23     
24/08/1962  0.4     Nulo   32     23.5   
25/08/1962  4.4     Nulo   33.5   24     
26/08/1962  8.4     Nulo   33.5   22.5   
27/08/1962  7.2     Nulo   33     21.5   
28/08/1962  14.3    Nulo   33     22.5   
29/08/1962  4.7     Nulo   29.5   22.5   
30/08/1962  2       Nulo   33     22.5   
31/08/1962  0.5     Nulo   34     23.5   
01/09/1962  1       Nulo   32.5   24     
02/09/1962  0       Nulo   29.5   22.5   
03/09/1962  10.5    Nulo   32     24     
04/09/1962  0       Nulo   31.5   23     
05/09/1962  22.4    Nulo   32.5   24     
06/09/1962  46.5    Nulo   31.5   23.5   
07/09/1962  0.5     Nulo   29.5   22.5   
08/09/1962  0       Nulo   31     22     
09/09/1962  10      Nulo   32.5   23     
10/09/1962  1.2     Nulo   31.5   22     
11/09/1962  1       Nulo   32     24     
12/09/1962  4       Nulo   31     24     
13/09/1962  1       Nulo   33     24     
14/09/1962  2       Nulo   32.5   24     
15/09/1962  0       Nulo   34     23     
16/09/1962  3.5     Nulo   31.5   24     
17/09/1962  0       Nulo   31.5   23.5   
18/09/1962  26.5    Nulo   33     23.5   
19/09/1962  6       Nulo   34.5   22     
20/09/1962  0       Nulo   27     23     
21/09/1962  3.2     Nulo   32     23.5   
22/09/1962  1.8     Nulo   33.5   24     
23/09/1962  9.5     Nulo   33.5   23     
24/09/1962  7.5     Nulo   32.5   22.5   
25/09/1962  21      Nulo   32     23.5   
26/09/1962  15.8    Nulo   32.5   23     
27/09/1962  0       Nulo   32.5   23     
28/09/1962  0       Nulo   32.5   24.5   
29/09/1962  0       Nulo   32.5   22.5   
30/09/1962  0       Nulo   31.5   24.5   
01/10/1962  0.4     Nulo   33     25     
02/10/1962  2.8     Nulo   27     24.5   
03/10/1962  0       Nulo   25.5   22.5   
04/10/1962  2.5     Nulo   31.5   22.5   
05/10/1962  0       Nulo   32.5   24     
06/10/1962  1.2     Nulo   32.5   24     
07/10/1962  40.5    Nulo   33     24.5   
08/10/1962  2.3     Nulo   27     23     
09/10/1962  8       Nulo   31     22     
10/10/1962  0       Nulo   31     21     
11/10/1962  0       Nulo   32.5   23     
12/10/1962  0       Nulo   33     23.5   
13/10/1962  0       Nulo   33     24.5   
14/10/1962  0       Nulo   32.5   24.5   
15/10/1962  18.7    Nulo   31.5   23.5   
16/10/1962  0       Nulo   32.5   23     
17/10/1962  17.5    Nulo   32.5   23     
18/10/1962  0       Nulo   30.5   22     
19/10/1962  0       Nulo   32     23     
20/10/1962  0       Nulo   33     23     
21/10/1962  0       Nulo   33     24     
22/10/1962  1.2     Nulo   31     24     
23/10/1962  0       Nulo   34     25     
24/10/1962  0       Nulo   37     25.5   
25/10/1962  0       Nulo   37     25     
26/10/1962  0       Nulo   37.5   20     
27/10/1962  0       Nulo   37     21.5   
28/10/1962  0       Nulo   35.5   23     
29/10/1962  0       Nulo   36     22     
30/10/1962  0       Nulo   36     23     
31/10/1962  0       Nulo   31     24     
01/11/1962  0       Nulo   34     19.5   
02/11/1962  0       Nulo   33     21     
03/11/1962  0       Nulo   33.5   23     
04/11/1962  15.1    Nulo   33.5   22     
05/11/1962  2.2     Nulo   29     20     
06/11/1962  0       Nulo   31.5   19.5   
07/11/1962  0       Nulo   32.5   19.5   
08/11/1962  0       Nulo   34     21     
09/11/1962  0       Nulo   36     19     
10/11/1962  0       Nulo   34.5   19     
11/11/1962  0       Nulo   31     18     
12/11/1962  0       Nulo   34.5   20.5   
13/11/1962  0       Nulo   36.5   18     
14/11/1962  0       Nulo   31     15     
15/11/1962  0       Nulo   32     14     
16/11/1962  0       Nulo   33     17     
17/11/1962  0       Nulo   30.5   18.5   
18/11/1962  0       Nulo   31.5   19     
19/11/1962  0       Nulo   33     18.5   
20/11/1962  0       Nulo   31.5   19     
21/11/1962  0       Nulo   29.5   17     
22/11/1962  0       Nulo   29.5   15     
23/11/1962  0       Nulo   32     16.5   
24/11/1962  0       Nulo   34.5   17     
25/11/1962  0       Nulo   38     18     
26/11/1962  0       Nulo   34.5   20     
27/11/1962  0       Nulo   33.5   19     
28/11/1962  0       Nulo   33.5   18     
29/11/1962  0       Nulo   31.5   19.5   
30/11/1962  3.8     Nulo   31     20     
01/12/1962  0       Nulo   25.5   19     
02/12/1962  0       Nulo   27.5   17     
03/12/1962  0       Nulo   33.5   19     
04/12/1962  0       Nulo   28.5   19.5   
05/12/1962  0       Nulo   35     21     
06/12/1962  0       Nulo   31.5   21.5   
07/12/1962  0       Nulo   33     20     
08/12/1962  0       Nulo   31     19.5   
09/12/1962  0       Nulo   30.5   19.5   
10/12/1962  0       Nulo   31     17.5   
11/12/1962  0       Nulo   30     18.5   
12/12/1962  0       Nulo   29     18.5   
13/12/1962  0       Nulo   32.5   18.5   
14/12/1962  0       Nulo   32.5   18     
15/12/1962  0       Nulo   33     19     
16/12/1962  0       Nulo   29.5   18     
17/12/1962  0       Nulo   30     20     
18/12/1962  0       Nulo   31.5   17     
19/12/1962  0       Nulo   31     17.5   
20/12/1962  0       Nulo   30.5   17.5   
21/12/1962  0       Nulo   31     15     
22/12/1962  0       Nulo   31     16.5   
23/12/1962  8.4     Nulo   30.5   17.5   
24/12/1962  0       Nulo   30     16.5   
25/12/1962  0       Nulo   32     15     
26/12/1962  0       Nulo   31     14.5   
27/12/1962  1.6     Nulo   28.5   17     
28/12/1962  0       Nulo   26     17.5   
29/12/1962  2.3     Nulo   24     19     
30/12/1962  0       Nulo   35     19     
31/12/1962  0       Nulo   34.5   17     
01/01/1963  0       Nulo   34     17.5   
02/01/1963  0       Nulo   32     17     
03/01/1963  0       Nulo   31.5   17.5   
04/01/1963  0       Nulo   29     16.5   
05/01/1963  0       Nulo   33.5   17.5   
06/01/1963  0       Nulo   32.5   16.5   
07/01/1963  0       Nulo   29.5   16.5   
08/01/1963  0       Nulo   30.5   16.5   
09/01/1963  0       Nulo   31.5   18.5   
10/01/1963  0       Nulo   33     17.5   
11/01/1963  0       Nulo   32.5   17     
12/01/1963  0       Nulo   32     16     
13/01/1963  0       Nulo   28     16.5   
14/01/1963  0       Nulo   25.5   17.5   
15/01/1963  0       Nulo   28.5   14     
16/01/1963  0       Nulo   31     16     
17/01/1963  0       Nulo   32     16.5   
18/01/1963  0       Nulo   30     17     
19/01/1963  0       Nulo   30     18.5   
20/01/1963  0       Nulo   30     14.5   
21/01/1963  0       Nulo   32     14.5   
22/01/1963  0       Nulo   30.5   15.5   
23/01/1963  0       Nulo   35     16.5   
24/01/1963  0       Nulo   36     17.5   
25/01/1963  0       Nulo   35.5   18     
26/01/1963  0       Nulo   34.5   18.5   
27/01/1963  0       Nulo   34.5   17.5   
28/01/1963  0       Nulo   33     17     
29/01/1963  0       Nulo   33.5   16.5   
30/01/1963  0       Nulo   34.5   17.5   
31/01/1963  0       Nulo   36.5   19     
01/02/1963  0       Nulo   35.5   20     
02/02/1963  0       Nulo   32     19     
03/02/1963  0       Nulo   40.5   19     
04/02/1963  0       Nulo   36     21     
05/02/1963  0       Nulo   33     20     
06/02/1963  0       Nulo   31     20     
07/02/1963  0       Nulo   31.5   18     
08/02/1963  0       Nulo   34.5   20     
09/02/1963  0       Nulo   29     17.5   
10/02/1963  0       Nulo   30     16.5   
11/02/1963  0       Nulo   29     16.5   
12/02/1963  0       Nulo   29     15     
13/02/1963  0       Nulo   29.5   13.5   
14/02/1963  0       Nulo   28     14     
15/02/1963  0       Nulo   30     14.5   
16/02/1963  0       Nulo   30     14     
17/02/1963  0       Nulo   27     13     
18/02/1963  0       Nulo   29.5   15     
19/02/1963  0       Nulo   31.5   14     
20/02/1963  0       Nulo   34.5   15     
21/02/1963  0       Nulo   33.5   14.5   
22/02/1963  0       Nulo   33     15.5   
23/02/1963  0       Nulo   30.5   16     
24/02/1963  0       Nulo   31.5   17.5   
25/02/1963  0       Nulo   34     18.5   
26/02/1963  0       Nulo   39     18.5   
27/02/1963  0       Nulo   34     18.5   
28/02/1963  1.6     Nulo   28.5   18     
01/03/1963  0       Nulo   29.5   19.5   
02/03/1963  0       Nulo   33.5   17.5   
03/03/1963  0       Nulo   34.5   17     
04/03/1963  0       Nulo   34.5   18.5   
05/03/1963  0       Nulo   33.5   14     
06/03/1963  0       Nulo   32.5   16     
07/03/1963  0       Nulo   35     15.5   
08/03/1963  0       Nulo   36.5   13.5   
09/03/1963  0       Nulo   35     16.5   
10/03/1963  0       Nulo   35     16     
11/03/1963  0       Nulo   33.5   14     
12/03/1963  0       Nulo   34     14     
13/03/1963  0       Nulo   34     16.5   
14/03/1963  0       Nulo   32.5   16     
15/03/1963  0       Nulo   32.5   13.5   
16/03/1963  0       Nulo   33.5   14.5   
17/03/1963  0       Nulo   31     15.5   
18/03/1963  0       Nulo   29     18     
19/03/1963  0       Nulo   32     17.5   
20/03/1963  0       Nulo   31     16     
21/03/1963  0       Nulo   35     17.5   
22/03/1963  0       Nulo   37     19     
23/03/1963  0       Nulo   38     20.5   
24/03/1963  0       Nulo   36.5   20     
25/03/1963  0       Nulo   36     20     
26/03/1963  0       Nulo   40     18.5   
27/03/1963  0       Nulo   35     19     
28/03/1963  0       Nulo   34     20.5   
29/03/1963  0       Nulo   35.5   20.5   
30/03/1963  0       Nulo   36     21     
31/03/1963  0       Nulo   33.5   21     
01/04/1963  0       Nulo   35.5   19     
02/04/1963  0       Nulo   36     21     
03/04/1963  2       Nulo   34.5   19     
04/04/1963  0       Nulo   35     20.5   
05/04/1963  0       Nulo   35.5   16.5   
06/04/1963  0       Nulo   34.5   15.5   
07/04/1963  0       Nulo   34.5   18.5   
08/04/1963  0       Nulo   34     16.5   
09/04/1963  0       Nulo   34.5   16.5   
10/04/1963  0       Nulo   33     16.5   
11/04/1963  0       Nulo   33.5   19.5   
12/04/1963  0       Nulo   34     17.5   
13/04/1963  0       Nulo   33     20     
14/04/1963  0       Nulo   39     20.5   
15/04/1963  0       Nulo   37     23.5   
16/04/1963  0       Nulo   36     20.5   
17/04/1963  0       Nulo   35.5   18.5   
18/04/1963  0       Nulo   35.5   20.5   
19/04/1963  0       Nulo   34.5   19.5   
20/04/1963  0       Nulo   38     21.5   
21/04/1963  0       Nulo   36.5   18.5   
22/04/1963  0       Nulo   33.5   18.5   
23/04/1963  0       Nulo   36     19     
24/04/1963  0       Nulo   35.5   20.5   
25/04/1963  0       Nulo   34.5   20     
26/04/1963  0       Nulo   36     22     
27/04/1963  0       Nulo   35     22.5   
28/04/1963  0       Nulo   35     21     
29/04/1963  0       Nulo   36     20     
30/04/1963  0       Nulo   36     18.5   
01/05/1963  0       Nulo   34.5   20     
02/05/1963  0       Nulo   34.5   20     
03/05/1963  0       Nulo   36.5   21     
04/05/1963  0       Nulo   36     21.5   
05/05/1963  0       Nulo   35.5   21     
06/05/1963  0       Nulo   34     19.5   
07/05/1963  0       Nulo   33.5   21     
08/05/1963  0       Nulo   35     22     
09/05/1963  0       Nulo   36.5   22     
10/05/1963  0       Nulo   36.5   24     
11/05/1963  0       Nulo   36.5   20.5   
12/05/1963  0       Nulo   37     22     
13/05/1963  0       Nulo   36     21     
14/05/1963  0       Nulo   36.5   21.5   
15/05/1963  0       Nulo   36.5   23     
16/05/1963  0       Nulo   36.5   20.5   
17/05/1963  0       Nulo   36.5   23.5   
18/05/1963  0       Nulo   36.5   21.5   
19/05/1963  0       Nulo   37     22     
20/05/1963  0       Nulo   36.5   22     
21/05/1963  0       Nulo   37     23.5   
22/05/1963  0       Nulo   38.5   25.5   
23/05/1963  0       Nulo   39     24.5   
24/05/1963  0       Nulo   39     25     
25/05/1963  0       Nulo   38.5   25     
26/05/1963  0       Nulo   37     24.5   
27/05/1963  0       Nulo   36.5   24     
28/05/1963  0       Nulo   37     23.5   
29/05/1963  0       Nulo   37     25     
30/05/1963  0       Nulo   38.5   25     
31/05/1963  0       Nulo   37     26     
01/06/1963  0       Nulo   36     26.5   
02/06/1963  0       Nulo   37.5   26     
03/06/1963  0       Nulo   38     25     
04/06/1963  0       Nulo   37.5   24     
05/06/1963  0       Nulo   38     24.5   
06/06/1963  0       Nulo   39.5   23.5   
07/06/1963  0       Nulo   38     25.5   
08/06/1963  0       Nulo   36.5   24     
09/06/1963  0       Nulo   38     25     
10/06/1963  0       Nulo   36     25     
11/06/1963  13.6    Nulo   36     26     
12/06/1963  2.2     Nulo   27.5   22     
13/06/1963  5.4     Nulo   27.5   22.5   
14/06/1963  22.6    Nulo   32     23     
15/06/1963  2.2     Nulo   38.5   24     
16/06/1963  0.2     Nulo   30.5   24     
17/06/1963  12.4    Nulo   30     24     
18/06/1963  1.8     Nulo   33.5   24     
19/06/1963  0       Nulo   36     24     
20/06/1963  0       Nulo   36     25     
21/06/1963  0       Nulo   37     25.5   
22/06/1963  0       Nulo   37     25     
23/06/1963  0       Nulo   35     26.5   
24/06/1963  2.6     Nulo   37     26     
25/06/1963  0.8     Nulo   38     24.5   
26/06/1963  4       Nulo   38.5   24     
27/06/1963  33.6    Nulo   35     23.5   
28/06/1963  1       Nulo   35     22     
29/06/1963  13.2    Nulo   36.5   24     
30/06/1963  5       Nulo   36     22     
01/07/1963  15.2    Nulo   34     24.5   
02/07/1963  53      Nulo   32.5   23     
03/07/1963  3.4     Nulo   33     23     
04/07/1963  3       Nulo   32     24     
05/07/1963  1       Nulo   31     23.5   
06/07/1963  0.6     Nulo   32     23.5   
07/07/1963  7.6     Nulo   33     23.5   
08/07/1963  2.8     Nulo   32     21     
09/07/1963  28      Nulo   32.5   22     
10/07/1963  6.4     Nulo   29     23     
11/07/1963  1.8     Nulo   31     23.5   
12/07/1963  15.4    Nulo   32.5   24     
13/07/1963  55.6    Nulo   33.5   23     
14/07/1963  20      Nulo   32     22.5   
15/07/1963  0       Nulo   32     23     
16/07/1963  10.6    Nulo   31.5   24.5   
17/07/1963  1.4     Nulo   33     22.5   
18/07/1963  0       Nulo   33     22.5   
19/07/1963  0       Nulo   34.5   24     
20/07/1963  0       Nulo   34     25.5   
21/07/1963  9.1     Nulo   35.5   26     
22/07/1963  9       Nulo   33     23     
23/07/1963  14.2    Nulo   30     23     
24/07/1963  1       Nulo   31.5   23     
25/07/1963  31      Nulo   31.5   24     
26/07/1963  1.3     Nulo   30     24     
27/07/1963  17.1    Nulo   31     24     
28/07/1963  6.5     Nulo   31.5   23.5   
29/07/1963  4.9     Nulo   31     23.5   
30/07/1963  0       Nulo   31     23.5   
31/07/1963  0       Nulo   32     22     
01/08/1963  0       Nulo   33     23.5   
02/08/1963  1       Nulo   33     26.5   
03/08/1963  1.6     Nulo   32     23.5   
04/08/1963  15      Nulo   34     24     
05/08/1963  22.5    Nulo   32     23     
06/08/1963  12.2    Nulo   34.5   21.5   
07/08/1963  0.2     Nulo   33.5   22.5   
08/08/1963  0.8     Nulo   34     23     
09/08/1963  5       Nulo   33.5   24     
10/08/1963  25.7    Nulo   31.5   23.5   
11/08/1963  31.7    Nulo   33     22     
12/08/1963  9.6     Nulo   32     23.5   
13/08/1963  0       Nulo   28     22.5   
14/08/1963  0.5     Nulo   34.5   24     
15/08/1963  10.8    Nulo   35     24     
16/08/1963  2       Nulo   36     22.5   
17/08/1963  0       Nulo   33     23.5   
18/08/1963  0       Nulo   33.5   25     
19/08/1963  19.7    Nulo   33.5   24.5   
20/08/1963  12      Nulo   31.5   22.5   
21/08/1963  0       Nulo   33     23     
22/08/1963  0       Nulo   33.5   24     
23/08/1963  0       Nulo   31.5   25.5   
24/08/1963  3.6     Nulo   32.5   23     
25/08/1963  0.3     Nulo   32.5   24     
26/08/1963  0       Nulo   34     23     
27/08/1963  0       Nulo   34.5   25     
28/08/1963  5.5     Nulo   31     25.5   
29/08/1963  5.5     Nulo   31     23.5   
30/08/1963  0       Nulo   35     23     
31/08/1963  0       Nulo   27     24     
01/09/1963  0       Nulo   37     25.5   
02/09/1963  30.5    Nulo   36     24     
03/09/1963  0       Nulo   34     27     
04/09/1963  27.8    Nulo   31     26.5   
05/09/1963  0       Nulo   31     23     
06/09/1963  0       Nulo   35.5   24     
07/09/1963  0       Nulo   34.5   25.5   
08/09/1963  0       Nulo   34.5   24.5   
09/09/1963  4.8     Nulo   35.5   24.5   
10/09/1963  23      Nulo   35     22.5   
11/09/1963  1.7     Nulo   33     23     
12/09/1963  5       Nulo   32     24     
13/09/1963  11.6    Nulo   33     23     
14/09/1963  1.6     Nulo   31.5   24     
15/09/1963  0       Nulo   32     23     
16/09/1963  23.8    Nulo   33     24     
