CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 18040
NOMBRE    : TETITLAN (CFE)
ESTADO    : NAYARIT
MUNICIPIO : Ahuacatlán
SITUACION : SUSPENDIDA
ORGANISMO : CFE
CVE-OMM   : Nulo
LATITUD   : 021.117°
LONGITUD  : -104.6°
ALTITUD   : 779 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/10/1955  1.5     1.8    Nulo   Nulo   
02/10/1955  12.5    3.6    Nulo   Nulo   
03/10/1955  0       4.1    Nulo   Nulo   
04/10/1955  4.2     2.9    Nulo   Nulo   
05/10/1955  0       4.2    Nulo   Nulo   
06/10/1955  0       4.5    Nulo   Nulo   
07/10/1955  0       5.7    Nulo   Nulo   
08/10/1955  0       5.2    Nulo   Nulo   
09/10/1955  0       5.6    Nulo   Nulo   
10/10/1955  0       5.3    Nulo   Nulo   
11/10/1955  12.5    3.4    Nulo   Nulo   
12/10/1955  10.4    4.9    Nulo   Nulo   
13/10/1955  10.5    4.7    Nulo   Nulo   
14/10/1955  0       5.8    Nulo   Nulo   
15/10/1955  4.4     2.1    Nulo   Nulo   
16/10/1955  5       3.9    Nulo   Nulo   
17/10/1955  0       5.5    32     Nulo   
18/10/1955  0       5.4    32     12     
19/10/1955  0       4.9    33     12     
20/10/1955  0       5.8    33     10     
21/10/1955  0       4.6    34     9      
22/10/1955  0       5.1    33     10     
23/10/1955  0       3.8    34     10     
24/10/1955  0       5      34.5   12     
25/10/1955  0       5.6    34     17     
26/10/1955  0       4.2    35     14     
27/10/1955  0       4.1    36     15     
28/10/1955  0       4.1    35     15     
29/10/1955  0       4.2    35     18     
30/10/1955  0       4.2    35     17     
31/10/1955  0       3.5    Nulo   18     
01/11/1955  0       4.6    34     16     
02/11/1955  0       4.2    35     12     
03/11/1955  0       4.3    36     13     
04/11/1955  0       3.8    35     15     
05/11/1955  0       4.3    35     15     
06/11/1955  0       3.8    34     15     
07/11/1955  0       4.2    34     14     
08/11/1955  0       3.6    31     12     
09/11/1955  0       4      27     10     
10/11/1955  0       3.6    28     9      
11/11/1955  0       4.1    28     10     
12/11/1955  0       3.7    30     7      
13/11/1955  0       3.8    32     9      
14/11/1955  0       3.1    32     10.5   
15/11/1955  0       4.1    32     12     
16/11/1955  0       3.5    33     10     
17/11/1955  0       3.9    33     11     
18/11/1955  0       4.6    32     12     
19/11/1955  0       3.8    33     10.5   
20/11/1955  0       4.3    33     14     
21/11/1955  0       3.3    33     16     
22/11/1955  0       4.4    32.5   13     
23/11/1955  0       4.5    32     9      
24/11/1955  0       3.8    32     8      
25/11/1955  0       3.7    31     11     
26/11/1955  0       3.8    32     13.5   
27/11/1955  0       4.2    31     11     
28/11/1955  0       3.6    31     8      
29/11/1955  0       4      29.5   8.5    
30/11/1955  0       2.7    16     8      
01/12/1955  0       3.2    28.5   11     
02/12/1955  0       2.9    28.5   9      
03/12/1955  0       3.9    31     8      
04/12/1955  0       3.6    31     7      
05/12/1955  0       3.7    31     8      
06/12/1955  0       5.9    31     6      
07/12/1955  0       3.7    29.5   5.5    
08/12/1955  0       3.7    30.5   4.5    
09/12/1955  0       3.2    30     7      
10/12/1955  0       4      30     10     
11/12/1955  0       3.7    30     8      
12/12/1955  0       3.6    30     7      
13/12/1955  0       4.7    30     8      
14/12/1955  0       4      31     8      
15/12/1955  0       4.1    31     8      
16/12/1955  0       4.6    30.5   9.5    
17/12/1955  0       4.6    29.5   7      
18/12/1955  0       3.5    30     3      
19/12/1955  0       5.2    31.5   4      
20/12/1955  0       5.3    31     8.5    
21/12/1955  0       4.3    32     9      
22/12/1955  0       4      31     8      
23/12/1955  0       4.1    31     7      
24/12/1955  0       3.7    29.5   7      
25/12/1955  0       3.4    30.5   6.5    
26/12/1955  0       4.7    31     6.5    
27/12/1955  0       3.6    31.5   5      
28/12/1955  0       3.8    31.5   6      
29/12/1955  0       3.8    32     5.5    
30/12/1955  0       5.2    29     6.5    
31/12/1955  0       5.7    29.5   9      
01/01/1956  0       3.9    31     8      
02/01/1956  0       4.3    31     7.5    
03/01/1956  0       6      31     8      
04/01/1956  0       6.1    29     12     
05/01/1956  0       4.5    30     10.5   
06/01/1956  0       4.3    31     7      
07/01/1956  0       4.6    31     6.5    
08/01/1956  0       4.8    30     6      
09/01/1956  0       3.1    30     6      
10/01/1956  0       5.2    30.5   7      
11/01/1956  0       5.5    28.5   5      
12/01/1956  0       6.4    28     6.5    
13/01/1956  0       3.9    28     3      
14/01/1956  0       4.6    28     4      
15/01/1956  0       3.1    26     5      
16/01/1956  0       4.1    27     2.5    
17/01/1956  0       5.1    26     5.5    
18/01/1956  0       3.4    27.5   7      
19/01/1956  0       3.9    28.5   8      
20/01/1956  0       4.2    28     7      
21/01/1956  0       4.2    26     9      
22/01/1956  0       4.1    27     9      
23/01/1956  0       4.5    28     7      
24/01/1956  0       4.7    30.5   5.5    
25/01/1956  0       5.1    31     7.5    
26/01/1956  0       4.6    32.5   7      
27/01/1956  0       5      32     7.5    
28/01/1956  0       5      32     7.5    
29/01/1956  0       7.1    30     6      
30/01/1956  0       4.8    33     6      
31/01/1956  0       4.8    31     7      
01/02/1956  0       4.7    30     8      
02/02/1956  0       Nulo   30     7      
03/02/1956  Nulo    Nulo   Nulo   8      
04/02/1956  0       Nulo   24     Nulo   
05/02/1956  0       4.8    25.5   9      
06/02/1956  0       5.1    29.5   4.5    
07/02/1956  13      3.4    29     8.5    
08/02/1956  0       4      28.5   12.5   
09/02/1956  0       4.4    29     10     
10/02/1956  0       5.9    29     9      
11/02/1956  0       1.8    29.5   5      
12/02/1956  0       4.6    30.5   4      
13/02/1956  0       5.4    31     5      
14/02/1956  0       4.2    30     7      
15/02/1956  0       5.4    31.5   8      
16/02/1956  0       5.6    32.5   8      
17/02/1956  0       5.4    31     9      
18/02/1956  0       6.4    32.5   6      
19/02/1956  0       5.8    34.5   8      
20/02/1956  0       6.9    37     8      
21/02/1956  0       6.5    35     10     
22/02/1956  0       6.4    33     10     
23/02/1956  0       6.2    32     9      
24/02/1956  0       6.3    32     9      
25/02/1956  0       6.4    34     9      
26/02/1956  0       5.5    32     10     
27/02/1956  0       7.1    34     8      
28/02/1956  0       6.4    35     7.5    
29/02/1956  0       7.8    34.5   11     
01/03/1956  0       7.9    33     11     
02/03/1956  0       7.5    34     10     
03/03/1956  0       6.3    34     10     
04/03/1956  0       6.7    33     11     
05/03/1956  0       6.3    34     10     
06/03/1956  0       8.3    32     10     
07/03/1956  0       8.5    33     7      
08/03/1956  0       6.7    34     10     
09/03/1956  0       7.9    34     9      
