CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 18081
NOMBRE    : SAN PEDRO LAGUNILLAS
ESTADO    : NAYARIT
MUNICIPIO : San Pedro Lagunillas
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 021.217°
LONGITUD  : -104.754°
ALTITUD   : 1288 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1982  0       5.7    26     7      
02/01/1982  0       3.1    26     8      
03/01/1982  0       3.4    24     6      
04/01/1982  0       4      30     6      
05/01/1982  0       3.8    26     7      
06/01/1982  0       9      27     6      
07/01/1982  0       4.7    29     9      
08/01/1982  0       5.8    28     11     
09/01/1982  0       6.6    31     11     
10/01/1982  0       6.4    31     11     
11/01/1982  0       4      26     11     
12/01/1982  0       3.7    25     11     
13/01/1982  0       5.9    28     10     
14/01/1982  0       5.5    28     6      
15/01/1982  0       3.5    26     8      
16/01/1982  0       5.2    27     7      
17/01/1982  0       6.3    28     11     
18/01/1982  0       3.7    30     10     
19/01/1982  0       6.3    27     9      
20/01/1982  0       4.8    28     9      
21/01/1982  0       4.7    27     9      
22/01/1982  0       6.6    26     10     
23/01/1982  0       5.2    29     10     
24/01/1982  0       3.8    30     10     
25/01/1982  0       5.1    29     10     
26/01/1982  0       5.6    30     11     
27/01/1982  0       5.1    28     10     
28/01/1982  0       6.3    28     8      
29/01/1982  0       5      26     8      
30/01/1982  0       4.3    22     8      
31/01/1982  0       5.5    26     8      
01/02/1982  0       4.1    22     8      
02/02/1982  0       4.3    23     8      
03/02/1982  0       5.4    25     6      
04/02/1982  0       6.1    21     5      
05/02/1982  0       5.9    28     6      
06/02/1982  0       8      29     10     
07/02/1982  0       7.1    28     10     
08/02/1982  0       6.9    27     10     
09/02/1982  0       8      29     9      
10/02/1982  0       7.8    29     9      
11/02/1982  0       7.9    31     9      
12/02/1982  0       6.8    32     8      
13/02/1982  0       7.5    28     9      
14/02/1982  0       6.9    26     8      
15/02/1982  0       5.9    25     8      
16/02/1982  0       5.9    28     8      
17/02/1982  0       6.9    29     8      
18/02/1982  0       5.1    26     8      
19/02/1982  0       4.8    26     7      
20/02/1982  0       6.6    26     7      
21/02/1982  0       7.6    29     8      
22/02/1982  0       8.5    31     8      
23/02/1982  0       6.5    30     11     
24/02/1982  0       5.8    29     11     
25/02/1982  0       6.7    27     12     
26/02/1982  0       6.6    25     9      
27/02/1982  0       2.8    25     7      
28/02/1982  0       6.3    25     8      
01/03/1982  0       6.4    30     8      
02/03/1982  0       9.4    32     10     
03/03/1982  0       6.4    25     8      
04/03/1982  0       7      25     7      
05/03/1982  0       4.6    25     6      
06/03/1982  0       7      24     5      
07/03/1982  0       6      28     5      
08/03/1982  0       4.4    27     8      
09/03/1982  0       3.6    28     5      
10/03/1982  0       4      28     10     
11/03/1982  0       5.4    28     9      
12/03/1982  0       8.3    30     8      
13/03/1982  0       3.9    27     10     
14/03/1982  0       9.7    31     11     
15/03/1982  0       5.3    28     10     
16/03/1982  0       8.1    28     8      
17/03/1982  0       7.9    28     11     
18/03/1982  0       6.2    26     10     
19/03/1982  0       6.5    28     10     
20/03/1982  0       5.2    28     10     
21/03/1982  0       8.1    28     10     
22/03/1982  0       5.1    28     9      
23/03/1982  0       7.9    26     9      
24/03/1982  0       5.9    28     7      
25/03/1982  0       9.2    29     10     
26/03/1982  0       5.1    30     9      
27/03/1982  0       7.8    30     10     
28/03/1982  0       8.1    30     11     
29/03/1982  0       7      29     11     
30/03/1982  0       7.8    31     12     
31/03/1982  0       8.8    33     12     
01/04/1982  0       7.8    33     15     
02/04/1982  0       7.5    31     14     
03/04/1982  0       9.2    30     13     
04/04/1982  0       9      34     14     
05/04/1982  0       8.3    32     12     
06/04/1982  0       7.9    31     12     
07/04/1982  0       9.1    30     12     
08/04/1982  0       8.1    32     13     
09/04/1982  0       9      31     14     
10/04/1982  0       8.8    30     13     
11/04/1982  0       8.3    32     12     
12/04/1982  0       7.8    31     14     
13/04/1982  0       7.2    28     14     
14/04/1982  0       6.5    29     12     
15/04/1982  0       9.6    28     12     
16/04/1982  0       8.1    29     12     
17/04/1982  0       8.9    30     11     
18/04/1982  0       9.2    30     13     
19/04/1982  0       8.9    31     12     
20/04/1982  0       9.1    31     10     
21/04/1982  0       7.5    27     14     
22/04/1982  0       9.8    29     11     
23/04/1982  0       8      30     13     
24/04/1982  0       4.8    28     14     
25/04/1982  0       8.9    28     13     
26/04/1982  0       9.4    29     10     
27/04/1982  0       9      30     11     
28/04/1982  0       9.6    28     12     
29/04/1982  0       7.1    28     15     
30/04/1982  0       7.6    26     11     
01/05/1982  0       6      28     14     
02/05/1982  0       7.5    26     10     
03/05/1982  0       7.2    29     12     
04/05/1982  0       9.6    30     12     
05/05/1982  0       6.5    28     13     
06/05/1982  0       9.5    28     13     
07/05/1982  0       6.8    28     15     
08/05/1982  0       8.6    28     15     
09/05/1982  0       9      28     12     
10/05/1982  0       8.2    29     11     
11/05/1982  0       9.4    30     11     
12/05/1982  0       9.5    32     11     
13/05/1982  0       7.6    32     14     
14/05/1982  0       7.3    30     13     
15/05/1982  0       7.5    30     11     
16/05/1982  0       9.1    28     11     
17/05/1982  0       6      28     10     
18/05/1982  0       7.3    29     11     
19/05/1982  0       8.8    32     12     
20/05/1982  0       7.9    28     13     
21/05/1982  0       8.1    32     11     
22/05/1982  0       7.8    32     11     
23/05/1982  0       8.1    30     10     
24/05/1982  0       4.8    28     11     
25/05/1982  0       7.9    29     11     
26/05/1982  0       10     30     10     
27/05/1982  0       5.1    28     12     
28/05/1982  0       8.9    30     12     
29/05/1982  0       8.8    28     11     
30/05/1982  0       6.3    30     13     
31/05/1982  0       7.9    30     12     
01/06/1982  0       8.2    28     14     
02/06/1982  0       6.7    28     16     
03/06/1982  0       7.7    27     13     
04/06/1982  0       5.4    28     15     
05/06/1982  0       7.9    30     15     
06/06/1982  0       9.4    30     14     
07/06/1982  0       10     31     15     
08/06/1982  0       9.8    30     15     
09/06/1982  0       4.7    30     15     
10/06/1982  0       9.9    31     15     
11/06/1982  0       5.8    30     12     
12/06/1982  0       7.4    29     15     
13/06/1982  0       9.6    32     15     
14/06/1982  0       8.6    30     15     
15/06/1982  0       9.5    29     15     
16/06/1982  0       8.5    28     15     
17/06/1982  0       7.6    29     18     
18/06/1982  0       6.4    29     15     
19/06/1982  0       4      29     15     
20/06/1982  0       3.3    27     16     
21/06/1982  2.3     3.7    27     17     
22/06/1982  3       2.2    29     17     
23/06/1982  2       6.6    29     16     
24/06/1982  0       5.2    28     16     
25/06/1982  3.8     4.2    30     17     
26/06/1982  3.7     3.2    28     15     
27/06/1982  3.5     4.6    28     16     
28/06/1982  0       6.1    27     15     
29/06/1982  2.7     5.9    28     15     
30/06/1982  24.5    7.1    28     17     
01/07/1982  11      2.8    27     15     
02/07/1982  2.3     4.4    26     15     
03/07/1982  44      9.8    29     17     
04/07/1982  3       4.8    26     14     
05/07/1982  0       4.1    27     17     
06/07/1982  1.3     2.9    28     17     
07/07/1982  30      4      28     15     
08/07/1982  16.5    8.4    27     15     
09/07/1982  6.4     4.7    28     14     
10/07/1982  1.2     7.4    26     15     
11/07/1982  38.5    6.3    26     16     
12/07/1982  0.5     5.7    28     13     
13/07/1982  15.3    5.4    29     15     
14/07/1982  2       6.9    29     13     
15/07/1982  0       6      29     14     
16/07/1982  0       5.1    27     11     
17/07/1982  8.7     5.4    28     16     
18/07/1982  15.5    6.6    26     16     
19/07/1982  14.6    6.3    26     15     
20/07/1982  6.8     5.1    26     16     
21/07/1982  0       6.9    26     15     
22/07/1982  0       6.5    28     15     
23/07/1982  0       9.4    29     16     
24/07/1982  1.5     5.6    26     12     
25/07/1982  9       6.6    28     14     
26/07/1982  20.5    5.3    26     14     
27/07/1982  0       2.3    23     15     
28/07/1982  5.4     2.5    27     15     
29/07/1982  0       4.6    28     15     
30/07/1982  0       5.7    28     17     
31/07/1982  15.5    3.5    27     18     
01/08/1982  0       5.4    27     14     
02/08/1982  5       5.2    24     16     
03/08/1982  1.3     3.5    26     15     
04/08/1982  4.2     1.4    29     16     
05/08/1982  0       7.2    28     16     
06/08/1982  0       6.3    30     17     
07/08/1982  3.8     3.5    27     17     
08/08/1982  2.7     2.1    26     16     
09/08/1982  1.5     4.6    26     15     
10/08/1982  0       5.9    27     15     
11/08/1982  0       4.1    29     16     
12/08/1982  0.5     5.9    30     17     
13/08/1982  0       5.6    28     15     
14/08/1982  9.8     5      26     16     
15/08/1982  14.8    4.9    26     14     
16/08/1982  0       4.4    28     14     
17/08/1982  0       5.2    29     15     
18/08/1982  18      3.9    28     17     
19/08/1982  16.2    5.8    27     14     
20/08/1982  7.8     5.6    28     15     
21/08/1982  0       5.2    28     15     
22/08/1982  12      3.8    27     16     
23/08/1982  0.3     1.5    28     14     
24/08/1982  0       5.7    27     15     
25/08/1982  0       4.2    28     15     
26/08/1982  0       4.2    30     15     
27/08/1982  0       5.8    29     17     
28/08/1982  0       5      30     16     
29/08/1982  0.8     3.9    29     14     
30/08/1982  0       5.3    29     14     
31/08/1982  0       3.6    29     17     
01/09/1982  0       4.6    29     15     
02/09/1982  0       4.2    31     17     
03/09/1982  0       4.9    29     17     
04/09/1982  9.5     5.1    29     15     
05/09/1982  4.8     1.8    29     14     
06/09/1982  6.4     5.8    28     15     
07/09/1982  0       2.9    29     14     
08/09/1982  0       3.9    29     16     
