CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 19024
NOMBRE    : ANAHUAC
ESTADO    : NUEVO LEON
MUNICIPIO : Anáhuac
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 027.238°
LONGITUD  : -100.131°
ALTITUD   : 194 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
12/05/1933  Nulo    Nulo   39.2   Nulo   
13/05/1933  0       9.9    38.4   25     
14/05/1933  0       8.6    33.2   24     
15/05/1933  0       5.4    30     18     
16/05/1933  0       9.3    35.6   21.6   
17/05/1933  0       13.6   36.8   22.2   
18/05/1933  0       12.5   37     22.4   
19/05/1933  0       11.3   36.8   23.2   
20/05/1933  0       13.7   37     23.4   
21/05/1933  0       14.5   37.8   23.8   
22/05/1933  0       14.5   39.8   24     
23/05/1933  0       12.5   38.8   24.2   
24/05/1933  0       12.5   36.8   24.6   
25/05/1933  6       12.5   36.4   24.8   
26/05/1933  0       7.4    30.2   17.6   
27/05/1933  0       7.9    35     21     
28/05/1933  0       9.9    36     20.8   
29/05/1933  0       10.4   35.6   20.2   
30/05/1933  0       11     32.8   20.4   
31/05/1933  0       13     37.8   22.2   
01/06/1933  0       11.7   37.6   21.2   
02/06/1933  0       12.1   37.4   21.6   
03/06/1933  0       11.6   37.2   20.2   
04/06/1933  0       11.9   37.6   24.2   
05/06/1933  0       11.4   36.6   22.2   
06/06/1933  0       10.4   35.8   20.8   
07/06/1933  0       12.8   35.8   21.2   
08/06/1933  0       12     36     21.2   
09/06/1933  0       12.3   36.5   22.8   
10/06/1933  0       10.6   38.2   20.6   
11/06/1933  0       8.6    37.6   22.8   
12/06/1933  0       8.1    35.8   21.2   
13/06/1933  7       5.2    35.4   20.8   
14/06/1933  0       3.4    29.6   21.2   
15/06/1933  0       8.3    33.8   18.6   
16/06/1933  0       7.7    33.2   18.6   
17/06/1933  0       3      32.8   22     
18/06/1933  0.7     5      32.8   22.8   
19/06/1933  0       7.9    34.8   20.4   
20/06/1933  0       9.4    35.2   22     
21/06/1933  0       10.8   35.6   19.8   
22/06/1933  0       11.6   38.6   20.4   
23/06/1933  0       12.8   39.8   24.8   
24/06/1933  0       13.8   40.8   22.6   
25/06/1933  0       11.8   40.8   23     
26/06/1933  0       9.8    38.2   23.2   
27/06/1933  0       10.6   38.6   25     
28/06/1933  0       13     38.8   25     
29/06/1933  0       12.5   40     24.8   
30/06/1933  0       12.5   39.2   24.6   
01/07/1933  0       9.5    39     25.2   
02/07/1933  0       11     38.4   24.2   
03/07/1933  0       10.3   39.8   23.2   
04/07/1933  0       10.8   41.2   26     
05/07/1933  1       8      40.8   24     
06/07/1933  1.5     9.1    36.2   24.2   
07/07/1933  0.5     5.5    36.8   24.8   
08/07/1933  0       7.4    36.6   23     
09/07/1933  0       7.8    36     23     
10/07/1933  0       7      37.2   23.8   
11/07/1933  0       10.9   38.2   23.6   
12/07/1933  0       10.9   40     24     
13/07/1933  0       9.2    40.2   24.2   
14/07/1933  0       12.2   40.6   21.6   
