CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 19088
NOMBRE    : DOCTOR ARROYO I (DGE)
ESTADO    : NUEVO LEON
MUNICIPIO : Doctor Arroyo
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 023.672°
LONGITUD  : -100.18°
ALTITUD   : 1720 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
08/04/1972  5       Nulo   Nulo   Nulo   
09/04/1972  0       Nulo   30     12     
10/04/1972  0       Nulo   33     12     
11/04/1972  0       Nulo   34     16     
12/04/1972  0       Nulo   34     16     
13/04/1972  0       Nulo   36     13     
14/04/1972  0       Nulo   35     15     
15/04/1972  0       Nulo   35     14     
16/04/1972  0       Nulo   32     14     
17/04/1972  0       Nulo   30     12     
18/04/1972  13.5    Nulo   32     13     
19/04/1972  0       Nulo   31     12     
20/04/1972  0       Nulo   34     13     
21/04/1972  0       Nulo   35     15     
22/04/1972  0       Nulo   34     15     
23/04/1972  0       Nulo   30     16     
24/04/1972  3       Nulo   31     13     
25/04/1972  0       Nulo   31     16     
26/04/1972  0       Nulo   30     16     
27/04/1972  0       Nulo   32     17     
28/04/1972  1       Nulo   31     16     
29/04/1972  0       Nulo   32     12     
30/04/1972  0       Nulo   33     15.5   
01/05/1972  0       Nulo   31     17     
02/05/1972  7       Nulo   31     16.5   
03/05/1972  0       Nulo   31     12     
04/05/1972  5       Nulo   23     14     
05/05/1972  0       Nulo   19     12.5   
06/05/1972  0       Nulo   28     15     
07/05/1972  0       Nulo   31     15     
08/05/1972  0       Nulo   32     16.5   
09/05/1972  6.5     Nulo   29     17.5   
10/05/1972  0       Nulo   29.5   16     
11/05/1972  0       Nulo   32     17     
12/05/1972  2       Nulo   32     16     
