CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 19126
NOMBRE    : LA LAJA
ESTADO    : NUEVO LEON
MUNICIPIO : Hualahuises
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 024.911°
LONGITUD  : -99.686°
ALTITUD   : 410 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
21/09/1979  0       4.4    32     Nulo   
22/09/1979  0       6.7    31     17     
23/09/1979  0       3.5    30     16     
24/09/1979  0       5.7    30     12     
25/09/1979  0       7.1    30     14     
26/09/1979  0       5.2    30     14     
27/09/1979  0       3.6    29     13     
28/09/1979  0       8.3    33     11     
29/09/1979  0       5.1    35     10     
30/09/1979  0       5.3    35     10     
01/10/1979  0       4.2    35     10     
02/10/1979  0       7.3    34     14     
03/10/1979  0       4.1    35     13     
04/10/1979  0       5.3    30     13     
05/10/1979  0       4.3    31     12     
06/10/1979  0       5      33     13     
07/10/1979  0       4.4    34     13     
08/10/1979  0       4.8    33     17     
09/10/1979  0       4.1    34     18     
10/10/1979  0       5.6    27     14     
11/10/1979  0       3.7    33     10     
12/10/1979  0       5.4    35     11     
13/10/1979  0       5      35     12     
14/10/1979  0       4.3    35     15     
15/10/1979  0       4.5    33     15     
16/10/1979  0       3.2    34     18     
17/10/1979  0       4.6    33     19     
18/10/1979  0       4.7    33     20     
19/10/1979  0       5.4    33     19     
20/10/1979  0       4.4    33     18     
21/10/1979  0       2.6    33     20     
22/10/1979  0       5      30     19     
23/10/1979  0       3.2    25     10     
24/10/1979  0       1.2    26     9      
25/10/1979  0       1.4    21     8      
26/10/1979  0       2.6    29     9      
27/10/1979  0       5.1    29     13     
28/10/1979  0       4.8    31     17     
29/10/1979  0       7.3    31     18     
30/10/1979  0.2     2.6    34     20     
31/10/1979  0       2.5    21     11     
01/11/1979  0       1.7    24     8      
02/11/1979  1.5     0.6    17     10     
03/11/1979  0       2.4    22     15     
04/11/1979  0       3.9    26     12     
05/11/1979  0       3.7    30     14     
06/11/1979  0       0.1    24     18     
07/11/1979  0       2      22     16     
08/11/1979  0       4.1    30     16     
09/11/1979  0       3.6    30     11     
10/11/1979  0       2.5    30     14     
11/11/1979  0       1.5    21     12     
12/11/1979  0       3.4    25     7      
13/11/1979  0       2.3    24     9      
14/11/1979  0       3      22     8      
15/11/1979  0       1      13.1   9      
16/11/1979  1       0.3    16     11     
17/11/1979  0       1      21     12     
18/11/1979  0       0.9    22     12     
19/11/1979  0       2.9    31     15     
20/11/1979  0       4.5    31     18     
21/11/1979  0       4.9    29     18     
22/11/1979  0       2.2    15.1   15     
23/11/1979  0       3      17     4      
24/11/1979  0       4.5    21     3      
25/11/1979  0       2.3    24     0      
26/11/1979  0       5.6    30     3      
27/11/1979  0       3.2    31     5      
28/11/1979  0       2.2    20     9      
29/11/1979  0       2.3    14     8      
30/11/1979  0       2.4    15     0.5    
01/12/1979  0       1.2    11     0      
02/12/1979  55      Nulo   9.1    0      
03/12/1979  55      Nulo   12     4      
04/12/1979  3       4.9    16     7      
05/12/1979  0       2.7    22     11     
06/12/1979  0       2.9    21     9      
07/12/1979  0       1.8    24     5      
08/12/1979  0       1.2    22     5      
09/12/1979  0       0.7    22     5      
10/12/1979  0       3      25     16     
11/12/1979  0       1.9    26     17     
12/12/1979  0.5     2.4    25     15     
13/12/1979  30      Nulo   10.1   9      
14/12/1979  0       4.3    10     8      
15/12/1979  0       0.8    15     6      
16/12/1979  1       2      20     6      
17/12/1979  0.5     1.6    10     4      
18/12/1979  0       1.4    11     3      
19/12/1979  0       1.1    22     6      
20/12/1979  0       0.6    24     4      
21/12/1979  0       1.9    24     11     
22/12/1979  0       1.7    26     14     
23/12/1979  0       3.7    29     14     
24/12/1979  0       3.2    29     9      
25/12/1979  0       1.5    22     4      
26/12/1979  0       3.3    23     6      
27/12/1979  0       0.1    19     10     
28/12/1979  0       2      21     14     
29/12/1979  0       0.2    22     12     
30/12/1979  0       1.4    20     10     
31/12/1979  0       1      17     9      
01/01/1980  0       2.2    20     14     
02/01/1980  6       3.2    24     10     
03/01/1980  0       0.3    13.6   10     
04/01/1980  0       1.1    19     2      
05/01/1980  0       3.2    21     2      
06/01/1980  0       1.5    25     4      
07/01/1980  0       1.7    22     11     
08/01/1980  0       0.6    23     8      
09/01/1980  0       3      22     7      
10/01/1980  0       2.3    25     10     
11/01/1980  0       3.5    29     8      
12/01/1980  0       3.5    19     10     
13/01/1980  0       1.9    26     4      
14/01/1980  0       2.1    29     7      
15/01/1980  0       2.7    24     8      
16/01/1980  0       2.5    26     12     
17/01/1980  0       0.4    25     11     
18/01/1980  0       4.9    24     12     
19/01/1980  0       0.3    26     17     
20/01/1980  0       3      26     16     
21/01/1980  0       0.6    15     13     
