CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 19135
NOMBRE    : SAN FRANCISCO DE BERLANGA
ESTADO    : NUEVO LEON
MUNICIPIO : Galeana
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 024.366°
LONGITUD  : -100.114°
ALTITUD   : 1880 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/03/1980  0       1.6    22     3      
02/03/1980  0       5.4    25     3      
03/03/1980  0       6.1    27     2      
04/03/1980  0       6.9    27     5      
05/03/1980  0       8      26     7      
06/03/1980  0       5      22     7      
07/03/1980  0       5.8    22     2      
08/03/1980  0       3.9    26     2      
09/03/1980  0       7.8    26     4      
10/03/1980  0       3.9    26     7      
11/03/1980  0       5.1    24     8      
12/03/1980  0       5.9    27     6      
13/03/1980  0       8.4    28     7      
14/03/1980  0       4.9    28     6      
15/03/1980  0       4.7    29     8      
16/03/1980  0       5.2    30     6      
17/03/1980  0       6.1    29     5      
18/03/1980  0       3.9    28     8      
19/03/1980  0       4.6    28     7      
20/03/1980  0       5.5    23     4      
21/03/1980  0       5.2    26     3      
22/03/1980  0       5.8    26     4      
23/03/1980  0       5.9    28     5      
24/03/1980  0       4      28     6      
25/03/1980  0       5      23     6      
26/03/1980  0       4.5    29     5      
27/03/1980  0       4.5    28     5      
28/03/1980  0       4.9    29     8      
29/03/1980  0       5      25     5      
30/03/1980  0       5.9    30     5      
31/03/1980  0       4.9    29     5      
01/05/1980  0       4.1    25     11     
02/05/1980  0       6.1    29     10     
03/05/1980  0       6      28     11     
04/05/1980  0       6.1    19     14     
05/05/1980  0       4.5    29     11     
06/05/1980  0       5      17     11     
07/05/1980  0       5.4    19     11     
08/05/1980  0       4.1    30     10     
09/05/1980  0       5      22     11     
10/05/1980  0       3.9    20     10     
11/05/1980  0       3.5    32     11     
12/05/1980  0       4.5    30     12     
13/05/1980  0       3.6    31     15     
14/05/1980  0       4.5    30     15     
15/05/1980  0       4.7    31     14     
16/05/1980  0       6.3    31     9      
17/05/1980  0       3      32     12     
18/05/1980  0       4.9    33     12     
19/05/1980  0       4.2    30     13     
20/05/1980  0       4.6    30     12     
21/05/1980  5       4.4    33     13     
22/05/1980  12.5    4.6    32     13     
23/05/1980  0       4.9    31     11     
24/05/1980  0       4.1    33     13     
25/05/1980  0       3.1    32     14     
26/05/1980  25      5.9    32     13     
27/05/1980  11      5.8    31     12     
28/05/1980  0       5.2    29     14     
29/05/1980  0       6.1    32     15     
30/05/1980  0       4.6    32     15     
31/05/1980  0       5.4    30     14     
01/06/1980  0       0.4    32     11     
02/06/1980  0       2.6    33     11     
