CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 19140
NOMBRE    : TEPEHUAJE
ESTADO    : NUEVO LEON
MUNICIPIO : Cadereyta Jiménez
SITUACION : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 025.505°
LONGITUD  : -99.771°
ALTITUD   : 250 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/01/1980  0       2.5    24     4      
02/01/1980  0       0.5    21     5      
03/01/1980  0       3.2    14     5      
04/01/1980  0       0.6    23     1      
05/01/1980  0       3.4    25.5   1      
06/01/1980  0       0.9    26     3.5    
07/01/1980  0       3.5    26     8      
08/01/1980  0       0.8    22.5   8      
09/01/1980  0.5     1.5    17.5   13     
10/01/1980  0       0.9    27     11     
11/01/1980  0       3.7    31     11     
12/01/1980  0       2.1    20     11     
13/01/1980  0       2.8    29     3      
14/01/1980  0       2.3    32     5      
15/01/1980  0       3.4    29.5   8      
16/01/1980  0       1.2    27.5   9.5    
17/01/1980  0       0.6    29.5   14.5   
18/01/1980  0.5     0.9    24     15     
19/01/1980  0       0.8    27.5   18     
20/01/1980  0       2.3    27     14     
21/01/1980  4       1.3    18     13     
22/01/1980  0       1.1    17     11     
23/01/1980  0       1.4    17     12     
24/01/1980  0       1.3    17     12     
25/01/1980  0       1.4    27.5   4      
26/01/1980  0       4      32     5      
27/01/1980  4       0.4    16.5   10     
28/01/1980  1.5     0.5    16     10     
29/01/1980  1       1      13.6   10     
30/01/1980  0       0.7    19.5   10     
31/01/1980  2.5     0.4    11.5   10     
01/02/1980  0       0.6    13.5   5      
02/02/1980  0       1.4    14     9.5    
03/02/1980  0       2.4    24     3.5    
04/02/1980  0       2.2    28     3.5    
05/02/1980  0       4.7    21.5   5      
06/02/1980  0       2.1    23.5   6      
07/02/1980  0       2      24.5   10     
08/02/1980  0       2.5    22.5   2      
09/02/1980  0       3.9    19.5   1.5    
10/02/1980  0       3.4    22.5   0      
11/02/1980  0       1      16     2      
12/02/1980  5       0.9    12     8      
13/02/1980  0       0.2    12.5   5      
