CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A DICIEMBRE 2022

ESTACION  : 19181
NOMBRE    : SAN ISIDRO DE CIENEGA
ESTADO    : NUEVO LEON
MUNICIPIO : Galeana
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 025.201°
LONGITUD  : -100.512°
ALTITUD   : 2190 msnm

EMISIÓN   : 30/12/2022

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
01/06/1987  13      Nulo   27     12     
02/06/1987  0       Nulo   25.5   13.5   
03/06/1987  0       Nulo   29     11     
04/06/1987  3       Nulo   23     14.5   
05/06/1987  2       Nulo   25     16     
06/06/1987  0       Nulo   20     14     
07/06/1987  0       Nulo   26.5   9.5    
08/06/1987  4       Nulo   23     12     
09/06/1987  18      Nulo   21.5   11.5   
10/06/1987  6       Nulo   23     11     
11/06/1987  0       Nulo   25.5   16     
12/06/1987  0       Nulo   28     17     
13/06/1987  0       Nulo   35     20     
14/06/1987  0       Nulo   26     19.5   
15/06/1987  0       Nulo   31     16     
16/06/1987  0       Nulo   28     18     
17/06/1987  0       Nulo   32     15     
18/06/1987  0       Nulo   24.5   17.5   
19/06/1987  0       Nulo   30     14     
20/06/1987  0       Nulo   27.5   19     
21/06/1987  0       Nulo   32     13     
22/06/1987  0       Nulo   29     18     
23/06/1987  0       Nulo   33.5   12.5   
24/06/1987  0       Nulo   31     17     
25/06/1987  0       Nulo   27.5   15     
26/06/1987  0       Nulo   33     13     
27/06/1987  0       Nulo   29     19.5   
28/06/1987  20      Nulo   21     12     
29/06/1987  2       Nulo   23.5   11.5   
30/06/1987  0       Nulo   25     13     
01/10/1987  0       Nulo   23.5   9.5    
02/10/1987  0       Nulo   23     11     
03/10/1987  0       Nulo   20     9.5    
04/10/1987  0       Nulo   21     10     
05/10/1987  0       Nulo   19     12     
06/10/1987  0       Nulo   19     10     
07/10/1987  0       Nulo   15     5      
08/10/1987  0       Nulo   24     7.5    
09/10/1987  0       Nulo   26     11     
10/10/1987  0       Nulo   24     13     
11/10/1987  0       Nulo   24     15     
12/10/1987  0       Nulo   23     8.5    
13/10/1987  0       Nulo   23     10     
14/10/1987  0       Nulo   19     9      
15/10/1987  0       Nulo   19     11     
16/10/1987  0       Nulo   19     8.5    
17/10/1987  0       Nulo   25     11     
18/10/1987  0       Nulo   16     10     
19/10/1987  0       Nulo   17     9      
20/10/1987  0       Nulo   15     10     
21/10/1987  7       Nulo   18     8      
22/10/1987  0       Nulo   18     10.5   
23/10/1987  0       Nulo   19     7.5    
24/10/1987  0       Nulo   22     9      
25/10/1987  0       Nulo   20     11     
26/10/1987  0       Nulo   20     8      
27/10/1987  0       Nulo   22     10     
28/10/1987  0       Nulo   22     12     
29/10/1987  0       Nulo   20     9      
30/10/1987  0       Nulo   13     10.5   
31/10/1987  0       Nulo   14     6      
01/11/1987  0       Nulo   20     9      
02/11/1987  0       Nulo   16     10.5   
03/11/1987  0       Nulo   19.5   7      
04/11/1987  0       Nulo   20     8      
05/11/1987  0       Nulo   15     10     
06/11/1987  0       Nulo   13     5      
07/11/1987  0       Nulo   14     7      
08/11/1987  8       Nulo   16     8.5    
09/11/1987  0       Nulo   18.5   8      
10/11/1987  0       Nulo   13     10.5   
11/11/1987  0       Nulo   16     4.5    
12/11/1987  0       Nulo   18     6      
13/11/1987  0       Nulo   21     8.5    
14/11/1987  0       Nulo   16     9.5    
15/11/1987  0       Nulo   26     4      
16/11/1987  0       Nulo   18     7      
17/11/1987  0       Nulo   15     8      
18/11/1987  0       Nulo   15.5   6      
19/11/1987  0       Nulo   20     6      
20/11/1987  0       Nulo   18     10.5   
