CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2023

ESTACION  : 20024
NOMBRE    : SAN JUAN BAUTISTA CUICATLAN (DGE)
ESTADO    : OAXACA
MUNICIPIO : SAN JUAN BAUTISTA CUICATLAN
SITUACION : SUSPENDIDA
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 017.8°
LONGITUD  : -96.967°
ALTITUD   : 620 msnm

EMISIÓN   : 13/03/2023

            PRECIP  EVAP   TMAX   TMIN   
  Fecha     (MM)    (MM)   (°C)   (°C)   
15/01/1950  0       Nulo   Nulo   Nulo   
16/01/1950  0       Nulo   Nulo   Nulo   
17/01/1950  0       Nulo   25     Nulo   
18/01/1950  0       Nulo   28     15     
19/01/1950  0       Nulo   29     15.5   
20/01/1950  0       Nulo   25     12     
21/01/1950  0       Nulo   27     15     
22/01/1950  0       Nulo   29     13     
23/01/1950  0       Nulo   31.5   14     
24/01/1950  0       Nulo   35     15     
25/01/1950  0       Nulo   35     16.5   
26/01/1950  0       Nulo   35     16     
27/01/1950  0       Nulo   30     18     
28/01/1950  0       Nulo   30.5   17     
29/01/1950  0       Nulo   33.5   15.5   
30/01/1950  0       Nulo   34     13.5   
31/01/1950  0       Nulo   35     14     
01/02/1950  0       Nulo   32.5   23     
02/02/1950  0       Nulo   39     15.5   
03/02/1950  0       Nulo   31     17     
04/02/1950  0       Nulo   26     14.5   
05/02/1950  0       Nulo   29.5   15     
06/02/1950  0       Nulo   30     16     
07/02/1950  0       Nulo   31     14.5   
08/02/1950  0       Nulo   31.5   13.5   
09/02/1950  0       Nulo   34     14.5   
10/02/1950  0       Nulo   33     16     
11/02/1950  0       Nulo   34     16.5   
12/02/1950  0       Nulo   36     18.5   
13/02/1950  0       Nulo   35.5   21     
14/02/1950  0       Nulo   27.5   19.5   
15/02/1950  0       Nulo   24     17     
16/02/1950  0       Nulo   24.5   16     
17/02/1950  0       Nulo   27.5   15.5   
18/02/1950  0       Nulo   29     16     
19/02/1950  0       Nulo   27     15     
20/02/1950  0       Nulo   29.5   16.5   
21/02/1950  0       Nulo   34     14     
22/02/1950  0       Nulo   37     14.5   
23/02/1950  0       Nulo   31.5   18.5   
24/02/1950  0       Nulo   33     17     
25/02/1950  0       Nulo   33.5   17.5   
26/02/1950  0       Nulo   32     17     
27/02/1950  0       Nulo   32.5   18.5   
28/02/1950  0       Nulo   33.5   17.5   
01/03/1950  0       Nulo   32.5   16     
02/03/1950  0       Nulo   30.5   17.5   
03/03/1950  0       Nulo   34.5   15.5   
04/03/1950  0       Nulo   33.5   17     
05/03/1950  2.5     Nulo   32.5   18     
06/03/1950  0       Nulo   34.5   18.5   
07/03/1950  0       Nulo   37.5   18     
08/03/1950  0       Nulo   34.5   19     
09/03/1950  0       Nulo   29.5   12.5   
10/03/1950  0       Nulo   32.5   18.5   
11/03/1950  0       Nulo   37.5   12.5   
12/03/1950  0       Nulo   36.5   18     
13/03/1950  0       Nulo   33     18     
14/03/1950  0       Nulo   32     17.5   
15/03/1950  0       Nulo   39     19     
16/03/1950  0       Nulo   39     21     
17/03/1950  0       Nulo   37     19.5   
18/03/1950  0       Nulo   35     19     
19/03/1950  0       Nulo   39     14     
20/03/1950  0       Nulo   39     12.5   
21/03/1950  0       Nulo   40     12.5   
22/03/1950  0       Nulo   35     12     
23/03/1950  0       Nulo   36     19.5   
24/03/1950  0       Nulo   38.5   16     
25/03/1950  0       Nulo   39.5   14.5   
26/03/1950  0       Nulo   40.5   12.5   
27/03/1950  0       Nulo   40.5   9      
28/03/1950  0       Nulo   40     11     
29/03/1950  5       Nulo   38     11     
30/03/1950  0       Nulo   27     13     
31/03/1950  0       Nulo   30.5   13.5   
01/04/1950  Nulo    Nulo   37.5   16     
02/04/1950  Nulo    Nulo   36.5   13     
03/04/1950  Nulo    Nulo   39.5   11.8   
04/04/1950  Nulo    Nulo   40.5   9.5    
05/04/1950  Nulo    Nulo   37     10     
06/04/1950  Nulo    Nulo   37     12.5   
07/04/1950  Nulo    Nulo   40.2   16     
08/04/1950  Nulo    Nulo   32.5   14.5   
09/04/1950  Nulo    Nulo   35.5   17.5   
10/04/1950  Nulo    Nulo   38.5   12     
11/04/1950  Nulo    Nulo   38     14.5   
12/04/1950  Nulo    Nulo   33.5   10.5   
13/04/1950  Nulo    Nulo   39.5   14.5   
14/04/1950  Nulo    Nulo   36     11.5   
15/04/1950  Nulo    Nulo   38.5   11     
16/04/1950  Nulo    Nulo   36.5   10     
17/04/1950  Nulo    Nulo   39     10.5   
